,Prediction,value_count,NCTId
12242,Completed,1,NCT00868309
12243,Completed,1,NCT00868439
12244,Completed,1,NCT00868608
12245,Terminated,1,NCT00868647
12246,Completed,1,NCT00868894
12247,Completed,1,NCT00868946
12248,Terminated,1,NCT00868998
12249,Completed,1,NCT00869024
12250,Terminated,1,NCT00869050
12251,Completed,1,NCT00869089
12252,Completed,1,NCT00869232
12253,Completed,1,NCT00869258
12254,Terminated,1,NCT00869323
12255,Completed,1,NCT00869336
12256,Completed,1,NCT00869401
12257,Completed,1,NCT00869440
12258,Completed,1,NCT00869518
12259,Completed,1,NCT00869557
12260,Completed,1,NCT00869661
12261,Completed,1,NCT00869713
12262,Completed,1,NCT00869791
12263,Terminated,1,NCT00869869
12264,Terminated,1,NCT00869999
12265,Completed,1,NCT00870818
12266,Completed,1,NCT00870870
12267,Completed,1,NCT00870987
12268,Completed,1,NCT00871013
12269,Terminated,1,NCT00871065
12270,Completed,1,NCT00871169
12271,Completed,1,NCT00871182
12272,Completed,1,NCT00871325
12273,Completed,1,NCT00871377
12274,Completed,1,NCT00871481
12275,Completed,1,NCT00871572
12276,Completed,1,NCT00871624
12277,Completed,1,NCT00871689
12278,Completed,1,NCT00871923
12279,Completed,1,NCT00871936
12280,Completed,1,NCT00872053
12281,Terminated,1,NCT00872170
12282,Completed,1,NCT00872196
12283,Completed,1,NCT00872300
12284,Completed,1,NCT00872378
12285,Completed,1,NCT00872482
12286,Completed,1,NCT00872534
12287,Completed,1,NCT00872729
12288,Completed,1,NCT00872742
12289,Completed,1,NCT00872885
12290,Completed,1,NCT00872898
12291,Completed,1,NCT00872989
12292,Completed,1,NCT00873015
12293,Completed,1,NCT00873041
12294,Completed,1,NCT00873093
12295,Completed,1,NCT00873119
12296,Completed,1,NCT00873457
12297,Completed,1,NCT00873483
12298,Completed,1,NCT00873509
12299,Completed,1,NCT00874094
12300,Completed,1,NCT00874107
12301,Completed,1,NCT00874315
12302,Completed,1,NCT00874432
12303,Completed,1,NCT00874497
12304,Completed,1,NCT00874549
12305,Completed,1,NCT00874614
12306,Completed,1,NCT00874770
12307,Completed,1,NCT00874796
12308,Completed,1,NCT00874835
12309,Completed,1,NCT00874848
12310,Completed,1,NCT00875134
12311,Completed,1,NCT00875199
12312,Completed,1,NCT00875420
12313,Completed,1,NCT00875615
12314,Completed,1,NCT00875979
12315,Completed,1,NCT00876187
12316,Completed,1,NCT00876863
12317,Completed,1,NCT00876902
12318,Completed,1,NCT00877071
12319,Completed,1,NCT00877500
12320,Completed,1,NCT00877734
12321,Completed,1,NCT00877773
12322,Completed,1,NCT00877799
12323,Completed,1,NCT00877903
12324,Completed,1,NCT00878072
12325,Terminated,1,NCT00878215
12326,Completed,1,NCT00878254
12327,Completed,1,NCT00878436
12328,Completed,1,NCT00878579
12329,Completed,1,NCT00878605
12330,Completed,1,NCT00878761
12331,Completed,1,NCT00878826
12332,Completed,1,NCT00879034
12333,Completed,1,NCT00879086
12334,Terminated,1,NCT00879112
12335,Completed,1,NCT00879190
12336,Completed,1,NCT00879359
12337,Completed,1,NCT00879437
12338,Completed,1,NCT00879489
12339,Completed,1,NCT00879606
12340,Terminated,1,NCT00879619
12341,Completed,1,NCT00879658
12342,Completed,1,NCT00879762
12343,Completed,1,NCT00879892
12344,Terminated,1,NCT00880009
12345,Terminated,1,NCT00880035
12346,Completed,1,NCT00880048
12347,Completed,1,NCT00880217
12348,Completed,1,NCT00880269
12349,Completed,1,NCT00880334
12350,Completed,1,NCT00880360
12351,Completed,1,NCT00880399
12352,Completed,1,NCT00880542
12353,Terminated,1,NCT00880581
12354,Completed,1,NCT00880685
12355,Terminated,1,NCT00881361
12356,Completed,1,NCT00881387
12357,Completed,1,NCT00881465
12358,Completed,1,NCT00881504
12359,Completed,1,NCT00881530
12360,Terminated,1,NCT00881621
12361,Completed,1,NCT00881751
12362,Completed,1,NCT00882024
12363,Completed,1,NCT00882050
12364,Terminated,1,NCT00882102
12365,Completed,1,NCT00882206
12366,Completed,1,NCT00882258
12367,Completed,1,NCT00882687
12368,Completed,1,NCT00882765
12369,Completed,1,NCT00882895
12370,Completed,1,NCT00882908
12371,Completed,1,NCT00882999
12372,Completed,1,NCT00883090
12373,Completed,1,NCT00883129
12374,Completed,1,NCT00883220
12375,Completed,1,NCT00883298
12376,Completed,1,NCT00883311
12377,Completed,1,NCT00883519
12378,Completed,1,NCT00883558
12379,Completed,1,NCT00883688
12380,Completed,1,NCT00883896
12381,Completed,1,NCT00884052
12382,Completed,1,NCT00884234
12383,Completed,1,NCT00884312
12384,Completed,1,NCT00884377
12385,Completed,1,NCT00884507
12386,Completed,1,NCT00884715
12387,Completed,1,NCT00884832
12388,Completed,1,NCT00884884
12389,Completed,1,NCT00884897
12390,Completed,1,NCT00884988
12391,Completed,1,NCT00885001
12392,Completed,1,NCT00885196
12393,Completed,1,NCT00885495
12394,Completed,1,NCT00885534
12395,Completed,1,NCT00885703
12396,Completed,1,NCT00885963
12397,Completed,1,NCT00886470
12398,Completed,1,NCT00886626
12399,Completed,1,NCT00886691
12400,Completed,1,NCT00886730
12401,Completed,1,NCT00886743
12402,Completed,1,NCT00886782
12403,Completed,1,NCT00886795
12404,Completed,1,NCT00886899
12405,Completed,1,NCT00886938
12406,Completed,1,NCT00887159
12407,Completed,1,NCT00887185
12408,Completed,1,NCT00887315
12409,Completed,1,NCT00887458
12410,Completed,1,NCT00887562
12411,Completed,1,NCT00887575
12412,Completed,1,NCT00887588
12413,Completed,1,NCT00887640
12414,Completed,1,NCT00887809
12415,Terminated,1,NCT00888134
12416,Completed,1,NCT00888173
12417,Completed,1,NCT00888199
12418,Completed,1,NCT00888290
12419,Completed,1,NCT00888459
12420,Terminated,1,NCT00888498
12421,Completed,1,NCT00888615
12422,Terminated,1,NCT00888628
12423,Completed,1,NCT00888654
12424,Completed,1,NCT00888706
12425,Completed,1,NCT00888914
12426,Completed,1,NCT00888927
12427,Completed,1,NCT00888940
12428,Completed,1,NCT00889187
12429,Completed,1,NCT00889382
12430,Completed,1,NCT00889421
12431,Completed,1,NCT00889473
12432,Completed,1,NCT00889486
12433,Completed,1,NCT00889642
12434,Completed,1,NCT00889889
12435,Completed,1,NCT00889967
12436,Completed,1,NCT00890149
12437,Completed,1,NCT00890162
12438,Completed,1,NCT00890305
12439,Completed,1,NCT00890656
12440,Completed,1,NCT00890825
12441,Completed,1,NCT00890890
12442,Terminated,1,NCT00890929
12443,Completed,1,NCT00890968
12444,Terminated,1,NCT00891527
12445,Terminated,1,NCT00891618
12446,Completed,1,NCT00891631
12447,Completed,1,NCT00891683
12448,Terminated,1,NCT00891800
12449,Completed,1,NCT00891839
12450,Completed,1,NCT00891878
12451,Terminated,1,NCT00891917
12452,Completed,1,NCT00891995
12453,Completed,1,NCT00892177
12454,Completed,1,NCT00892203
12455,Completed,1,NCT00892437
12456,Terminated,1,NCT00892710
12457,Completed,1,NCT00892723
12458,Completed,1,NCT00892931
12459,Completed,1,NCT00892970
12460,Completed,1,NCT00893074
12461,Completed,1,NCT00893217
12462,Completed,1,NCT00893763
12463,Completed,1,NCT00893841
12464,Completed,1,NCT00893997
12465,Terminated,1,NCT00894010
12466,Terminated,1,NCT00894101
12467,Completed,1,NCT00894127
12468,Completed,1,NCT00894205
12469,Completed,1,NCT00894322
12470,Completed,1,NCT00894413
12471,Completed,1,NCT00894504
12472,Completed,1,NCT00894517
12473,Completed,1,NCT00894530
12474,Completed,1,NCT00894699
12475,Completed,1,NCT00894803
12476,Completed,1,NCT00895180
12477,Completed,1,NCT00895245
12478,Completed,1,NCT00895258
12479,Completed,1,NCT00895310
12480,Completed,1,NCT00895336
12481,Completed,1,NCT00895557
12482,Completed,1,NCT00895622
12483,Completed,1,NCT00895661
12484,Completed,1,NCT00895830
12485,Completed,1,NCT00895895
12486,Completed,1,NCT00895934
12487,Completed,1,NCT00896038
12488,Completed,1,NCT00896051
12489,Completed,1,NCT00896077
12490,Completed,1,NCT00896181
12491,Completed,1,NCT00896298
12492,Completed,1,NCT00896454
12493,Terminated,1,NCT00896493
12494,Completed,1,NCT00896779
12495,Completed,1,NCT00897676
12496,Completed,1,NCT00897715
12497,Completed,1,NCT00897975
12498,Terminated,1,NCT00899353
12499,Completed,1,NCT00899431
12500,Completed,1,NCT00899574
12501,Completed,1,NCT00899678
12502,Completed,1,NCT00899847
12503,Completed,1,NCT00899977
12504,Completed,1,NCT00900146
12505,Completed,1,NCT00900497
12506,Completed,1,NCT00900562
12507,Completed,1,NCT00900757
12508,Completed,1,NCT00900900
12509,Completed,1,NCT00901095
12510,Completed,1,NCT00901225
12511,Completed,1,NCT00901238
12512,Completed,1,NCT00901342
12513,Completed,1,NCT00901459
12514,Terminated,1,NCT00901732
12515,Completed,1,NCT00901927
12516,Completed,1,NCT00901979
12517,Terminated,1,NCT00902018
12518,Completed,1,NCT00902200
12519,Completed,1,NCT00902291
12520,Completed,1,NCT00902486
12521,Completed,1,NCT00902577
12522,Completed,1,NCT00902928
12523,Terminated,1,NCT00903006
12524,Completed,1,NCT00903136
12525,Terminated,1,NCT00903162
12526,Completed,1,NCT00903175
12527,Completed,1,NCT00903201
12528,Completed,1,NCT00903279
12529,Completed,1,NCT00903331
12530,Completed,1,NCT00903370
12531,Completed,1,NCT00903383
12532,Completed,1,NCT00903396
12533,Completed,1,NCT00903552
12534,Completed,1,NCT00903617
12535,Terminated,1,NCT00903630
12536,Completed,1,NCT00903695
12537,Terminated,1,NCT00903760
12538,Completed,1,NCT00903942
12539,Completed,1,NCT00903968
12540,Completed,1,NCT00903994
12541,Completed,1,NCT00904033
12542,Completed,1,NCT00904111
12543,Terminated,1,NCT00904345
12544,Terminated,1,NCT00904423
12545,Completed,1,NCT00904462
12546,Completed,1,NCT00904722
12547,Completed,1,NCT00904826
12548,Completed,1,NCT00904891
12549,Terminated,1,NCT00905021
12550,Completed,1,NCT00905034
12551,Completed,1,NCT00905060
12552,Completed,1,NCT00905125
