,Prediction,value_count,NCTId
3439,Completed,1,NCT02862938
3440,Terminated,1,NCT02863068
3441,Completed,1,NCT02863354
3442,Completed,1,NCT02863809
3443,Terminated,1,NCT02863991
3444,Terminated,1,NCT02864147
3445,Completed,1,NCT02864992
3446,Completed,1,NCT02865135
3447,Completed,1,NCT02865811
3448,Terminated,1,NCT02867384
3449,Completed,1,NCT02867592
3450,Terminated,1,NCT02867618
3451,Completed,1,NCT02868034
3452,Completed,1,NCT02869633
3453,Completed,1,NCT02870218
3454,Terminated,1,NCT02870738
3455,Completed,1,NCT02871219
3456,Terminated,1,NCT02871791
3457,Completed,1,NCT02872714
3458,Completed,1,NCT02873195
3459,Completed,1,NCT02873819
3460,Completed,1,NCT02873962
3461,Completed,1,NCT02873975
3462,Completed,1,NCT02874430
3463,Completed,1,NCT02874690
3464,Completed,1,NCT02874742
3465,Completed,1,NCT02875548
3466,Terminated,1,NCT02876107
3467,Completed,1,NCT02876302
3468,Completed,1,NCT02877134
3469,Completed,1,NCT02877303
3470,Completed,1,NCT02877394
3471,Completed,1,NCT02878785
3472,Completed,1,NCT02878798
3473,Terminated,1,NCT02879006
3474,Completed,1,NCT02879617
3475,Completed,1,NCT02880020
3476,Completed,1,NCT02880319
3477,Completed,1,NCT02880956
3478,Terminated,1,NCT02881242
3479,Completed,1,NCT02881320
3480,Completed,1,NCT02882191
3481,Terminated,1,NCT02882282
3482,Completed,1,NCT02883062
3483,Completed,1,NCT02884648
3484,Terminated,1,NCT02885324
3485,Terminated,1,NCT02886585
3486,Completed,1,NCT02886884
3487,Completed,1,NCT02887859
3488,Completed,1,NCT02888743
3489,Completed,1,NCT02889549
3490,Completed,1,NCT02889900
3491,Completed,1,NCT02890355
3492,Completed,1,NCT02891161
3493,Completed,1,NCT02891226
3494,Completed,1,NCT02891447
3495,Completed,1,NCT02891603
3496,Completed,1,NCT02891759
3497,Terminated,1,NCT02892201
3498,Completed,1,NCT02893345
3499,Completed,1,NCT02893553
3500,Completed,1,NCT02893917
3501,Completed,1,NCT02893930
3502,Completed,1,NCT02896335
3503,Completed,1,NCT02896712
3504,Completed,1,NCT02898259
3505,Completed,1,NCT02899052
3506,Completed,1,NCT02899078
3507,Completed,1,NCT02899195
3508,Completed,1,NCT02899793
3509,Completed,1,NCT02900560
3510,Terminated,1,NCT02900651
3511,Completed,1,NCT02900976
3512,Completed,1,NCT02901067
3513,Terminated,1,NCT02901548
3514,Terminated,1,NCT02901899
3515,Completed,1,NCT02902484
3516,Completed,1,NCT02902796
3517,Terminated,1,NCT02903160
3518,Completed,1,NCT02903368
3519,Completed,1,NCT02903914
3520,Completed,1,NCT02904512
3521,Terminated,1,NCT02904954
3522,Completed,1,NCT02905578
3523,Completed,1,NCT02905591
3524,Completed,1,NCT02906020
3525,Terminated,1,NCT02906332
3526,Completed,1,NCT02907099
3527,Completed,1,NCT02907983
3528,Completed,1,NCT02908035
3529,Terminated,1,NCT02908490
3530,Completed,1,NCT02908685
3531,Completed,1,NCT02908906
3532,Completed,1,NCT02909088
3533,Completed,1,NCT02910219
3534,Completed,1,NCT02910401
3535,Completed,1,NCT02910531
3536,Completed,1,NCT02910583
3537,Terminated,1,NCT02910700
3538,Terminated,1,NCT02910726
3539,Completed,1,NCT02911103
3540,Completed,1,NCT02911116
3541,Completed,1,NCT02911142
3542,Completed,1,NCT02911935
3543,Completed,1,NCT02912260
3544,Completed,1,NCT02912312
3545,Completed,1,NCT02912572
3546,Completed,1,NCT02912949
3547,Completed,1,NCT02913131
3548,Completed,1,NCT02913313
3549,Completed,1,NCT02913417
3550,Completed,1,NCT02913430
3551,Completed,1,NCT02913482
3552,Completed,1,NCT02913573
3553,Completed,1,NCT02913664
3554,Completed,1,NCT02914314
3555,Completed,1,NCT02915263
3556,Completed,1,NCT02915523
3557,Completed,1,NCT02915783
3558,Terminated,1,NCT02916771
3559,Completed,1,NCT02916862
3560,Completed,1,NCT02917421
3561,Completed,1,NCT02917993
3562,Terminated,1,NCT02918162
3563,Completed,1,NCT02918292
3564,Completed,1,NCT02918864
3565,Completed,1,NCT02918877
3566,Completed,1,NCT02919618
3567,Completed,1,NCT02919670
3568,Completed,1,NCT02919683
3569,Completed,1,NCT02919917
3570,Completed,1,NCT02919969
3571,Completed,1,NCT02920476
3572,Completed,1,NCT02920892
3573,Completed,1,NCT02920996
3574,Completed,1,NCT02921269
