NCTId,0,Active Comparator,Experimental,No Intervention,Other,Placebo Comparator,Sham Comparator
NCT00215228,1,0,0,0,0,0,0
NCT00215241,1,0,0,0,0,0,0
NCT00215254,1,0,0,0,0,0,0
NCT00215319,0,0,1,0,0,0,0
NCT00215332,1,0,0,0,0,0,0
NCT00215345,1,0,0,0,0,0,0
NCT00215358,1,0,0,0,0,0,0
NCT00215371,1,0,0,0,0,0,0
NCT00215384,1,0,0,0,0,0,0
NCT00215397,1,0,0,0,0,0,0
NCT00215410,1,0,0,0,0,0,0
NCT00215423,1,0,0,0,0,0,0
NCT00215436,1,0,0,0,0,0,0
NCT00215449,1,0,0,0,0,0,0
NCT00215462,1,0,0,0,0,0,0
NCT00215501,0,0,1,0,0,0,0
NCT00215514,0,0,1,0,0,0,0
NCT00215527,0,0,1,0,0,0,0
NCT00215540,0,0,1,0,0,1,0
NCT00215553,0,0,1,0,1,0,0
NCT00215579,1,0,0,0,0,0,0
NCT00215605,0,0,1,0,0,0,0
NCT00215709,1,0,0,0,0,0,0
NCT00215735,0,0,1,0,0,0,0
NCT00215748,1,0,0,0,0,0,0
NCT00215787,1,0,0,0,0,0,0
NCT00215813,1,0,0,0,0,0,0
NCT00215839,1,0,0,0,0,0,0
NCT00215852,0,1,0,0,0,0,0
NCT00215865,1,0,0,0,0,0,0
NCT00215891,1,0,0,0,0,0,0
NCT00215930,0,0,1,0,0,0,0
NCT00215943,0,1,0,0,0,0,0
NCT00215956,0,0,1,0,0,0,0
NCT00215982,0,0,1,0,0,0,0
NCT00215995,0,0,1,0,0,0,0
NCT00216008,1,0,0,0,0,0,0
NCT00216021,0,0,1,0,0,0,0
NCT00216047,0,0,1,0,0,0,0
NCT00216060,0,0,1,0,0,1,0
NCT00216073,0,1,0,0,0,0,0
NCT00216086,0,0,1,0,0,0,0
NCT00216099,0,0,1,0,0,0,0
NCT00216112,0,0,1,0,0,0,0
NCT00216125,0,1,0,1,1,0,0
NCT00216138,0,1,0,0,0,0,0
NCT00216151,0,1,0,1,0,0,0
NCT00216164,0,0,1,0,0,0,0
NCT00216190,0,1,1,0,0,0,0
NCT00216203,0,0,1,0,0,0,0
NCT00216216,0,1,0,0,0,0,0
NCT00216242,1,0,0,0,0,0,0
NCT00216255,0,0,1,0,0,1,0
NCT00216281,0,1,0,0,0,1,0
NCT00216294,1,0,0,0,0,0,0
NCT00216320,0,1,1,0,1,0,0
NCT00216333,1,0,0,0,0,0,0
NCT00216424,1,0,0,0,0,0,0
NCT00216437,1,0,0,0,0,0,0
NCT00216710,0,0,1,1,0,0,0
NCT00216762,1,0,0,0,0,0,0
NCT00216788,1,0,0,0,0,0,0
NCT00216970,0,0,0,1,0,0,0
NCT00216983,1,0,0,0,0,0,0
NCT00216996,1,0,0,0,0,0,0
NCT00217009,0,1,0,0,0,0,0
NCT00217022,0,1,0,0,0,1,0
NCT00217035,1,0,0,0,0,0,0
NCT00217048,1,0,0,0,0,0,0
NCT00217061,1,0,0,0,0,0,0
NCT00217074,1,0,0,0,0,0,0
NCT00217087,0,0,0,0,1,0,0
NCT00217100,0,1,0,0,0,1,0
NCT00217113,1,0,0,0,0,0,0
NCT00217126,1,0,0,0,0,0,0
NCT00217152,1,0,0,0,0,0,0
NCT00217165,0,1,0,0,0,1,0
NCT00217217,0,0,1,0,0,0,1
NCT00217269,0,1,1,0,0,0,0
NCT00217282,1,0,0,0,0,0,0
NCT00217295,1,0,0,0,0,0,0
NCT00217321,1,0,0,0,0,0,0
NCT00217373,0,0,1,0,0,0,0
NCT00217386,1,0,0,0,0,0,0
NCT00217399,0,0,1,0,0,0,0
NCT00217412,0,0,1,0,0,0,0
NCT00217425,0,0,1,0,0,0,0
NCT00217438,0,1,1,0,0,0,0
NCT00217464,0,0,1,0,0,0,0
NCT00217477,0,0,1,0,0,0,0
NCT00217490,0,1,1,0,0,0,0
NCT00217503,1,0,0,0,0,0,0
NCT00217516,0,0,1,0,0,1,0
NCT00217529,1,0,0,0,0,0,0
NCT00217542,0,0,1,0,0,0,0
NCT00217555,1,0,0,0,0,0,0
NCT00217568,1,0,0,0,0,0,0
NCT00217581,0,0,1,0,0,0,0
NCT00217594,0,0,1,0,0,0,0
NCT00217620,0,0,1,0,0,0,0
NCT00217633,0,0,1,0,0,0,0
NCT00217646,0,0,1,0,0,0,0
NCT00217659,1,0,0,0,0,0,0
NCT00217672,0,1,1,0,0,0,0
NCT00217724,0,0,1,0,0,1,0
NCT00217737,0,1,1,1,0,0,0
NCT00217789,1,0,0,0,0,0,0
NCT00217854,0,0,0,0,1,0,0
NCT00217867,0,0,1,1,0,0,0
NCT00217880,1,0,0,0,0,0,0
NCT00217893,0,1,1,0,0,0,0
NCT00217919,0,0,1,1,0,0,0
NCT00217932,1,0,0,0,0,0,0
NCT00217971,0,1,0,0,0,1,0
NCT00217984,0,0,1,0,1,0,0
NCT00217997,1,0,0,0,0,0,0
NCT00218010,1,0,0,0,0,0,0
NCT00218023,0,0,1,0,0,1,0
NCT00218036,0,0,1,0,0,1,0
NCT00218049,0,0,1,0,0,0,0
NCT00218062,0,0,1,0,0,1,0
NCT00218075,1,0,0,0,0,0,0
NCT00218101,1,0,0,0,0,0,0
NCT00218114,0,0,1,0,0,1,0
NCT00218127,0,0,1,0,0,0,0
NCT00218140,1,0,0,0,0,0,0
NCT00218153,1,0,0,0,0,0,0
NCT00218166,0,0,0,1,0,0,0
NCT00218179,1,0,0,0,0,0,0
NCT00218192,1,0,0,0,0,0,0
NCT00218205,1,0,0,0,0,0,0
NCT00218218,0,0,1,0,0,1,0
NCT00218231,0,0,1,0,0,1,0
NCT00218244,0,1,0,0,0,1,0
NCT00218257,0,1,0,0,0,1,0
NCT00218270,0,0,1,0,0,1,0
NCT00218283,0,0,1,0,0,1,0
NCT00218296,0,1,1,0,0,0,0
NCT00218309,1,0,0,0,0,0,0
NCT00218322,0,0,1,0,0,1,0
NCT00218335,0,1,1,0,0,0,0
NCT00218348,1,0,0,0,0,0,0
NCT00218361,1,0,0,0,0,0,0
NCT00218374,1,0,0,0,0,0,0
NCT00218387,0,0,1,0,0,1,0
NCT00218426,0,1,0,0,0,1,0
NCT00218439,0,0,1,0,0,0,0
NCT00218452,0,0,1,0,0,0,0
NCT00218465,0,0,1,0,0,1,0
NCT00218478,1,0,0,0,0,0,0
NCT00218491,0,0,1,0,0,1,0
NCT00218504,1,0,0,0,0,0,0
NCT00218517,0,0,1,0,0,1,0
NCT00218530,1,0,0,0,0,0,0
NCT00218543,0,0,1,0,0,0,0
NCT00218556,0,0,1,1,0,0,0
NCT00218569,0,0,1,0,0,0,0
NCT00218582,0,1,1,0,0,0,0
NCT00218595,0,1,1,0,0,0,0
NCT00218608,0,1,0,0,0,1,0
NCT00218621,1,0,0,0,0,0,0
NCT00218634,0,1,1,0,0,0,0
NCT00218660,0,0,1,0,0,1,0
NCT00218699,1,0,0,0,0,0,0
NCT00218712,0,1,1,0,0,0,0
NCT00218725,0,0,0,0,1,0,0
NCT00218751,1,0,0,0,0,0,0
NCT00218777,1,0,0,0,0,0,0
NCT00218790,0,0,1,1,0,0,0
NCT00218803,0,0,1,0,1,0,0
NCT00218816,0,0,1,0,1,0,0
NCT00218881,1,0,0,0,0,0,0
NCT00218907,1,0,0,0,0,0,0
NCT00219011,1,0,0,0,0,0,0
NCT00219024,1,0,0,0,0,0,0
NCT00219063,1,0,0,0,0,0,0
NCT00219076,1,0,0,0,0,0,0
NCT00219089,1,0,0,0,0,0,0
NCT00219102,1,0,0,0,0,0,0
NCT00219115,1,0,0,0,0,0,0
NCT00219128,1,0,0,0,0,0,0
NCT00219141,0,1,1,0,0,0,0
NCT00219180,1,0,0,0,0,0,0
NCT00219193,1,0,0,0,0,0,0
NCT00219284,0,1,1,0,0,0,0
NCT00219297,0,0,1,0,0,0,0
NCT00219310,1,0,0,0,0,0,0
NCT00219323,1,0,0,0,0,0,0
NCT00219336,0,1,1,0,0,0,0
NCT00219349,0,0,1,0,0,0,0
NCT00219362,0,0,1,0,0,1,0
NCT00219440,0,0,1,0,0,0,0
NCT00219466,0,1,0,0,0,0,0
NCT00219492,1,0,0,0,0,0,0
NCT00219505,1,0,0,0,0,0,0
NCT00219518,1,0,0,0,0,0,0
NCT00219531,1,0,0,0,0,0,0
NCT00219557,0,1,1,0,0,0,0
NCT00219609,1,0,0,0,0,0,0
NCT00219622,1,0,0,0,0,0,0
NCT00219635,1,0,0,0,0,0,0
NCT00219674,0,1,0,0,0,0,0
NCT00219687,0,1,0,0,0,0,0
NCT00219817,1,0,0,0,0,0,0
NCT00219869,1,0,0,0,0,0,0
NCT00219882,0,0,1,0,0,0,0
NCT00219895,1,0,0,0,0,0,0
NCT00219934,1,0,0,0,0,0,0
NCT00219947,1,0,0,0,0,0,0
NCT00219986,1,0,0,0,0,0,0
NCT00219999,1,0,0,0,0,0,0
NCT00220012,1,0,0,0,0,0,0
NCT00220025,0,0,1,0,0,0,0
NCT00220038,1,0,0,0,0,0,0
NCT00220194,1,0,0,0,0,0,0
NCT00220207,1,0,0,0,0,0,0
NCT00220350,1,0,0,0,0,0,0
NCT00220363,1,0,0,0,0,0,0
NCT00220376,1,0,0,0,0,0,0
NCT00220389,1,0,0,0,0,0,0
NCT00220441,1,0,0,0,0,0,0
NCT00220467,1,0,0,0,0,0,0
NCT00220519,1,0,0,0,0,0,0
NCT00220584,0,0,1,0,0,0,0
NCT00220597,1,0,0,0,0,0,0
NCT00220636,0,0,1,0,0,0,0
NCT00220649,1,0,0,0,0,0,0
NCT00220701,0,0,1,0,0,1,0
NCT00220714,1,0,0,0,0,0,0
NCT00220727,0,0,1,0,0,0,0
NCT00220740,0,0,1,0,0,1,0
NCT00220766,0,0,1,0,0,0,0
NCT00220779,0,0,1,0,0,1,0
NCT00220792,1,0,0,0,0,0,0
NCT00220805,0,0,1,0,0,1,0
NCT00220844,1,0,0,0,0,0,0
NCT00220857,1,0,0,0,0,0,0
NCT00220883,1,0,0,0,0,0,0
NCT00220909,1,0,0,0,0,0,0
NCT00220935,1,0,0,0,0,0,0
NCT00220948,1,0,0,0,0,0,0
NCT00220961,0,1,0,0,0,1,0
NCT00221000,1,0,0,0,0,0,0
NCT00221026,0,0,1,0,0,0,0
NCT00221039,0,0,1,0,0,0,0
NCT00221195,0,0,0,0,1,0,0
NCT00221247,0,1,0,1,0,0,0
NCT00221299,0,1,0,0,0,0,0
NCT00221312,1,0,0,0,0,0,0
NCT00221325,0,0,1,0,0,0,0
NCT00221338,0,0,1,0,0,1,0
NCT00221351,1,0,0,0,0,0,0
NCT00221390,1,0,0,0,0,0,0
NCT00221403,0,1,0,0,0,1,0
NCT00221416,1,0,0,0,0,0,0
NCT00221429,1,0,0,0,0,0,0
NCT00221442,0,1,0,0,0,1,0
NCT00221455,1,0,0,0,0,0,0
NCT00221468,0,0,1,0,0,0,0
NCT00221481,1,0,0,0,0,0,0
NCT00221494,1,0,0,0,0,0,0
NCT00221507,0,1,0,1,0,0,0
NCT00221897,1,0,0,0,0,0,0
NCT00221923,1,0,0,0,0,0,0
NCT00221962,0,0,0,0,1,0,0
NCT00221975,0,1,0,0,0,1,0
NCT00221988,1,0,0,0,0,0,0
NCT00222079,1,0,0,0,0,0,0
NCT00222118,0,0,1,0,1,0,0
NCT00222131,0,1,0,0,0,1,0
NCT00222144,0,0,1,0,0,0,0
NCT00222170,1,0,0,0,0,0,0
NCT00222235,1,0,0,0,0,0,0
NCT00222274,0,1,1,0,0,0,0
NCT00222352,1,0,0,0,0,0,0
NCT00222378,1,0,0,0,0,0,0
NCT00222430,0,1,1,0,0,0,0
NCT00222443,1,0,0,0,0,0,0
NCT00222469,0,0,1,0,0,0,0
NCT00222495,1,0,0,0,0,0,0
NCT00222508,1,0,0,0,0,0,0
NCT00222521,1,0,0,0,0,0,0
NCT00222547,1,0,0,0,0,0,0
NCT00222690,1,0,0,0,0,0,0
NCT00222703,1,0,0,0,0,0,0
NCT00222716,0,0,1,1,0,0,0
NCT00222729,0,0,1,0,0,0,0
NCT00222742,0,0,1,0,0,0,0
NCT00222755,0,0,1,1,0,0,0
NCT00222768,1,0,0,0,0,0,0
NCT00222781,1,0,0,0,0,0,0
NCT00222794,1,0,0,0,0,0,0
NCT00222807,1,0,0,0,0,0,0
NCT00222820,1,0,0,0,0,0,0
NCT00222833,1,0,0,0,0,0,0
NCT00222846,0,1,1,0,0,0,0
NCT00222859,1,0,0,0,0,0,0
NCT00222872,0,1,0,0,0,1,0
NCT00222885,1,0,0,0,0,0,0
NCT00222898,1,0,0,0,0,0,0
NCT00222911,1,0,0,0,0,0,0
NCT00222924,1,0,0,0,0,0,0
NCT00222937,0,0,1,0,0,0,0
NCT00222963,1,0,0,0,0,0,0
NCT00222989,0,0,0,0,1,0,0
NCT00223080,0,1,0,0,0,1,0
NCT00223106,1,0,0,0,0,0,0
NCT00223119,1,0,0,0,0,0,0
NCT00223132,1,0,0,0,0,0,0
NCT00223197,1,0,0,0,0,0,0
NCT00223210,0,1,0,0,0,1,0
NCT00223223,1,0,0,0,0,0,0
NCT00223236,0,1,0,0,0,1,0
NCT00223249,0,1,0,0,0,1,0
NCT00223262,1,0,0,0,0,0,0
NCT00223275,1,0,0,0,0,0,0
NCT00223288,1,0,0,0,0,0,0
NCT00223301,1,0,0,0,0,0,0
NCT00223314,1,0,0,0,0,0,0
NCT00223327,1,0,0,0,0,0,0
NCT00223340,1,0,0,0,0,0,0
NCT00223353,1,0,0,0,0,0,0
NCT00223366,1,0,0,0,0,0,0
NCT00223379,1,0,0,0,0,0,0
NCT00223405,1,0,0,0,0,0,0
NCT00223418,1,0,0,0,0,0,0
NCT00223431,1,0,0,0,0,0,0
NCT00223457,1,0,0,0,0,0,0
NCT00223470,1,0,0,0,0,0,0
NCT00223483,1,0,0,0,0,0,0
NCT00223496,0,0,1,0,0,0,0
NCT00223509,1,0,0,0,0,0,0
NCT00223522,1,0,0,0,0,0,0
NCT00223535,1,0,0,0,0,0,0
NCT00223626,0,0,1,0,0,1,0
NCT00223639,0,0,1,0,0,1,0
NCT00223652,0,0,1,1,0,0,0
NCT00223665,0,0,1,0,0,0,0
NCT00223678,0,1,0,1,0,0,0
NCT00223691,0,0,1,0,0,1,0
NCT00223704,0,1,1,0,0,1,0
NCT00223717,0,0,1,0,0,1,0
NCT00223730,0,0,1,0,0,1,0
NCT00223743,0,0,1,0,0,0,0
NCT00223756,0,0,1,1,0,0,0
NCT00223769,1,0,0,0,0,0,0
NCT00223782,0,0,0,0,1,0,0
NCT00223795,0,1,0,1,0,0,0
NCT00223808,0,1,1,0,0,0,0
NCT00223821,0,1,1,0,0,0,0
NCT00223834,0,0,0,0,1,0,0
NCT00223847,0,0,0,0,1,0,0
NCT00223860,0,0,0,0,1,0,0
NCT00223873,1,0,0,0,0,0,0
NCT00223899,0,0,1,0,0,0,0
NCT00223912,0,0,0,0,1,0,0
NCT00223925,0,0,1,0,0,1,0
NCT00223938,0,1,1,0,0,0,0
NCT00223951,1,0,0,0,0,0,0
NCT00223964,0,0,1,0,0,0,0
NCT00223977,0,1,1,0,0,0,0
NCT00223990,0,1,1,0,0,0,0
NCT00224003,1,0,0,0,0,0,0
NCT00224016,0,1,1,0,0,0,0
NCT00224029,0,0,1,0,0,0,0
NCT00224042,0,1,1,0,0,0,0
NCT00224055,0,1,1,0,0,0,0
NCT00224068,1,0,0,0,0,0,0
NCT00224081,0,0,1,1,0,0,0
NCT00224094,0,0,1,0,0,0,0
NCT00224107,0,0,1,0,0,1,0
NCT00224120,0,0,1,0,0,1,0
NCT00224133,0,0,1,0,0,0,0
NCT00224146,1,0,0,0,0,0,0
NCT00224159,1,0,0,0,0,0,0
NCT00224172,1,0,0,0,0,0,0
NCT00224185,1,0,0,0,0,0,0
NCT00224198,1,0,0,0,0,0,0
NCT00224211,1,0,0,0,0,0,0
NCT00224224,1,0,0,0,0,0,0
NCT00224237,1,0,0,0,0,0,0
NCT00224250,1,0,0,0,0,0,0
NCT00224289,0,0,0,0,1,0,0
NCT00224380,1,0,0,0,0,0,0
NCT00224406,1,0,0,0,0,0,0
NCT00224419,0,1,1,0,0,0,0
NCT00224445,0,0,1,0,0,0,0
NCT00224471,0,0,1,0,0,0,0
NCT00224484,0,1,1,0,0,1,0
NCT00224770,0,1,0,1,0,0,0
NCT00224809,1,0,0,0,0,0,0
NCT00224822,1,0,0,0,0,0,0
NCT00224835,0,0,1,0,0,0,0
NCT00224874,0,0,1,0,0,0,0
NCT00224900,1,0,0,0,0,0,0
NCT00224913,1,0,0,0,0,0,0
NCT00224926,1,0,0,0,0,0,0
NCT00224939,1,0,0,0,0,0,0
NCT00224952,1,0,0,0,0,0,0
NCT00224965,1,0,0,0,0,0,0
NCT00225017,0,1,1,0,0,0,0
NCT00225043,1,0,0,0,0,0,0
NCT00225056,1,0,0,0,0,0,0
NCT00225082,1,0,0,0,0,0,0
NCT00225095,0,1,0,0,1,0,0
NCT00225121,0,0,1,0,0,0,0
NCT00225173,0,0,1,0,0,0,0
NCT00225212,0,0,1,0,0,0,0
NCT00225225,0,1,0,0,0,1,0
NCT00225238,1,0,0,0,0,0,0
NCT00225251,0,0,1,0,0,1,0
NCT00225264,0,1,1,0,0,0,0
NCT00225277,0,1,1,0,0,0,0
NCT00225381,1,0,0,0,0,0,0
NCT00225394,1,0,0,0,0,0,0
NCT00225420,0,0,0,0,1,0,0
NCT00225433,0,1,0,0,0,0,0
NCT00225472,1,0,0,0,0,0,0
NCT00225498,0,1,1,0,0,0,0
NCT00225537,1,0,0,0,0,0,0
NCT00225550,1,0,0,0,0,0,0
NCT00225563,0,1,0,1,0,0,0
NCT00225576,0,0,1,1,0,0,0
NCT00225589,1,0,0,0,0,0,0
NCT00225615,1,0,0,0,0,0,0
NCT00225628,1,0,0,0,0,0,0
NCT00225654,1,0,0,0,0,0,0
NCT00225680,1,0,0,0,0,0,0
NCT00225693,1,0,0,0,0,0,0
NCT00225706,1,0,0,0,0,0,0
NCT00225732,0,1,0,0,0,1,0
NCT00225745,1,0,0,0,0,0,0
NCT00225758,0,0,1,0,0,0,0
NCT00225797,1,0,0,0,0,0,0
NCT00225862,1,0,0,0,0,0,0
NCT00225888,1,0,0,0,0,0,0
NCT00225914,0,0,1,0,0,1,0
NCT00225966,1,0,0,0,0,0,0
NCT00225992,1,0,0,0,0,0,0
NCT00226005,0,1,0,0,0,0,0
NCT00226083,1,0,0,0,0,0,0
NCT00226174,1,0,0,0,0,0,0
NCT00226200,1,0,0,0,0,0,0
NCT00226213,1,0,0,0,0,0,0
NCT00226226,1,0,0,0,0,0,0
NCT00226239,0,0,1,0,0,0,0
NCT00226252,0,0,1,1,0,0,0
NCT00226265,1,0,0,0,0,0,0
NCT00226278,1,0,0,0,0,0,0
NCT00226291,0,0,1,1,0,0,0
NCT00226304,1,0,0,0,0,0,0
NCT00226317,0,0,1,0,0,0,0
NCT00226330,1,0,0,0,0,0,0
NCT00226356,0,0,1,0,0,0,0
NCT00226369,1,0,0,0,0,0,0
NCT00226395,1,0,0,0,0,0,0
NCT00226421,1,0,0,0,0,0,0
NCT00226460,1,0,0,0,0,0,0
NCT00226577,0,0,1,0,0,0,0
NCT00226590,0,0,1,0,0,0,0
NCT00226655,0,0,1,0,0,0,0
NCT00226668,0,0,1,0,0,1,0
NCT00226681,0,1,1,0,0,0,0
NCT00226694,0,1,0,0,0,1,0
NCT00226746,0,0,1,0,0,0,0
NCT00226759,0,0,1,0,0,1,0
NCT00226772,0,0,1,0,0,1,0
NCT00226824,1,0,0,0,0,0,0
NCT00226850,1,0,0,0,0,0,0
NCT00226941,0,0,1,0,0,0,0
NCT00226954,0,0,1,0,0,0,0
NCT00226967,1,0,0,0,0,0,0
NCT00226980,1,0,0,0,0,0,0
NCT00227006,0,1,1,0,0,0,0
NCT00227019,0,0,1,0,0,0,0
NCT00227032,0,0,1,0,0,0,0
NCT00227045,1,0,0,0,0,0,0
NCT00227058,1,0,0,0,0,0,0
NCT00227110,0,1,0,0,0,1,0
NCT00227123,0,1,0,0,0,0,0
NCT00227162,0,1,0,1,0,0,0
NCT00227175,1,0,0,0,0,0,0
NCT00227201,1,0,0,0,0,0,0
NCT00227253,1,0,0,0,0,0,0
NCT00227266,0,1,1,0,0,1,0
NCT00227305,1,0,0,0,0,0,0
NCT00227318,1,0,0,0,0,0,0
NCT00227357,1,0,0,0,0,0,0
NCT00227370,0,1,0,0,0,1,0
NCT00227435,1,0,0,0,0,0,0
NCT00227448,1,0,0,0,0,0,0
NCT00227461,0,0,1,0,1,0,0
NCT00227487,0,0,0,0,1,0,0
NCT00227513,0,0,1,0,0,0,0
NCT00227539,0,0,1,0,0,0,0
NCT00227565,0,0,1,0,0,0,0
NCT00227591,0,0,1,0,0,0,0
NCT00227617,0,0,1,0,0,0,0
NCT00227656,0,0,1,0,0,0,0
NCT00227682,0,0,1,0,0,0,0
NCT00227721,0,0,1,0,0,0,0
NCT00227786,1,0,0,0,0,0,0
NCT00227812,1,0,0,0,0,0,0
NCT00227825,1,0,0,0,0,0,0
NCT00227838,1,0,0,0,0,0,0
NCT00227864,0,0,1,0,0,1,0
NCT00227877,0,0,1,1,0,0,0
NCT00227890,0,0,1,0,0,0,0
NCT00227903,0,1,1,0,0,0,0
NCT00227916,1,0,0,0,0,0,0
NCT00227929,1,0,0,0,0,0,0
NCT00227942,0,0,1,0,0,1,0
NCT00227955,1,0,0,0,0,0,0
NCT00227968,1,0,0,0,0,0,0
NCT00227981,1,0,0,0,0,0,0
NCT00227994,0,0,1,0,0,0,0
NCT00228007,1,0,0,0,0,0,0
NCT00228033,1,0,0,0,0,0,0
NCT00228046,1,0,0,0,0,0,0
NCT00228059,1,0,0,0,0,0,0
NCT00228176,0,0,1,0,0,1,0
NCT00228254,1,0,0,0,0,0,0
NCT00228293,1,0,0,0,0,0,0
NCT00228306,0,0,1,1,0,0,0
NCT00228319,0,1,1,0,0,0,0
NCT00228345,1,0,0,0,0,0,0
NCT00228358,0,0,1,0,0,0,0
NCT00228384,0,1,0,0,0,0,0
NCT00228449,0,0,1,0,0,0,0
NCT00228527,1,0,0,0,0,0,0
NCT00228540,1,0,0,0,0,0,0
NCT00228553,0,0,1,0,0,0,0
NCT00228566,1,0,0,0,0,0,0
NCT00228579,1,0,0,0,0,0,0
NCT00228592,1,0,0,0,0,0,0
NCT00228605,1,0,0,0,0,0,0
NCT00228618,1,0,0,0,0,0,0
NCT00228631,1,0,0,0,0,0,0
NCT00228644,1,0,0,0,0,0,0
NCT00228670,1,0,0,0,0,0,0
NCT00228683,1,0,0,0,0,0,0
NCT00228696,0,0,0,1,0,0,0
NCT00228813,0,0,0,0,1,0,0
NCT00228839,1,0,0,0,0,0,0
NCT00228852,1,0,0,0,0,0,0
NCT00228865,0,0,1,0,0,0,0
NCT00228878,0,0,1,0,0,0,0
NCT00228891,0,1,0,0,0,1,0
NCT00228904,0,1,0,0,0,1,0
NCT00228930,1,0,0,0,0,0,0
NCT00228943,0,1,1,0,0,0,0
NCT00228956,1,0,0,0,0,0,0
NCT00228969,1,0,0,0,0,0,0
NCT00229086,1,0,0,0,0,0,0
NCT00229125,1,0,0,0,0,0,0
NCT00229138,0,1,1,0,0,0,0
NCT00229203,1,0,0,0,0,0,0
NCT00229216,1,0,0,0,0,0,0
NCT00229255,0,1,0,0,0,0,0
NCT00229268,1,0,0,0,0,0,0
NCT00229437,0,0,1,0,0,1,0
NCT00229450,0,0,1,0,0,1,0
NCT00229463,1,0,0,0,0,0,0
NCT00229476,1,0,0,0,0,0,0
NCT00229502,1,0,0,0,0,0,0
NCT00229528,1,0,0,0,0,0,0
NCT00229554,1,0,0,0,0,0,0
NCT00229580,0,1,1,0,0,0,0
NCT00229593,0,1,0,0,0,0,0
NCT00229619,0,0,1,0,0,0,0
NCT00229632,1,0,0,0,0,0,0
NCT00229658,1,0,0,0,0,0,0
NCT00229671,0,0,1,0,0,0,0
NCT00229684,1,0,0,0,0,0,0
NCT00229697,0,0,1,0,1,0,0
NCT00229710,1,0,0,0,0,0,0
NCT00229723,0,0,1,0,0,1,0
NCT00229736,0,0,1,0,0,0,0
NCT00229762,1,0,0,0,0,0,0
NCT00229788,1,0,0,0,0,0,0
NCT00229801,0,0,0,1,0,0,0
NCT00229814,1,0,0,0,0,0,0
NCT00229827,1,0,0,0,0,0,0
NCT00229840,1,0,0,0,0,0,0
NCT00229853,1,0,0,0,0,0,0
NCT00229866,1,0,0,0,0,0,0
NCT00229879,1,0,0,0,0,0,0
NCT00229892,1,0,0,0,0,0,0
NCT00229905,1,0,0,0,0,0,0
NCT00229918,1,0,0,0,0,0,0
NCT00229931,0,1,0,0,0,0,0
NCT00229983,0,0,1,1,0,0,0
NCT00229996,1,0,0,0,0,0,0
NCT00230009,0,0,1,1,0,0,0
NCT00230022,0,0,1,1,0,0,0
NCT00230035,0,1,1,0,0,0,0
NCT00230048,0,0,1,1,0,0,0
NCT00230074,1,0,0,0,0,0,0
NCT00230087,1,0,0,0,0,0,0
NCT00230100,0,1,1,0,0,0,0
NCT00230113,0,1,0,0,0,1,0
NCT00230126,0,1,1,0,0,0,0
NCT00230165,1,0,0,0,0,0,0
NCT00230178,0,1,1,0,0,0,0
NCT00230191,1,0,0,0,0,0,0
NCT00230217,1,0,0,0,0,0,0
NCT00230256,1,0,0,0,0,0,0
NCT00230269,1,0,0,0,0,0,0
NCT00230282,0,0,1,0,0,0,0
NCT00230295,1,0,0,0,0,0,0
NCT00230308,1,0,0,0,0,0,0
NCT00230321,0,0,1,0,0,0,0
NCT00230347,1,0,0,0,0,0,0
NCT00230399,1,0,0,0,0,0,0
NCT00230451,1,0,0,0,0,0,0
NCT00230464,1,0,0,0,0,0,0
NCT00230477,0,1,0,0,0,0,0
NCT00230516,1,0,0,0,0,0,0
NCT00230542,0,0,1,0,0,0,0
NCT00230555,1,0,0,0,0,0,0
NCT00230568,1,0,0,0,0,0,0
NCT00230581,1,0,0,0,0,0,0
NCT00230607,0,0,1,0,0,0,0
NCT00230646,1,0,0,0,0,0,0
NCT00230711,0,0,1,0,0,1,0
NCT00230724,1,0,0,0,0,0,0
NCT00230737,0,0,1,0,0,1,0
NCT00230750,0,0,1,0,0,1,0
NCT00230776,1,0,0,0,0,0,0
NCT00230789,1,0,0,0,0,0,0
NCT00230802,0,1,0,0,0,0,0
NCT00230867,1,0,0,0,0,0,0
NCT00230880,0,0,1,1,0,0,0
NCT00230893,1,0,0,0,0,0,0
NCT00230932,1,0,0,0,0,0,0
NCT00230945,0,0,1,0,0,0,0
NCT00230997,1,0,0,0,0,0,0
NCT00231010,1,0,0,0,0,0,0
NCT00231023,1,0,0,0,0,0,0
NCT00231049,1,0,0,0,0,0,0
NCT00231101,1,0,0,0,0,0,0
NCT00231114,0,0,1,0,0,0,1
NCT00231153,0,1,1,0,0,0,0
NCT00231166,0,0,1,0,0,0,0
NCT00231179,0,0,1,0,0,1,0
NCT00231192,1,0,0,0,0,0,0
NCT00231218,1,0,0,0,0,0,0
NCT00231231,1,0,0,0,0,0,0
NCT00231244,0,0,1,0,0,0,0
NCT00231257,0,1,1,0,0,0,0
NCT00231283,0,0,1,0,0,0,0
NCT00231296,0,1,0,0,0,0,0
NCT00231309,0,0,0,0,1,0,0
NCT00231348,1,0,0,0,0,0,0
NCT00231374,1,0,0,0,0,0,0
NCT00231400,1,0,0,0,0,0,0
NCT00231413,0,1,1,0,0,0,0
NCT00231426,1,0,0,0,0,0,0
NCT00231465,0,0,1,0,0,0,0
NCT00231478,0,0,1,0,0,0,0
NCT00231569,0,0,1,0,0,0,0
NCT00231725,1,0,0,0,0,0,0
NCT00231829,1,0,0,0,0,0,0
NCT00231842,0,0,1,0,0,0,0
