NCTId,0,Active Comparator,Experimental,No Intervention,Other,Placebo Comparator,Sham Comparator
NCT00000284,1,0,0,0,0,0,0
NCT00000285,1,0,0,0,0,0,0
NCT00000286,1,0,0,0,0,0,0
NCT00000287,1,0,0,0,0,0,0
NCT00000288,1,0,0,0,0,0,0
NCT00000289,1,0,0,0,0,0,0
NCT00000290,1,0,0,0,0,0,0
NCT00000291,1,0,0,0,0,0,0
NCT00000292,1,0,0,0,0,0,0
NCT00000293,1,0,0,0,0,0,0
NCT00000294,1,0,0,0,0,0,0
NCT00000295,1,0,0,0,0,0,0
NCT00000296,1,0,0,0,0,0,0
NCT00000297,1,0,0,0,0,0,0
NCT00000298,1,0,0,0,0,0,0
NCT00000299,0,1,1,0,0,0,0
NCT00000300,1,0,0,0,0,0,0
NCT00000301,1,0,0,0,0,0,0
NCT00000302,1,0,0,0,0,0,0
NCT00000303,1,0,0,0,0,0,0
NCT00000304,0,0,1,0,0,0,0
NCT00000305,1,0,0,0,0,0,0
NCT00000306,1,0,0,0,0,0,0
NCT00000307,1,0,0,0,0,0,0
NCT00000308,0,0,1,0,0,0,0
NCT00000309,1,0,0,0,0,0,0
NCT00000310,1,0,0,0,0,0,0
NCT00000311,0,0,1,0,0,0,0
NCT00000312,1,0,0,0,0,0,0
NCT00000313,1,0,0,0,0,0,0
NCT00000314,1,0,0,0,0,0,0
NCT00000315,1,0,0,0,0,0,0
NCT00000316,1,0,0,0,0,0,0
NCT00000317,0,0,1,0,0,1,0
NCT00000318,0,0,1,0,0,0,0
NCT00000319,1,0,0,0,0,0,0
NCT00000320,0,1,0,0,0,0,0
NCT00000321,1,0,0,0,0,0,0
NCT00000322,1,0,0,0,0,0,0
NCT00000323,1,0,0,0,0,0,0
NCT00000324,1,0,0,0,0,0,0
NCT00000325,1,0,0,0,0,0,0
NCT00000326,1,0,0,0,0,0,0
NCT00000327,1,0,0,0,0,0,0
NCT00000328,1,0,0,0,0,0,0
NCT00000329,1,0,0,0,0,0,0
NCT00000330,1,0,0,0,0,0,0
NCT00000331,0,0,1,0,0,1,0
NCT00000332,1,0,0,0,0,0,0
NCT00000333,1,0,0,0,0,0,0
NCT00000334,1,0,0,0,0,0,0
NCT00000335,1,0,0,0,0,0,0
NCT00000336,1,0,0,0,0,0,0
NCT00000337,1,0,0,0,0,0,0
NCT00000338,1,0,0,0,0,0,0
NCT00000339,1,0,0,0,0,0,0
NCT00000341,1,0,0,0,0,0,0
NCT00000342,1,0,0,0,0,0,0
NCT00000343,1,0,0,0,0,0,0
NCT00000344,1,0,0,0,0,0,0
NCT00000345,1,0,0,0,0,0,0
NCT00000346,1,0,0,0,0,0,0
NCT00000347,1,0,0,0,0,0,0
NCT00000348,1,0,0,0,0,0,0
NCT00000349,1,0,0,0,0,0,0
NCT00000350,1,0,0,0,0,0,0
NCT00000351,1,0,0,0,0,0,0
NCT00000352,1,0,0,0,0,0,0
NCT00000353,1,0,0,0,0,0,0
NCT00000354,1,0,0,0,0,0,0
NCT00000355,1,0,0,0,0,0,0
NCT00000356,1,0,0,0,0,0,0
NCT00000357,1,0,0,0,0,0,0
NCT00000358,1,0,0,0,0,0,0
NCT00000359,0,1,1,0,0,0,1
NCT00000361,1,0,0,0,0,0,0
NCT00000362,1,0,0,0,0,0,0
NCT00000363,1,0,0,0,0,0,0
NCT00000367,1,0,0,0,0,0,0
NCT00000368,1,0,0,0,0,0,0
NCT00000370,1,0,0,0,0,0,0
NCT00000372,0,0,1,0,0,1,0
NCT00000373,0,1,0,0,0,1,0
NCT00000374,1,0,0,0,0,0,0
NCT00000375,1,0,0,0,0,0,0
NCT00000378,0,1,0,0,0,0,0
NCT00000379,1,0,0,0,0,0,0
NCT00000383,0,1,1,0,0,0,0
NCT00000384,1,0,0,0,0,0,0
NCT00000385,0,0,1,0,0,1,0
NCT00000386,1,0,0,0,0,0,0
NCT00000387,0,1,1,0,0,0,0
NCT00000390,1,0,0,0,0,0,0
NCT00000391,1,0,0,0,0,0,0
NCT00000392,0,1,0,0,0,1,0
NCT00000393,1,0,0,0,0,0,0
NCT00000395,0,0,1,0,0,0,0
NCT00000396,0,0,1,0,0,0,0
NCT00000397,1,0,0,0,0,0,0
NCT00000398,1,0,0,0,0,0,0
NCT00000399,1,0,0,0,0,0,0
NCT00000400,0,1,1,0,0,0,0
NCT00000401,0,0,1,0,0,0,0
NCT00000402,1,0,0,0,0,0,0
NCT00000403,1,0,0,0,0,0,0
NCT00000404,1,0,0,0,0,0,0
NCT00000405,1,0,0,0,0,0,0
NCT00000406,1,0,0,0,0,0,0
NCT00000407,0,1,0,0,0,1,0
NCT00000408,0,0,1,1,0,0,0
NCT00000409,0,1,0,0,0,0,0
NCT00000410,0,1,0,0,0,0,0
NCT00000411,0,1,0,0,0,0,0
NCT00000412,0,1,0,0,0,1,0
