NCTId,0-50,51-100,101-200,201-500,501-1000,1001-10000,10000plus
NCT01028300,1,0,0,0,0,0,0
NCT01034865,0,0,0,0,1,0,0
NCT02352532,0,1,0,0,0,0,0
NCT03198793,0,0,0,1,0,0,0
NCT01112917,0,0,1,0,0,0,0
NCT01764269,0,0,0,0,1,0,0
NCT03346603,0,0,0,0,1,0,0
NCT04281290,1,0,0,0,0,0,0
NCT04601103,1,0,0,0,0,0,0
NCT04600856,1,0,0,0,0,0,0
NCT04599907,1,0,0,0,0,0,0
NCT04593875,1,0,0,0,0,0,0
NCT04589507,1,0,0,0,0,0,0
NCT04586205,1,0,0,0,0,0,0
NCT04585646,1,0,0,0,0,0,0
NCT04584788,1,0,0,0,0,0,0
NCT04584099,1,0,0,0,0,0,0
NCT04577898,1,0,0,0,0,0,0
NCT04577456,1,0,0,0,0,0,0
NCT04569253,1,0,0,0,0,0,0
NCT04567186,1,0,0,0,0,0,0
NCT04562532,1,0,0,0,0,0,0
NCT04558970,1,0,0,0,0,0,0
NCT04558632,1,0,0,0,0,0,0
NCT04558047,1,0,0,0,0,0,0
NCT04557917,1,0,0,0,0,0,0
NCT04557891,1,0,0,0,0,0,0
NCT04556968,1,0,0,0,0,0,0
NCT04556474,1,0,0,0,0,0,0
NCT04547920,1,0,0,0,0,0,0
NCT04547712,1,0,0,0,0,0,0
NCT04544670,1,0,0,0,0,0,0
NCT04542525,1,0,0,0,0,0,0
NCT04540913,1,0,0,0,0,0,0
NCT04537013,1,0,0,0,0,0,0
NCT04536168,1,0,0,0,0,0,0
NCT04534764,1,0,0,0,0,0,0
NCT04532099,1,0,0,0,0,0,0
NCT04529616,1,0,0,0,0,0,0
NCT04529109,1,0,0,0,0,0,0
NCT04524247,1,0,0,0,0,0,0
NCT04523545,1,0,0,0,0,0,0
NCT04513574,1,0,0,0,0,0,0
NCT04510857,1,0,0,0,0,0,0
NCT04508335,1,0,0,0,0,0,0
NCT04502758,1,0,0,0,0,0,0
NCT04501146,1,0,0,0,0,0,0
NCT04500821,1,0,0,0,0,0,0
NCT04499521,1,0,0,0,0,0,0
NCT04496752,1,0,0,0,0,0,0
NCT04493021,1,0,0,0,0,0,0
NCT04488666,1,0,0,0,0,0,0
NCT04483791,1,0,0,0,0,0,0
NCT04476784,1,0,0,0,0,0,0
NCT04474054,1,0,0,0,0,0,0
NCT04469218,1,0,0,0,0,0,0
NCT04466930,1,0,0,0,0,0,0
NCT04455997,1,0,0,0,0,0,0
NCT04455854,1,0,0,0,0,0,0
NCT04450108,1,0,0,0,0,0,0
NCT04437615,1,0,0,0,0,0,0
NCT04422990,1,0,0,0,0,0,0
NCT04419714,1,0,0,0,0,0,0
NCT04409158,1,0,0,0,0,0,0
NCT04403542,1,0,0,0,0,0,0
NCT04400643,1,0,0,0,0,0,0
NCT04394546,1,0,0,0,0,0,0
NCT04388787,1,0,0,0,0,0,0
NCT04388722,1,0,0,0,0,0,0
NCT04386785,1,0,0,0,0,0,0
NCT04378764,1,0,0,0,0,0,0
NCT04377438,1,0,0,0,0,0,0
NCT04338971,1,0,0,0,0,0,0
NCT04335981,1,0,0,0,0,0,0
NCT04332640,1,0,0,0,0,0,0
NCT04330001,1,0,0,0,0,0,0
NCT04324593,1,0,0,0,0,0,0
NCT04320823,1,0,0,0,0,0,0
NCT04319887,1,0,0,0,0,0,0
NCT04318132,1,0,0,0,0,0,0
NCT04314947,1,0,0,0,0,0,0
NCT04314700,1,0,0,0,0,0,0
NCT04313725,1,0,0,0,0,0,0
NCT04310566,1,0,0,0,0,0,0
NCT04307446,1,0,0,0,0,0,0
NCT04306744,1,0,0,0,0,0,0
NCT04305119,1,0,0,0,0,0,0
NCT04303273,1,0,0,0,0,0,0
NCT04299386,1,0,0,0,0,0,0
NCT04299009,1,0,0,0,0,0,0
NCT04298359,1,0,0,0,0,0,0
NCT04296773,1,0,0,0,0,0,0
NCT04295499,1,0,0,0,0,0,0
NCT04287036,1,0,0,0,0,0,0
NCT04285541,1,0,0,0,0,0,0
NCT04281940,1,0,0,0,0,0,0
NCT04279522,1,0,0,0,0,0,0
NCT04277455,1,0,0,0,0,0,0
NCT04263532,1,0,0,0,0,0,0
NCT04252183,1,0,0,0,0,0,0
NCT04247581,1,0,0,0,0,0,0
NCT04244357,1,0,0,0,0,0,0
NCT04243369,1,0,0,0,0,0,0
NCT04243239,1,0,0,0,0,0,0
NCT04239885,1,0,0,0,0,0,0
NCT04237207,1,0,0,0,0,0,0
NCT04236869,1,0,0,0,0,0,0
NCT04230486,1,0,0,0,0,0,0
NCT04224155,1,0,0,0,0,0,0
NCT04223609,1,0,0,0,0,0,0
NCT04220060,1,0,0,0,0,0,0
NCT04219891,1,0,0,0,0,0,0
NCT04211441,1,0,0,0,0,0,0
NCT04210622,1,0,0,0,0,0,0
NCT04207749,1,0,0,0,0,0,0
NCT04206839,1,0,0,0,0,0,0
NCT04206384,1,0,0,0,0,0,0
NCT04203745,1,0,0,0,0,0,0
NCT04202419,1,0,0,0,0,0,0
NCT04201340,1,0,0,0,0,0,0
NCT04200898,1,0,0,0,0,0,0
NCT04196907,1,0,0,0,0,0,0
NCT04195581,1,0,0,0,0,0,0
NCT04194307,1,0,0,0,0,0,0
NCT04192630,1,0,0,0,0,0,0
NCT04189913,1,0,0,0,0,0,0
NCT04189081,1,0,0,0,0,0,0
NCT04186806,1,0,0,0,0,0,0
NCT04184973,1,0,0,0,0,0,0
NCT04178720,1,0,0,0,0,0,0
NCT04177771,1,0,0,0,0,0,0
NCT04177212,1,0,0,0,0,0,0
NCT04176965,1,0,0,0,0,0,0
NCT04175340,1,0,0,0,0,0,0
NCT04166032,1,0,0,0,0,0,0
NCT04162652,1,0,0,0,0,0,0
NCT04158466,1,0,0,0,0,0,0
NCT04153292,1,0,0,0,0,0,0
NCT04152642,1,0,0,0,0,0,0
NCT04151992,1,0,0,0,0,0,0
NCT04151290,1,0,0,0,0,0,0
NCT04141007,1,0,0,0,0,0,0
NCT04136158,1,0,0,0,0,0,0
NCT04134286,1,0,0,0,0,0,0
NCT04130490,1,0,0,0,0,0,0
NCT04127188,1,0,0,0,0,0,0
NCT04121754,1,0,0,0,0,0,0
NCT04119609,1,0,0,0,0,0,0
NCT04116879,1,0,0,0,0,0,0
NCT04116866,1,0,0,0,0,0,0
NCT04112784,1,0,0,0,0,0,0
NCT04112628,1,0,0,0,0,0,0
NCT04112134,1,0,0,0,0,0,0
NCT04106934,1,0,0,0,0,0,0
NCT04096495,1,0,0,0,0,0,0
NCT04087395,1,0,0,0,0,0,0
NCT04085328,1,0,0,0,0,0,0
NCT04083742,1,0,0,0,0,0,0
NCT04082078,1,0,0,0,0,0,0
NCT04081727,1,0,0,0,0,0,0
NCT04079842,1,0,0,0,0,0,0
NCT04079816,1,0,0,0,0,0,0
NCT04078490,1,0,0,0,0,0,0
NCT04073823,1,0,0,0,0,0,0
NCT04069585,1,0,0,0,0,0,0
NCT04068818,1,0,0,0,0,0,0
NCT04065659,1,0,0,0,0,0,0
NCT04064606,1,0,0,0,0,0,0
NCT04060524,1,0,0,0,0,0,0
NCT04057105,1,0,0,0,0,0,0
NCT04056494,1,0,0,0,0,0,0
NCT04055519,1,0,0,0,0,0,0
NCT04055324,1,0,0,0,0,0,0
NCT04054401,1,0,0,0,0,0,0
NCT04046627,1,0,0,0,0,0,0
NCT04043234,1,0,0,0,0,0,0
NCT04040933,1,0,0,0,0,0,0
NCT04036747,1,0,0,0,0,0,0
NCT04035161,1,0,0,0,0,0,0
NCT04033315,1,0,0,0,0,0,0
NCT04032977,1,0,0,0,0,0,0
NCT04031989,1,0,0,0,0,0,0
NCT04031976,1,0,0,0,0,0,0
NCT04030702,1,0,0,0,0,0,0
NCT04011826,1,0,0,0,0,0,0
NCT04008836,1,0,0,0,0,0,0
NCT04005586,1,0,0,0,0,0,0
NCT04003831,1,0,0,0,0,0,0
NCT03999944,1,0,0,0,0,0,0
NCT03997357,1,0,0,0,0,0,0
NCT03996187,1,0,0,0,0,0,0
NCT03995355,1,0,0,0,0,0,0
NCT03992768,1,0,0,0,0,0,0
NCT03991468,1,0,0,0,0,0,0
NCT03972995,1,0,0,0,0,0,0
NCT03971721,1,0,0,0,0,0,0
NCT03969875,1,0,0,0,0,0,0
NCT03967184,1,0,0,0,0,0,0
NCT03964831,1,0,0,0,0,0,0
NCT03953274,1,0,0,0,0,0,0
NCT03950895,1,0,0,0,0,0,0
NCT03949335,1,0,0,0,0,0,0
NCT03944629,1,0,0,0,0,0,0
NCT03942016,1,0,0,0,0,0,0
NCT03941912,1,0,0,0,0,0,0
NCT03934463,1,0,0,0,0,0,0
NCT03934125,1,0,0,0,0,0,0
NCT03931213,1,0,0,0,0,0,0
NCT03925545,1,0,0,0,0,0,0
NCT03920280,1,0,0,0,0,0,0
NCT03918928,1,0,0,0,0,0,0
NCT03912584,1,0,0,0,0,0,0
NCT03911700,1,0,0,0,0,0,0
NCT03898778,1,0,0,0,0,0,0
NCT03897751,1,0,0,0,0,0,0
NCT03897712,1,0,0,0,0,0,0
NCT03895034,1,0,0,0,0,0,0
NCT03888352,1,0,0,0,0,0,0
NCT03872609,1,0,0,0,0,0,0
NCT03872466,1,0,0,0,0,0,0
NCT03871179,1,0,0,0,0,0,0
NCT03864848,1,0,0,0,0,0,0
NCT03864081,1,0,0,0,0,0,0
NCT03862300,1,0,0,0,0,0,0
NCT03858140,1,0,0,0,0,0,0
NCT03851510,1,0,0,0,0,0,0
NCT03839199,1,0,0,0,0,0,0
NCT03835026,1,0,0,0,0,0,0
NCT03812679,1,0,0,0,0,0,0
NCT03805074,1,0,0,0,0,0,0
NCT03799549,1,0,0,0,0,0,0
NCT03790046,1,0,0,0,0,0,0
NCT03789669,1,0,0,0,0,0,0
NCT03788551,1,0,0,0,0,0,0
NCT03782116,1,0,0,0,0,0,0
NCT03779984,1,0,0,0,0,0,0
NCT03771521,1,0,0,0,0,0,0
NCT03771352,1,0,0,0,0,0,0
NCT03764254,1,0,0,0,0,0,0
NCT03748823,1,0,0,0,0,0,0
NCT03748771,1,0,0,0,0,0,0
NCT03748316,1,0,0,0,0,0,0
NCT03748264,1,0,0,0,0,0,0
NCT03736798,1,0,0,0,0,0,0
NCT03730480,1,0,0,0,0,0,0
NCT03729024,1,0,0,0,0,0,0
NCT03728309,1,0,0,0,0,0,0
NCT03716492,1,0,0,0,0,0,0
NCT03713281,1,0,0,0,0,0,0
NCT03708393,1,0,0,0,0,0,0
NCT03706430,1,0,0,0,0,0,0
NCT03704636,1,0,0,0,0,0,0
NCT03700372,1,0,0,0,0,0,0
NCT03700047,1,0,0,0,0,0,0
NCT03696316,1,0,0,0,0,0,0
NCT03692741,1,0,0,0,0,0,0
NCT03685136,1,0,0,0,0,0,0
NCT03682432,1,0,0,0,0,0,0
NCT03681886,1,0,0,0,0,0,0
NCT03681496,1,0,0,0,0,0,0
NCT03678103,1,0,0,0,0,0,0
NCT03677388,1,0,0,0,0,0,0
NCT03670277,1,0,0,0,0,0,0
NCT03663010,1,0,0,0,0,0,0
NCT03642431,1,0,0,0,0,0,0
NCT03641937,1,0,0,0,0,0,0
NCT03631550,1,0,0,0,0,0,0
NCT03628898,1,0,0,0,0,0,0
NCT03617822,1,0,0,0,0,0,0
NCT03614130,1,0,0,0,0,0,0
NCT03613363,1,0,0,0,0,0,0
NCT03611101,1,0,0,0,0,0,0
NCT03604900,1,0,0,0,0,0,0
NCT03604562,1,0,0,0,0,0,0
NCT03604432,1,0,0,0,0,0,0
NCT03601182,1,0,0,0,0,0,0
NCT03600194,1,0,0,0,0,0,0
NCT03599271,1,0,0,0,0,0,0
NCT03589911,1,0,0,0,0,0,0
NCT03586167,1,0,0,0,0,0,0
NCT03578302,1,0,0,0,0,0,0
NCT03574259,1,0,0,0,0,0,0
NCT03564366,1,0,0,0,0,0,0
NCT03560141,1,0,0,0,0,0,0
NCT03550807,1,0,0,0,0,0,0
NCT03540576,1,0,0,0,0,0,0
NCT03538561,1,0,0,0,0,0,0
NCT03525704,1,0,0,0,0,0,0
NCT03523208,1,0,0,0,0,0,0
NCT03508778,1,0,0,0,0,0,0
NCT03502200,1,0,0,0,0,0,0
NCT03500341,1,0,0,0,0,0,0
NCT03497910,1,0,0,0,0,0,0
NCT03488849,1,0,0,0,0,0,0
NCT03488238,1,0,0,0,0,0,0
NCT03482297,1,0,0,0,0,0,0
NCT03477370,1,0,0,0,0,0,0
NCT03467204,1,0,0,0,0,0,0
NCT03465514,1,0,0,0,0,0,0
NCT03462576,1,0,0,0,0,0,0
NCT03451786,1,0,0,0,0,0,0
NCT03442842,1,0,0,0,0,0,0
NCT03441971,1,0,0,0,0,0,0
NCT03441880,1,0,0,0,0,0,0
NCT03441477,1,0,0,0,0,0,0
NCT03439189,1,0,0,0,0,0,0
NCT03435224,1,0,0,0,0,0,0
NCT03435211,1,0,0,0,0,0,0
NCT03431883,1,0,0,0,0,0,0
NCT03423251,1,0,0,0,0,0,0
NCT03421145,1,0,0,0,0,0,0
NCT03418545,1,0,0,0,0,0,0
NCT03408444,1,0,0,0,0,0,0
NCT03388138,1,0,0,0,0,0,0
NCT03384381,1,0,0,0,0,0,0
NCT03372434,1,0,0,0,0,0,0
NCT03372343,1,0,0,0,0,0,0
NCT03371160,1,0,0,0,0,0,0
NCT03366194,1,0,0,0,0,0,0
NCT03351192,1,0,0,0,0,0,0
NCT03345121,1,0,0,0,0,0,0
NCT03345017,1,0,0,0,0,0,0
NCT03339388,1,0,0,0,0,0,0
NCT03336944,1,0,0,0,0,0,0
NCT03329794,1,0,0,0,0,0,0
NCT03323515,1,0,0,0,0,0,0
NCT03315117,1,0,0,0,0,0,0
NCT03299933,1,0,0,0,0,0,0
NCT03275532,1,0,0,0,0,0,0
NCT03272308,1,0,0,0,0,0,0
NCT03269097,1,0,0,0,0,0,0
NCT03268356,1,0,0,0,0,0,0
NCT03268265,1,0,0,0,0,0,0
NCT03267134,1,0,0,0,0,0,0
NCT03257410,1,0,0,0,0,0,0
NCT03251079,1,0,0,0,0,0,0
NCT03246503,1,0,0,0,0,0,0
NCT03242148,1,0,0,0,0,0,0
NCT03239574,1,0,0,0,0,0,0
NCT03236519,1,0,0,0,0,0,0
NCT03235791,1,0,0,0,0,0,0
NCT03233945,1,0,0,0,0,0,0
NCT03230877,1,0,0,0,0,0,0
NCT03230747,1,0,0,0,0,0,0
NCT03219567,1,0,0,0,0,0,0
NCT03198988,1,0,0,0,0,0,0
NCT03190564,1,0,0,0,0,0,0
NCT03182660,1,0,0,0,0,0,0
NCT03172949,1,0,0,0,0,0,0
NCT03150407,1,0,0,0,0,0,0
NCT03148613,1,0,0,0,0,0,0
NCT03147820,1,0,0,0,0,0,0
NCT03147482,1,0,0,0,0,0,0
NCT03147417,1,0,0,0,0,0,0
NCT03143127,1,0,0,0,0,0,0
NCT03142594,1,0,0,0,0,0,0
NCT03142581,1,0,0,0,0,0,0
NCT03138369,1,0,0,0,0,0,0
NCT03138343,1,0,0,0,0,0,0
NCT03134989,1,0,0,0,0,0,0
NCT03132363,1,0,0,0,0,0,0
NCT03132350,1,0,0,0,0,0,0
NCT03129152,1,0,0,0,0,0,0
NCT03128840,1,0,0,0,0,0,0
NCT03128632,1,0,0,0,0,0,0
NCT03127566,1,0,0,0,0,0,0
NCT03127540,1,0,0,0,0,0,0
NCT03127527,1,0,0,0,0,0,0
NCT03127501,1,0,0,0,0,0,0
NCT03127488,1,0,0,0,0,0,0
NCT03125135,1,0,0,0,0,0,0
NCT03125122,1,0,0,0,0,0,0
NCT03125109,1,0,0,0,0,0,0
NCT03125096,1,0,0,0,0,0,0
NCT03125044,1,0,0,0,0,0,0
NCT03124992,1,0,0,0,0,0,0
NCT03124953,1,0,0,0,0,0,0
NCT03124940,1,0,0,0,0,0,0
NCT03124888,1,0,0,0,0,0,0
NCT03124849,1,0,0,0,0,0,0
NCT03124810,1,0,0,0,0,0,0
NCT03124745,1,0,0,0,0,0,0
NCT03124732,1,0,0,0,0,0,0
NCT03124719,1,0,0,0,0,0,0
NCT03124706,1,0,0,0,0,0,0
NCT03124264,1,0,0,0,0,0,0
