NCTId,tb27_0,tb27_NonProbabilitySample,tb27_ProbabilitySample
NCT00000411,1,0,0
NCT00000412,1,0,0
NCT00000413,1,0,0
NCT00000414,1,0,0
NCT00000415,1,0,0
NCT00000416,1,0,0
NCT00000417,1,0,0
NCT00000418,1,0,0
NCT00000419,1,0,0
NCT00000420,1,0,0
NCT00000421,1,0,0
NCT00000422,1,0,0
NCT00000423,1,0,0
NCT00000424,1,0,0
NCT00000425,1,0,0
NCT00000426,1,0,0
NCT00000427,1,0,0
NCT00000428,1,0,0
NCT00000429,1,0,0
NCT00000430,1,0,0
NCT00000431,1,0,0
NCT00000432,1,0,0
NCT00000433,1,0,0
NCT00000434,1,0,0
NCT00000435,1,0,0
NCT00000436,1,0,0
NCT00000437,1,0,0
NCT00000438,1,0,0
NCT00000439,1,0,0
NCT00000440,1,0,0
NCT00000441,1,0,0
NCT00000442,1,0,0
NCT00000443,1,0,0
NCT00000444,1,0,0
NCT00000445,1,0,0
NCT00000446,1,0,0
NCT00000447,1,0,0
NCT00000448,1,0,0
NCT00000449,1,0,0
NCT00000450,1,0,0
NCT00000451,1,0,0
NCT00000452,1,0,0
NCT00000454,1,0,0
NCT00000455,1,0,0
NCT00000456,1,0,0
NCT00000457,1,0,0
NCT00000458,1,0,0
NCT00000491,1,0,0
NCT00000535,1,0,0
NCT00000577,1,0,0
NCT00000579,1,0,0
NCT00000607,1,0,0
NCT00000620,1,0,0
NCT00000623,1,0,0
NCT00000625,1,0,0
NCT00000626,1,0,0
NCT00000627,1,0,0
NCT00000628,1,0,0
NCT00000629,1,0,0
NCT00000630,1,0,0
NCT00000631,1,0,0
NCT00000632,1,0,0
NCT00000633,1,0,0
NCT00000634,1,0,0
NCT00000635,1,0,0
NCT00000636,1,0,0
NCT00000637,1,0,0
NCT00000638,1,0,0
NCT00000639,1,0,0
NCT00000640,1,0,0
NCT00000641,1,0,0
NCT00000642,1,0,0
NCT00000643,1,0,0
NCT00000644,1,0,0
NCT00000645,1,0,0
NCT00000646,1,0,0
NCT00000647,1,0,0
NCT00000648,1,0,0
NCT00000649,1,0,0
NCT00000650,1,0,0
NCT00000651,1,0,0
NCT00000652,1,0,0
NCT00000653,1,0,0
NCT00000654,1,0,0
NCT00000655,1,0,0
NCT00000656,1,0,0
NCT00000657,1,0,0
NCT00000658,1,0,0
NCT00000659,1,0,0
NCT00000660,1,0,0
NCT00000661,1,0,0
NCT00000662,1,0,0
NCT00000663,1,0,0
NCT00000664,1,0,0
NCT00000665,1,0,0
NCT00000666,1,0,0
NCT00000667,1,0,0
NCT00000668,1,0,0
NCT00000669,1,0,0
NCT00000670,1,0,0
NCT00000671,1,0,0
NCT00000672,1,0,0
NCT00000673,1,0,0
NCT00000674,1,0,0
NCT00000675,1,0,0
NCT00000676,1,0,0
NCT00000677,1,0,0
NCT00000678,1,0,0
NCT00000679,1,0,0
NCT00000680,1,0,0
NCT00000681,1,0,0
NCT00000682,1,0,0
NCT00000683,1,0,0
NCT00000684,1,0,0
NCT00000685,1,0,0
