,NCTId,CollaboratorClass
3579,NCT03253783,UNKNOWN
5074,NCT04247087,UNKNOWN
8740,NCT01954576,UNKNOWN
7799,NCT04060342,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
4636,NCT02113670,UNKNOWN
7690,NCT00571038,UNKNOWN
3855,NCT03193879,UNKNOWN
7147,NCT01038557,UNKNOWN
3855,NCT03193879,UNKNOWN
8738,NCT02896010,UNKNOWN
3855,NCT03193879,UNKNOWN
8736,NCT03315663,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
7801,NCT03461120,UNKNOWN
3855,NCT03193879,UNKNOWN
7113,NCT04603651,UNKNOWN
1488,NCT01560754,UNKNOWN
147,NCT01940679,UNKNOWN
7331,NCT04565366,UNKNOWN
7690,NCT00571038,UNKNOWN
8800,NCT00589459,UNKNOWN
2096,NCT02069782,UNKNOWN
3855,NCT03193879,UNKNOWN
7797,NCT00198822,UNKNOWN
2956,NCT00767039,UNKNOWN
7690,NCT00571038,UNKNOWN
2897,NCT04434664,UNKNOWN
2897,NCT04434664,UNKNOWN
7778,NCT02976389,UNKNOWN
3972,NCT00386542,UNKNOWN
2123,NCT00826735,UNKNOWN
2123,NCT00826735,UNKNOWN
8021,NCT04387734,UNKNOWN
102,NCT03293875,UNKNOWN
102,NCT03293875,UNKNOWN
1408,NCT02151955,UNKNOWN
2841,NCT03465995,UNKNOWN
2904,NCT03304548,UNKNOWN
9042,NCT04556227,UNKNOWN
7229,NCT04330326,UNKNOWN
5611,NCT03259893,UNKNOWN
109,NCT01927835,UNKNOWN
8024,NCT03343106,UNKNOWN
5609,NCT03786120,UNKNOWN
3976,NCT02813161,UNKNOWN
2227,NCT03930420,UNKNOWN
3855,NCT03193879,UNKNOWN
7229,NCT04330326,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
3855,NCT03193879,UNKNOWN
7690,NCT00571038,UNKNOWN
152,NCT02352532,UNKNOWN
152,NCT02352532,UNKNOWN
8735,NCT01678079,UNKNOWN
7971,NCT02169024,UNKNOWN
7567,NCT03870204,UNKNOWN
7013,NCT04581317,UNKNOWN
7669,NCT04377581,UNKNOWN
7669,NCT04377581,UNKNOWN
9892,NCT03837522,UNKNOWN
7568,NCT02758236,UNKNOWN
7338,NCT03026556,UNKNOWN
7006,NCT02369861,UNKNOWN
9034,NCT04564443,UNKNOWN
3990,NCT03460743,UNKNOWN
3990,NCT03460743,UNKNOWN
3990,NCT03460743,UNKNOWN
8449,NCT03937687,UNKNOWN
2072,NCT00661128,UNKNOWN
3992,NCT00884013,UNKNOWN
7338,NCT03026556,UNKNOWN
2263,NCT00547716,UNKNOWN
1501,NCT01148563,UNKNOWN
4652,NCT04198974,UNKNOWN
2061,NCT04326036,UNKNOWN
9873,NCT03849144,UNKNOWN
8497,NCT02700542,UNKNOWN
8442,NCT01135095,UNKNOWN
7664,NCT03393637,UNKNOWN
7338,NCT03026556,UNKNOWN
7664,NCT03393637,UNKNOWN
7339,NCT02678247,UNKNOWN
7669,NCT04377581,UNKNOWN
7669,NCT04377581,UNKNOWN
7670,NCT02225847,UNKNOWN
7077,NCT04241133,UNKNOWN
156,NCT03346603,UNKNOWN
7801,NCT03461120,UNKNOWN
5074,NCT04247087,UNKNOWN
5074,NCT04247087,UNKNOWN
3842,NCT02207517,UNKNOWN
3981,NCT04219566,UNKNOWN
3981,NCT04219566,UNKNOWN
7078,NCT03833219,UNKNOWN
7077,NCT04241133,UNKNOWN
5559,NCT03429322,UNKNOWN
7077,NCT04241133,UNKNOWN
5690,NCT04540952,UNKNOWN
7077,NCT04241133,UNKNOWN
8735,NCT01678079,UNKNOWN
7077,NCT04241133,UNKNOWN
7076,NCT00635960,UNKNOWN
5162,NCT04500626,UNKNOWN
3835,NCT03422510,UNKNOWN
3835,NCT03422510,UNKNOWN
3835,NCT03422510,UNKNOWN
3835,NCT03422510,UNKNOWN
5169,NCT01856205,UNKNOWN
7334,NCT02734238,UNKNOWN
3830,NCT01123577,UNKNOWN
3830,NCT01123577,UNKNOWN
7017,NCT01738360,UNKNOWN
5095,NCT03365063,UNKNOWN
7778,NCT02976389,UNKNOWN
5615,NCT02494167,UNKNOWN
61,NCT03192891,UNKNOWN
38,NCT03952364,UNKNOWN
39,NCT04021030,UNKNOWN
3897,NCT04142723,UNKNOWN
39,NCT04021030,UNKNOWN
3897,NCT04142723,UNKNOWN
42,NCT03628235,UNKNOWN
3897,NCT04142723,UNKNOWN
1456,NCT03400475,UNKNOWN
4606,NCT04092530,UNKNOWN
7280,NCT02562872,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
7273,NCT00992953,UNKNOWN
3897,NCT04142723,UNKNOWN
7273,NCT00992953,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
5108,NCT02744846,UNKNOWN
9054,NCT04546581,UNKNOWN
7288,NCT00222690,UNKNOWN
3946,NCT03259373,UNKNOWN
8471,NCT01258244,UNKNOWN
5108,NCT02744846,UNKNOWN
7311,NCT01441167,UNKNOWN
7304,NCT00387855,UNKNOWN
2166,NCT00685555,UNKNOWN
2166,NCT00685555,UNKNOWN
2166,NCT00685555,UNKNOWN
3943,NCT04577599,UNKNOWN
7999,NCT01177137,UNKNOWN
7300,NCT02469324,UNKNOWN
7311,NCT01441167,UNKNOWN
9993,NCT03769727,UNKNOWN
2180,NCT03420638,UNKNOWN
33,NCT02334462,UNKNOWN
1453,NCT04218747,UNKNOWN
8771,NCT03377855,UNKNOWN
8761,NCT01825252,UNKNOWN
1439,NCT02045706,UNKNOWN
2161,NCT04125537,UNKNOWN
7294,NCT00632060,UNKNOWN
2161,NCT04125537,UNKNOWN
8002,NCT03010644,UNKNOWN
2875,NCT01625546,UNKNOWN
1438,NCT02357381,UNKNOWN
5108,NCT02744846,UNKNOWN
7289,NCT03449667,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
8751,NCT03932773,UNKNOWN
3897,NCT04142723,UNKNOWN
2857,NCT01231165,UNKNOWN
2150,NCT02600845,UNKNOWN
7253,NCT00744146,UNKNOWN
7788,NCT01957813,UNKNOWN
8777,NCT02146326,UNKNOWN
4621,NCT00161525,UNKNOWN
8777,NCT02146326,UNKNOWN
2852,NCT03442374,UNKNOWN
3885,NCT03146897,UNKNOWN
3885,NCT03146897,UNKNOWN
2852,NCT03442374,UNKNOWN
4597,NCT03655587,UNKNOWN
7778,NCT02976389,UNKNOWN
7778,NCT02976389,UNKNOWN
84,NCT00573976,UNKNOWN
84,NCT00573976,UNKNOWN
3881,NCT01565863,UNKNOWN
5116,NCT00798538,UNKNOWN
9067,NCT04534660,UNKNOWN
1466,NCT00880035,UNKNOWN
2205,NCT04321811,UNKNOWN
3876,NCT04605783,UNKNOWN
2205,NCT04321811,UNKNOWN
5095,NCT03365063,UNKNOWN
5095,NCT03365063,UNKNOWN
2132,NCT04583007,UNKNOWN
3872,NCT01751451,UNKNOWN
3893,NCT04589819,UNKNOWN
5108,NCT02744846,UNKNOWN
2881,NCT01322750,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
8468,NCT02415751,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
2857,NCT01231165,UNKNOWN
7264,NCT02075307,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
5108,NCT02744846,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
3897,NCT04142723,UNKNOWN
1456,NCT03400475,UNKNOWN
9973,NCT03781856,UNKNOWN
7664,NCT03393637,UNKNOWN
1081,NCT01603550,UNKNOWN
4541,NCT02366234,UNKNOWN
1342,NCT03734237,UNKNOWN
2306,NCT02070029,UNKNOWN
6861,NCT03682263,UNKNOWN
7655,NCT02816294,UNKNOWN
7655,NCT02816294,UNKNOWN
8501,NCT03582683,UNKNOWN
6847,NCT03947216,UNKNOWN
6847,NCT03947216,UNKNOWN
6847,NCT03947216,UNKNOWN
7655,NCT02816294,UNKNOWN
9798,NCT03904407,UNKNOWN
6838,NCT02224365,UNKNOWN
7655,NCT02816294,UNKNOWN
7655,NCT02816294,UNKNOWN
7575,NCT04398784,UNKNOWN
7935,NCT03567018,UNKNOWN
6818,NCT04176328,UNKNOWN
5020,NCT04397055,UNKNOWN
5020,NCT04397055,UNKNOWN
1320,NCT03088111,UNKNOWN
4529,NCT00731497,UNKNOWN
9778,NCT03919175,UNKNOWN
9808,NCT03897543,UNKNOWN
5031,NCT04540003,UNKNOWN
4657,NCT04171180,UNKNOWN
