,NCTId,BaselineMeasureParamType
3979,NCT00905125,Mean
2162,NCT02482610,Mean
2162,NCT02482610,Mean
2162,NCT02482610,Mean
2162,NCT02482610,Mean
2162,NCT02482610,Mean
2162,NCT02482610,Mean
2162,NCT02482610,Mean
6850,NCT02286921,Mean
8552,NCT01710358,Mean
2834,NCT02305381,Mean
2183,NCT02638168,Mean
8564,NCT02835495,Mean
3980,NCT00644332,Mean
2193,NCT03709823,Mean
2194,NCT02762370,Mean
5195,NCT01387178,Mean
6799,NCT03063385,Mean
6799,NCT03063385,Mean
2197,NCT01357551,Mean
3469,NCT00324155,Mean
2834,NCT02305381,Mean
6799,NCT03063385,Mean
8564,NCT02835495,Mean
2197,NCT01357551,Mean
2197,NCT01357551,Mean
2197,NCT01357551,Mean
6799,NCT03063385,Mean
2193,NCT03709823,Mean
6799,NCT03063385,Mean
6799,NCT03063385,Mean
5194,NCT01347112,Mean
3470,NCT00572039,Mean
2184,NCT03606460,Mean
8552,NCT01710358,Mean
6843,NCT00711087,Mean
6799,NCT03063385,Mean
6799,NCT03063385,Mean
6799,NCT03063385,Mean
6799,NCT03063385,Mean
6799,NCT03063385,Mean
2189,NCT01547286,Mean
6799,NCT03063385,Mean
3980,NCT00644332,Mean
6799,NCT03063385,Mean
3254,NCT01826448,Mean
4050,NCT02914275,Mean
2388,NCT00528931,Mean
2746,NCT01334554,Mean
2631,NCT00713479,Mean
6261,NCT01790659,Mean
5709,NCT00326495,Mean
6151,NCT00742001,Mean
3132,NCT02148445,Mean
4085,NCT00945906,Mean
6260,NCT01843621,Mean
4158,NCT02842853,Mean
83,NCT02128542,Mean
3309,NCT03399370,Mean
5468,NCT01477762,Mean
2747,NCT02825251,Mean
83,NCT02128542,Mean
8941,NCT01511107,Mean
74,NCT01087905,Mean
8940,NCT01878175,Mean
3310,NCT01391858,Mean
3149,NCT00399880,Mean
95,NCT02207569,Mean
6151,NCT00742001,Mean
5460,NCT00992264,Mean
6265,NCT01290601,Mean
6151,NCT00742001,Mean
3132,NCT02148445,Mean
6262,NCT01769612,Mean
6151,NCT00742001,Mean
5466,NCT00710606,Mean
8936,NCT01197911,Mean
6262,NCT01769612,Mean
6261,NCT01790659,Mean
6261,NCT01790659,Mean
2630,NCT03286283,Mean
6261,NCT01790659,Mean
8942,NCT01566461,Mean
6240,NCT02421666,Mean
6223,NCT02706951,Mean
3132,NCT02148445,Mean
6228,NCT02706847,Mean
3132,NCT02148445,Mean
6228,NCT02706847,Mean
2746,NCT01334554,Mean
2746,NCT01334554,Mean
3304,NCT00556842,Mean
2656,NCT02101515,Mean
2746,NCT01334554,Mean
5482,NCT00841269,Mean
4087,NCT00472303,Mean
2746,NCT01334554,Mean
2657,NCT01011829,Mean
6228,NCT02706847,Mean
4153,NCT00974259,Mean
6223,NCT02706951,Mean
6228,NCT02706847,Mean
6228,NCT02706847,Mean
6228,NCT02706847,Mean
2746,NCT01334554,Mean
73,NCT00601835,Mean
6233,NCT01092416,Mean
2641,NCT03323723,Mean
8955,NCT02290223,Mean
5470,NCT01063153,Mean
6230,NCT00321932,Mean
2643,NCT01135992,Mean
6228,NCT02706847,Mean
6228,NCT02706847,Mean
2643,NCT01135992,Mean
2643,NCT01135992,Mean
2643,NCT01135992,Mean
6228,NCT02706847,Mean
6228,NCT02706847,Mean
4159,NCT00703846,Mean
6266,NCT01083576,Mean
8930,NCT02497937,Mean
3132,NCT02148445,Mean
8920,NCT02165735,Mean
6278,NCT00370682,Mean
3132,NCT02148445,Mean
8926,NCT02470754,Mean
6277,NCT00384670,Mean
116,NCT00730964,Mean
8926,NCT02470754,Mean
8926,NCT02470754,Mean
112,NCT00796315,Mean
6276,NCT00460525,Mean
2594,NCT01347762,Mean
8926,NCT02470754,Mean
2752,NCT02916433,Mean
2594,NCT01347762,Mean
2594,NCT01347762,Mean
3132,NCT02148445,Mean
3271,NCT00796705,Mean
5442,NCT02488915,Mean
127,NCT01256164,Mean
8911,NCT00248612,Mean
5442,NCT02488915,Mean
2575,NCT00869609,Mean
8911,NCT00248612,Mean
8911,NCT00248612,Mean
3327,NCT00763698,Mean
6149,NCT00749203,Mean
6279,NCT00358332,Mean
8919,NCT00595231,Mean
6149,NCT00749203,Mean
6151,NCT00742001,Mean
5442,NCT02488915,Mean
4079,NCT00837434,Mean
4172,NCT02564042,Mean
2595,NCT02648204,Mean
8926,NCT02470754,Mean
5443,NCT00391365,Mean
5447,NCT02194088,Mean
2605,NCT00356122,Mean
2605,NCT00356122,Mean
2605,NCT00356122,Mean
4079,NCT00837434,Mean
6151,NCT00742001,Mean
8928,NCT00555425,Mean
4079,NCT00837434,Mean
4079,NCT00837434,Mean
6268,NCT01032382,Mean
4079,NCT00837434,Mean
4079,NCT00837434,Mean
6151,NCT00742001,Mean
4080,NCT03077438,Mean
99,NCT02746809,Mean
6273,NCT00606580,Mean
2605,NCT00356122,Mean
8926,NCT02470754,Mean
108,NCT01965561,Mean
2595,NCT02648204,Mean
2595,NCT02648204,Mean
2595,NCT02648204,Mean
6275,NCT00468858,Mean
8926,NCT02470754,Mean
6273,NCT00606580,Mean
6273,NCT00606580,Mean
4079,NCT00837434,Mean
108,NCT01965561,Mean
6273,NCT00606580,Mean
4079,NCT00837434,Mean
107,NCT00351741,Mean
8926,NCT02470754,Mean
4079,NCT00837434,Mean
6223,NCT02706951,Mean
6223,NCT02706951,Mean
6114,NCT01345591,Mean
9869,NCT03851016,Mean
2713,NCT00634842,Mean
3282,NCT01253811,Mean
2713,NCT00634842,Mean
2713,NCT00634842,Mean
6187,NCT00494975,Mean
9828,NCT03878758,Mean
4144,NCT01110200,Mean
3281,NCT00411762,Mean
9829,NCT03878745,Mean
6160,NCT00591864,Mean
3279,NCT01661764,Mean
3272,NCT00469079,Mean
4104,NCT03289676,Mean
4140,NCT02354482,Mean
2721,NCT00753922,Mean
2711,NCT02110381,Mean
6189,NCT02063230,Mean
2711,NCT02110381,Mean
9738,NCT03951610,Mean
9731,NCT03961308,Mean
9731,NCT03961308,Mean
2702,NCT01217840,Mean
2702,NCT01217840,Mean
6205,NCT01656889,Mean
9731,NCT03961308,Mean
41,NCT02395536,Mean
5495,NCT00156390,Mean
41,NCT02395536,Mean
4145,NCT00135798,Mean
5493,NCT00466206,Mean
2740,NCT01395368,Mean
9814,NCT03887429,Mean
6195,NCT01249625,Mean
4104,NCT03289676,Mean
3139,NCT02722278,Mean
2661,NCT00537303,Mean
22,NCT00928694,Mean
9900,NCT03831451,Mean
2728,NCT03557775,Mean
2728,NCT03557775,Mean
9932,NCT03807739,Mean
2730,NCT01013870,Mean
4122,NCT00856856,Mean
4116,NCT02236598,Mean
9932,NCT03807739,Mean
9932,NCT03807739,Mean
5,NCT00312663,Mean
9932,NCT03807739,Mean
9999,NCT03766373,Mean
4,NCT00312702,Mean
2730,NCT01013870,Mean
3145,NCT00308620,Mean
4134,NCT02961751,Mean
3141,NCT00585013,Mean
5701,NCT01837524,Mean
9869,NCT03851016,Mean
22,NCT00928694,Mean
4107,NCT02804750,Mean
22,NCT00928694,Mean
5702,NCT03052530,Mean
5701,NCT01837524,Mean
6183,NCT00122369,Mean
9877,NCT03848403,Mean
2728,NCT03557775,Mean
2725,NCT00812097,Mean
2737,NCT03211156,Mean
17,NCT03973905,Mean
16,NCT00724867,Mean
6170,NCT00411632,Mean
6179,NCT00256724,Mean
4148,NCT03055858,Mean
2702,NCT01217840,Mean
3136,NCT02922985,Mean
2700,NCT00880256,Mean
6222,NCT02675426,Mean
6222,NCT02675426,Mean
6222,NCT02675426,Mean
2672,NCT03294538,Mean
2672,NCT03294538,Mean
2672,NCT03294538,Mean
6222,NCT02675426,Mean
6222,NCT02675426,Mean
6222,NCT02675426,Mean
2746,NCT01334554,Mean
6222,NCT02675426,Mean
2678,NCT00868309,Mean
8955,NCT02290223,Mean
8963,NCT00882557,Mean
2680,NCT00927862,Mean
2672,NCT03294538,Mean
6222,NCT02675426,Mean
6222,NCT02675426,Mean
8955,NCT02290223,Mean
6223,NCT02706951,Mean
6223,NCT02706951,Mean
6223,NCT02706951,Mean
2661,NCT00537303,Mean
2661,NCT00537303,Mean
2661,NCT00537303,Mean
2661,NCT00537303,Mean
6223,NCT02706951,Mean
2661,NCT00537303,Mean
6223,NCT02706951,Mean
6223,NCT02706951,Mean
2746,NCT01334554,Mean
3300,NCT00754390,Mean
2746,NCT01334554,Mean
2745,NCT00620750,Mean
4089,NCT02199691,Mean
5488,NCT00595504,Mean
2695,NCT01008280,Mean
8975,NCT01721044,Mean
5489,NCT01333865,Mean
3272,NCT00469079,Mean
6221,NCT02629159,Mean
8975,NCT01721044,Mean
8975,NCT01721044,Mean
9423,NCT04218799,Mean
2691,NCT00850135,Mean
5702,NCT03052530,Mean
9650,NCT04020822,Mean
4151,NCT02664610,Mean
9731,NCT03961308,Mean
46,NCT00875641,Mean
6207,NCT00046475,Mean
2691,NCT00850135,Mean
8975,NCT01721044,Mean
6222,NCT02675426,Mean
6221,NCT02629159,Mean
6221,NCT02629159,Mean
6221,NCT02629159,Mean
6221,NCT02629159,Mean
6221,NCT02629159,Mean
6221,NCT02629159,Mean
6221,NCT02629159,Mean
6221,NCT02629159,Mean
2691,NCT00850135,Mean
6221,NCT02629159,Mean
2691,NCT00850135,Mean
3271,NCT00796705,Mean
8975,NCT01721044,Mean
3135,NCT02461758,Mean
4153,NCT00974259,Mean
131,NCT02939131,Mean
4179,NCT00959764,Mean
2573,NCT00476021,Mean
6439,NCT02601820,Mean
4194,NCT00200057,Mean
5349,NCT00351416,Mean
6447,NCT01786603,Mean
6439,NCT02601820,Mean
6439,NCT02601820,Mean
4060,NCT02842866,Mean
6439,NCT02601820,Mean
6439,NCT02601820,Mean
6439,NCT02601820,Mean
2452,NCT02861131,Mean
6439,NCT02601820,Mean
6439,NCT02601820,Mean
8803,NCT01921179,Mean
6439,NCT02601820,Mean
6439,NCT02601820,Mean
5346,NCT00396812,Mean
4194,NCT00200057,Mean
8803,NCT01921179,Mean
5711,NCT02958267,Mean
8795,NCT00183339,Mean
2439,NCT02517996,Mean
5531,NCT02362425,Mean
3368,NCT00112047,Mean
4196,NCT00970853,Mean
8797,NCT03158038,Mean
4194,NCT00200057,Mean
6459,NCT02273206,Mean
3367,NCT00811057,Mean
4194,NCT00200057,Mean
5346,NCT00396812,Mean
8802,NCT01647438,Mean
2444,NCT02411396,Mean
4194,NCT00200057,Mean
6439,NCT02601820,Mean
6439,NCT02601820,Mean
6282,NCT00298610,Mean
6439,NCT02601820,Mean
5711,NCT02958267,Mean
5364,NCT01702311,Mean
4061,NCT00835120,Mean
6415,NCT01625221,Mean
8811,NCT02696291,Mean
6140,NCT00870545,Mean
8812,NCT01265953,Mean
6415,NCT01625221,Mean
4061,NCT00835120,Mean
4061,NCT00835120,Mean
2482,NCT02703909,Mean
4061,NCT00835120,Mean
8812,NCT01265953,Mean
4061,NCT00835120,Mean
8814,NCT01932242,Mean
8811,NCT02696291,Mean
4061,NCT00835120,Mean
2471,NCT00590161,Mean
5359,NCT01133275,Mean
2783,NCT01451762,Mean
5531,NCT02362425,Mean
8803,NCT01921179,Mean
8803,NCT01921179,Mean
6439,NCT02601820,Mean
2778,NCT02593032,Mean
8805,NCT01214655,Mean
6418,NCT00756652,Mean
6438,NCT02784106,Mean
4194,NCT00200057,Mean
2469,NCT02298192,Mean
4194,NCT00200057,Mean
2469,NCT02298192,Mean
3358,NCT02460991,Mean
5711,NCT02958267,Mean
3368,NCT00112047,Mean
3368,NCT00112047,Mean
5330,NCT00526994,Mean
6517,NCT02207803,Mean
8759,NCT00983892,Mean
5711,NCT02958267,Mean
3386,NCT01392573,Mean
3386,NCT01392573,Mean
3118,NCT01785615,Mean
6516,NCT01853384,Mean
8759,NCT00983892,Mean
5711,NCT02958267,Mean
2404,NCT00675506,Mean
4211,NCT02322333,Mean
8774,NCT01127633,Mean
3386,NCT01392573,Mean
3119,NCT02299427,Mean
5317,NCT01308814,Mean
2394,NCT02828111,Mean
4214,NCT02316353,Mean
5315,NCT00588692,Mean
2390,NCT00680706,Mean
8755,NCT00903695,Mean
8755,NCT00903695,Mean
6114,NCT01345591,Mean
2389,NCT01396044,Mean
5315,NCT00588692,Mean
8755,NCT00903695,Mean
8755,NCT00903695,Mean
5712,NCT03249779,Mean
6119,NCT01305811,Mean
6527,NCT02845700,Mean
2393,NCT02219321,Mean
8756,NCT02487485,Mean
4042,NCT02924051,Mean
2394,NCT02828111,Mean
5711,NCT02958267,Mean
7026,NCT03237013,Mean
6495,NCT02113410,Mean
4050,NCT02914275,Mean
6134,NCT00986986,Mean
3374,NCT03634306,Mean
8777,NCT02146326,Mean
4050,NCT02914275,Mean
2430,NCT01559649,Mean
3373,NCT03221192,Mean
2430,NCT01559649,Mean
6461,NCT00856999,Mean
8781,NCT03199079,Mean
5711,NCT02958267,Mean
5328,NCT01038323,Mean
6136,NCT00972439,Mean
8787,NCT01457339,Mean
5328,NCT01038323,Mean
8777,NCT02146326,Mean
6473,NCT00847912,Mean
2410,NCT00267631,Mean
6126,NCT01155024,Mean
8777,NCT02146326,Mean
8777,NCT02146326,Mean
4200,NCT00768248,Mean
6126,NCT01155024,Mean
3256,NCT01131312,Mean
6490,NCT02508480,Mean
6126,NCT01155024,Mean
8777,NCT02146326,Mean
8777,NCT02146326,Mean
8777,NCT02146326,Mean
6489,NCT02294318,Mean
8777,NCT02146326,Mean
3374,NCT03634306,Mean
8777,NCT02146326,Mean
4061,NCT00835120,Mean
4061,NCT00835120,Mean
2774,NCT00612040,Mean
2528,NCT02768103,Mean
5402,NCT01973608,Mean
6350,NCT02919267,Mean
2542,NCT01611948,Mean
6149,NCT00749203,Mean
3339,NCT01578317,Mean
6329,NCT02755285,Mean
3338,NCT02290106,Mean
3338,NCT02290106,Mean
3338,NCT02290106,Mean
6323,NCT00005879,Mean
6323,NCT00005879,Mean
3338,NCT02290106,Mean
6323,NCT00005879,Mean
6323,NCT00005879,Mean
6323,NCT00005879,Mean
6350,NCT02919267,Mean
6350,NCT02919267,Mean
2538,NCT01015820,Mean
8893,NCT01664624,Mean
3132,NCT02148445,Mean
8893,NCT01664624,Mean
2531,NCT01222585,Mean
6353,NCT00482612,Mean
8893,NCT01664624,Mean
3268,NCT00837161,Mean
8893,NCT01664624,Mean
6350,NCT02919267,Mean
6147,NCT00763009,Mean
6352,NCT02626611,Mean
2534,NCT01142908,Mean
8893,NCT01664624,Mean
6350,NCT02919267,Mean
6350,NCT02919267,Mean
2555,NCT01364428,Mean
2555,NCT01364428,Mean
2555,NCT01364428,Mean
6283,NCT00287469,Mean
131,NCT02939131,Mean
131,NCT02939131,Mean
6285,NCT00162981,Mean
131,NCT02939131,Mean
131,NCT02939131,Mean
6149,NCT00749203,Mean
2570,NCT01598896,Mean
131,NCT02939131,Mean
8908,NCT00323635,Mean
5435,NCT00753012,Mean
2570,NCT01598896,Mean
2570,NCT01598896,Mean
131,NCT02939131,Mean
131,NCT02939131,Mean
3334,NCT01789814,Mean
5430,NCT01442493,Mean
6323,NCT00005879,Mean
5499,NCT01677195,Mean
136,NCT01568424,Mean
5423,NCT02182115,Mean
3338,NCT02290106,Mean
6306,NCT01948947,Mean
135,NCT01369030,Mean
4180,NCT03008837,Mean
2760,NCT00405912,Mean
131,NCT02939131,Mean
4077,NCT01871506,Mean
131,NCT02939131,Mean
6304,NCT02388880,Mean
2760,NCT00405912,Mean
2559,NCT00729690,Mean
6288,NCT00518713,Mean
8893,NCT01664624,Mean
6364,NCT00518323,Mean
8814,NCT01932242,Mean
8876,NCT02085473,Mean
3351,NCT00394329,Mean
5382,NCT00741091,Mean
4062,NCT02230332,Mean
2774,NCT00612040,Mean
4062,NCT02230332,Mean
2500,NCT01453894,Mean
8848,NCT01033942,Mean
4063,NCT00180479,Mean
8850,NCT01435603,Mean
3350,NCT01096771,Mean
3349,NCT01620489,Mean
3349,NCT01620489,Mean
5518,NCT01110005,Mean
3349,NCT01620489,Mean
6383,NCT02145299,Mean
5711,NCT02958267,Mean
4194,NCT00200057,Mean
6404,NCT01491919,Mean
8820,NCT01330420,Mean
3356,NCT01917812,Mean
8814,NCT01932242,Mean
6405,NCT01083654,Mean
6404,NCT01491919,Mean
8814,NCT01932242,Mean
2486,NCT00203996,Mean
6404,NCT01491919,Mean
4062,NCT02230332,Mean
6404,NCT01491919,Mean
2489,NCT01514279,Mean
8825,NCT02899988,Mean
2774,NCT00612040,Mean
8835,NCT00624520,Mean
2489,NCT01514279,Mean
5388,NCT01617083,Mean
6380,NCT01266122,Mean
2508,NCT02129608,Mean
5711,NCT02958267,Mean
154,NCT01112917,Mean
2770,NCT02034513,Mean
4180,NCT03008837,Mean
6372,NCT00996281,Mean
2523,NCT00499746,Mean
5501,NCT00498355,Mean
2524,NCT01079234,Mean
4187,NCT01795547,Mean
3343,NCT00620763,Mean
2524,NCT01079234,Mean
2524,NCT01079234,Mean
2770,NCT02034513,Mean
3342,NCT00700804,Mean
6371,NCT02703948,Mean
8871,NCT01137006,Mean
6372,NCT00996281,Mean
4065,NCT01714323,Mean
4190,NCT02564055,Mean
3149,NCT00399880,Mean
6374,NCT02394600,Mean
8851,NCT01835223,Mean
2508,NCT02129608,Mean
2508,NCT02129608,Mean
2770,NCT02034513,Mean
8858,NCT02206607,Mean
6372,NCT00996281,Mean
4067,NCT00761813,Mean
3149,NCT00399880,Mean
5711,NCT02958267,Mean
8866,NCT01104701,Mean
8868,NCT02679729,Mean
6372,NCT00996281,Mean
7026,NCT03237013,Mean
3227,NCT00578877,Mean
7026,NCT03237013,Mean
1561,NCT01949844,Mean
1553,NCT02228967,Mean
1121,NCT01419769,Mean
2996,NCT00814697,Mean
5630,NCT01410084,Mean
3810,NCT00094107,Mean
8023,NCT00742781,Mean
4821,NCT00223990,Mean
1553,NCT02228967,Mean
1553,NCT02228967,Mean
1553,NCT02228967,Mean
3664,NCT01261325,Mean
3664,NCT01261325,Mean
1109,NCT01873417,Mean
7601,NCT02420353,Mean
5915,NCT01292876,Mean
8022,NCT02160847,Mean
7622,NCT02202031,Mean
1121,NCT01419769,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
4821,NCT00223990,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
1547,NCT02542046,Mean
7622,NCT02202031,Mean
7622,NCT02202031,Mean
1121,NCT01419769,Mean
3664,NCT01261325,Mean
4821,NCT00223990,Mean
1479,NCT01858428,Mean
1562,NCT02016482,Mean
8046,NCT01898299,Mean
4826,NCT01963169,Mean
7577,NCT00431847,Mean
7577,NCT00431847,Mean
7577,NCT00431847,Mean
2915,NCT01680341,Mean
8046,NCT01898299,Mean
4829,NCT02698371,Mean
7577,NCT00431847,Mean
1086,NCT00936715,Mean
8049,NCT01408147,Mean
2915,NCT01680341,Mean
7565,NCT02246413,Mean
7565,NCT02246413,Mean
7565,NCT02246413,Mean
8042,NCT01109576,Mean
2915,NCT01680341,Mean
1574,NCT01557868,Mean
1091,NCT02817841,Mean
3201,NCT01570751,Mean
3662,NCT00787566,Mean
4821,NCT00223990,Mean
4821,NCT00223990,Mean
1568,NCT02209259,Mean
5917,NCT01205646,Mean
8042,NCT01109576,Mean
3656,NCT01668667,Mean
3201,NCT01570751,Mean
1570,NCT00485134,Mean
7588,NCT01673178,Mean
3656,NCT01668667,Mean
1091,NCT02817841,Mean
4821,NCT00223990,Mean
7624,NCT02756689,Mean
3669,NCT01951417,Mean
5913,NCT01458561,Mean
4821,NCT00223990,Mean
4604,NCT00908830,Mean
3679,NCT00084136,Mean
7659,NCT01999868,Mean
1154,NCT04018001,Mean
1498,NCT01494350,Mean
7996,NCT01058395,Mean
1498,NCT01494350,Mean
7997,NCT02132650,Mean
1501,NCT01148563,Mean
7997,NCT02132650,Mean
7999,NCT01177137,Mean
4601,NCT01344616,Mean
3679,NCT00084136,Mean
4591,NCT01001325,Mean
4821,NCT00223990,Mean
1491,NCT02223065,Mean
7659,NCT01999868,Mean
5865,NCT03157531,Mean
3681,NCT01411891,Mean
1178,NCT01772823,Mean
1479,NCT01858428,Mean
5865,NCT03157531,Mean
7986,NCT00748098,Mean
4631,NCT01700517,Mean
5904,NCT02307916,Mean
7666,NCT02298361,Mean
5865,NCT03157531,Mean
4821,NCT00223990,Mean
1486,NCT02424383,Mean
7659,NCT01999868,Mean
2934,NCT01047709,Mean
7659,NCT01999868,Mean
7990,NCT00122447,Mean
7648,NCT00790790,Mean
1508,NCT00971633,Mean
3186,NCT01618162,Mean
3669,NCT01951417,Mean
4554,NCT01684722,Mean
7641,NCT00667810,Mean
8004,NCT01437852,Mean
1129,NCT03243305,Mean
4821,NCT00223990,Mean
5602,NCT01134510,Mean
3806,NCT00578812,Mean
1132,NCT00291551,Mean
1129,NCT03243305,Mean
1530,NCT00844532,Mean
4552,NCT00364182,Mean
4543,NCT01864564,Mean
3807,NCT00551200,Mean
4543,NCT01864564,Mean
1132,NCT00291551,Mean
7642,NCT00676143,Mean
1508,NCT00971633,Mean
7999,NCT01177137,Mean
1508,NCT00971633,Mean
5865,NCT03157531,Mean
3199,NCT02384460,Mean
7647,NCT00785577,Mean
3275,NCT01390233,Mean
4566,NCT02379221,Mean
5907,NCT01928849,Mean
8001,NCT02949128,Mean
7999,NCT01177137,Mean
7643,NCT00386100,Mean
7999,NCT01177137,Mean
7999,NCT01177137,Mean
7643,NCT00386100,Mean
4821,NCT00223990,Mean
1084,NCT01720277,Mean
3201,NCT01570751,Mean
1084,NCT01720277,Mean
4834,NCT01881828,Mean
1641,NCT00585104,Mean
8077,NCT00124943,Mean
8077,NCT00124943,Mean
1641,NCT00585104,Mean
1642,NCT01640171,Mean
8077,NCT00124943,Mean
8103,NCT01537068,Mean
8105,NCT02088177,Mean
4834,NCT01881828,Mean
3632,NCT00978627,Mean
3632,NCT00978627,Mean
3632,NCT00978627,Mean
1649,NCT02556112,Mean
4834,NCT01881828,Mean
3819,NCT00725101,Mean
8077,NCT00124943,Mean
8077,NCT00124943,Mean
8077,NCT00124943,Mean
1637,NCT03334175,Mean
3638,NCT00608426,Mean
3637,NCT00336232,Mean
8064,NCT01155830,Mean
1637,NCT03334175,Mean
1053,NCT02420041,Mean
4834,NCT01881828,Mean
1637,NCT03334175,Mean
8076,NCT02967016,Mean
1637,NCT03334175,Mean
1638,NCT03338803,Mean
8073,NCT02184494,Mean
8076,NCT02967016,Mean
3816,NCT00106431,Mean
4543,NCT01864564,Mean
1649,NCT02556112,Mean
1649,NCT02556112,Mean
1649,NCT02556112,Mean
4533,NCT02972515,Mean
7440,NCT02215200,Mean
3821,NCT00796419,Mean
4542,NCT00333229,Mean
1013,NCT01241513,Mean
7437,NCT00823212,Mean
7437,NCT00823212,Mean
4533,NCT02972515,Mean
4834,NCT01881828,Mean
3823,NCT01894087,Mean
1009,NCT00243243,Mean
7437,NCT00823212,Mean
1668,NCT01913353,Mean
8132,NCT03599193,Mean
7026,NCT03237013,Mean
1659,NCT01966718,Mean
3631,NCT02587520,Mean
1649,NCT02556112,Mean
8123,NCT01980771,Mean
8106,NCT00302055,Mean
1650,NCT01329679,Mean
1023,NCT02755831,Mean
1023,NCT02755831,Mean
3819,NCT00725101,Mean
3819,NCT00725101,Mean
3819,NCT00725101,Mean
1015,NCT00689260,Mean
3819,NCT00725101,Mean
1655,NCT01205776,Mean
1019,NCT01317667,Mean
3819,NCT00725101,Mean
1017,NCT02200055,Mean
4543,NCT01864564,Mean
7458,NCT01672710,Mean
7463,NCT02320903,Mean
7565,NCT02246413,Mean
8063,NCT00604214,Mean
7558,NCT03207750,Mean
1080,NCT01411839,Mean
1080,NCT01411839,Mean
1603,NCT02963935,Mean
7550,NCT01510834,Mean
1080,NCT01411839,Mean
1603,NCT02963935,Mean
5933,NCT00628498,Mean
3644,NCT00518882,Mean
5846,NCT00291161,Mean
3812,NCT01264887,Mean
1080,NCT01411839,Mean
3643,NCT00936897,Mean
7549,NCT02820038,Mean
8051,NCT02251743,Mean
1599,NCT00116428,Mean
1080,NCT01411839,Mean
8051,NCT02251743,Mean
1084,NCT01720277,Mean
1084,NCT01720277,Mean
1084,NCT01720277,Mean
5919,NCT01086475,Mean
3202,NCT03040466,Mean
1591,NCT02287688,Mean
4829,NCT02698371,Mean
3644,NCT00518882,Mean
1599,NCT00116428,Mean
7563,NCT01775670,Mean
3644,NCT00518882,Mean
3644,NCT00518882,Mean
3644,NCT00518882,Mean
1084,NCT01720277,Mean
3644,NCT00518882,Mean
1609,NCT03293654,Mean
4834,NCT01881828,Mean
8051,NCT02251743,Mean
1062,NCT01078246,Mean
1066,NCT03975790,Mean
1065,NCT01589978,Mean
7505,NCT00337428,Mean
1065,NCT01589978,Mean
1065,NCT01589978,Mean
8063,NCT00604214,Mean
8063,NCT00604214,Mean
7519,NCT00513500,Mean
7474,NCT01175707,Mean
1628,NCT00722124,Mean
8063,NCT00604214,Mean
1628,NCT00722124,Mean
8063,NCT00604214,Mean
8063,NCT00604214,Mean
3002,NCT00001703,Mean
8063,NCT00604214,Mean
1609,NCT03293654,Mean
1073,NCT01306968,Mean
1609,NCT03293654,Mean
3812,NCT01264887,Mean
5938,NCT02319967,Mean
1075,NCT00618956,Mean
7541,NCT01396187,Mean
3812,NCT01264887,Mean
3812,NCT01264887,Mean
8051,NCT02251743,Mean
1073,NCT01306968,Mean
1616,NCT03866434,Mean
3813,NCT00125138,Mean
5841,NCT02796651,Mean
7526,NCT01299116,Mean
1617,NCT01847560,Mean
7690,NCT00571038,Mean
4821,NCT00223990,Mean
4533,NCT02972515,Mean
3712,NCT01272232,Mean
1306,NCT03693937,Mean
7868,NCT00337467,Mean
7868,NCT00337467,Mean
4821,NCT00223990,Mean
1405,NCT02496221,Mean
3712,NCT01272232,Mean
7868,NCT00337467,Mean
1406,NCT02601469,Mean
7812,NCT01102972,Mean
7810,NCT03136484,Mean
7868,NCT00337467,Mean
1406,NCT02601469,Mean
3731,NCT01786993,Mean
7871,NCT00248040,Mean
7810,NCT03136484,Mean
7868,NCT00337467,Mean
7868,NCT00337467,Mean
7868,NCT00337467,Mean
1315,NCT01954251,Mean
7858,NCT01632241,Mean
4807,NCT02359045,Mean
3714,NCT00294723,Mean
7815,NCT02849080,Mean
1316,NCT02207608,Mean
1397,NCT00289315,Mean
1398,NCT00412087,Mean
1309,NCT00263887,Mean
7813,NCT02216123,Mean
7867,NCT00933270,Mean
1312,NCT00220805,Mean
1312,NCT00220805,Mean
1312,NCT00220805,Mean
7868,NCT00337467,Mean
7872,NCT04027218,Mean
7809,NCT01495923,Mean
4638,NCT02410278,Mean
3712,NCT01272232,Mean
1422,NCT01092910,Mean
7899,NCT00272779,Mean
1287,NCT00220779,Mean
7804,NCT00860470,Mean
1423,NCT01422889,Mean
3736,NCT02391948,Mean
7910,NCT01856673,Mean
1283,NCT02223338,Mean
7913,NCT00719563,Mean
4752,NCT01191411,Mean
3712,NCT01272232,Mean
4722,NCT02094898,Mean
7798,NCT00256750,Mean
1268,NCT00328926,Mean
7916,NCT01006018,Mean
4756,NCT00672594,Mean
7897,NCT02415595,Mean
3187,NCT01553318,Mean
7877,NCT00823979,Mean
3731,NCT01786993,Mean
7808,NCT01412541,Mean
1297,NCT04067401,Mean
3712,NCT01272232,Mean
7807,NCT01848184,Mean
3712,NCT01272232,Mean
1294,NCT00220740,Mean
1421,NCT02394457,Mean
1294,NCT00220740,Mean
7881,NCT01393626,Mean
7804,NCT00860470,Mean
1421,NCT02394457,Mean
4764,NCT01843751,Mean
7883,NCT01470599,Mean
7819,NCT00742859,Mean
5885,NCT01988402,Mean
