,NCTId,LeadSponsorClass
4962,NCT03168698,OTHER
4950,NCT01722474,OTHER
4961,NCT03106363,OTHER
7589,NCT03967912,OTHER
4959,NCT01584596,OTHER
4958,NCT00847756,OTHER
4957,NCT02178410,OTHER
7590,NCT03839719,OTHER
4955,NCT03230669,OTHER
4954,NCT02299115,OTHER
4953,NCT00817947,OTHER
7591,NCT03844061,OTHER
4979,NCT04030273,OTHER
4980,NCT02093091,OTHER
4981,NCT02375659,OTHER
4982,NCT01063296,OTHER
7581,NCT03705377,OTHER
7582,NCT03932929,OTHER
7583,NCT00235235,OTHER
1,NCT04474496,OTHER
4999,NCT01722032,OTHER
4998,NCT01874951,OTHER
7584,NCT04046965,OTHER
4996,NCT01626729,OTHER
4995,NCT02186379,OTHER
4994,NCT04043689,OTHER
4993,NCT02154555,OTHER
4992,NCT02122640,OTHER
4991,NCT01174173,OTHER
4990,NCT01892631,OTHER
4989,NCT04071327,OTHER
4988,NCT02381340,OTHER
4987,NCT00659087,OTHER
4986,NCT03230305,OTHER
7585,NCT04035382,OTHER
4984,NCT03693313,OTHER
4983,NCT02720484,OTHER
4951,NCT04055688,OTHER
4948,NCT03426891,OTHER
4895,NCT03696290,OTHER
7600,NCT04271150,OTHER
4918,NCT01267110,OTHER
4917,NCT01915160,OTHER
7598,NCT01925963,OTHER
4915,NCT02862184,OTHER
7599,NCT04320576,OTHER
4913,NCT02136628,OTHER
4912,NCT00582478,OTHER
4911,NCT04379063,OTHER
4910,NCT04570449,OTHER
4909,NCT03419728,OTHER
4906,NCT00940784,OTHER
4947,NCT03908255,OTHER
4905,NCT01803464,OTHER
4904,NCT03111810,OTHER
4903,NCT02443220,OTHER
4902,NCT00848523,OTHER
4901,NCT03969264,OTHER
4900,NCT03305497,OTHER
4899,NCT04446728,OTHER
4898,NCT02684071,OTHER
4897,NCT02414529,OTHER
4896,NCT03674801,OTHER
4919,NCT03554785,OTHER
4920,NCT00159458,OTHER
4921,NCT02433210,OTHER
4923,NCT04273152,OTHER
4946,NCT04040504,OTHER
4945,NCT03272438,OTHER
4944,NCT04143113,OTHER
7592,NCT04146168,OTHER
4942,NCT02165644,OTHER
7594,NCT03936738,OTHER
4940,NCT00465010,OTHER
4939,NCT03030508,OTHER
4938,NCT01785004,OTHER
4937,NCT04271462,OTHER
4936,NCT03833375,OTHER
4935,NCT04549493,OTHER
4934,NCT00141908,OTHER
7595,NCT04545424,OTHER
4932,NCT00588471,OTHER
4931,NCT04158830,OTHER
4930,NCT02068924,OTHER
4929,NCT00422799,OTHER
4926,NCT03654118,OTHER
7596,NCT01661283,OTHER
4924,NCT03567837,OTHER
4351,NCT03159234,OTHER
4333,NCT04375293,OTHER
4349,NCT02915471,OTHER
3617,NCT03148496,OTHER
8097,NCT03772210,OTHER
3628,NCT00733096,OTHER
3627,NCT01004133,OTHER
3626,NCT01188070,OTHER
3624,NCT00064870,OTHER
8098,NCT03582566,OTHER
8099,NCT00876226,OTHER
8100,NCT00336089,OTHER
8101,NCT03887793,OTHER
3618,NCT02234557,OTHER
3616,NCT02720497,OTHER
3604,NCT04306445,OTHER
3615,NCT02239328,OTHER
3614,NCT01707524,OTHER
3613,NCT02602691,OTHER
8102,NCT02219399,OTHER
3611,NCT04371887,OTHER
8103,NCT01537068,OTHER
3609,NCT03966053,OTHER
3608,NCT01539720,OTHER
8104,NCT04106882,OTHER
3606,NCT04002830,OTHER
3630,NCT00988403,OTHER
8096,NCT03790358,OTHER
8095,NCT04294966,OTHER
3633,NCT03830307,OTHER
8084,NCT02858778,OTHER
8085,NCT01052220,OTHER
3655,NCT03992469,OTHER
3653,NCT01917994,OTHER
3651,NCT04135404,OTHER
3650,NCT03739021,OTHER
3649,NCT02600936,OTHER
3647,NCT01070056,OTHER
3646,NCT00258869,OTHER
8087,NCT02571478,OTHER
8088,NCT03893708,OTHER
8089,NCT03489434,OTHER
3642,NCT02521454,OTHER
8090,NCT02036905,OTHER
3640,NCT03304912,OTHER
8091,NCT02337296,OTHER
8092,NCT03481049,OTHER
3637,NCT00336232,OTHER
8093,NCT02952352,OTHER
8094,NCT02825771,OTHER
3634,NCT03555266,OTHER
8105,NCT02088177,OTHER
3603,NCT00727636,OTHER
8083,NCT00395499,OTHER
3559,NCT04069832,OTHER
8112,NCT02981160,OTHER
3572,NCT02404012,OTHER
8113,NCT00679666,OTHER
8114,NCT01683227,OTHER
8115,NCT04441307,OTHER
8116,NCT02424526,OTHER
3566,NCT02021604,OTHER
3565,NCT01566500,OTHER
3563,NCT03786471,OTHER
3562,NCT01178320,OTHER
3558,NCT02795624,OTHER
3602,NCT01533480,OTHER
3557,NCT03652740,OTHER
3556,NCT01810354,OTHER
3554,NCT01410669,OTHER
3553,NCT03201029,OTHER
3552,NCT03736486,OTHER
3551,NCT01212978,OTHER
8117,NCT03730259,OTHER
3549,NCT00156520,OTHER
