,NCTId,StudyType
2176,NCT00546858,Observational
2160,NCT03304990,Observational
2161,NCT04125537,Observational
6800,NCT02228668,Observational
6802,NCT01128023,Observational
2172,NCT04337138,Observational
6804,NCT02113228,Observational
2178,NCT01696409,Observational
3908,NCT00880178,Observational
8147,NCT03325946,Observational
8141,NCT04212351,Observational
3912,NCT00398528,Observational
2187,NCT03261089,Observational
2188,NCT00615706,Observational
6813,NCT03366532,Observational
6751,NCT03156088,Observational
2089,NCT03400345,Observational
2088,NCT04372108,Observational
8282,NCT02387281,Observational
6700,NCT02796716,Observational
4046,NCT00005159,Observational
1994,NCT00542672,Observational
1996,NCT03865303,Observational
1999,NCT02408029,Observational
2001,NCT00669045,Observational
2006,NCT02550366,Observational
8290,NCT00608036,Observational
2007,NCT02698670,Observational
8278,NCT01240616,Observational
2009,NCT02233192,Observational
4038,NCT00402922,Observational
2012,NCT01903291,Observational
8275,NCT00737321,Observational
1990,NCT02557152,Observational
4049,NCT03031457,Observational
2015,NCT00578994,Observational
4059,NCT01587638,Observational
1960,NCT04545333,Observational
1961,NCT01226862,Observational
1962,NCT00454415,Observational
8307,NCT04208685,Observational
1971,NCT01617915,Observational
1972,NCT02838368,Observational
6692,NCT03867357,Observational
1987,NCT00599014,Observational
1975,NCT00710619,Observational
4057,NCT00272363,Observational
8300,NCT00917007,Observational
1979,NCT04571697,Observational
8297,NCT04206787,Observational
4051,NCT00257907,Observational
8274,NCT02074254,Observational
2016,NCT01318772,Observational
8218,NCT03065426,Observational
3991,NCT00005131,Observational
3992,NCT00884013,Observational
2071,NCT00204048,Observational
2072,NCT00661128,Observational
8227,NCT02257099,Observational
2074,NCT01585571,Observational
2075,NCT04358900,Observational
2077,NCT00294060,Observational
6743,NCT03221777,Observational
2078,NCT00338741,Observational
8224,NCT00759733,Observational
3987,NCT01651247,Observational
2084,NCT01716130,Observational
3986,NCT01282008,Observational
6750,NCT01711411,Observational
6746,NCT01449825,Observational
6735,NCT04074486,Observational
4033,NCT00004342,Observational
6720,NCT01020318,Observational
2022,NCT01321892,Observational
2024,NCT00134927,Observational
2029,NCT04498481,Observational
2030,NCT03269721,Observational
2031,NCT03199794,Observational
4026,NCT01322529,Observational
2041,NCT02147418,Observational
4005,NCT04435873,Observational
2044,NCT00563901,Observational
2048,NCT01110538,Observational
4012,NCT01390909,Observational
4009,NCT00005278,Observational
2054,NCT01982149,Observational
4006,NCT03032770,Observational
8505,NCT00846534,Observational
4230,NCT01654926,Observational
6555,NCT02378090,Observational
1714,NCT01846312,Observational
1347,NCT01639053,Observational
1350,NCT01198964,Observational
4484,NCT02963441,Observational
8782,NCT03135756,Observational
8781,NCT03199079,Observational
4482,NCT01481285,Observational
6358,NCT02927288,Observational
4472,NCT04211077,Observational
8768,NCT02559869,Observational
1377,NCT03746847,Observational
1378,NCT02178462,Observational
4469,NCT00570297,Observational
1380,NCT01061164,Observational
4466,NCT04395781,Observational
1385,NCT02989103,Observational
8798,NCT01992432,Observational
8800,NCT00589459,Observational
4499,NCT02398942,Observational
1329,NCT00588796,Observational
6327,NCT02780414,Observational
4518,NCT03303859,Observational
4517,NCT02817854,Observational
6332,NCT04414904,Observational
6334,NCT04326517,Observational
4509,NCT03955874,Observational
4506,NCT03543891,Observational
4500,NCT00418899,Observational
8809,NCT01283295,Observational
6337,NCT04213664,Observational
4503,NCT04579601,Observational
4502,NCT03452514,Observational
8804,NCT01659814,Observational
4501,NCT00097292,Observational
6369,NCT00028145,Observational
8758,NCT03564522,Observational
4461,NCT00132249,Observational
1450,NCT01952028,Observational
1438,NCT02357381,Observational
1441,NCT02921048,Observational
1442,NCT01613001,Observational
1443,NCT03876665,Observational
8715,NCT04154618,Observational
6411,NCT02438592,Observational
1451,NCT01002885,Observational
1434,NCT01792791,Observational
1452,NCT00997503,Observational
1454,NCT03269331,Observational
6414,NCT01418014,Observational
6418,NCT00756652,Observational
1461,NCT02009930,Observational
1462,NCT01917643,Observational
1437,NCT03875651,Observational
6399,NCT01658618,Observational
1394,NCT01675440,Observational
1411,NCT02406534,Observational
6375,NCT02752672,Observational
6379,NCT00587392,Observational
1402,NCT03620786,Observational
4447,NCT01194336,Observational
4446,NCT01387529,Observational
8741,NCT02395341,Observational
1412,NCT02280733,Observational
6394,NCT00912132,Observational
6386,NCT03205865,Observational
1415,NCT02544334,Observational
1418,NCT01322633,Observational
6390,NCT02490579,Observational
8732,NCT00896701,Observational
1423,NCT01422889,Observational
4525,NCT01273077,Observational
4526,NCT01431924,Observational
4527,NCT03132857,Observational
4611,NCT03183401,Observational
1189,NCT03532230,Observational
4619,NCT03747783,Observational
1192,NCT01713881,Observational
4618,NCT03598660,Observational
1194,NCT02273882,Observational
4613,NCT01409681,Observational
8918,NCT00968500,Observational
4624,NCT01889225,Observational
4604,NCT00908830,Observational
1210,NCT00410475,Observational
6262,NCT01769612,Observational
4596,NCT04163224,Observational
1224,NCT03451058,Observational
4588,NCT00015613,Observational
4623,NCT04427995,Observational
4625,NCT02476630,Observational
1229,NCT01287351,Observational
6232,NCT01303367,Observational
1159,NCT02874222,Observational
1162,NCT02380274,Observational
1163,NCT04582266,Observational
6229,NCT04562012,Observational
1165,NCT03845400,Observational
1168,NCT02032459,Observational
1171,NCT00339924,Observational
1183,NCT01375036,Observational
1173,NCT04542915,Observational
6235,NCT02815852,Observational
1177,NCT03180853,Observational
1180,NCT00803387,Observational
4626,NCT03709888,Observational
1182,NCT04496414,Observational
4587,NCT03613623,Observational
1230,NCT02818413,Observational
1306,NCT03693937,Observational
6310,NCT04306523,Observational
8855,NCT00769951,Observational
4548,NCT03403257,Observational
6305,NCT03494738,Observational
6307,NCT01727856,Observational
6309,NCT04385251,Observational
1288,NCT03043300,Observational
4541,NCT02366234,Observational
8861,NCT00967083,Observational
8840,NCT00960765,Observational
4534,NCT00656955,Observational
4531,NCT01330264,Observational
1302,NCT02105896,Observational
1303,NCT00118651,Observational
1305,NCT04374201,Observational
6303,NCT00352391,Observational
6297,NCT01871909,Observational
1231,NCT03615599,Observational
1254,NCT01605669,Observational
4585,NCT00596908,Observational
1239,NCT01034813,Observational
1242,NCT04396626,Observational
6281,NCT00337181,Observational
1246,NCT02403934,Observational
4573,NCT02359916,Observational
1256,NCT00134849,Observational
1270,NCT01890850,Observational
1257,NCT00134797,Observational
4562,NCT04451070,Observational
8870,NCT02318186,Observational
1265,NCT04010162,Observational
8867,NCT03095391,Observational
4558,NCT02555904,Observational
1463,NCT00775398,Observational
6419,NCT02968355,Observational
4408,NCT04334707,Observational
6515,NCT03198819,Observational
6512,NCT03726463,Observational
1630,NCT04407195,Observational
1633,NCT02964481,Observational
4285,NCT03984227,Observational
1635,NCT00001853,Observational
1636,NCT01273220,Observational
1638,NCT03338803,Observational
4290,NCT04180930,Observational
1639,NCT00632346,Observational
4283,NCT00726661,Observational
4281,NCT04278183,Observational
1644,NCT02188329,Observational
6519,NCT03820921,Observational
4276,NCT04398901,Observational
6511,NCT02597881,Observational
1626,NCT01336361,Observational
1654,NCT00889772,Observational
1606,NCT02060513,Observational
4310,NCT00173823,Observational
4307,NCT04145141,Observational
1600,NCT00786786,Observational
4305,NCT02304263,Observational
6499,NCT01301638,Observational
8589,NCT01698983,Observational
4301,NCT00312169,Observational
6509,NCT01935102,Observational
1611,NCT02555527,Observational
8585,NCT02700698,Observational
1613,NCT00785304,Observational
1615,NCT01582802,Observational
1617,NCT01847560,Observational
1622,NCT04337762,Observational
1652,NCT01574677,Observational
1658,NCT02550886,Observational
8600,NCT00873366,Observational
4237,NCT02100904,Observational
1694,NCT00342927,Observational
1695,NCT00833963,Observational
8523,NCT03731598,Observational
6549,NCT02524613,Observational
1701,NCT01950572,Observational
8518,NCT03602456,Observational
6552,NCT00341861,Observational
1691,NCT02568202,Observational
8514,NCT00030940,Observational
1708,NCT04417673,Observational
8513,NCT03849716,Observational
8512,NCT01012180,Observational
1711,NCT00783497,Observational
6554,NCT00710957,Observational
8525,NCT00342966,Observational
1690,NCT00012701,Observational
4267,NCT03572595,Observational
1674,NCT03621826,Observational
4264,NCT01480999,Observational
6535,NCT00337688,Observational
1669,NCT04047121,Observational
1670,NCT03789721,Observational
4258,NCT00339651,Observational
4256,NCT00391664,Observational
1675,NCT02005198,Observational
4244,NCT00615407,Observational
6538,NCT03889392,Observational
4251,NCT04180423,Observational
4248,NCT03957577,Observational
8531,NCT00284453,Observational
4246,NCT03251794,Observational
1688,NCT03947593,Observational
8599,NCT01503307,Observational
1592,NCT02873013,Observational
6421,NCT04408105,Observational
6444,NCT01098279,Observational
4381,NCT01013636,Observational
4380,NCT02178982,Observational
6442,NCT01744899,Observational
1502,NCT00763724,Observational
1503,NCT00640692,Observational
1504,NCT04369729,Observational
4374,NCT02441998,Observational
6439,NCT02601820,Observational
4373,NCT00001469,Observational
4371,NCT01504217,Observational
4370,NCT00984451,Observational
6450,NCT02814825,Observational
4366,NCT00760162,Observational
6458,NCT01098292,Observational
6441,NCT02897414,Observational
6433,NCT03400436,Observational
8646,NCT00870324,Observational
6426,NCT04306705,Observational
6422,NCT03872895,Observational
6423,NCT03662776,Observational
1470,NCT01921127,Observational
1471,NCT01088503,Observational
1474,NCT03399461,Observational
4402,NCT03579329,Observational
1477,NCT02195505,Observational
4391,NCT03714711,Observational
1478,NCT02040025,Observational
6427,NCT03756545,Observational
4399,NCT04293536,Observational
4398,NCT03719963,Observational
4397,NCT04569344,Observational
4396,NCT00662571,Observational
4354,NCT01588938,Observational
4353,NCT00342758,Observational
1591,NCT02287688,Observational
1577,NCT01334541,Observational
4334,NCT01624623,Observational
6477,NCT02232711,Observational
4330,NCT01182467,Observational
4326,NCT04534621,Observational
6485,NCT03645551,Observational
1576,NCT01207167,Observational
4318,NCT00914784,Observational
1558,NCT00733512,Observational
1579,NCT02296164,Observational
1583,NCT01524146,Observational
8604,NCT00176722,Observational
1586,NCT03276247,Observational
1588,NCT00342771,Observational
1590,NCT04419883,Observational
4335,NCT01589939,Observational
4336,NCT04176627,Observational
1531,NCT03261882,Observational
4346,NCT02925156,Observational
4352,NCT04561804,Observational
1533,NCT02406391,Observational
4350,NCT02702479,Observational
1538,NCT01294124,Observational
8639,NCT02111525,Observational
1540,NCT00633516,Observational
6466,NCT01850940,Observational
6470,NCT00904579,Observational
1545,NCT03264898,Observational
1546,NCT01108848,Observational
1547,NCT02542046,Observational
1548,NCT03903588,Observational
6469,NCT02381054,Observational
1551,NCT03249675,Observational
6828,NCT01496014,Observational
3888,NCT01156090,Observational
1157,NCT03599739,Observational
7237,NCT01434173,Observational
3420,NCT00339235,Observational
7579,NCT03842111,Observational
7578,NCT01959321,Observational
7577,NCT00431847,Observational
2904,NCT03304548,Observational
3417,NCT00072813,Observational
2909,NCT01004952,Observational
7192,NCT03973593,Observational
7571,NCT03060109,Observational
2912,NCT00381992,Observational
7568,NCT02758236,Observational
2916,NCT02302950,Observational
2917,NCT01779804,Observational
7567,NCT03870204,Observational
7196,NCT03745495,Observational
7581,NCT03705377,Observational
2898,NCT01944306,Observational
7583,NCT00235235,Observational
3430,NCT01375686,Observational
7598,NCT01925963,Observational
2879,NCT00340548,Observational
3432,NCT02997293,Observational
2881,NCT01322750,Observational
2882,NCT00375089,Observational
3431,NCT01938222,Observational
7594,NCT03936738,Observational
7584,NCT04046965,Observational
3429,NCT01880034,Observational
7592,NCT04146168,Observational
3427,NCT02833922,Observational
7184,NCT02329639,Observational
7185,NCT02073240,Observational
3423,NCT01613833,Observational
2922,NCT00341159,Observational
2923,NCT01407146,Observational
2924,NCT02188381,Observational
3376,NCT00730704,Observational
7219,NCT00270764,Observational
7220,NCT00270725,Observational
3379,NCT03523780,Observational
7530,NCT02949063,Observational
3377,NCT01212003,Observational
2973,NCT00342446,Observational
2975,NCT03394040,Observational
7536,NCT00368095,Observational
2978,NCT03801863,Observational
3373,NCT03221192,Observational
3371,NCT01320150,Observational
3370,NCT02226835,Observational
2985,NCT01316783,Observational
7230,NCT02405026,Observational
2964,NCT02023528,Observational
2961,NCT00005311,Observational
2925,NCT04465019,Observational
2944,NCT03007134,Observational
3407,NCT01058148,Observational
2933,NCT01510418,Observational
3402,NCT03738462,Observational
2938,NCT00573898,Observational
2941,NCT01276678,Observational
3395,NCT03643783,Observational
7547,NCT04602416,Observational
3389,NCT01611402,Observational
2947,NCT00339430,Observational
3392,NCT02177006,Observational
2950,NCT03680495,Observational
2951,NCT00342875,Observational
2952,NCT02580032,Observational
2953,NCT00074685,Observational
2877,NCT02441348,Observational
3433,NCT03225131,Observational
3436,NCT02775461,Observational
7669,NCT04377581,Observational
7675,NCT00731887,Observational
7674,NCT03170297,Observational
7129,NCT03143179,Observational
7671,NCT03865901,Observational
2786,NCT00818896,Observational
2787,NCT01415570,Observational
2789,NCT03087253,Observational
7679,NCT03289130,Observational
2791,NCT01790386,Observational
7666,NCT02298361,Observational
2794,NCT00097617,Observational
7665,NCT01989273,Observational
2797,NCT00120224,Observational
7134,NCT01405001,Observational
3499,NCT04420156,Observational
3503,NCT00579150,Observational
2800,NCT04318925,Observational
2762,NCT01801670,Observational
2749,NCT03990350,Observational
2750,NCT00527839,Observational
7701,NCT01145443,Observational
3521,NCT01212289,Observational
3519,NCT03981835,Observational
3514,NCT00451022,Observational
3512,NCT01704573,Observational
7124,NCT04534972,Observational
2764,NCT00005525,Observational
7122,NCT04586049,Observational
3507,NCT01439477,Observational
7685,NCT03478553,Observational
3506,NCT02352389,Observational
7123,NCT04575402,Observational
7135,NCT00615979,Observational
2801,NCT00530426,Observational
7178,NCT00651872,Observational
7170,NCT01508130,Observational
2839,NCT00005781,Observational
2841,NCT03465995,Observational
7626,NCT03446131,Observational
2846,NCT00001204,Observational
7625,NCT02171312,Observational
3455,NCT01284127,Observational
2859,NCT01966094,Observational
3467,NCT02775565,Observational
3446,NCT00358761,Observational
3444,NCT03027440,Observational
3443,NCT01787812,Observational
7176,NCT01780701,Observational
2868,NCT02402803,Observational
2869,NCT03155880,Observational
3464,NCT00311506,Observational
7639,NCT02910557,Observational
7660,NCT00681694,Observational
3483,NCT00359411,Observational
7137,NCT00257647,Observational
7138,NCT00249080,Observational
2806,NCT00221923,Observational
7139,NCT00188682,Observational
2809,NCT00581516,Observational
3484,NCT00487760,Observational
2813,NCT00001571,Observational
2829,NCT00495209,Observational
7145,NCT02457663,Observational
2818,NCT02709135,Observational
7146,NCT03830840,Observational
3472,NCT02367287,Observational
7640,NCT00468832,Observational
2828,NCT02101619,Observational
7232,NCT03288233,Observational
7509,NCT03510286,Observational
6831,NCT03889028,Observational
7507,NCT04096521,Observational
3133,NCT00180466,Observational
7399,NCT04020471,Observational
7295,NCT03905668,Observational
7397,NCT03567421,Observational
7297,NCT02071446,Observational
3142,NCT04131504,Observational
3143,NCT00634764,Observational
7302,NCT02194582,Observational
3263,NCT00022997,Observational
7388,NCT01554891,Observational
7386,NCT02553148,Observational
3252,NCT01070082,Observational
3251,NCT03213184,Observational
3162,NCT02190266,Observational
3250,NCT00540540,Observational
7403,NCT03379220,Observational
7291,NCT02825654,Observational
3128,NCT00425880,Observational
3113,NCT04608149,Observational
3287,NCT00291044,Observational
7421,NCT01444612,Observational
3286,NCT01054924,Observational
7418,NCT01123798,Observational
7416,NCT03503097,Observational
3112,NCT02366286,Observational
3114,NCT01722903,Observational
7405,NCT01194024,Observational
3116,NCT04014348,Observational
3280,NCT02354716,Observational
7411,NCT04387019,Observational
7288,NCT00222690,Observational
3123,NCT03351140,Observational
7407,NCT02439736,Observational
7315,NCT03144427,Observational
7316,NCT03762070,Observational
3168,NCT01860092,Observational
7328,NCT01309347,Observational
3193,NCT00582270,Observational
3195,NCT01445158,Observational
3196,NCT03680365,Observational
7327,NCT01455324,Observational
7345,NCT02518893,Observational
3225,NCT00476580,Observational
3204,NCT03911284,Observational
3233,NCT01005654,Observational
3206,NCT00317564,Observational
7331,NCT04565366,Observational
3220,NCT02121132,Observational
7338,NCT03026556,Observational
3211,NCT03615950,Observational
3219,NCT01673750,Observational
3192,NCT04191551,Observational
3234,NCT00001235,Observational
3245,NCT03688412,Observational
3177,NCT00250133,Observational
3244,NCT02713321,Observational
7367,NCT01623492,Observational
7366,NCT04602806,Observational
3242,NCT01175629,Observational
3241,NCT02417714,Observational
7318,NCT04233944,Observational
3178,NCT04077164,Observational
3236,NCT00924365,Observational
3179,NCT01162356,Observational
7361,NCT03962712,Observational
3181,NCT02266251,Observational
7360,NCT01132937,Observational
3239,NCT03037021,Observational
3237,NCT00824941,Observational
3288,NCT02194725,Observational
3289,NCT00855374,Observational
3102,NCT00031291,Observational
3032,NCT00005722,Observational
7484,NCT03429257,Observational
7483,NCT03571932,Observational
3341,NCT00990262,Observational
3029,NCT00913757,Observational
7249,NCT01232881,Observational
7250,NCT01194661,Observational
7251,NCT00885131,Observational
3022,NCT01168297,Observational
3337,NCT00454467,Observational
7477,NCT02368106,Observational
3336,NCT00005924,Observational
3335,NCT00454506,Observational
7252,NCT00754169,Observational
3332,NCT02974764,Observational
7486,NCT03366454,Observational
7488,NCT02894294,Observational
7254,NCT00466934,Observational
7498,NCT01033513,Observational
2998,NCT01807572,Observational
3357,NCT02039882,Observational
3355,NCT01445327,Observational
7503,NCT01637324,Observational
7501,NCT04050449,Observational
3352,NCT00805246,Observational
3009,NCT03318237,Observational
3020,NCT02084836,Observational
7496,NCT00615641,Observational
3348,NCT04422600,Observational
3014,NCT00991185,Observational
3347,NCT00345475,Observational
3345,NCT01116323,Observational
3019,NCT00481754,Observational
7471,NCT00783770,Observational
7255,NCT00314769,Observational
3290,NCT00855296,Observational
3091,NCT00000783,Observational
3308,NCT00001908,Observational
3307,NCT01837498,Observational
3305,NCT04398628,Observational
3302,NCT01117571,Observational
3301,NCT02610465,Observational
3297,NCT00001659,Observational
3296,NCT04587258,Observational
7271,NCT02465307,Observational
7279,NCT00658190,Observational
3294,NCT01416467,Observational
3293,NCT00341835,Observational
3096,NCT04097834,Observational
3099,NCT03992729,Observational
3100,NCT02039960,Observational
3077,NCT00005667,Observational
7447,NCT01434771,Observational
3044,NCT00391352,Observational
7466,NCT00657787,Observational
3045,NCT00799097,Observational
3046,NCT00453700,Observational
3048,NCT00986648,Observational
3050,NCT01950650,Observational
3051,NCT00811278,Observational
3052,NCT00879840,Observational
3056,NCT02351518,Observational
3073,NCT03864367,Observational
3325,NCT00413621,Observational
3324,NCT00469339,Observational
7459,NCT00007722,Observational
3317,NCT04098900,Observational
7453,NCT01826760,Observational
3312,NCT01678625,Observational
7704,NCT02088671,Observational
7705,NCT04377412,Observational
3524,NCT00845052,Observational
2743,NCT00097552,Observational
3767,NCT04583072,Observational
2392,NCT03800628,Observational
2395,NCT03731351,Observational
2396,NCT00404872,Observational
6929,NCT02075801,Observational
3758,NCT03421626,Observational
7969,NCT03341858,Observational
7968,NCT00450281,Observational
6932,NCT03767699,Observational
2405,NCT01858519,Observational
2407,NCT02055222,Observational
3752,NCT00517166,Observational
7963,NCT00874211,Observational
2410,NCT00267631,Observational
2413,NCT00013442,Observational
3768,NCT03850223,Observational
6921,NCT02312349,Observational
3770,NCT04538495,Observational
2362,NCT01371864,Observational
8002,NCT03010644,Observational
8000,NCT04498975,Observational
6907,NCT00782392,Observational
2359,NCT01248156,Observational
2360,NCT00106951,Observational
2361,NCT00005444,Observational
2363,NCT01726985,Observational
6917,NCT00342199,Observational
2367,NCT04266314,Observational
3781,NCT02392078,Observational
2372,NCT01855620,Observational
2373,NCT02982993,Observational
2377,NCT02180074,Observational
2378,NCT02470260,Observational
3749,NCT03869515,Observational
7959,NCT03343158,Observational
2416,NCT01957085,Observational
7921,NCT03932799,Observational
2456,NCT00341692,Observational
2457,NCT01153555,Observational
2458,NCT00642213,Observational
2459,NCT00005245,Observational
3720,NCT00584051,Observational
2461,NCT02288702,Observational
7920,NCT03141567,Observational
3723,NCT02057705,Observational
7919,NCT02463968,Observational
2472,NCT03313271,Observational
2476,NCT00543153,Observational
3709,NCT00762060,Observational
7909,NCT03064620,Observational
3705,NCT01813266,Observational
3722,NCT01346527,Observational
6958,NCT01699035,Observational
3747,NCT00860886,Observational
2434,NCT04533425,Observational
2421,NCT02265250,Observational
7954,NCT00316836,Observational
6940,NCT01747824,Observational
2430,NCT01559649,Observational
3736,NCT02391948,Observational
2433,NCT03379558,Observational
2435,NCT04575168,Observational
2451,NCT04352764,Observational
2436,NCT03615235,Observational
7939,NCT03360799,Observational
2444,NCT02411396,Observational
6955,NCT01815554,Observational
7933,NCT03984747,Observational
3725,NCT01558479,Observational
3787,NCT01547351,Observational
2353,NCT01238432,Observational
2351,NCT04116229,Observational
3848,NCT02195778,Observational
8083,NCT00395499,Observational
3857,NCT00007592,Observational
3855,NCT03193879,Observational
3852,NCT04588662,Observational
6857,NCT03772730,Observational
3850,NCT04394234,Observational
2271,NCT00008749,Observational
2256,NCT03281590,Observational
6859,NCT01526291,Observational
8070,NCT03555331,Observational
2275,NCT01890044,Observational
2277,NCT00387166,Observational
6862,NCT01977846,Observational
2279,NCT01760408,Observational
2257,NCT00341848,Observational
6851,NCT01007890,Observational
8064,NCT01155830,Observational
3880,NCT00001479,Observational
2226,NCT00451841,Observational
8110,NCT01858311,Observational
6832,NCT01426919,Observational
2229,NCT03532256,Observational
3883,NCT01235156,Observational
6833,NCT02477943,Observational
6835,NCT02957461,Observational
3861,NCT00443443,Observational
3878,NCT02756494,Observational
6836,NCT02541123,Observational
3869,NCT01754064,Observational
2245,NCT00573092,Observational
2247,NCT02703701,Observational
6846,NCT00718393,Observational
2282,NCT02600910,Observational
6865,NCT03660696,Observational
3792,NCT00893815,Observational
6890,NCT03200886,Observational
3815,NCT00001163,Observational
2322,NCT01643512,Observational
6887,NCT02228265,Observational
8028,NCT01614353,Observational
2327,NCT01627210,Observational
3809,NCT03125460,Observational
6891,NCT04523259,Observational
3819,NCT00725101,Observational
2332,NCT03263195,Observational
3802,NCT00005175,Observational
3801,NCT01476423,Observational
3800,NCT01313130,Observational
8016,NCT02293824,Observational
6899,NCT00155649,Observational
3818,NCT01352676,Observational
8044,NCT00358254,Observational
2287,NCT00064480,Observational
