,NCTId,InterventionBrowseLeafId
4934,NCT00141908,T94
5308,NCT02145949,T9
8469,NCT00760383,T9
5641,NCT03579225,T88
6300,NCT01119326,T88
8538,NCT04170062,T88
1456,NCT03400475,T88
2221,NCT03148262,T88
5944,NCT01564524,T88
5957,NCT02267187,T88
6078,NCT01822301,T88
3467,NCT02775565,T88
2424,NCT03028688,T88
2443,NCT03479905,T88
3412,NCT04408352,T88
2518,NCT04129567,T88
4192,NCT03093662,T88
2954,NCT03408483,T88
6360,NCT03255681,T88
2816,NCT02931435,T88
6660,NCT02403232,T88
5295,NCT03615469,T85
1526,NCT02375256,T8
4443,NCT01556945,T8
6024,NCT03266965,T8
5308,NCT02145949,T8
6428,NCT04117607,T8
96,NCT02569632,T8
8469,NCT00760383,T8
6991,NCT01594008,T79
6923,NCT03370991,T79
7575,NCT04398784,T79
7688,NCT01942746,T79
1621,NCT04049162,T79
7767,NCT02050165,T79
1166,NCT01532622,T79
7293,NCT00599508,T79
7266,NCT01399138,T79
7265,NCT01888848,T79
7264,NCT02075307,T79
1002,NCT01686282,T79
1882,NCT01293617,T75
3576,NCT04005924,T75
4785,NCT02019680,T73
5920,NCT04021342,T71
1294,NCT00220740,T7
7257,NCT01031927,T7
6212,NCT02481310,T7
1883,NCT01283672,T65
1819,NCT01293604,T65
5761,NCT03711747,T63
1038,NCT03525184,T6
5320,NCT00016653,T6
123,NCT02053506,T6
4767,NCT00255229,T6
5916,NCT01239680,T6
8104,NCT04106882,T6
5000,NCT02270164,T59
2155,NCT00363038,T58
2112,NCT01164644,T58
7767,NCT02050165,T56
1605,NCT02142712,T5
8017,NCT01695291,T5
6774,NCT03342482,T5
1046,NCT02419443,T5
8514,NCT00030940,T5
1382,NCT04453293,T5
2683,NCT03004443,T5
4396,NCT00662571,T5
5658,NCT01365819,T482
2230,NCT01299896,T482
6405,NCT01083654,T482
2631,NCT00713479,T482
2657,NCT01011829,T482
2333,NCT00709696,T482
4077,NCT01871506,T482
6569,NCT00525837,T482
9432,NCT04210180,T482
4065,NCT01714323,T482
5194,NCT01347112,T482
3969,NCT01177176,T482
8853,NCT01156610,T482
2055,NCT02859142,T482
9464,NCT04176172,T482
9452,NCT04188873,T482
2866,NCT01106456,T482
9708,NCT03980561,T482
5061,NCT00747643,T482
8214,NCT03557294,T482
8577,NCT00749944,T482
8175,NCT00694044,T482
8309,NCT04188106,T482
5074,NCT04247087,T481
2155,NCT00363038,T481
1814,NCT00995917,T481
5849,NCT02297126,T481
7411,NCT04387019,T481
3637,NCT00336232,T481
5630,NCT01410084,T480
6643,NCT00342992,T480
1914,NCT02115724,T480
8323,NCT00308971,T480
2042,NCT01630551,T480
2618,NCT00798876,T480
8269,NCT04117022,T480
8110,NCT01858311,T480
7804,NCT00860470,T480
7074,NCT03866837,T480
2520,NCT03136029,T480
4751,NCT01369043,T480
2676,NCT00835289,T480
8755,NCT00903695,T480
3911,NCT00631085,T480
8163,NCT00700791,T480
4242,NCT00000173,T480
8588,NCT02360644,T479
1956,NCT00668941,T479
7678,NCT01968590,T479
5630,NCT01410084,T479
4586,NCT01728571,T479
5160,NCT01351805,T479
1855,NCT01617109,T479
4584,NCT01704859,T479
2417,NCT01049048,T479
1307,NCT01632761,T479
4888,NCT01633177,T479
4559,NCT01747447,T479
4583,NCT01696435,T479
3122,NCT01450462,T479
1379,NCT00907972,T479
7706,NCT01746264,T479
8272,NCT00874575,T479
6357,NCT01880463,T479
5837,NCT01601847,T479
6230,NCT00321932,T479
4582,NCT02239874,T479
4178,NCT04536298,T479
8023,NCT00742781,T479
6449,NCT04070833,T479
8574,NCT03483441,T479
4560,NCT01653678,T479
4579,NCT01782352,T479
3065,NCT03467789,T479
2178,NCT01696409,T479
4550,NCT01669915,T479
4554,NCT01684722,T479
2792,NCT02956408,T479
7786,NCT02066441,T479
5525,NCT01443728,T479
8958,NCT03410823,T479
5444,NCT00473239,T479
4532,NCT04386577,T479
2532,NCT01858051,T479
4508,NCT01169259,T479
2510,NCT01744821,T479
4637,NCT01630213,T479
4938,NCT01785004,T479
2501,NCT03012555,T479
6711,NCT01425476,T479
4957,NCT02178410,T479
1398,NCT00412087,T479
4540,NCT01758081,T479
5837,NCT01601847,T478
1379,NCT00907972,T478
3065,NCT03467789,T478
4559,NCT01747447,T478
3093,NCT01295879,T478
3737,NCT01488227,T478
6357,NCT01880463,T478
4560,NCT01653678,T478
4582,NCT02239874,T478
4508,NCT01169259,T478
4579,NCT01782352,T478
6449,NCT04070833,T478
5525,NCT01443728,T478
1398,NCT00412087,T478
4586,NCT01728571,T478
2178,NCT01696409,T478
1307,NCT01632761,T478
2702,NCT01217840,T478
4550,NCT01669915,T478
4554,NCT01684722,T478
4888,NCT01633177,T478
8272,NCT00874575,T478
2418,NCT02435771,T478
2803,NCT01570309,T478
4178,NCT04536298,T478
4540,NCT01758081,T478
7018,NCT01992263,T478
4637,NCT01630213,T478
4897,NCT02414529,T478
4583,NCT01696435,T478
5160,NCT01351805,T478
4957,NCT02178410,T478
4584,NCT01704859,T478
6904,NCT02011789,T477
123,NCT02053506,T477
7074,NCT03866837,T477
3383,NCT04381481,T477
2520,NCT03136029,T477
1008,NCT00350077,T477
4751,NCT01369043,T477
3489,NCT00184054,T477
9337,NCT04283630,T477
2409,NCT01364805,T477
7428,NCT02216812,T477
1914,NCT02115724,T477
9400,NCT04234581,T477
4072,NCT01127282,T477
8269,NCT04117022,T477
7804,NCT00860470,T477
4266,NCT02206425,T477
9261,NCT04344184,T477
9263,NCT04342728,T477
9850,NCT03866005,T476
7804,NCT00860470,T476
139,NCT01368549,T476
135,NCT01369030,T476
7074,NCT03866837,T476
140,NCT01370954,T476
3487,NCT01482962,T476
4569,NCT03853304,T476
145,NCT01358552,T476
5847,NCT01793090,T476
3098,NCT01475617,T476
8755,NCT00903695,T476
2966,NCT01996072,T475
1262,NCT00002102,T475
1261,NCT00002103,T475
4733,NCT03280979,T475
6577,NCT03828019,T475
6582,NCT00341120,T475
8334,NCT04060030,T475
145,NCT01358552,T475
8323,NCT00308971,T475
3060,NCT00106054,T475
6584,NCT01175291,T475
2872,NCT02068430,T475
6920,NCT04537689,T475
139,NCT01368549,T475
5241,NCT02019524,T475
3075,NCT02000778,T475
6849,NCT02863809,T475
6739,NCT03302299,T475
7978,NCT00268489,T475
6575,NCT02083679,T475
8765,NCT00280748,T475
4725,NCT00062556,T475
6328,NCT00779220,T475
6798,NCT03030703,T475
8755,NCT00903695,T475
2673,NCT00808210,T475
8234,NCT00176462,T475
6558,NCT00424294,T475
1260,NCT00002317,T475
3098,NCT01475617,T475
8470,NCT00731588,T475
9361,NCT04262869,T475
7980,NCT00775645,T475
135,NCT01369030,T475
140,NCT01370954,T475
8552,NCT01710358,T475
7925,NCT01107626,T475
2291,NCT00779142,T475
6223,NCT02706951,T475
4082,NCT00071266,T475
7413,NCT04060017,T475
8689,NCT02520115,T475
3700,NCT00729937,T475
5798,NCT01365975,T475
7431,NCT02706873,T475
1979,NCT04571697,T475
7458,NCT01672710,T475
5698,NCT03089684,T475
8566,NCT02187055,T475
1914,NCT02115724,T475
3828,NCT00002120,T475
7507,NCT04096521,T475
5346,NCT00396812,T475
3908,NCT00880178,T475
7621,NCT02114229,T475
4154,NCT00857376,T475
3929,NCT00418938,T475
7680,NCT03000374,T475
7739,NCT00470158,T475
5568,NCT01992874,T475
1153,NCT02097173,T475
4898,NCT02684071,T475
5542,NCT02346162,T475
7926,NCT00265850,T475
7804,NCT00860470,T475
3973,NCT00249782,T475
1523,NCT00183911,T475
5405,NCT02839915,T475
7830,NCT00415168,T475
7879,NCT00033722,T475
8690,NCT00410904,T475
7993,NCT00121186,T475
5850,NCT03164616,T475
7189,NCT04185597,T475
6212,NCT02481310,T475
8213,NCT01880372,T475
2506,NCT01349088,T475
8551,NCT01711359,T475
8735,NCT01678079,T475
3364,NCT01864057,T475
6134,NCT00986986,T475
7074,NCT03866837,T475
3487,NCT01482962,T475
7083,NCT00109551,T475
2390,NCT00680706,T475
7115,NCT00111163,T475
9940,NCT03803553,T475
7142,NCT01046825,T475
7183,NCT01443078,T475
7190,NCT04166370,T475
3598,NCT02511054,T475
4862,NCT01578499,T475
2157,NCT00018551,T475
5291,NCT03050814,T475
4569,NCT03853304,T475
7990,NCT00122447,T475
8113,NCT00679666,T475
8132,NCT03599193,T475
4843,NCT01581307,T475
3562,NCT01178320,T475
7226,NCT00140361,T475
8176,NCT01814501,T475
1259,NCT00002434,T475
7074,NCT03866837,T474
1252,NCT01668069,T474
7479,NCT02169882,T474
7804,NCT00860470,T474
139,NCT01368549,T474
7523,NCT00164281,T474
6739,NCT03302299,T474
135,NCT01369030,T474
8470,NCT00731588,T473
5976,NCT04571008,T471
7229,NCT04330326,T471
6134,NCT00986986,T471
3908,NCT00880178,T471
4725,NCT00062556,T471
3562,NCT01178320,T471
8132,NCT03599193,T471
2506,NCT01349088,T471
4694,NCT00816426,T471
5568,NCT01992874,T471
7074,NCT03866837,T471
4082,NCT00071266,T471
7804,NCT00860470,T471
7458,NCT01672710,T471
7000,NCT01907906,T470
1331,NCT04532788,T470
6849,NCT02863809,T470
8113,NCT00679666,T470
6904,NCT02011789,T470
2872,NCT02068430,T470
7074,NCT03866837,T470
7804,NCT00860470,T470
7804,NCT00860470,T469
2390,NCT00680706,T469
3364,NCT01864057,T469
9850,NCT03866005,T469
7074,NCT03866837,T469
2155,NCT00363038,T468
8588,NCT02360644,T468
7892,NCT01389219,T468
6279,NCT00358332,T468
4662,NCT01427400,T468
8755,NCT00903695,T468
7190,NCT04166370,T468
9981,NCT03775590,T468
5041,NCT03914365,T468
5884,NCT02749968,T468
7216,NCT00396500,T468
5927,NCT02798458,T468
3207,NCT00065455,T468
7222,NCT00222547,T468
4072,NCT01127282,T468
7189,NCT04185597,T468
8037,NCT02077907,T468
2792,NCT02956408,T468
8841,NCT02117336,T468
7797,NCT00198822,T468
7804,NCT00860470,T468
6251,NCT04203186,T468
5728,NCT03775096,T468
5427,NCT03056625,T468
7675,NCT00731887,T468
5593,NCT03478878,T468
5574,NCT03478865,T468
7074,NCT03866837,T468
7738,NCT00707785,T468
7734,NCT02847962,T468
4242,NCT00000173,T467
8323,NCT00308971,T467
2520,NCT03136029,T467
3911,NCT00631085,T467
8110,NCT01858311,T467
8163,NCT00700791,T467
2618,NCT00798876,T467
2676,NCT00835289,T467
7804,NCT00860470,T467
8269,NCT04117022,T467
7074,NCT03866837,T467
8755,NCT00903695,T467
5630,NCT01410084,T467
1914,NCT02115724,T467
4751,NCT01369043,T467
6643,NCT00342992,T467
8110,NCT01858311,T466
7074,NCT03866837,T466
6643,NCT00342992,T466
2042,NCT01630551,T466
2520,NCT03136029,T466
4751,NCT01369043,T466
8323,NCT00308971,T466
3911,NCT00631085,T466
7804,NCT00860470,T466
5630,NCT01410084,T466
2676,NCT00835289,T466
1914,NCT02115724,T466
8269,NCT04117022,T466
2618,NCT00798876,T466
8755,NCT00903695,T466
8163,NCT00700791,T466
4242,NCT00000173,T466
3364,NCT01864057,T465
7804,NCT00860470,T465
2390,NCT00680706,T465
7074,NCT03866837,T465
9850,NCT03866005,T465
3364,NCT01864057,T464
2390,NCT00680706,T464
7804,NCT00860470,T464
7074,NCT03866837,T464
9850,NCT03866005,T464
1331,NCT04532788,T463
7074,NCT03866837,T463
7804,NCT00860470,T463
8113,NCT00679666,T463
2872,NCT02068430,T463
6904,NCT02011789,T463
6849,NCT02863809,T463
7000,NCT01907906,T463
5927,NCT02798458,T462
7190,NCT04166370,T462
5041,NCT03914365,T462
4662,NCT01427400,T462
3207,NCT00065455,T462
4072,NCT01127282,T462
9981,NCT03775590,T462
7892,NCT01389219,T462
7189,NCT04185597,T462
7804,NCT00860470,T462
5427,NCT03056625,T462
6279,NCT00358332,T462
8841,NCT02117336,T462
6251,NCT04203186,T462
5728,NCT03775096,T462
7216,NCT00396500,T462
7675,NCT00731887,T462
7734,NCT02847962,T462
5574,NCT03478865,T462
5884,NCT02749968,T462
7797,NCT00198822,T462
2155,NCT00363038,T462
7222,NCT00222547,T462
7738,NCT00707785,T462
2792,NCT02956408,T462
8588,NCT02360644,T462
5593,NCT03478878,T462
7074,NCT03866837,T462
8037,NCT02077907,T462
8755,NCT00903695,T462
7523,NCT00164281,T461
6739,NCT03302299,T461
139,NCT01368549,T461
7074,NCT03866837,T461
7479,NCT02169882,T461
135,NCT01369030,T461
1252,NCT01668069,T461
7804,NCT00860470,T461
1252,NCT01668069,T459
6739,NCT03302299,T459
7479,NCT02169882,T459
7523,NCT00164281,T459
135,NCT01369030,T459
139,NCT01368549,T459
7074,NCT03866837,T459
7804,NCT00860470,T459
5074,NCT04247087,T458
3637,NCT00336232,T458
2155,NCT00363038,T458
5849,NCT02297126,T458
7411,NCT04387019,T458
1814,NCT00995917,T458
7458,NCT01672710,T456
4725,NCT00062556,T456
4082,NCT00071266,T456
7229,NCT04330326,T456
5568,NCT01992874,T456
7804,NCT00860470,T456
4694,NCT00816426,T456
3908,NCT00880178,T456
7074,NCT03866837,T456
2506,NCT01349088,T456
8132,NCT03599193,T456
5976,NCT04571008,T456
3562,NCT01178320,T456
6134,NCT00986986,T456
5568,NCT01992874,T455
4082,NCT00071266,T455
7458,NCT01672710,T455
3562,NCT01178320,T455
4694,NCT00816426,T455
3908,NCT00880178,T455
7804,NCT00860470,T455
8132,NCT03599193,T455
5976,NCT04571008,T455
7229,NCT04330326,T455
2506,NCT01349088,T455
6134,NCT00986986,T455
4725,NCT00062556,T455
7074,NCT03866837,T455
4082,NCT00071266,T454
3562,NCT01178320,T454
5568,NCT01992874,T454
7458,NCT01672710,T454
4725,NCT00062556,T454
6134,NCT00986986,T454
2506,NCT01349088,T454
4694,NCT00816426,T454
3908,NCT00880178,T454
5976,NCT04571008,T454
7804,NCT00860470,T454
8132,NCT03599193,T454
7229,NCT04330326,T454
7074,NCT03866837,T454
5976,NCT04571008,T453
6134,NCT00986986,T453
7458,NCT01672710,T453
4694,NCT00816426,T453
3562,NCT01178320,T453
4725,NCT00062556,T453
8132,NCT03599193,T453
5568,NCT01992874,T453
4082,NCT00071266,T453
7804,NCT00860470,T453
7229,NCT04330326,T453
3908,NCT00880178,T453
7074,NCT03866837,T453
2506,NCT01349088,T453
2155,NCT00363038,T452
1814,NCT00995917,T452
5849,NCT02297126,T452
5074,NCT04247087,T452
3637,NCT00336232,T452
7411,NCT04387019,T452
135,NCT01369030,T451
7804,NCT00860470,T451
4569,NCT03853304,T451
7074,NCT03866837,T451
139,NCT01368549,T451
3098,NCT01475617,T451
140,NCT01370954,T451
3487,NCT01482962,T451
145,NCT01358552,T451
5847,NCT01793090,T451
5074,NCT04247087,T450
5849,NCT02297126,T450
7411,NCT04387019,T450
1814,NCT00995917,T450
2155,NCT00363038,T450
3637,NCT00336232,T450
3637,NCT00336232,T449
5849,NCT02297126,T449
1814,NCT00995917,T449
5074,NCT04247087,T449
7411,NCT04387019,T449
2155,NCT00363038,T449
7980,NCT00775645,T448
7804,NCT00860470,T448
3973,NCT00249782,T448
4569,NCT03853304,T448
4154,NCT00857376,T448
8132,NCT03599193,T448
5241,NCT02019524,T448
7978,NCT00268489,T448
5346,NCT00396812,T448
1153,NCT02097173,T448
8176,NCT01814501,T448
5542,NCT02346162,T448
1260,NCT00002317,T448
5291,NCT03050814,T448
7879,NCT00033722,T448
1259,NCT00002434,T448
1262,NCT00002102,T448
1523,NCT00183911,T448
4733,NCT03280979,T448
7990,NCT00122447,T448
4725,NCT00062556,T448
4862,NCT01578499,T448
8213,NCT01880372,T448
8551,NCT01711359,T448
7925,NCT01107626,T448
8552,NCT01710358,T448
7830,NCT00415168,T448
4898,NCT02684071,T448
8113,NCT00679666,T448
5405,NCT02839915,T448
4843,NCT01581307,T448
8323,NCT00308971,T448
4082,NCT00071266,T448
7926,NCT00265850,T448
8234,NCT00176462,T448
1261,NCT00002103,T448
7993,NCT00121186,T448
3700,NCT00729937,T448
7115,NCT00111163,T448
3060,NCT00106054,T448
7183,NCT01443078,T448
7189,NCT04185597,T448
3098,NCT01475617,T448
3075,NCT02000778,T448
6849,NCT02863809,T448
7190,NCT04166370,T448
7226,NCT00140361,T448
6328,NCT00779220,T448
145,NCT01358552,T448
8334,NCT04060030,T448
3562,NCT01178320,T448
2966,NCT01996072,T448
3598,NCT02511054,T448
8765,NCT00280748,T448
8470,NCT00731588,T448
2291,NCT00779142,T448
8690,NCT00410904,T448
7074,NCT03866837,T448
3364,NCT01864057,T448
8735,NCT01678079,T448
6212,NCT02481310,T448
6134,NCT00986986,T448
6223,NCT02706951,T448
6920,NCT04537689,T448
3487,NCT01482962,T448
7142,NCT01046825,T448
7083,NCT00109551,T448
2390,NCT00680706,T448
9361,NCT04262869,T448
5568,NCT01992874,T448
9940,NCT03803553,T448
8755,NCT00903695,T448
5850,NCT03164616,T448
2157,NCT00018551,T448
6739,NCT03302299,T448
7507,NCT04096521,T448
5698,NCT03089684,T448
6798,NCT03030703,T448
8566,NCT02187055,T448
6577,NCT03828019,T448
1914,NCT02115724,T448
3828,NCT00002120,T448
6582,NCT00341120,T448
3908,NCT00880178,T448
6575,NCT02083679,T448
6584,NCT01175291,T448
7621,NCT02114229,T448
3929,NCT00418938,T448
7680,NCT03000374,T448
2872,NCT02068430,T448
139,NCT01368549,T448
7739,NCT00470158,T448
7458,NCT01672710,T448
2506,NCT01349088,T448
8689,NCT02520115,T448
5798,NCT01365975,T448
6558,NCT00424294,T448
2673,NCT00808210,T448
7431,NCT02706873,T448
7413,NCT04060017,T448
135,NCT01369030,T448
1979,NCT04571697,T448
140,NCT01370954,T448
2673,NCT00808210,T447
8234,NCT00176462,T447
8765,NCT00280748,T447
2966,NCT01996072,T447
6223,NCT02706951,T447
6212,NCT02481310,T447
6920,NCT04537689,T447
9361,NCT04262869,T447
6577,NCT03828019,T447
8755,NCT00903695,T447
4862,NCT01578499,T447
4843,NCT01581307,T447
6584,NCT01175291,T447
6575,NCT02083679,T447
6328,NCT00779220,T447
6582,NCT00341120,T447
4733,NCT03280979,T447
3075,NCT02000778,T447
8176,NCT01814501,T447
6558,NCT00424294,T447
7804,NCT00860470,T447
8735,NCT01678079,T447
1979,NCT04571697,T447
5850,NCT03164616,T447
8690,NCT00410904,T447
7926,NCT00265850,T447
7413,NCT04060017,T447
7925,NCT01107626,T447
3700,NCT00729937,T447
7431,NCT02706873,T447
8689,NCT02520115,T447
5798,NCT01365975,T447
7879,NCT00033722,T447
5346,NCT00396812,T447
5405,NCT02839915,T447
7830,NCT00415168,T447
5698,NCT03089684,T447
3828,NCT00002120,T447
5542,NCT02346162,T447
7507,NCT04096521,T447
7621,NCT02114229,T447
7739,NCT00470158,T447
3973,NCT00249782,T447
2157,NCT00018551,T447
7956,NCT01099449,T447
7074,NCT03866837,T447
2291,NCT00779142,T447
4569,NCT03853304,T447
1153,NCT02097173,T447
4898,NCT02684071,T447
3487,NCT01482962,T447
7083,NCT00109551,T447
4395,NCT01040832,T447
7115,NCT00111163,T447
7993,NCT00121186,T447
7142,NCT01046825,T447
1259,NCT00002434,T447
3598,NCT02511054,T447
7183,NCT01443078,T447
7189,NCT04185597,T447
7190,NCT04166370,T447
7978,NCT00268489,T447
1260,NCT00002317,T447
7226,NCT00140361,T447
1261,NCT00002103,T447
5241,NCT02019524,T447
1262,NCT00002102,T447
8334,NCT04060030,T447
8552,NCT01710358,T447
145,NCT01358552,T447
8566,NCT02187055,T447
8551,NCT01711359,T447
139,NCT01368549,T447
140,NCT01370954,T447
9940,NCT03803553,T447
135,NCT01369030,T447
7926,NCT00265850,T446
135,NCT01369030,T446
3908,NCT00880178,T446
2506,NCT01349088,T446
8689,NCT02520115,T446
6575,NCT02083679,T446
6223,NCT02706951,T446
6577,NCT03828019,T446
5291,NCT03050814,T446
6920,NCT04537689,T446
6582,NCT00341120,T446
7458,NCT01672710,T446
3700,NCT00729937,T446
4733,NCT03280979,T446
6558,NCT00424294,T446
1914,NCT02115724,T446
5405,NCT02839915,T446
6212,NCT02481310,T446
8735,NCT01678079,T446
7621,NCT02114229,T446
8323,NCT00308971,T446
7680,NCT03000374,T446
8213,NCT01880372,T446
2966,NCT01996072,T446
7431,NCT02706873,T446
7507,NCT04096521,T446
3098,NCT01475617,T446
3929,NCT00418938,T446
7226,NCT00140361,T446
8566,NCT02187055,T446
7830,NCT00415168,T446
4082,NCT00071266,T446
8113,NCT00679666,T446
2673,NCT00808210,T446
4154,NCT00857376,T446
1979,NCT04571697,T446
5346,NCT00396812,T446
6798,NCT03030703,T446
5698,NCT03089684,T446
8765,NCT00280748,T446
3828,NCT00002120,T446
139,NCT01368549,T446
3562,NCT01178320,T446
4862,NCT01578499,T446
145,NCT01358552,T446
8176,NCT01814501,T446
6849,NCT02863809,T446
4569,NCT03853304,T446
7993,NCT00121186,T446
8334,NCT04060030,T446
7925,NCT01107626,T446
140,NCT01370954,T446
8552,NCT01710358,T446
3487,NCT01482962,T446
1153,NCT02097173,T446
7739,NCT00470158,T446
2872,NCT02068430,T446
5798,NCT01365975,T446
8470,NCT00731588,T446
2157,NCT00018551,T446
8132,NCT03599193,T446
8755,NCT00903695,T446
6584,NCT01175291,T446
7804,NCT00860470,T446
5850,NCT03164616,T446
3060,NCT00106054,T446
3075,NCT02000778,T446
1262,NCT00002102,T446
3598,NCT02511054,T446
7142,NCT01046825,T446
8551,NCT01711359,T446
7083,NCT00109551,T446
5568,NCT01992874,T446
8234,NCT00176462,T446
2390,NCT00680706,T446
1523,NCT00183911,T446
5241,NCT02019524,T446
7183,NCT01443078,T446
7190,NCT04166370,T446
2291,NCT00779142,T446
1259,NCT00002434,T446
8690,NCT00410904,T446
7115,NCT00111163,T446
1260,NCT00002317,T446
3973,NCT00249782,T446
5542,NCT02346162,T446
7879,NCT00033722,T446
7980,NCT00775645,T446
7978,NCT00268489,T446
7413,NCT04060017,T446
7189,NCT04185597,T446
3364,NCT01864057,T446
9940,NCT03803553,T446
4898,NCT02684071,T446
6134,NCT00986986,T446
1261,NCT00002103,T446
4725,NCT00062556,T446
7990,NCT00122447,T446
6739,NCT03302299,T446
4843,NCT01581307,T446
7074,NCT03866837,T446
9361,NCT04262869,T446
6328,NCT00779220,T446
1307,NCT01632761,T445
1398,NCT00412087,T445
4560,NCT01653678,T445
4583,NCT01696435,T445
4897,NCT02414529,T445
4957,NCT02178410,T445
6449,NCT04070833,T445
4584,NCT01704859,T445
4582,NCT02239874,T445
5160,NCT01351805,T445
4540,NCT01758081,T445
5525,NCT01443728,T445
4550,NCT01669915,T445
5837,NCT01601847,T445
2702,NCT01217840,T445
1379,NCT00907972,T445
4586,NCT01728571,T445
4888,NCT01633177,T445
4637,NCT01630213,T445
3065,NCT03467789,T445
3737,NCT01488227,T445
4554,NCT01684722,T445
4508,NCT01169259,T445
2418,NCT02435771,T445
4559,NCT01747447,T445
8272,NCT00874575,T445
2803,NCT01570309,T445
6357,NCT01880463,T445
4178,NCT04536298,T445
2178,NCT01696409,T445
3093,NCT01295879,T445
4579,NCT01782352,T445
7018,NCT01992263,T445
3098,NCT01475617,T444
139,NCT01368549,T444
8755,NCT00903695,T444
9850,NCT03866005,T444
5847,NCT01793090,T444
3487,NCT01482962,T444
7804,NCT00860470,T444
145,NCT01358552,T444
135,NCT01369030,T444
7074,NCT03866837,T444
4569,NCT03853304,T444
140,NCT01370954,T444
9831,NCT03877003,T443
6084,NCT01751737,T443
6118,NCT01310192,T443
4584,NCT01704859,T442
6711,NCT01425476,T442
5160,NCT01351805,T442
3122,NCT01450462,T442
1379,NCT00907972,T442
4508,NCT01169259,T442
8958,NCT03410823,T442
3065,NCT03467789,T442
8272,NCT00874575,T442
8574,NCT03483441,T442
5525,NCT01443728,T442
2792,NCT02956408,T442
4559,NCT01747447,T442
2501,NCT03012555,T442
4583,NCT01696435,T442
2417,NCT01049048,T442
8023,NCT00742781,T442
1398,NCT00412087,T442
4579,NCT01782352,T442
7678,NCT01968590,T442
4178,NCT04536298,T442
4888,NCT01633177,T442
4554,NCT01684722,T442
4550,NCT01669915,T442
7706,NCT01746264,T442
8588,NCT02360644,T442
5444,NCT00473239,T442
4938,NCT01785004,T442
4582,NCT02239874,T442
4637,NCT01630213,T442
6449,NCT04070833,T442
1855,NCT01617109,T442
6357,NCT01880463,T442
5837,NCT01601847,T442
1956,NCT00668941,T442
1307,NCT01632761,T442
7786,NCT02066441,T442
4540,NCT01758081,T442
2532,NCT01858051,T442
6230,NCT00321932,T442
4586,NCT01728571,T442
4957,NCT02178410,T442
4560,NCT01653678,T442
2178,NCT01696409,T442
2510,NCT01744821,T442
4532,NCT04386577,T442
5630,NCT01410084,T442
140,NCT01370954,T441
139,NCT01368549,T441
135,NCT01369030,T441
5847,NCT01793090,T441
8755,NCT00903695,T441
145,NCT01358552,T441
7804,NCT00860470,T441
7074,NCT03866837,T441
3098,NCT01475617,T441
9850,NCT03866005,T441
4569,NCT03853304,T441
3487,NCT01482962,T441
5218,NCT02138838,T440
2979,NCT03710161,T440
4957,NCT02178410,T440
4766,NCT02972138,T440
3065,NCT03467789,T440
3093,NCT01295879,T440
2792,NCT02956408,T440
6408,NCT03516773,T440
4637,NCT01630213,T440
6711,NCT01425476,T440
8588,NCT02360644,T440
6449,NCT04070833,T440
3070,NCT02679794,T440
1855,NCT01617109,T440
8272,NCT00874575,T440
7896,NCT03124277,T440
3098,NCT01475617,T440
5249,NCT00473317,T440
1379,NCT00907972,T440
3122,NCT01450462,T440
7449,NCT02878382,T440
2861,NCT04570475,T440
5837,NCT01601847,T440
1956,NCT00668941,T440
4613,NCT01409681,T440
6357,NCT01880463,T440
5160,NCT01351805,T440
2803,NCT01570309,T440
4178,NCT04536298,T440
1398,NCT00412087,T440
7678,NCT01968590,T440
4586,NCT01728571,T440
6554,NCT00710957,T440
3737,NCT01488227,T440
4579,NCT01782352,T440
2417,NCT01049048,T440
6230,NCT00321932,T440
4897,NCT02414529,T440
4508,NCT01169259,T440
7965,NCT02865187,T440
4532,NCT04386577,T440
8292,NCT01709110,T440
1274,NCT02636348,T440
7944,NCT00365105,T440
2418,NCT02435771,T440
1168,NCT02032459,T440
4550,NCT01669915,T440
7786,NCT02066441,T440
1307,NCT01632761,T440
2532,NCT01858051,T440
7074,NCT03866837,T440
6138,NCT00904423,T440
4560,NCT01653678,T440
2178,NCT01696409,T440
2510,NCT01744821,T440
4559,NCT01747447,T440
2501,NCT03012555,T440
5630,NCT01410084,T440
8023,NCT00742781,T440
5444,NCT00473239,T440
5419,NCT01647399,T440
7804,NCT00860470,T440
7018,NCT01992263,T440
4888,NCT01633177,T440
8574,NCT03483441,T440
3211,NCT03615950,T440
4554,NCT01684722,T440
5525,NCT01443728,T440
6789,NCT00476346,T440
4582,NCT02239874,T440
4375,NCT01244204,T440
7706,NCT01746264,T440
4584,NCT01704859,T440
4540,NCT01758081,T440
8958,NCT03410823,T440
6186,NCT00921557,T440
1112,NCT02375503,T440
2702,NCT01217840,T440
4938,NCT01785004,T440
4583,NCT01696435,T440
6155,NCT00656019,T440
8470,NCT00731588,T439
7797,NCT00198822,T438
6472,NCT00000152,T438
6643,NCT00342992,T438
9337,NCT04283630,T437
9261,NCT04344184,T437
7428,NCT02216812,T437
1008,NCT00350077,T437
2520,NCT03136029,T437
3383,NCT04381481,T437
9400,NCT04234581,T437
6904,NCT02011789,T437
4072,NCT01127282,T437
8269,NCT04117022,T437
1914,NCT02115724,T437
7074,NCT03866837,T437
7804,NCT00860470,T437
3489,NCT00184054,T437
2409,NCT01364805,T437
9263,NCT04342728,T437
4266,NCT02206425,T437
4751,NCT01369043,T437
123,NCT02053506,T437
6488,NCT04365270,T436
7508,NCT04092257,T436
1318,NCT04073719,T436
