,NCTId,EnrollmentCount
3830,NCT01123577,899
5627,NCT00352924,89655
2600,NCT00608283,8951
3112,NCT02366286,892
7448,NCT01653535,891
3277,NCT02263326,89
4013,NCT02167022,89
6160,NCT00591864,89
8046,NCT01898299,89
6977,NCT00485914,89
6355,NCT04156919,89
7440,NCT02215200,89
6888,NCT00253643,89
4792,NCT02956174,89
4022,NCT00819169,89
7699,NCT02721147,89
7740,NCT00441298,889
6555,NCT02378090,888
7360,NCT01132937,886
1070,NCT02813356,8800
3687,NCT00347412,880
9418,NCT04221607,88
1078,NCT01120509,88
8519,NCT03372811,88
5945,NCT03685058,88
3804,NCT04482699,88
9156,NCT04452500,88
1211,NCT02064426,88
9911,NCT03822325,88
8562,NCT01975857,88
6557,NCT02349945,88
3926,NCT00453362,88
6556,NCT01647919,88
7463,NCT02320903,88
3267,NCT00911820,88
4643,NCT03494283,88
5887,NCT01709786,88
2244,NCT00607620,878
1602,NCT00128375,878
2072,NCT00661128,8750
3953,NCT02403466,875
8102,NCT02219399,871
6601,NCT01692067,871
4082,NCT00071266,870
7154,NCT02291653,87
8426,NCT00462683,87
3106,NCT00287521,87
4825,NCT04588727,87
3939,NCT00157755,87
1991,NCT00819013,87
4269,NCT03337139,87
1074,NCT00208156,87
1919,NCT00549991,8687
4032,NCT00664040,868
5749,NCT02427061,868
3836,NCT00522119,868
6669,NCT00341887,8676
4857,NCT01914185,8663
4826,NCT01963169,866
8277,NCT00941876,864
2090,NCT03722589,864
3545,NCT02565420,8616
8123,NCT01980771,860
3732,NCT03059004,860
1590,NCT04419883,86
1548,NCT03903588,86
2958,NCT03740490,86
1539,NCT00629330,86
1017,NCT02200055,86
9055,NCT04545957,86
1748,NCT00931476,86
9453,NCT04188535,86
3327,NCT00763698,86
3944,NCT03106233,86
1838,NCT00350337,86
7300,NCT02469324,86
8240,NCT01658228,86
6140,NCT00870545,86
9604,NCT04054687,86
4115,NCT00302861,86
9518,NCT04118998,86
8768,NCT02559869,86
7856,NCT02386098,86
1724,NCT02098603,86
9822,NCT03881735,86
2918,NCT01377857,8572
8761,NCT01825252,856
8209,NCT03459118,853
1027,NCT00701259,852
1589,NCT02877147,85000
7705,NCT04377412,8500
2154,NCT03819686,850
8391,NCT02860442,850
5665,NCT03231579,85
4231,NCT03172962,85
4521,NCT01768325,85
9283,NCT04329832,85
8939,NCT04475718,85
2909,NCT01004952,85
1177,NCT03180853,85
8565,NCT01307137,85
8770,NCT00124280,85
4961,NCT03106363,85
2566,NCT02877394,85
8686,NCT00310895,85
3357,NCT02039882,85
5908,NCT01882244,85
3920,NCT00389779,849
4167,NCT00134979,847
3712,NCT01272232,846
7121,NCT02368808,843
7505,NCT00337428,843
4141,NCT00164658,8400
3887,NCT02957799,840
3392,NCT02177006,840
7990,NCT00122447,84
4683,NCT02561390,84
4886,NCT02121782,84
3628,NCT00733096,84
4447,NCT01194336,84
5119,NCT02720471,84
3992,NCT00884013,84
8401,NCT00599794,84
2594,NCT01347762,84
6827,NCT01903330,84
5216,NCT03844867,84
3090,NCT04148118,84
9387,NCT04241913,84
9862,NCT03861091,84
2558,NCT01871545,84
3452,NCT03180242,84
3212,NCT01351064,84
2731,NCT00440596,84
5161,NCT03201406,837
6372,NCT00996281,837
1436,NCT01465503,837
6868,NCT02725970,836
3643,NCT00936897,833
5739,NCT00339573,831
1994,NCT00542672,831
4312,NCT03430973,830
4208,NCT02976831,83
5417,NCT03431831,83
2200,NCT00121355,83
7161,NCT03075475,83
1897,NCT03149510,83
8637,NCT03608085,83
7598,NCT01925963,83
7230,NCT02405026,83
2411,NCT00682669,83
6545,NCT02634879,83
4236,NCT00332709,83
9786,NCT03913260,83
1229,NCT01287351,82903
1315,NCT01954251,829
5750,NCT00417742,828
8297,NCT04206787,825
89,NCT02882100,823
1088,NCT01815268,823
5872,NCT00221507,823
1624,NCT03512301,820
8137,NCT00760812,82
6619,NCT01509573,82
4279,NCT03753373,82
1720,NCT01121276,82
9003,NCT04587713,82
2117,NCT00740337,82
7718,NCT00775866,82
3522,NCT00278928,82
4324,NCT00044525,82
1911,NCT01545570,82
6975,NCT00618566,82
1555,NCT00870987,82
5395,NCT03224507,82
4401,NCT01817244,82
5113,NCT01119521,82
9328,NCT04293406,82
7347,NCT02877680,82
7585,NCT04035382,82
4174,NCT03264521,8193
8320,NCT01657422,819
7212,NCT01756469,818
7566,NCT04072211,812
8714,NCT00072995,811
7511,NCT03127397,810
3669,NCT01951417,81
6196,NCT01076504,81
7957,NCT03527186,81
2095,NCT01973153,81
6398,NCT03953300,81
1763,NCT01576601,81
7305,NCT01670825,81
3135,NCT02461758,81
5050,NCT00342472,81
3765,NCT01338506,81
7715,NCT03555435,81
2137,NCT00134901,81
7912,NCT00537654,81
6407,NCT00108862,809
5006,NCT02383303,808
6915,NCT03820947,806
3226,NCT01233050,802
6459,NCT02273206,802
3946,NCT03259373,80000
6816,NCT00341523,8000
5100,NCT03832283,8000
6662,NCT03394703,8000
7741,NCT00136370,8000
9066,NCT04535986,800
9118,NCT04486313,800
2942,NCT00022750,800
139,NCT01368549,800
8111,NCT02759172,800
4338,NCT04333576,800
6494,NCT04304833,800
8645,NCT00995696,800
4742,NCT03641742,800
7735,NCT03794999,800
6906,NCT01004094,800
2403,NCT03960970,800
9756,NCT03937453,800
7351,NCT03138564,800
4237,NCT02100904,800
9918,NCT03818191,800
6422,NCT03872895,800
3511,NCT01082237,80
9231,NCT04374305,80
7156,NCT02289651,80
1206,NCT01888718,80
7155,NCT02289664,80
9260,NCT04344457,80
9005,NCT04584762,80
9208,NCT04391179,80
9430,NCT04211506,80
5472,NCT04297761,80
9339,NCT04282668,80
9210,NCT04388748,80
3981,NCT04219566,80
3346,NCT04608188,80
3255,NCT04103593,80
9525,NCT04113746,80
9061,NCT04540120,80
5591,NCT03552978,80
5063,NCT03411057,80
3310,NCT01391858,80
5605,NCT02759185,80
9177,NCT04426838,80
8097,NCT03772210,80
1216,NCT03893032,80
3620,NCT00440648,80
6947,NCT03262766,80
5083,NCT02155127,80
5079,NCT04396431,80
9442,NCT04203381,80
7012,NCT03712098,80
5165,NCT04536350,80
3176,NCT00087997,80
5308,NCT02145949,80
4766,NCT02972138,80
3648,NCT00053742,80
5314,NCT04533386,80
8104,NCT04106882,80
3295,NCT03287765,80
3988,NCT04324359,80
9166,NCT04440007,80
3919,NCT03343795,80
9110,NCT04495283,80
9509,NCT04125290,80
1276,NCT01913925,80
7613,NCT03464409,80
43,NCT02787538,80
7850,NCT01421303,80
5825,NCT00219817,80
8739,NCT02496780,80
9665,NCT04010227,80
4433,NCT02239614,80
9661,NCT04015167,80
6241,NCT04573920,80
9841,NCT03873545,80
1507,NCT02601092,80
8769,NCT02754557,80
8813,NCT01671332,80
8891,NCT00773617,80
7433,NCT01654094,80
4618,NCT03598660,80
4371,NCT01504217,80
7303,NCT01964859,80
9954,NCT03795168,80
8334,NCT04060030,80
2954,NCT03408483,80
2074,NCT01585571,80
9670,NCT04003987,80
9689,NCT03993886,80
2358,NCT04481373,80
2417,NCT01049048,80
4333,NCT04375293,80
6048,NCT02611375,80
2480,NCT00907959,80
1803,NCT04063709,80
6447,NCT01786603,80
2526,NCT04397900,80
7474,NCT01175707,80
1942,NCT03764683,80
2260,NCT03081871,80
