,NCTId,EnrollmentCount
9327,NCT04294004,50
2461,NCT02288702,50
1156,NCT00154362,50
9349,NCT04273139,50
3841,NCT04436198,50
2755,NCT00102037,50
6640,NCT03869671,50
3278,NCT03411863,50
5166,NCT03555370,50
9318,NCT04300777,50
4597,NCT03655587,50
4850,NCT02095249,50
6297,NCT01871909,50
9022,NCT04572581,50
2385,NCT02714413,50
1369,NCT03993002,50
7224,NCT00213096,50
8846,NCT03471221,50
6082,NCT01760785,50
1011,NCT03293901,50
8359,NCT00271921,50
1193,NCT00704067,50
2963,NCT00758628,50
4552,NCT00364182,50
2177,NCT01910519,50
1364,NCT00413868,50
4777,NCT04287257,50
8646,NCT00870324,50
1363,NCT00965302,50
8568,NCT04502524,50
9455,NCT04188197,50
1853,NCT00620334,50
4570,NCT04385524,50
7541,NCT01396187,50
8689,NCT02520115,50
7091,NCT04531592,50
2945,NCT03843437,50
2432,NCT04122378,50
3518,NCT03219359,50
3065,NCT03467789,50
3791,NCT00069446,50
9288,NCT04322448,50
4617,NCT01483040,50
7556,NCT03965676,50
2733,NCT03163849,50
1782,NCT02047084,50
8758,NCT03564522,50
5564,NCT01991249,50
8076,NCT02967016,50
9117,NCT04486560,50
9212,NCT04388319,50
1246,NCT02403934,50
2778,NCT02593032,50
7035,NCT00409786,50
6635,NCT02963987,50
5250,NCT02075151,50
9120,NCT04485559,50
1466,NCT00880035,50
8197,NCT02436616,50
5269,NCT04250779,50
8834,NCT04475523,50
2897,NCT04434664,50
8443,NCT00775788,50
3660,NCT03224819,50
2562,NCT01595178,50
9149,NCT04463394,50
6461,NCT00856999,50
8661,NCT03629678,50
8447,NCT04294264,50
7599,NCT04320576,50
3607,NCT00339703,50
6838,NCT02224365,50
9058,NCT04542304,50
7056,NCT01291758,50
8627,NCT01007552,50
5190,NCT04108052,50
1318,NCT04073719,50
6250,NCT04283513,50
4783,NCT01054833,50
1723,NCT03520426,50
8677,NCT03071406,50
6535,NCT00337688,50
6434,NCT02991664,50
6549,NCT02524613,50
6012,NCT03552705,50
2496,NCT04521595,50
9250,NCT04354454,50
2499,NCT04063670,50
1232,NCT01369173,50
2501,NCT03012555,50
7941,NCT00110084,50
7069,NCT00393874,50
1731,NCT01497600,50
3588,NCT03860259,50
7555,NCT00165204,50
2509,NCT01329406,50
5225,NCT00203710,50
1254,NCT01605669,50
5334,NCT03646084,50
7066,NCT00633009,50
2081,NCT03963375,50
3285,NCT00375960,50
5834,NCT04495634,50
8336,NCT04205539,50
9142,NCT04469530,50
8175,NCT00694044,50
2990,NCT00355745,50
8016,NCT02293824,50
9663,NCT04015128,50
9662,NCT04015154,50
2031,NCT03199794,50
4503,NCT04579601,50
5490,NCT02040142,50
9810,NCT03895684,50
8969,NCT03370614,50
1498,NCT01494350,50
2838,NCT04294303,50
3224,NCT04199702,50
2009,NCT02233192,50
6499,NCT01301638,50
4142,NCT00075283,50
3338,NCT02290106,50
6345,NCT01065064,50
1684,NCT01487811,50
9784,NCT03914469,50
7276,NCT03416348,50
8734,NCT02958969,50
4488,NCT02971358,50
9730,NCT03961633,50
6272,NCT00623168,50
6912,NCT03952949,50
2987,NCT04417361,50
2670,NCT04399941,50
7366,NCT04602806,50
1943,NCT00613600,50
4228,NCT02755818,50
9683,NCT03997916,50
9764,NCT03931746,50
6154,NCT00714727,50
2874,NCT00311519,50
9705,NCT03981978,50
4218,NCT04315311,50
3395,NCT03643783,50
9921,NCT03814850,50
7345,NCT02518893,50
8287,NCT00605189,50
1680,NCT00973674,50
7264,NCT02075307,50
9865,NCT03855410,50
8574,NCT03483441,50
4099,NCT02512926,50
1182,NCT04496414,50
2220,NCT01461889,50
6597,NCT04531579,50
5927,NCT02798458,50
5580,NCT03194906,50
8790,NCT03300297,50
2646,NCT00505908,50
9887,NCT03841513,50
5813,NCT04358549,50
7266,NCT01399138,50
5540,NCT00628615,50
9591,NCT04060849,50
7429,NCT03207152,50
1904,NCT02392364,50
6884,NCT03039465,50
2994,NCT03061188,50
2255,NCT02217345,50
1898,NCT01881503,50
4544,NCT00128999,5
6875,NCT00523224,5
7634,NCT00198796,5
3633,NCT03830307,5
8711,NCT02973399,5
4056,NCT01682746,5
7589,NCT03967912,5
6090,NCT01645722,5
3131,NCT03465917,5
2597,NCT03066999,5
1113,NCT02274389,5
9717,NCT03972228,5
6650,NCT03593187,5
8720,NCT00006018,5
5857,NCT00133445,5
5661,NCT03226054,5
2201,NCT00456248,5
3169,NCT00711490,5
6092,NCT01633892,5
2979,NCT03710161,5
6243,NCT02630043,5
1692,NCT02239926,5
2528,NCT02768103,5
2752,NCT02916433,5
3280,NCT02354716,5
4330,NCT01182467,5
6078,NCT01822301,5
2359,NCT01248156,5
4317,NCT04112173,5
2677,NCT01417182,5
5271,NCT01609348,5
2696,NCT03307356,5
1974,NCT00790803,5
8723,NCT02189889,5
3474,NCT00050856,5
6129,NCT01111682,5
2938,NCT00573898,5
1916,NCT02248688,5
8946,NCT01743976,5
5916,NCT01239680,5
5738,NCT00876434,5
8280,NCT01910402,499
3034,NCT03884478,499
6228,NCT02706847,499
4159,NCT00703846,498
3324,NCT00469339,498
51,NCT01283828,4977
1271,NCT00859105,497
1194,NCT02273882,497
5821,NCT01387282,495
7402,NCT00795821,495
3806,NCT00578812,494
1500,NCT02425345,49333
2524,NCT01079234,493
1032,NCT01031160,4902
7568,NCT02758236,490
1357,NCT02979613,490
5184,NCT03373916,490
6583,NCT03905642,49
4566,NCT02379221,49
7832,NCT01504308,49
4674,NCT03683589,49
5072,NCT01646463,49
6685,NCT03504085,49
6703,NCT02286843,49
7545,NCT03343197,49
1176,NCT02941042,49
9522,NCT04115735,49
1755,NCT00620282,49
8688,NCT04159896,49
1161,NCT03202680,49
8247,NCT02688192,49
7084,NCT00688714,49
6607,NCT00290186,49
8088,NCT03893708,49
3789,NCT01591681,49
7379,NCT02504931,49
8892,NCT01748994,49
2349,NCT00728377,488
9586,NCT04068883,488
1511,NCT03535272,488
5698,NCT03089684,4878
1778,NCT00101751,4877
6627,NCT03167658,48664
6702,NCT02302430,486
5149,NCT01202500,486
3430,NCT01375686,486
6238,NCT02503319,486
4396,NCT00662571,485
1426,NCT00584844,484
9128,NCT04481919,484
4222,NCT01074151,484
4057,NCT00272363,484
5824,NCT01387269,484
2444,NCT02411396,483
8873,NCT00759746,482
4601,NCT01344616,482
6686,NCT00000700,482
7206,NCT02395328,481
2642,NCT03359421,4801
1041,NCT00124319,4800
7269,NCT03052010,4800
4735,NCT04450914,4800
8968,NCT03185546,480
4730,NCT03366363,480
9774,NCT03922529,480
2873,NCT01930149,480
8856,NCT03905720,480
3520,NCT03818737,480
8616,NCT03854032,48
3468,NCT00366587,48
8854,NCT01994473,48
1656,NCT01363037,48
9133,NCT04478708,48
7947,NCT01091454,48
7732,NCT03158558,48
1705,NCT00301444,48
1006,NCT02876575,48
1127,NCT03073343,48
5320,NCT00016653,48
2714,NCT01569607,48
5409,NCT01751048,48
1172,NCT00574600,48
1089,NCT01688960,48
3366,NCT03519074,48
1170,NCT02660073,48
1093,NCT00063778,48
1681,NCT02835235,48
5952,NCT00480779,48
8033,NCT03625570,48
5614,NCT01591733,48
3356,NCT01917812,48
1002,NCT01686282,48
5888,NCT01628224,48
9443,NCT04203225,48
4866,NCT04048707,48
6065,NCT02058680,48
5844,NCT00778544,48
4816,NCT03794882,48
1809,NCT03570320,48
8089,NCT03489434,48
4457,NCT00376090,48
7471,NCT00783770,48
9309,NCT04306146,48
9785,NCT03913494,48
1817,NCT03301298,48
4434,NCT02067676,48
4017,NCT01248390,48
8153,NCT03097016,48
9808,NCT03897543,48
4001,NCT03110354,48
5086,NCT03520400,48
9891,NCT03838367,48
5091,NCT01974180,48
9354,NCT04269161,48
5744,NCT01860352,48
2862,NCT04156802,48
3912,NCT00398528,48
9545,NCT04094363,48
9546,NCT04093050,48
8142,NCT02853435,48
4616,NCT00027404,48
2559,NCT00729690,48
6602,NCT01480804,48
9165,NCT04441593,48
9675,NCT04002102,48
9989,NCT03771235,48
8807,NCT02535572,48
5252,NCT04015778,48
3723,NCT02057705,48
4620,NCT01891773,48
9373,NCT04254003,48
9590,NCT04064190,48
6120,NCT01299142,48
6367,NCT03776994,48
2850,NCT03681769,48
5848,NCT00778414,48
9985,NCT03773107,48
9982,NCT03774654,48
4916,NCT01946867,48
7978,NCT00268489,48
4131,NCT04336579,48
1066,NCT03975790,479
9704,NCT03982069,479
4502,NCT03452514,479
7214,NCT00505609,478
3853,NCT01880853,47709
2396,NCT00404872,4766
6759,NCT01667276,476
7607,NCT02435264,476
1563,NCT04316819,4750
1453,NCT04218747,4750
6403,NCT03417752,474
4025,NCT02564653,4733
2747,NCT02825251,472
7651,NCT01802723,472
4628,NCT01695252,470
2515,NCT01910454,47
3734,NCT02814552,47
4793,NCT00561054,47
1584,NCT02858973,47
7333,NCT01902810,47
9965,NCT03787680,47
8698,NCT03384836,47
8445,NCT01527955,47
1343,NCT02413710,47
7245,NCT02773446,47
6179,NCT00256724,47
6489,NCT02294318,47
9520,NCT04118036,47
2008,NCT03323008,47
5388,NCT01617083,47
7663,NCT03059082,47
2962,NCT00463060,47
6544,NCT03503695,47
7680,NCT03000374,47
5147,NCT01827826,47
2239,NCT01109602,47
8367,NCT03774186,47
5503,NCT03532776,469
3891,NCT00005271,4680
7948,NCT01009918,468
4591,NCT01001325,468
2115,NCT02283918,467
3644,NCT00518882,467
5845,NCT01480219,467
6337,NCT04213664,4666
8467,NCT01582451,466
3453,NCT01045447,465
3902,NCT02213198,465
2791,NCT01790386,465
4539,NCT02774434,464
7946,NCT01376349,464
8567,NCT02906241,464
2866,NCT01106456,463
2129,NCT01263600,463
6559,NCT00339937,4622
8154,NCT00738920,462
7754,NCT03255941,461
4149,NCT04477304,460
1924,NCT03265912,46
2470,NCT00018876,46
8654,NCT01222689,46
5202,NCT00230646,46
1042,NCT02373189,46
6654,NCT04197011,46
2950,NCT03680495,46
7499,NCT02548208,46
4422,NCT04268420,46
3589,NCT01299064,46
3597,NCT04570579,46
1787,NCT02056639,46
1456,NCT03400475,46
7878,NCT03563040,46
2139,NCT04155047,46
6959,NCT01599767,46
8855,NCT00769951,46
4421,NCT04296279,46
9823,NCT03881449,46
2746,NCT01334554,46
9370,NCT04254692,46
7281,NCT02025413,46
6717,NCT01168687,46
8869,NCT02972255,46
2859,NCT01966094,46
8844,NCT00859053,46
7009,NCT03403166,459
2302,NCT02879812,45850
5534,NCT02339493,458
5840,NCT02830945,458
2971,NCT02968199,457
3079,NCT00909480,457
4871,NCT02676024,456
4213,NCT01530867,456
4985,NCT03785678,456
8584,NCT01481779,455
2145,NCT01681992,4538
2505,NCT01165411,4530
8220,NCT00126152,453
6047,NCT02634944,452
8732,NCT00896701,451
2389,NCT01396044,451
4253,NCT00576693,451
1564,NCT04283344,4504
9220,NCT04380415,450000
1772,NCT00137670,45000
3611,NCT04371887,45000
8945,NCT02743039,450
3227,NCT00578877,450
2976,NCT01874964,450
5583,NCT03612271,450
7969,NCT03341858,450
2107,NCT00007735,450
2504,NCT02011685,450
3972,NCT00386542,450
2530,NCT02464410,450
2427,NCT02738749,450
4081,NCT00527345,450
9277,NCT04332861,450
7374,NCT04372797,450
4273,NCT02889809,450
2500,NCT01453894,450
1135,NCT01782014,450
3263,NCT00022997,450
7229,NCT04330326,45
6393,NCT02294357,45
1846,NCT01088178,45
8818,NCT01314599,45
5054,NCT00298922,45
6711,NCT01425476,45
8372,NCT01431027,45
5080,NCT02981043,45
7687,NCT04053842,45
9393,NCT04238481,45
5682,NCT04535180,45
9268,NCT04341311,45
7079,NCT00955201,45
6013,NCT03551678,45
5212,NCT04458545,45
9251,NCT04354246,45
1801,NCT03979209,45
2369,NCT00538083,45
2330,NCT03735407,45
7272,NCT01338701,45
9624,NCT04040205,45
9996,NCT03768206,45
1468,NCT00938405,45
7575,NCT04398784,45
4602,NCT02990091,45
9986,NCT03772925,45
2156,NCT00983463,45
2052,NCT03999099,45
114,NCT03382418,45
6653,NCT03378167,45
8269,NCT04117022,45
8582,NCT04471337,45
4348,NCT02192684,45
4305,NCT02304263,45
4270,NCT02188368,45
4267,NCT03572595,45
4266,NCT02206425,45
2314,NCT04250077,45
8139,NCT03711500,45
2844,NCT02296840,45
8328,NCT01185990,45
1796,NCT02269514,45
9240,NCT04365153,45
8591,NCT00490945,45
5391,NCT00305097,45
9197,NCT04404530,45
8053,NCT02144649,45
5434,NCT04217902,45
8039,NCT03771417,45
1204,NCT03674970,45
3179,NCT01162356,45
5294,NCT03808740,45
8061,NCT02272998,45
1762,NCT02995915,45
3387,NCT03267914,45
6518,NCT02248090,45
3737,NCT01488227,45
3739,NCT04545320,45
1691,NCT02568202,449
1101,NCT02498301,449
4822,NCT03961555,448
4580,NCT03073291,448
6205,NCT01656889,447
2823,NCT00095082,447
3564,NCT02190253,447
5849,NCT02297126,4465
2615,NCT03689530,446
7036,NCT01454999,446
7804,NCT00860470,44567
4392,NCT02344576,445
2119,NCT01839903,444
1079,NCT00128479,443
6233,NCT01092416,443
3508,NCT00119574,443
6834,NCT03417388,4422
2554,NCT00537706,442
6837,NCT01494519,442
2797,NCT00120224,4410
6399,NCT01658618,440
4701,NCT04246528,440
1668,NCT01913353,440
137,NCT02406599,440
5048,NCT01369797,440
1228,NCT03940300,440
3028,NCT00208832,440
4275,NCT02703506,44
4336,NCT04176627,44
2624,NCT00161226,44
4880,NCT01113502,44
2508,NCT02129608,44
4372,NCT03483805,44
9847,NCT03867344,44
8488,NCT00063804,44
8789,NCT03947983,44
8168,NCT01958437,44
5464,NCT02828280,44
2006,NCT02550366,44
6320,NCT00622050,44
6291,NCT03892746,44
8956,NCT03611660,44
1458,NCT03483623,44
8254,NCT01250938,44
6539,NCT00648544,44
9234,NCT04372433,44
8695,NCT03705325,44
3134,NCT01793194,44
1561,NCT01949844,44
5660,NCT00489931,44
7100,NCT02069613,44
1758,NCT01691378,44
2445,NCT01862536,44
2418,NCT02435771,44
7015,NCT00942890,44
3958,NCT02059564,44
4189,NCT00101790,44
9470,NCT04170738,44
8570,NCT02133846,44
6551,NCT03409575,44
1362,NCT04163172,44
4182,NCT03137264,44
5615,NCT02494167,44
5350,NCT03683147,44
5345,NCT01143194,44
3776,NCT00087529,439
5862,NCT01247974,439
2247,NCT02703701,439
4114,NCT02840877,438
2878,NCT01676116,438
7980,NCT00775645,437
2146,NCT00318734,4362
3186,NCT01618162,435
5406,NCT00636779,4340
7039,NCT00483522,433
1789,NCT01932996,433
2004,NCT00373009,4325
4297,NCT00006286,432
8366,NCT04548596,432
5921,NCT02139722,431
4227,NCT04132557,430000
8653,NCT03494166,430
1852,NCT02779231,430
7976,NCT00880191,430
3151,NCT02319174,43
4737,NCT01859026,43
3339,NCT01578317,43
3311,NCT01136642,43
8278,NCT01240616,43
3849,NCT03263975,43
9977,NCT03778294,43
1239,NCT01034813,43
4522,NCT02765945,43
9958,NCT03793829,43
4280,NCT00422448,43
4838,NCT01372345,43
6991,NCT01594008,43
5039,NCT03291808,43
4076,NCT01295229,43
9491,NCT04144023,43
3932,NCT00250575,43
6897,NCT00999453,43
2299,NCT02091154,43
6481,NCT02875535,43
6317,NCT01264757,43
6484,NCT04372329,43
1715,NCT01682902,43
2633,NCT02151435,43
2856,NCT02239146,43
2707,NCT02939287,429
2534,NCT01142908,428
6750,NCT01711411,427
6150,NCT00743821,426
2924,NCT02188381,426
7338,NCT03026556,42534
5710,NCT02206893,425
2906,NCT02988245,425
4493,NCT02037555,425
6418,NCT00756652,42491
94,NCT03266497,4243
7738,NCT00707785,424
6480,NCT04373967,424
3809,NCT03125460,424
7014,NCT03462758,424
6444,NCT01098279,424
2096,NCT02069782,4232
8025,NCT01025674,4230
9192,NCT04409236,422
1010,NCT02641158,422
5421,NCT03590509,422
8438,NCT02527980,422
5675,NCT00958061,4219
4887,NCT01053299,4200
6835,NCT02957461,420
9582,NCT04072549,420
2469,NCT02298192,420
2347,NCT01742169,420
2931,NCT00256217,42
5482,NCT00841269,42
2312,NCT02069379,42
1213,NCT03310580,42
6373,NCT04396717,42
7265,NCT01888848,42
9315,NCT04305145,42
7780,NCT01522768,42
4212,NCT03004157,42
7423,NCT03276572,42
1593,NCT01492517,42
2896,NCT03252223,42
2784,NCT04187092,42
8753,NCT04458194,42
7667,NCT01212848,42
2016,NCT01318772,42
2579,NCT00108797,42
7183,NCT01443078,42
7307,NCT04574869,42
7848,NCT02131272,42
6298,NCT01843686,42
8370,NCT01226277,42
1015,NCT00689260,42
1845,NCT01099605,42
9243,NCT04359199,42
6948,NCT02340026,42
1278,NCT01292395,42
6368,NCT01984983,42
1664,NCT00662415,42
2596,NCT01134653,42
4125,NCT04139928,42
7932,NCT01316055,42
7656,NCT03272074,42
5255,NCT03856320,42
1525,NCT00183859,42
6057,NCT02339220,42
9615,NCT04047602,42
9735,NCT03954392,42
9282,NCT04330183,42
2387,NCT01040663,42
2121,NCT03518294,42
8170,NCT00417976,42
5505,NCT03716440,42
1452,NCT00997503,4199
5654,NCT00785200,4194
5954,NCT00506389,419
6528,NCT04464707,418
72,NCT00800267,418
6225,NCT00989170,418
1490,NCT01884090,418
2447,NCT02231957,416
5947,NCT00542204,415
3016,NCT00109668,415
7211,NCT01872390,415
1325,NCT00662012,414
7660,NCT00681694,414
8233,NCT03130699,414
6432,NCT02134847,413
4889,NCT00734357,413
3386,NCT01392573,413
3747,NCT00860886,412
9468,NCT04171817,412
3214,NCT02550730,411
9726,NCT03962894,410
9376,NCT04251988,410
2164,NCT02066948,41
9929,NCT03810703,41
9002,NCT04587804,41
5257,NCT01972464,41
3027,NCT00682617,41
9951,NCT03796286,41
6968,NCT01056146,41
4613,NCT01409681,41
4746,NCT02181556,41
4863,NCT04095910,41
4257,NCT01578967,41
112,NCT00796315,41
1449,NCT00642603,41
4645,NCT02940795,41
7570,NCT04238910,41
6149,NCT00749203,41
9994,NCT03769116,41
8906,NCT02564341,41
5896,NCT01845636,41
3336,NCT00005924,41
9778,NCT03919175,41
9803,NCT03900793,41
2267,NCT02950337,41
4345,NCT02193958,41
9361,NCT04262869,41
4936,NCT03833375,41
8595,NCT02079766,41
5127,NCT02725840,41
5737,NCT00989183,41
8692,NCT00462358,41
9913,NCT03820609,41
65,NCT00385047,41
8489,NCT02219906,41
5619,NCT02237885,41
9968,NCT03785366,41
8345,NCT02349555,41
6677,NCT01911390,41
6887,NCT02228265,41
3223,NCT01440803,41
7818,NCT03208686,41
1190,NCT01157897,41
106,NCT01629537,41
6560,NCT00340977,4091
7565,NCT02246413,409
1825,NCT00097461,408
7714,NCT04133766,4076
7753,NCT04092114,407
7421,NCT01444612,4068
7936,NCT01011478,406
5093,NCT03069092,406
7199,NCT03074799,4054
6431,NCT02507882,405
8214,NCT03557294,405
7690,NCT00571038,404
6366,NCT00458510,403
6758,NCT01385046,403
8949,NCT02459327,403
7717,NCT01539005,402
8330,NCT00767806,401
3651,NCT04135404,400000
4397,NCT04569344,40000
1072,NCT04406714,4000
144,NCT04423770,4000
7630,NCT03432715,4000
5321,NCT03718585,4000
9056,NCT04545047,4000
62,NCT03373045,4000
7216,NCT00396500,4000
2650,NCT03219177,400
3800,NCT01313130,400
9380,NCT04246996,400
3484,NCT00487760,400
3019,NCT00481754,400
4250,NCT01617161,400
9603,NCT04055012,400
5135,NCT00390494,400
9880,NCT03845465,400
9594,NCT04058795,400
9155,NCT04456140,400
4821,NCT00223990,400
5981,NCT04356859,400
9472,NCT04166591,400
5021,NCT01633567,400
7710,NCT04379414,400
9016,NCT04577976,400
9017,NCT04577313,400
2355,NCT01854229,400
1529,NCT03912194,400
5655,NCT02489396,400
7857,NCT02697422,400
1533,NCT02406391,400
4147,NCT02923193,400
3973,NCT00249782,400
9347,NCT04274764,400
3178,NCT04077164,400
6908,NCT04589676,400
3407,NCT01058148,400
7165,NCT01807728,400
2082,NCT03844412,400
6797,NCT02428920,400
6894,NCT02118454,400
7700,NCT04055181,400
3391,NCT04070573,400
2970,NCT01341275,400
3435,NCT04377204,400
4982,NCT01063296,400
3162,NCT02190266,400
7315,NCT03144427,400
3388,NCT04461405,400
6927,NCT03936582,400
4619,NCT03747783,400
3753,NCT03284541,400
5219,NCT03451461,400
1197,NCT04507204,400
9321,NCT04298281,400
9383,NCT04242277,400
5436,NCT00106041,400
8361,NCT02541032,400
3803,NCT03553576,400
2507,NCT03120585,400
2795,NCT04426318,400
6582,NCT00341120,400
2563,NCT01240174,400
4511,NCT03593330,400
5775,NCT04504604,400
6276,NCT00460525,400
2577,NCT01390870,400
1815,NCT00127699,400
1732,NCT03511937,400
6857,NCT03772730,400
3102,NCT00031291,400
7865,NCT02476253,400
3832,NCT01200680,400
9523,NCT04115644,400
8092,NCT03481049,400
4342,NCT00136019,400
9041,NCT04558541,400
4555,NCT01747889,400
9147,NCT04463992,400
2817,NCT02378727,400
2692,NCT02443142,400
1314,NCT04156373,400
4341,NCT03163589,40
4881,NCT03308903,40
9385,NCT04242147,40
9720,NCT03969589,40
1080,NCT01411839,40
5159,NCT03710356,40
3308,NCT00001908,40
1144,NCT04026321,40
2317,NCT04450316,40
9324,NCT04294641,40
4944,NCT04143113,40
8629,NCT01700036,40
6905,NCT01751230,40
9706,NCT03980769,40
9236,NCT04368702,40
4335,NCT01589939,40
9818,NCT03883581,40
6436,NCT04182529,40
9402,NCT04233112,40
9326,NCT04294043,40
2676,NCT00835289,40
6876,NCT01698879,40
5146,NCT04164537,40
3762,NCT03935828,40
8096,NCT03790358,40
9285,NCT04327596,40
1810,NCT03542435,40
2446,NCT00115830,40
2687,NCT01300078,40
1944,NCT00277667,40
8145,NCT01141049,40
5466,NCT00710606,40
8403,NCT00458211,40
9280,NCT04330482,40
1953,NCT03153202,40
1812,NCT03973177,40
5142,NCT04565028,40
5504,NCT04011059,40
1099,NCT01382095,40
9352,NCT04269772,40
9345,NCT04276805,40
1955,NCT03506984,40
9359,NCT04263259,40
7123,NCT04575402,40
9269,NCT04340622,40
4910,NCT04570449,40
4243,NCT00308061,40
7076,NCT00635960,40
2702,NCT01217840,40
8317,NCT03717233,40
3325,NCT00413621,40
6350,NCT02919267,40
4303,NCT00114699,40
8420,NCT02944578,40
5065,NCT00612287,40
2318,NCT03112993,40
1893,NCT03126331,40
1747,NCT00841165,40
9138,NCT04473430,40
3555,NCT01518478,40
9140,NCT04471207,40
8665,NCT02344537,40
6462,NCT03733626,40
3549,NCT00156520,40
9571,NCT04081272,40
9039,NCT04559230,40
5383,NCT02781675,40
4110,NCT04009291,40
5027,NCT03779191,40
5950,NCT03526146,40
9027,NCT04568395,40
9486,NCT04148352,40
4000,NCT01154101,40
1714,NCT01846312,40
9490,NCT04145375,40
2604,NCT00255216,40
9151,NCT04461795,40
1721,NCT03336567,40
9510,NCT04124939,40
6087,NCT01701388,40
6994,NCT02866422,40
8656,NCT00422097,40
2380,NCT01333917,40
5055,NCT01591928,40
9529,NCT04109924,40
9119,NCT04485767,40
2376,NCT00718653,40
9122,NCT04485013,40
7005,NCT03532139,40
2374,NCT03976336,40
4021,NCT04567511,40
5958,NCT00183833,40
9072,NCT04526808,40
8457,NCT02621944,40
6095,NCT01566877,40
5025,NCT04026399,40
1902,NCT02579057,40
9233,NCT04372641,40
9625,NCT04039087,40
8993,NCT04595903,40
9640,NCT04026711,40
1779,NCT03377569,40
5444,NCT00473239,40
3618,NCT02234557,40
7052,NCT01517711,40
9426,NCT04214301,40
6920,NCT04537689,40
2522,NCT00646204,40
8707,NCT03758625,40
9685,NCT03997604,40
3423,NCT01613833,40
9692,NCT03991169,40
1918,NCT03985449,40
8380,NCT03458013,40
9698,NCT03984994,40
9700,NCT03984409,40
8125,NCT01469663,40
6116,NCT01322503,40
3506,NCT02352389,40
1773,NCT01563445,40
4127,NCT04422873,40
7023,NCT01942564,40
5983,NCT04275973,40
3672,NCT00321295,40
3498,NCT03686618,40
8999,NCT04592549,40
4138,NCT04514653,40
9481,NCT04152707,40
5422,NCT03782480,40
7728,NCT03916796,40
3486,NCT01215721,40
6488,NCT04365270,40
6080,NCT01810276,40
9462,NCT04179474,40
9189,NCT04411667,40
8845,NCT04149639,40
6934,NCT01574495,40
8514,NCT00030940,40
1931,NCT04359082,40
3230,NCT04140084,40
2017,NCT02349893,40
4828,NCT01373840,40
5598,NCT00821236,40
6817,NCT01190033,40
7864,NCT03328572,40
2227,NCT03930420,40
1404,NCT00655811,40
2852,NCT03442374,40
59,NCT02867722,40
5685,NCT03933085,40
4734,NCT03914781,40
4414,NCT02945501,40
9881,NCT03844906,40
4823,NCT02485145,40
5704,NCT04240483,40
6190,NCT03418857,40
4622,NCT04568369,40
4398,NCT03719963,40
1277,NCT01714479,40
5651,NCT02683187,40
1493,NCT02206750,40
9934,NCT03805438,40
9935,NCT03804827,40
5806,NCT03980808,40
8596,NCT03277573,40
6614,NCT02693444,40
1341,NCT01728129,40
4428,NCT03141138,40
1218,NCT03491397,40
3023,NCT00962806,40
2819,NCT03418649,40
4561,NCT01144767,40
6706,NCT02157051,40
2212,NCT00466778,40
3177,NCT00250133,40
1587,NCT00183872,40
6226,NCT01885806,40
3180,NCT04287868,40
3182,NCT03462966,40
4459,NCT00292929,40
1373,NCT00414011,40
5626,NCT03107546,40
8224,NCT00759733,40
8776,NCT00813423,40
4445,NCT01502358,40
9974,NCT03781323,40
4753,NCT02419885,40
4747,NCT04236271,40
8607,NCT00228046,40
8606,NCT00407615,40
7618,NCT03005418,40
9970,NCT03782506,40
5608,NCT02475707,40
6785,NCT01273922,40
6258,NCT01933685,40
5705,NCT01278355,40
5882,NCT01513668,40
6331,NCT04477083,40
9946,NCT03799640,40
9844,NCT03867877,40
4512,NCT01828996,40
1163,NCT04582266,40
8893,NCT01664624,40
6263,NCT01536795,40
5770,NCT02484248,40
8965,NCT02728076,40
4869,NCT03214757,40
3266,NCT04063813,40
157,NCT04281290,40
9842,NCT03873259,40
3264,NCT00883350,40
6624,NCT03221530,40
21,NCT03995745,40
1296,NCT04155333,40
5765,NCT03184025,40
8010,NCT03736382,40
6626,NCT00710502,40
3110,NCT00001909,40
1992,NCT03833284,40
6774,NCT03342482,40
8553,NCT03135249,40
8730,NCT04178577,40
5776,NCT01480193,40
4679,NCT00914745,40
2258,NCT01671397,40
8183,NCT00125580,40
4797,NCT01896414,40
2943,NCT01979211,40
6429,NCT01875653,4
1871,NCT02115919,4
3406,NCT01923389,4
3882,NCT02820519,4
8788,NCT02431494,4
6083,NCT01758224,4
2907,NCT00123786,4
3445,NCT01764685,4
5667,NCT02836288,4
3465,NCT00542581,4
6106,NCT01447186,4
1596,NCT00832871,4
2768,NCT00658476,4
6200,NCT02666742,4
8283,NCT00783172,4
3026,NCT00183963,4
8255,NCT01100268,4
3560,NCT01117168,4
8612,NCT01502761,4
6697,NCT03305055,4
8187,NCT02025439,4
4438,NCT01846104,4
3396,NCT01597596,4
8321,NCT01637129,4
5687,NCT00722800,4
2487,NCT01748890,4
6152,NCT00720096,4
2802,NCT01915069,4
2592,NCT02069353,4
2238,NCT01050907,4
5346,NCT00396812,4
7563,NCT01775670,4
54,NCT02813577,4
8271,NCT02333045,4
6061,NCT02240329,4
5906,NCT02006433,4
5581,NCT03671655,4
150,NCT01028300,4
9797,NCT03904420,4
4712,NCT03259178,4
4040,NCT02005445,4
1410,NCT02156336,4
4550,NCT01669915,3992
2383,NCT01376778,399
7962,NCT00016406,399
6261,NCT01790659,399
7163,NCT00643188,398
3132,NCT02148445,398
3777,NCT00486018,397
3969,NCT01177176,397
2834,NCT02305381,397
7934,NCT00382070,3966
7793,NCT02963922,396
6174,NCT00404170,396
9870,NCT03850600,396
2332,NCT03263195,395
5002,NCT02333019,395
2794,NCT00097617,395
