,NCTId,InterventionType
8452,NCT02295540,Radiation
6576,NCT00689221,Radiation
6141,NCT00853528,Radiation
8655,NCT00882583,Radiation
5402,NCT01973608,Radiation
8086,NCT00936390,Radiation
8086,NCT00936390,Radiation
7931,NCT00053898,Radiation
4330,NCT01182467,Radiation
6703,NCT02286843,Radiation
6141,NCT00853528,Radiation
6703,NCT02286843,Radiation
6142,NCT00852644,Radiation
4690,NCT02545010,Radiation
9609,NCT04049669,Radiation
9609,NCT04049669,Radiation
6142,NCT00852644,Radiation
6142,NCT00852644,Radiation
6143,NCT00851253,Radiation
5371,NCT03529422,Radiation
4709,NCT01336452,Radiation
6885,NCT02985255,Radiation
6572,NCT00813943,Radiation
5418,NCT02031328,Radiation
2685,NCT00588497,Radiation
5127,NCT02725840,Radiation
5127,NCT02725840,Radiation
1306,NCT03693937,Radiation
3049,NCT01051284,Radiation
3047,NCT02800486,Radiation
2428,NCT03737370,Radiation
8252,NCT01417286,Radiation
2685,NCT00588497,Radiation
7944,NCT00365105,Radiation
7876,NCT03817736,Radiation
7477,NCT02368106,Radiation
9121,NCT04485026,Radiation
4642,NCT01084239,Radiation
6467,NCT01118026,Radiation
6125,NCT01212731,Radiation
9588,NCT04068649,Radiation
6125,NCT01212731,Radiation
9588,NCT04068649,Radiation
2943,NCT01979211,Radiation
7660,NCT00681694,Radiation
3461,NCT01586767,Radiation
5190,NCT04108052,Radiation
2311,NCT04357587,Radiation
6208,NCT00870285,Radiation
4831,NCT02599454,Radiation
6803,NCT02039895,Radiation
4389,NCT03404986,Radiation
4351,NCT03159234,Radiation
6788,NCT00563784,Radiation
4351,NCT03159234,Radiation
4351,NCT03159234,Radiation
9643,NCT04025372,Radiation
9071,NCT04528446,Radiation
9071,NCT04528446,Radiation
6199,NCT03693924,Radiation
9236,NCT04368702,Radiation
8696,NCT03614949,Radiation
9243,NCT04359199,Radiation
2267,NCT02950337,Radiation
2267,NCT02950337,Radiation
2267,NCT02950337,Radiation
3341,NCT00990262,Radiation
8452,NCT02295540,Radiation
7621,NCT02114229,Radiation
2189,NCT01547286,Radiation
7660,NCT00681694,Radiation
7660,NCT00681694,Radiation
9615,NCT04047602,Radiation
8765,NCT00280748,Radiation
8758,NCT03564522,Radiation
9300,NCT04315883,Radiation
8015,NCT00004048,Radiation
5190,NCT04108052,Radiation
9100,NCT04502407,Radiation
8678,NCT02829931,Radiation
8015,NCT00004048,Radiation
9623,NCT04042506,Radiation
6239,NCT02305186,Radiation
2893,NCT01288534,Radiation
8442,NCT01135095,Radiation
9055,NCT04545957,Radiation
8677,NCT03071406,Radiation
8448,NCT04253483,Radiation
3461,NCT01586767,Radiation
3839,NCT01234766,Radiation
9800,NCT03902600,Radiation
5624,NCT01847495,Radiation
8614,NCT00253448,Radiation
9434,NCT04209790,Radiation
7977,NCT00776100,Radiation
5662,NCT02287428,Radiation
8146,NCT00004084,Radiation
8619,NCT01703507,Radiation
3203,NCT01968785,Radiation
7240,NCT02191267,Radiation
7240,NCT02191267,Radiation
8146,NCT00004084,Radiation
5614,NCT01591733,Radiation
9969,NCT03785288,Radiation
8965,NCT02728076,Radiation
7952,NCT00124618,Radiation
1237,NCT01241123,Radiation
8143,NCT03246113,Radiation
8619,NCT01703507,Radiation
9799,NCT03904043,Radiation
2621,NCT03050554,Radiation
1167,NCT01570998,Radiation
1808,NCT01520038,Radiation
4528,NCT04607642,Radiation
1808,NCT01520038,Radiation
5496,NCT01528878,Radiation
8614,NCT00253448,Radiation
5553,NCT03253744,Radiation
6506,NCT00742222,Radiation
9144,NCT04467099,Radiation
5553,NCT03253744,Radiation
6068,NCT02023996,Radiation
8897,NCT01797159,Radiation
6506,NCT00742222,Radiation
5694,NCT03789097,Radiation
9742,NCT03945721,Radiation
7983,NCT00113399,Radiation
6022,NCT03366844,Radiation
9977,NCT03778294,Radiation
4250,NCT01617161,Radiation
5547,NCT01956058,Radiation
4948,NCT03426891,Radiation
4250,NCT01617161,Radiation
7243,NCT03358563,Radiation
3203,NCT01968785,Radiation
3065,NCT03467789,Radiation
8509,NCT01239368,Procedure
2767,NCT02148003,Procedure
2767,NCT02148003,Procedure
4969,NCT00433173,Procedure
4854,NCT00129701,Procedure
2762,NCT01801670,Procedure
8507,NCT00014950,Procedure
9159,NCT04451382,Procedure
7583,NCT00235235,Procedure
4970,NCT03102086,Procedure
6086,NCT01714349,Procedure
2762,NCT01801670,Procedure
2675,NCT00451308,Procedure
4980,NCT02093091,Procedure
2613,NCT03432897,Procedure
7583,NCT00235235,Procedure
6078,NCT01822301,Procedure
2597,NCT03066999,Procedure
6191,NCT01873573,Procedure
1059,NCT04031365,Procedure
6191,NCT01873573,Procedure
4987,NCT00659087,Procedure
4816,NCT03794882,Procedure
4819,NCT01033188,Procedure
4819,NCT01033188,Procedure
7635,NCT02096653,Procedure
2785,NCT02746874,Procedure
7577,NCT00431847,Procedure
2785,NCT02746874,Procedure
6180,NCT00253994,Procedure
9155,NCT04456140,Procedure
7577,NCT00431847,Procedure
6177,NCT00337961,Procedure
2782,NCT01158508,Procedure
6157,NCT00647790,Procedure
8491,NCT03778177,Procedure
2777,NCT02539433,Procedure
4980,NCT02093091,Procedure
1189,NCT03532230,Procedure
6084,NCT01751737,Procedure
7621,NCT02114229,Procedure
4969,NCT00433173,Procedure
7606,NCT04049305,Procedure
6154,NCT00714727,Procedure
4969,NCT00433173,Procedure
1114,NCT01841957,Procedure
2712,NCT02484950,Procedure
2704,NCT02824705,Procedure
8531,NCT00284453,Procedure
4958,NCT00847756,Procedure
4913,NCT02136628,Procedure
4958,NCT00847756,Procedure
9196,NCT04404855,Procedure
6124,NCT01264471,Procedure
6124,NCT01264471,Procedure
4958,NCT00847756,Procedure
7585,NCT04035382,Procedure
6122,NCT01269164,Procedure
6121,NCT01281267,Procedure
1134,NCT04560933,Procedure
1135,NCT01782014,Procedure
2685,NCT00588497,Procedure
7590,NCT03839719,Procedure
9191,NCT04410302,Procedure
7590,NCT03839719,Procedure
2685,NCT00588497,Procedure
7590,NCT03839719,Procedure
6117,NCT01320059,Procedure
6107,NCT01433302,Procedure
2674,NCT02080429,Procedure
2674,NCT02080429,Procedure
6114,NCT01345591,Procedure
1114,NCT01841957,Procedure
7602,NCT04011176,Procedure
6139,NCT00896649,Procedure
6092,NCT01633892,Procedure
4969,NCT00433173,Procedure
4969,NCT00433173,Procedure
2732,NCT03295994,Procedure
2732,NCT03295994,Procedure
7606,NCT04049305,Procedure
2675,NCT00451308,Procedure
7605,NCT04037852,Procedure
7605,NCT04037852,Procedure
6090,NCT01645722,Procedure
1174,NCT01241136,Procedure
1174,NCT01241136,Procedure
2618,NCT00798876,Procedure
4969,NCT00433173,Procedure
6139,NCT00896649,Procedure
6142,NCT00852644,Procedure
4969,NCT00433173,Procedure
8523,NCT03731598,Procedure
7583,NCT00235235,Procedure
4889,NCT00734357,Procedure
7602,NCT04011176,Procedure
4966,NCT02091323,Procedure
4965,NCT04424823,Procedure
1164,NCT01427673,Procedure
6141,NCT00853528,Procedure
6141,NCT00853528,Procedure
4893,NCT02609308,Procedure
4816,NCT03794882,Procedure
6172,NCT00409968,Procedure
7635,NCT02096653,Procedure
9419,NCT04221594,Procedure
9424,NCT04218370,Procedure
4594,NCT01892514,Procedure
4592,NCT00580944,Procedure
9427,NCT04214249,Procedure
3081,NCT00269503,Procedure
3081,NCT00269503,Procedure
3081,NCT00269503,Procedure
3081,NCT00269503,Procedure
3086,NCT02153814,Procedure
9434,NCT04209790,Procedure
3086,NCT02153814,Procedure
4578,NCT03176420,Procedure
3089,NCT00775515,Procedure
6334,NCT04326517,Procedure
9440,NCT04204668,Procedure
9440,NCT04204668,Procedure
9440,NCT04204668,Procedure
9419,NCT04221594,Procedure
9419,NCT04221594,Procedure
7702,NCT03371225,Procedure
8361,NCT02541032,Procedure
6300,NCT01119326,Procedure
9394,NCT04238143,Procedure
9394,NCT04238143,Procedure
9394,NCT04238143,Procedure
9394,NCT04238143,Procedure
4621,NCT00161525,Procedure
4619,NCT03747783,Procedure
3046,NCT00453700,Procedure
8364,NCT04474405,Procedure
6866,NCT03760497,Procedure
8364,NCT04474405,Procedure
8364,NCT04474405,Procedure
7718,NCT00775866,Procedure
7719,NCT00201929,Procedure
7719,NCT00201929,Procedure
7719,NCT00201929,Procedure
8361,NCT02541032,Procedure
6336,NCT04239066,Procedure
6336,NCT04239066,Procedure
3097,NCT00247377,Procedure
3097,NCT00247377,Procedure
8312,NCT00004375,Procedure
4523,NCT03897764,Procedure
3157,NCT02619773,Procedure
3159,NCT00251290,Procedure
3160,NCT00746109,Procedure
3160,NCT00746109,Procedure
4517,NCT02817854,Procedure
9504,NCT04128995,Procedure
4517,NCT02817854,Procedure
6378,NCT02634502,Procedure
4517,NCT02817854,Procedure
6381,NCT03214549,Procedure
6381,NCT03214549,Procedure
6837,NCT01494519,Procedure
6837,NCT01494519,Procedure
3166,NCT03003728,Procedure
7749,NCT00537173,Procedure
9491,NCT04144023,Procedure
7741,NCT00136370,Procedure
7741,NCT00136370,Procedure
3101,NCT00411489,Procedure
6340,NCT03795545,Procedure
6341,NCT03795532,Procedure
6342,NCT03763539,Procedure
6343,NCT02665520,Procedure
6345,NCT01065064,Procedure
6346,NCT02635971,Procedure
6346,NCT02635971,Procedure
3107,NCT04235764,Procedure
6847,NCT03947216,Procedure
9475,NCT04162678,Procedure
