NCTId,ArmGroupType
NCT03076216,Other
NCT04390009,Other
NCT01292876,Other
NCT02346162,Other
NCT02068079,Other
NCT01566890,Other
NCT01380795,Other
NCT02473926,Other
NCT04390009,Other
NCT03884478,Other
NCT01925456,Other
NCT04145895,Other
NCT03334266,Other
NCT04145895,Other
NCT04199702,Other
NCT01957813,Other
NCT01982435,Other
NCT01566890,Other
NCT01982435,Other
NCT02632422,Other
NCT03505567,Other
NCT02347202,Other
NCT00812097,Other
NCT01011348,Other
NCT04539821,Other
NCT04508751,Other
NCT04427202,Other
NCT03156283,Other
NCT01558583,Other
NCT01994525,Other
NCT04210024,Other
NCT00753922,Other
NCT00753922,Other
NCT00788944,Other
NCT04209790,Other
NCT00753922,Other
NCT00280748,Other
NCT02840877,Other
NCT04082117,Other
NCT00748098,Other
NCT01640171,Other
NCT02610374,Other
NCT02610374,Other
NCT02610374,Other
NCT00753922,Other
NCT00748098,Other
NCT00178698,Other
NCT01558583,Other
NCT03963375,Other
NCT03963375,Other
NCT03352479,Other
NCT02262806,Other
NCT03538769,Other
NCT03501992,Other
NCT03501992,Other
NCT04275973,Other
NCT01177137,Other
NCT01177137,Other
NCT00549796,Other
NCT03501992,Other
NCT03351088,Other
NCT03963375,Other
NCT01387490,Other
NCT02277314,Other
NCT03107546,Other
NCT00436865,Other
NCT00606658,Other
NCT00436865,Other
NCT01558583,Other
NCT01994525,Other
NCT03963375,Other
NCT01398319,Other
NCT03822182,Other
NCT00156390,Other
NCT04508751,Other
NCT04092114,Other
NCT04429568,Other
NCT04429568,Other
NCT03659656,Other
NCT02775929,Other
NCT02139436,Other
NCT00812097,Other
NCT00480779,Other
NCT00812097,Other
NCT00662415,Other
NCT04092777,Other
NCT00480779,Other
NCT01670227,Other
NCT04326036,Other
NCT04326036,Other
NCT04474405,Other
NCT03616171,Other
NCT04097717,Other
NCT00776100,Other
NCT01904500,Other
NCT01011348,Other
NCT04312334,Other
NCT04312334,Other
NCT01511939,Other
NCT01015820,Other
NCT04084210,Other
NCT04084210,Other
NCT04604145,Other
NCT04604145,Other
NCT04450914,Other
NCT04450914,Other
NCT04450914,Other
NCT04508751,Other
NCT04508348,Other
NCT00113399,Other
NCT04312334,Other
NCT01353352,Other
NCT00113399,Other
NCT01511939,Other
NCT02043574,Other
NCT01511939,Other
NCT04312334,Other
NCT04429568,Other
NCT04090775,Other
NCT04312334,Other
NCT03819686,Other
NCT04069832,Other
NCT03351088,Other
NCT02652286,Other
NCT04300478,Other
NCT03965676,Other
NCT03124277,Other
NCT01629537,Other
NCT04385524,Other
NCT03609671,Other
NCT02391727,Other
NCT00525837,Other
NCT00870207,Other
NCT04258332,Other
NCT03839745,Other
NCT03839745,Other
NCT03839745,Other
NCT04294303,Other
NCT03841864,Other
NCT03841864,Other
NCT03820947,Other
NCT03841864,Other
NCT03841864,Other
NCT04258332,Other
NCT01202500,Other
NCT02878382,Other
NCT03833921,Other
NCT00119574,Other
NCT00817947,Other
NCT02045784,Other
NCT01626599,Other
NCT02667353,Other
NCT03822962,Other
NCT01229748,Other
NCT03405792,Other
NCT00981266,Other
NCT03482336,Other
NCT02456311,Other
NCT03482336,Other
NCT00981266,Other
NCT01389219,Other
NCT02564653,Other
NCT02564653,Other
NCT00870207,Other
NCT03828916,Other
NCT04168450,Other
NCT04168450,Other
NCT02755831,Other
NCT04300478,Other
NCT02878382,Other
NCT02856802,Other
NCT01494844,Other
NCT01046825,Other
NCT03551483,Other
NCT03111550,Other
NCT00956631,Other
NCT04398784,Other
NCT04399889,Other
NCT03865381,Other
NCT00714727,Other
NCT02605200,Other
NCT02000739,Other
NCT00424294,Other
NCT03293875,Other
NCT03293875,Other
NCT01046825,Other
NCT04342728,Other
NCT02764983,Other
NCT02021149,Other
NCT04358549,Other
NCT02790502,Other
NCT00763009,Other
NCT03409575,Other
NCT03442192,Other
NCT03409575,Other
NCT02500589,Other
NCT02068924,Other
NCT03863743,Other
NCT04176107,Other
NCT01046825,Other
NCT03653195,Other
NCT02461758,Other
NCT02461758,Other
NCT02641158,Other
NCT01578967,Other
NCT00927862,Other
NCT03111550,Other
NCT02461758,Other
NCT00032344,Other
NCT04158830,Other
NCT02865967,Other
NCT04072211,Other
NCT03111550,Other
NCT02865967,Other
NCT04522973,Other
NCT02865967,Other
NCT02461758,Other
NCT01714323,Other
NCT03863522,Other
NCT02386098,Other
NCT01440634,Other
NCT03323723,Other
NCT03499951,Other
NCT02174978,Other
NCT03649191,Other
NCT02951598,Other
NCT02951598,Other
NCT03944395,Other
NCT00703846,Other
NCT03278808,Other
NCT01856049,Other
NCT03266003,Other
NCT01007188,Other
NCT03266003,Other
NCT01178840,Other
NCT01178840,Other
NCT00408200,Other
NCT03649191,Other
NCT03499951,Other
NCT00111176,Other
NCT00111176,Other
NCT00408200,Other
NCT00173537,Other
NCT00013078,Other
NCT03364361,Other
NCT00013026,Other
NCT04568330,Other
NCT04421235,Other
NCT01028300,Other
NCT01924273,Other
NCT03511443,Other
NCT02483260,Other
NCT02517671,Other
NCT01304407,Other
NCT00682994,Other
NCT04313088,Other
NCT03605888,Other
NCT04130516,Other
NCT04329754,Other
NCT03771638,Other
NCT04313088,Other
NCT00979238,Other
NCT03773107,Other
NCT01059487,Other
NCT00493051,Other
NCT01881503,Other
NCT04317586,Other
NCT04329754,Other
NCT02951598,Other
NCT00779142,Other
NCT01987830,Other
NCT03858868,Other
NCT02951598,Other
NCT04307004,Other
NCT04307004,Other
NCT02386098,Other
NCT00331058,Other
NCT00331058,Other
NCT01860352,Other
NCT03257436,Other
NCT03278626,Other
NCT01672710,Other
NCT03305393,Other
NCT00713427,Other
NCT04330482,Other
NCT03832283,Other
NCT03832283,Other
NCT02153346,Other
NCT04530136,Other
NCT03721835,Other
NCT02091323,Other
NCT01055990,Other
NCT00057070,Other
NCT03085953,Other
NCT03985449,Other
NCT01299116,Other
NCT03337438,Other
NCT02629289,Other
NCT02757937,Other
NCT03184025,Other
NCT01157897,Other
NCT02629289,Other
NCT02115724,Other
NCT03088111,Other
NCT03337438,Other
NCT02248688,Other
NCT03337438,Other
NCT02629289,Other
NCT01892631,Other
NCT04396431,Other
NCT01808352,Other
NCT04465708,Other
NCT02120248,Other
NCT04300699,Other
NCT02847117,Other
NCT00942695,Other
NCT01264627,Other
NCT04108052,Other
NCT04398784,Other
NCT00814905,Other
NCT03050840,Other
NCT00925366,Other
NCT01645722,Other
NCT01658228,Other
NCT04401904,Other
NCT03353480,Other
NCT04378751,Other
NCT04254692,Other
NCT01093885,Other
NCT00631085,Other
NCT04608773,Other
NCT04608773,Other
NCT04378751,Other
NCT04254666,Other
NCT02371317,Other
NCT01713972,Other
NCT03948139,Other
NCT03948139,Other
NCT03177447,Other
NCT01115998,Other
NCT03560232,Other
NCT01593072,Other
NCT01658228,Other
NCT03249584,Other
NCT01764269,Other
NCT03014037,Other
NCT03915015,Other
NCT00169754,Other
NCT01272284,Other
NCT01893112,Other
NCT02337296,Other
NCT03764683,Other
NCT01775995,Other
NCT03156010,Other
NCT02075151,Other
NCT01658228,Other
NCT03928041,Other
NCT03135249,Other
NCT03156010,Other
NCT01856673,Other
NCT02111512,Other
NCT00814905,Other
NCT01234103,Other
NCT03613038,Other
NCT04254003,Other
NCT03059082,Other
NCT00012883,Other
NCT01518478,Other
NCT01518478,Other
NCT03404986,Other
NCT03979885,Other
NCT03979885,Other
NCT03979885,Other
NCT03059082,Other
NCT03059082,Other
NCT00788632,Other
NCT03404986,Other
NCT00798551,Other
NCT04043715,Other
NCT02830945,Other
NCT02318862,Other
NCT02906241,Other
NCT02318862,Other
NCT01177176,Other
NCT02240329,Other
NCT01647438,Other
NCT04254003,Other
NCT02975596,Other
NCT03420638,Other
NCT03195205,Other
NCT02415621,Other
NCT01293604,Other
NCT02975596,Other
NCT02063451,Other
NCT02975596,Other
NCT02158884,Other
NCT00751244,Other
NCT02095249,Other
NCT04382963,Other
NCT01049516,Other
NCT04593693,Other
NCT04382963,Other
NCT04382963,Other
NCT00265447,Other
NCT03807531,Other
NCT03969589,Other
NCT00916656,Other
NCT03931772,Other
NCT01781949,Other
NCT02707042,Other
NCT01128621,Other
NCT03168425,Other
NCT00169806,Other
NCT02568618,Other
NCT00850135,Other
NCT03164967,Other
NCT03199196,Other
NCT04481373,Other
NCT00186862,Other
NCT03250234,Other
NCT03455530,Other
NCT04269772,Other
NCT00869713,Other
NCT04269707,Other
NCT02813577,Other
NCT03250234,Other
NCT01658228,Other
NCT03890029,Other
NCT03890029,Other
NCT01851629,Other
NCT04475718,Other
NCT01511107,Other
NCT02213068,Other
NCT01155024,Other
NCT01764269,Other
NCT03666247,Other
NCT03881098,Other
NCT01155024,Other
NCT00736268,Other
NCT03159234,Other
NCT02922127,Other
NCT02922127,Other
NCT02707042,Other
NCT03913169,Other
NCT03808675,Other
NCT03913169,Other
NCT04202900,Other
NCT02876575,Other
NCT02630225,Other
NCT02155478,Other
NCT03694418,Other
NCT03913169,Other
NCT03913169,Other
NCT02697565,Other
NCT02568618,Other
NCT02707042,Other
NCT02952352,Other
NCT03694418,Other
NCT04360824,Other
NCT03694418,Other
NCT04344561,No Intervention
NCT03284372,No Intervention
NCT02197689,No Intervention
NCT03284372,No Intervention
NCT02848235,No Intervention
NCT01247974,No Intervention
NCT02991690,No Intervention
NCT03284372,No Intervention
NCT02037750,No Intervention
NCT04380415,No Intervention
NCT02412982,No Intervention
NCT01657422,No Intervention
NCT03702270,No Intervention
NCT02112058,No Intervention
NCT04132739,No Intervention
NCT01864564,No Intervention
NCT03982511,No Intervention
NCT01072279,No Intervention
NCT01401816,No Intervention
NCT00788879,No Intervention
NCT03692273,No Intervention
NCT04227405,No Intervention
NCT02189889,No Intervention
NCT03828877,No Intervention
NCT03593330,No Intervention
NCT01337063,No Intervention
NCT01072279,No Intervention
NCT00731497,No Intervention
NCT03880006,No Intervention
NCT04118972,No Intervention
NCT01241253,No Intervention
NCT01266122,No Intervention
NCT01519999,No Intervention
NCT02022423,No Intervention
NCT02368808,No Intervention
NCT01779414,No Intervention
NCT01783652,No Intervention
NCT01167920,No Intervention
NCT04327596,No Intervention
NCT04374760,No Intervention
NCT00528814,No Intervention
NCT04062968,No Intervention
NCT02593032,No Intervention
NCT04403737,No Intervention
NCT04567394,No Intervention
NCT03644914,No Intervention
NCT02071563,No Intervention
NCT02670850,No Intervention
NCT02297126,No Intervention
NCT04411667,No Intervention
NCT04410627,No Intervention
NCT00883792,No Intervention
NCT01389219,No Intervention
NCT04357730,No Intervention
NCT03857672,No Intervention
NCT03776201,No Intervention
NCT04221997,No Intervention
NCT02901639,No Intervention
NCT01435512,No Intervention
NCT00221507,No Intervention
NCT03271307,No Intervention
NCT03679117,No Intervention
NCT02629939,No Intervention
NCT03271307,No Intervention
NCT01154296,No Intervention
NCT02655354,No Intervention
NCT03407443,No Intervention
NCT01977989,No Intervention
NCT04374760,No Intervention
NCT04524104,No Intervention
NCT04388748,No Intervention
NCT02056652,No Intervention
NCT02140788,No Intervention
NCT03361384,No Intervention
NCT03411577,No Intervention
NCT03480217,No Intervention
NCT01665690,No Intervention
NCT02982070,No Intervention
NCT04533607,No Intervention
NCT03455127,No Intervention
NCT02271074,No Intervention
NCT00392873,No Intervention
NCT01188473,No Intervention
NCT00221247,No Intervention
NCT01941862,No Intervention
NCT00291161,No Intervention
NCT02119195,No Intervention
NCT01366924,No Intervention
NCT04340570,No Intervention
NCT04337021,No Intervention
NCT04330391,No Intervention
NCT01538407,No Intervention
NCT04036344,No Intervention
NCT00377208,No Intervention
NCT02119195,No Intervention
NCT03917875,No Intervention
NCT00392873,No Intervention
NCT00660322,No Intervention
NCT04452201,No Intervention
NCT02002182,No Intervention
NCT01206166,No Intervention
NCT00693563,No Intervention
NCT03678870,No Intervention
NCT04534959,No Intervention
NCT03271931,No Intervention
NCT00986986,No Intervention
NCT03887793,No Intervention
NCT02743039,No Intervention
NCT01920243,No Intervention
NCT01920243,No Intervention
NCT03502278,No Intervention
NCT02459327,No Intervention
NCT01894464,No Intervention
NCT04606966,No Intervention
NCT02915471,No Intervention
NCT02759172,No Intervention
NCT02981160,No Intervention
NCT04177472,No Intervention
NCT02080923,No Intervention
NCT02871921,No Intervention
NCT01742169,No Intervention
NCT04176107,No Intervention
NCT00607620,No Intervention
NCT04221633,No Intervention
NCT00656019,No Intervention
NCT01848353,No Intervention
NCT01848353,No Intervention
NCT01671475,No Intervention
NCT03637296,No Intervention
NCT01109602,No Intervention
NCT03730259,No Intervention
NCT03488875,No Intervention
NCT00815672,No Intervention
NCT03740139,No Intervention
NCT02290223,No Intervention
NCT01276184,No Intervention
NCT01806987,No Intervention
NCT01300325,No Intervention
NCT01052220,No Intervention
NCT02849301,No Intervention
NCT01387100,No Intervention
NCT02858778,No Intervention
NCT04437069,No Intervention
NCT01763931,No Intervention
NCT03642275,No Intervention
NCT00570206,No Intervention
NCT01047709,No Intervention
NCT01894087,No Intervention
NCT01315483,No Intervention
NCT01879696,No Intervention
NCT01894087,No Intervention
NCT00570206,No Intervention
NCT00989430,No Intervention
NCT03600103,No Intervention
NCT03598114,No Intervention
NCT01394874,No Intervention
NCT01373489,No Intervention
NCT01254669,No Intervention
NCT02698722,No Intervention
NCT01123577,No Intervention
NCT03347552,No Intervention
NCT03595748,No Intervention
NCT00534378,No Intervention
NCT02337296,No Intervention
NCT02479555,No Intervention
NCT01357551,No Intervention
NCT03032159,No Intervention
NCT01593189,No Intervention
NCT02472067,No Intervention
NCT04450966,No Intervention
NCT03489434,No Intervention
NCT03242655,No Intervention
NCT03906942,No Intervention
NCT00527982,No Intervention
NCT02734667,No Intervention
NCT02091154,No Intervention
NCT01825226,No Intervention
NCT01905618,No Intervention
NCT03865758,No Intervention
NCT03181022,No Intervention
NCT04018417,No Intervention
NCT00700791,No Intervention
NCT03181022,No Intervention
NCT03181022,No Intervention
NCT04458350,No Intervention
NCT03569059,No Intervention
NCT03545217,No Intervention
NCT04336397,No Intervention
NCT04019977,No Intervention
NCT01930149,No Intervention
NCT02604238,No Intervention
NCT00746993,No Intervention
NCT01565863,No Intervention
NCT03945552,No Intervention
NCT00999986,No Intervention
NCT01492738,No Intervention
NCT03442374,No Intervention
NCT03905720,No Intervention
NCT02069379,No Intervention
NCT03057119,No Intervention
NCT01333488,No Intervention
NCT02421666,No Intervention
NCT00542360,No Intervention
NCT00917085,No Intervention
NCT02505035,No Intervention
NCT01744548,No Intervention
NCT01496378,No Intervention
NCT03256110,No Intervention
NCT03313375,No Intervention
NCT04246424,No Intervention
NCT03727815,No Intervention
NCT03600532,No Intervention
NCT00490230,No Intervention
NCT00000408,No Intervention
NCT03748420,No Intervention
NCT03674775,No Intervention
NCT01184755,No Intervention
NCT03784846,No Intervention
NCT02564341,No Intervention
NCT01402453,No Intervention
NCT01228916,No Intervention
NCT01138254,No Intervention
NCT00122369,No Intervention
NCT02878850,No Intervention
NCT00308113,No Intervention
NCT03227575,No Intervention
NCT02708264,No Intervention
NCT01880372,No Intervention
NCT03682263,No Intervention
NCT03422367,No Intervention
NCT03489356,No Intervention
NCT02807155,No Intervention
NCT03600532,No Intervention
NCT03241732,No Intervention
NCT01751230,No Intervention
NCT03471221,No Intervention
NCT03113786,No Intervention
NCT01545934,No Intervention
NCT03383848,No Intervention
NCT03293901,No Intervention
NCT03822611,No Intervention
NCT01126697,No Intervention
NCT02817009,No Intervention
NCT03592771,No Intervention
NCT04347629,No Intervention
NCT02063451,No Intervention
NCT00924976,No Intervention
NCT02637427,No Intervention
NCT04210076,No Intervention
NCT01625468,No Intervention
NCT00962403,No Intervention
NCT02551640,No Intervention
NCT02035826,No Intervention
NCT04506294,No Intervention
NCT03429413,No Intervention
NCT03429413,No Intervention
NCT03429413,No Intervention
NCT01513343,No Intervention
NCT00983892,No Intervention
NCT03490188,No Intervention
NCT03418870,No Intervention
NCT03526146,No Intervention
NCT00542204,No Intervention
NCT04495283,No Intervention
NCT01121250,No Intervention
NCT03966755,No Intervention
NCT02855294,No Intervention
NCT01419652,No Intervention
NCT01839708,No Intervention
NCT02971709,No Intervention
NCT01526239,No Intervention
NCT04538963,No Intervention
NCT01770184,No Intervention
NCT04356859,No Intervention
NCT02428920,No Intervention
NCT04491539,No Intervention
NCT03348345,No Intervention
NCT01727895,No Intervention
NCT03537729,No Intervention
NCT04162847,No Intervention
NCT04426318,No Intervention
NCT03310112,No Intervention
NCT02660086,No Intervention
NCT00166088,No Intervention
NCT03170700,No Intervention
NCT01515800,No Intervention
NCT04478617,No Intervention
NCT01195571,No Intervention
NCT00481715,No Intervention
NCT04122378,No Intervention
NCT01679938,No Intervention
NCT02191748,No Intervention
NCT03242070,No Intervention
NCT04469530,No Intervention
NCT03433261,No Intervention
NCT04460872,No Intervention
NCT01007006,No Intervention
NCT04456738,No Intervention
NCT01416766,No Intervention
NCT01947179,No Intervention
NCT02814552,No Intervention
NCT02819141,No Intervention
NCT01434004,No Intervention
NCT04479943,No Intervention
NCT02334384,No Intervention
NCT04241133,No Intervention
NCT04484805,No Intervention
NCT02319967,No Intervention
NCT00183963,No Intervention
NCT03833219,No Intervention
NCT02181062,No Intervention
NCT03028688,No Intervention
NCT02139722,No Intervention
NCT00379652,No Intervention
NCT03280836,No Intervention
NCT04481919,No Intervention
NCT03341078,No Intervention
NCT00955201,No Intervention
NCT04480346,No Intervention
NCT01440907,No Intervention
NCT00483522,No Intervention
NCT01810640,No Intervention
NCT03023644,No Intervention
NCT03852030,No Intervention
NCT02605876,No Intervention
NCT02716909,No Intervention
NCT01968642,No Intervention
NCT04266821,No Intervention
NCT00258479,No Intervention
NCT04204018,No Intervention
NCT04572581,No Intervention
NCT02144649,No Intervention
NCT00154622,No Intervention
NCT01408147,No Intervention
NCT02430792,No Intervention
NCT03441503,No Intervention
NCT02479620,No Intervention
NCT04566445,No Intervention
NCT01125397,No Intervention
NCT04248023,No Intervention
NCT00531518,No Intervention
NCT04591288,No Intervention
NCT00283855,No Intervention
NCT03911141,No Intervention
NCT04139187,No Intervention
NCT00122187,No Intervention
NCT01541761,No Intervention
NCT04580004,No Intervention
NCT01823341,No Intervention
NCT04582214,No Intervention
NCT00756626,No Intervention
NCT02301455,No Intervention
NCT02344576,No Intervention
NCT02301455,No Intervention
NCT00599599,No Intervention
NCT00763308,No Intervention
NCT04565353,No Intervention
NCT02338024,No Intervention
NCT03229356,No Intervention
NCT03939507,No Intervention
NCT04556227,No Intervention
NCT02017548,No Intervention
NCT03199222,No Intervention
NCT03411278,No Intervention
NCT03212677,No Intervention
NCT03851406,No Intervention
NCT00496145,No Intervention
NCT04075877,No Intervention
NCT03584945,No Intervention
NCT03176004,No Intervention
NCT01665781,No Intervention
NCT02193984,No Intervention
NCT04001790,No Intervention
NCT03080246,No Intervention
NCT01591707,No Intervention
NCT03872856,No Intervention
NCT04268420,No Intervention
NCT01403428,No Intervention
NCT04314713,No Intervention
NCT01505257,No Intervention
NCT03197922,No Intervention
NCT01591681,No Intervention
NCT03518294,No Intervention
NCT03332563,No Intervention
NCT00865358,No Intervention
NCT03840096,No Intervention
NCT04469036,No Intervention
NCT02851030,No Intervention
NCT01515072,No Intervention
NCT02665520,No Intervention
NCT04296279,No Intervention
NCT01025674,No Intervention
NCT03237013,No Intervention
NCT02160847,No Intervention
NCT02344537,No Intervention
NCT02941809,No Intervention
NCT03990389,No Intervention
NCT03985852,No Intervention
NCT03826290,No Intervention
NCT03393637,No Intervention
NCT02123251,No Intervention
NCT00526994,No Intervention
NCT03940209,No Intervention
NCT01148563,No Intervention
NCT02425345,No Intervention
NCT01473771,No Intervention
NCT02906241,No Intervention
NCT02086630,No Intervention
NCT03862924,No Intervention
NCT03610555,No Intervention
NCT03767231,No Intervention
NCT04562649,No Intervention
NCT02816294,No Intervention
NCT04161040,No Intervention
NCT04399889,No Intervention
NCT03990389,No Intervention
NCT03887390,No Intervention
NCT03991169,No Intervention
NCT00708890,No Intervention
NCT02207803,No Intervention
NCT03677674,No Intervention
NCT03864302,No Intervention
NCT03867812,No Intervention
NCT03202745,No Intervention
NCT01963169,No Intervention
NCT04001946,No Intervention
NCT01841840,No Intervention
NCT00438594,No Intervention
NCT03769571,No Intervention
NCT03700281,No Intervention
NCT03543735,No Intervention
NCT04406441,No Intervention
NCT03713333,No Intervention
NCT03465813,No Intervention
NCT01812824,No Intervention
NCT01212978,No Intervention
NCT04323774,No Intervention
NCT03935282,No Intervention
NCT02990377,No Intervention
NCT02453230,No Intervention
NCT00805948,No Intervention
NCT02887235,No Intervention
NCT03887247,No Intervention
NCT01698112,No Intervention
NCT00644566,No Intervention
NCT03276741,No Intervention
NCT03856320,No Intervention
NCT03931746,No Intervention
NCT01730911,No Intervention
NCT04218747,No Intervention
NCT03924557,No Intervention
NCT01499706,No Intervention
NCT00918996,No Intervention
NCT03922724,No Intervention
NCT04421755,No Intervention
NCT04517006,No Intervention
NCT02676024,No Intervention
NCT04345757,No Intervention
NCT01714531,No Intervention
NCT02343263,No Intervention
NCT02061579,No Intervention
NCT04323774,No Intervention
NCT01914185,No Intervention
NCT01761734,No Intervention
NCT02975596,No Intervention
NCT01616628,No Intervention
NCT01306968,No Intervention
NCT01836237,No Intervention
NCT02975596,No Intervention
NCT03520530,No Intervention
NCT04095910,No Intervention
NCT03622697,No Intervention
NCT01412918,No Intervention
NCT03806257,No Intervention
NCT03975400,No Intervention
NCT03643978,No Intervention
NCT04608188,No Intervention
NCT03880812,No Intervention
NCT04236804,No Intervention
NCT02854657,No Intervention
NCT04056013,No Intervention
NCT03259646,No Intervention
NCT01668992,No Intervention
NCT04044235,No Intervention
NCT02260778,No Intervention
NCT01871545,No Intervention
NCT03903146,No Intervention
NCT01847300,No Intervention
NCT04133766,No Intervention
NCT04429789,No Intervention
NCT01787175,No Intervention
NCT01569191,No Intervention
NCT02751203,No Intervention
NCT03542084,No Intervention
NCT04154462,No Intervention
NCT03312621,No Intervention
NCT02582957,No Intervention
NCT04048590,No Intervention
NCT02021617,No Intervention
NCT03588364,No Intervention
NCT01516801,No Intervention
NCT04248088,No Intervention
NCT00775216,No Intervention
NCT04071951,No Intervention
NCT01369043,No Intervention
NCT04068883,No Intervention
NCT02319447,No Intervention
NCT02021344,No Intervention
NCT01829256,No Intervention
NCT02847962,No Intervention
NCT03413709,No Intervention
NCT02021344,No Intervention
NCT03645941,No Intervention
NCT03327103,No Intervention
NCT04058795,No Intervention
NCT02960568,No Intervention
NCT04540081,No Intervention
NCT02037568,No Intervention
NCT01431183,No Intervention
NCT02877147,No Intervention
NCT00836303,No Intervention
NCT01306968,No Intervention
NCT04027010,No Intervention
NCT02955238,No Intervention
NCT02152397,No Intervention
NCT03049904,No Intervention
NCT02228967,No Intervention
NCT04406714,No Intervention
NCT02877680,No Intervention
NCT04294342,No Intervention
NCT00646438,No Intervention
NCT01489215,No Intervention
NCT02765906,No Intervention
NCT04382625,No Intervention
NCT04431063,No Intervention
NCT01942746,No Intervention
NCT02529280,No Intervention
NCT03068117,No Intervention
NCT02553161,No Intervention
NCT01702311,No Intervention
NCT03765567,No Intervention
NCT03065647,No Intervention
NCT03185728,No Intervention
NCT04054947,No Intervention
NCT01866735,No Intervention
NCT02764528,No Intervention
NCT03125291,No Intervention
NCT02243774,No Intervention
NCT00561054,No Intervention
NCT03765567,No Intervention
NCT00266864,No Intervention
NCT04005924,No Intervention
NCT04016909,No Intervention
NCT02086864,No Intervention
NCT02170246,No Intervention
NCT02910934,No Intervention
NCT04033237,No Intervention
NCT03845985,No Intervention
NCT04253743,No Intervention
NCT04283344,No Intervention
NCT04316819,No Intervention
NCT04266834,No Intervention
NCT03432715,No Intervention
NCT02829086,No Intervention
NCT03069092,No Intervention
NCT02026167,No Intervention
NCT03613714,No Intervention
NCT03338530,No Intervention
NCT01583127,No Intervention
NCT04250688,No Intervention
NCT03338257,No Intervention
NCT01862653,No Intervention
NCT03520400,No Intervention
NCT01247753,No Intervention
NCT00878150,No Intervention
NCT04261738,No Intervention
NCT02155127,No Intervention
NCT03841682,No Intervention
NCT02120248,No Intervention
NCT02387203,No Intervention
NCT03797898,No Intervention
NCT02369614,No Intervention
NCT01618461,No Intervention
NCT03365063,No Intervention
NCT00880204,No Intervention
NCT03060291,No Intervention
NCT03937856,No Intervention
NCT01341587,No Intervention
NCT03230669,No Intervention
NCT03833245,No Intervention
NCT02465463,No Intervention
NCT03167658,No Intervention
NCT03187080,No Intervention
NCT03167658,No Intervention
NCT03187080,No Intervention
NCT03343197,No Intervention
NCT01411839,No Intervention
NCT03865199,No Intervention
NCT01440634,No Intervention
NCT04031326,No Intervention
NCT02341950,No Intervention
NCT03950986,No Intervention
NCT00675974,No Intervention
NCT02154555,No Intervention
NCT01244568,No Intervention
NCT01730911,No Intervention
NCT03779997,No Intervention
NCT00272220,No Intervention
NCT03779269,No Intervention
NCT03250156,No Intervention
NCT03777046,No Intervention
NCT01844596,No Intervention
NCT02056535,No Intervention
NCT02056535,No Intervention
NCT04540003,No Intervention
NCT02515149,No Intervention
NCT01480804,No Intervention
NCT02548208,No Intervention
NCT04130984,No Intervention
NCT03605888,No Intervention
NCT01719679,No Intervention
NCT02710318,No Intervention
NCT03970642,No Intervention
NCT01797497,No Intervention
NCT00758615,No Intervention
NCT02383303,No Intervention
NCT03796065,No Intervention
NCT03102580,No Intervention
NCT02801266,No Intervention
NCT01572532,No Intervention
NCT02678026,No Intervention
NCT01924546,No Intervention
NCT02271737,No Intervention
NCT04494490,No Intervention
NCT03457272,No Intervention
NCT04526158,No Intervention
NCT01722032,No Intervention
NCT04156373,No Intervention
NCT01369797,No Intervention
NCT03127397,No Intervention
NCT01264718,No Intervention
NCT02548117,No Intervention
NCT01509573,No Intervention
NCT04579328,No Intervention
NCT03782493,No Intervention
NCT02643576,No Intervention
NCT03022929,No Intervention
NCT01653535,No Intervention
NCT04599296,No Intervention
NCT02435264,No Intervention
NCT04275180,No Intervention
NCT02629068,No Intervention
NCT03745040,No Intervention
NCT03539315,No Intervention
NCT02889640,No Intervention
NCT01803464,No Intervention
NCT01803464,No Intervention
NCT01639079,No Intervention
NCT03881891,No Intervention
NCT02345434,No Intervention
NCT03881449,No Intervention
NCT02698761,No Intervention
NCT02155153,No Intervention
NCT03880656,No Intervention
NCT03419728,No Intervention
NCT04495686,No Intervention
NCT04259632,No Intervention
NCT03890471,No Intervention
NCT03838510,No Intervention
NCT01360736,No Intervention
NCT03917160,No Intervention
NCT03995745,No Intervention
NCT03914469,No Intervention
NCT04609995,No Intervention
NCT03736603,No Intervention
NCT02045706,No Intervention
NCT03009968,No Intervention
NCT04072289,No Intervention
NCT01420016,No Intervention
NCT00266461,No Intervention
NCT03140488,No Intervention
NCT03140488,No Intervention
NCT01864057,No Intervention
NCT04580810,No Intervention
NCT03503695,No Intervention
NCT02634879,No Intervention
NCT03898115,No Intervention
NCT02136628,No Intervention
NCT01248390,No Intervention
NCT03875339,No Intervention
NCT04495686,No Intervention
NCT03686618,No Intervention
NCT03833375,No Intervention
NCT04413708,No Intervention
NCT02611648,No Intervention
NCT03255161,No Intervention
NCT03850600,No Intervention
NCT03850600,No Intervention
NCT01324102,No Intervention
NCT00300534,No Intervention
NCT01740596,No Intervention
NCT00581269,No Intervention
NCT03847194,No Intervention
NCT04143113,No Intervention
NCT01827826,No Intervention
NCT02387320,No Intervention
NCT02478788,No Intervention
NCT03841513,No Intervention
NCT04500626,No Intervention
NCT02246413,No Intervention
NCT04322357,No Intervention
NCT03007485,No Intervention
NCT01636466,No Intervention
NCT03554785,No Intervention
NCT03874507,No Intervention
NCT01467050,No Intervention
NCT03904186,No Intervention
NCT04043182,No Intervention
NCT03869216,No Intervention
NCT01739803,No Intervention
NCT02663219,No Intervention
NCT01024686,No Intervention
