,NCTId,ConditionMeshId
3143,NCT00634764,D000078064
8088,NCT03893708,D000078064
6932,NCT03767699,D000078064
5373,NCT04294095,D000078064
8151,NCT01545934,D000078064
6905,NCT01751230,D000078064
8049,NCT01408147,D000078064
8665,NCT02344537,D000077342
2174,NCT00001101,D000077342
2175,NCT00000938,D000077342
7799,NCT04060342,D000077277
7019,NCT02041819,D000077277
3951,NCT03278626,D000077277
5107,NCT00901173,D000077277
6370,NCT01807546,D000077277
7020,NCT02033538,D000077277
4337,NCT02578641,D000077274
9608,NCT04049682,D000077260
9461,NCT04179981,D000077260
9193,NCT04407377,D000077260
98,NCT03433131,D000077260
9286,NCT04323254,D000077260
5082,NCT04300699,D000077216
3052,NCT00879840,D000077216
5991,NCT04024878,D000077216
9105,NCT04498520,D000077216
2289,NCT00531570,D000077216
3075,NCT02000778,D000077216
5995,NCT03921658,D000077216
6579,NCT02043158,D000077216
4690,NCT02545010,D000077216
5241,NCT02019524,D000077216
3994,NCT01196429,D000077216
2481,NCT02529150,D000077216
6152,NCT00720096,D000077216
8689,NCT02520115,D000077216
8747,NCT04374630,D000077216
7005,NCT03532139,D000077216
8989,NCT04598321,D000077216
8301,NCT01468896,D000077195
7799,NCT04060342,D000077195
5694,NCT03789097,D000077195
6542,NCT00756444,D000077195
6370,NCT01807546,D000077195
2943,NCT01979211,D000077195
9595,NCT04058145,D000077195
7312,NCT04590963,D000077195
1939,NCT04242173,D000077195
2905,NCT02002182,D000077195
4395,NCT01040832,D000077195
8859,NCT01045421,D000077195
3773,NCT00454779,D000077195
5492,NCT04027946,D000077192
6664,NCT03090815,D000077192
4477,NCT00716456,D000077192
4706,NCT04474080,D000077062
5982,NCT04293016,D000077062
4562,NCT04451070,D000077062
7701,NCT01145443,D000077062
8777,NCT02146326,D000077062
6671,NCT04466423,D000077062
7681,NCT03753360,D000077062
9280,NCT04330482,D000077062
8244,NCT04150055,D000077062
3280,NCT02354716,D000076385
5319,NCT01493349,D000076385
2537,NCT04433546,D000075902
1964,NCT03480217,D000075222
6372,NCT00996281,D000075222
7939,NCT03360799,D000074609
8536,NCT02290938,D000074609
2367,NCT04266314,D000074609
9770,NCT03927053,D000074609
4704,NCT02244957,D000074079
9461,NCT04179981,D000074079
1164,NCT01427673,D000074079
5417,NCT03431831,D000073932
5168,NCT02787486,D000073842
5168,NCT02787486,D000073839
9310,NCT04305743,D000073818
1465,NCT00694174,D000073818
3252,NCT01070082,D000073818
9443,NCT04203225,D000073818
2220,NCT01461889,D000073617
5082,NCT04300699,D000073496
3127,NCT04543825,D000073496
5833,NCT04132739,D000073496
5256,NCT02570672,D000073496
9397,NCT04235751,D000073397
9272,NCT04337021,D000073397
8430,NCT02808702,D000072861
8360,NCT00074802,D000072861
8836,NCT02325128,D000072861
8643,NCT03932032,D000072861
3978,NCT02322554,D000072836
9629,NCT04038671,D000072836
3977,NCT02467998,D000072836
3431,NCT01938222,D000072836
5288,NCT01836237,D000072836
6097,NCT01547325,D000072836
3709,NCT00762060,D000072836
8996,NCT04593693,D000072836
143,NCT04072289,D000072836
2779,NCT04036344,D000072836
1412,NCT02280733,D000072836
5703,NCT04241471,D000072836
5818,NCT01272284,D000072836
7101,NCT02544061,D000072836
1351,NCT00505414,D000072716
3812,NCT01264887,D000072716
2355,NCT01854229,D000072716
4087,NCT00472303,D000072716
1847,NCT00967915,D000072676
9859,NCT03863327,D000072658
9863,NCT03858777,D000072657
9859,NCT03863327,D000072657
9172,NCT04432727,D000072656
8669,NCT01505868,D000072281
4639,NCT01353352,D000072039
6111,NCT01372644,D000071960
9236,NCT04368702,D000071960
9491,NCT04144023,D000071960
5792,NCT02483650,D000071576
6629,NCT04168450,D000071576
8996,NCT04593693,D000071576
1396,NCT03594292,D000071378
3668,NCT02794181,D000071243
2332,NCT03263195,D000071243
7906,NCT03631719,D000071243
4176,NCT02486783,D000071074
7510,NCT03431558,D000071074
2297,NCT03062033,D000071057
6082,NCT01760785,D000070642
6289,NCT03600324,D000070642
2646,NCT00505908,D000070642
6628,NCT04549532,D000070642
8411,NCT03649958,D000070642
2539,NCT01366027,D000070642
7667,NCT01212848,D000070642
8187,NCT02025439,D000070642
7424,NCT01768650,D000070642
7425,NCT01454154,D000070642
7374,NCT04372797,D000070642
6889,NCT00693121,D000070642
6965,NCT01207375,D000070642
6047,NCT02634944,D000070642
6982,NCT00233129,D000070642
1036,NCT02719964,D000070642
8595,NCT02079766,D000070642
3230,NCT04140084,D000070642
7032,NCT01747811,D000070642
1487,NCT01714531,D000070642
5943,NCT01673828,D000070642
7403,NCT03379220,D000070642
6409,NCT02525432,D000070642
6988,NCT00205491,D000070642
7244,NCT03211884,D000070642
7246,NCT01750268,D000070642
8377,NCT01891383,D000070642
7250,NCT01194661,D000070642
4461,NCT00132249,D000070642
7272,NCT01338701,D000070642
7254,NCT00466934,D000070642
7260,NCT01779427,D000070642
6061,NCT02240329,D000070642
6019,NCT03402035,D000070642
8803,NCT01921179,D000070642
7388,NCT01554891,D000070642
6517,NCT02207803,D000070642
8147,NCT03325946,D000070642
6057,NCT02339220,D000070642
7382,NCT00970944,D000070642
7240,NCT02191267,D000070642
4593,NCT02657317,D000070642
7406,NCT01416948,D000070642
6018,NCT03418129,D000070642
6720,NCT01020318,D000070642
8167,NCT03523507,D000070642
4936,NCT03833375,D000070642
8368,NCT02366754,D000070642
4595,NCT02745210,D000070642
1680,NCT00973674,D000070642
2841,NCT03465995,D000070642
1372,NCT03479541,D000070642
6985,NCT00211835,D000070642
6924,NCT02129361,D000070642
9641,NCT04026581,D000070642
6986,NCT00205569,D000070642
7407,NCT02439736,D000070642
6987,NCT00205530,D000070642
6968,NCT01056146,D000070642
7571,NCT03060109,D000070642
7570,NCT04238910,D000070642
1073,NCT01306968,D000070642
1224,NCT03451058,D000070642
7234,NCT01387490,D000070642
4094,NCT03422276,D000070642
8366,NCT04548596,D000070642
7996,NCT01058395,D000070642
5961,NCT04073225,D000070642
4489,NCT04245124,D000070642
6835,NCT02957461,D000070642
6833,NCT02477943,D000070642
6031,NCT03123224,D000070642
6712,NCT01410721,D000070642
4293,NCT02125591,D000070642
7462,NCT00878150,D000070642
6709,NCT01672658,D000070642
6832,NCT01426919,D000070642
6974,NCT00621751,D000070642
2692,NCT02443142,D000070642
1340,NCT01728142,D000070642
3243,NCT01166386,D000070642
8693,NCT03868930,D000070642
1175,NCT02891421,D000070642
4036,NCT04530032,D000070642
1924,NCT03265912,D000070642
7054,NCT01419223,D000070642
7869,NCT01687153,D000070642
1188,NCT01333488,D000070642
7781,NCT03594734,D000070642
7598,NCT01925963,D000070642
1341,NCT01728129,D000070642
7100,NCT02069613,D000070642
4815,NCT01068522,D000070642
2060,NCT03982602,D000070642
6973,NCT00692575,D000070642
9033,NCT04565119,D000070642
5968,NCT02367521,D000070642
7104,NCT01007006,D000070642
6356,NCT04584554,D000070642
5923,NCT01803048,D000070642
6550,NCT04495686,D000070642
7776,NCT00208585,D000070642
6786,NCT01132898,D000070642
7042,NCT04504630,D000070642
4666,NCT03482206,D000070642
9023,NCT04570930,D000070642
1538,NCT01294124,D000070642
4017,NCT01248390,D000070642
7620,NCT02990793,D000070642
7024,NCT02089594,D000070642
6949,NCT02223728,D000070642
7533,NCT00702637,D000070642
6046,NCT02657135,D000070642
2925,NCT04465019,D000070642
6836,NCT02541123,D000070642
9915,NCT03819608,D000070642
7001,NCT01625962,D000070642
7457,NCT02791945,D000070642
6194,NCT04560946,D000070642
7039,NCT00483522,D000070642
5559,NCT03429322,D000070642
9586,NCT04068883,D000070642
6131,NCT01075035,D000070642
8881,NCT03241732,D000070642
7055,NCT01418976,D000070642
7043,NCT03309046,D000070642
6492,NCT03244475,D000070642
4622,NCT04568369,D000070642
7087,NCT02911675,D000070642
7366,NCT04602806,D000070642
7023,NCT01942564,D000070642
4153,NCT00974259,D000070642
5619,NCT02237885,D000070642
6130,NCT01077089,D000070642
7535,NCT00627250,D000070642
6129,NCT01111682,D000070642
7284,NCT01175993,D000070642
5344,NCT03153397,D000070642
7182,NCT02845349,D000070642
4294,NCT02109198,D000070642
4602,NCT02990091,D000070642
7632,NCT03156010,D000070642
6306,NCT01948947,D000070642
3800,NCT01313130,D000070642
9451,NCT04192227,D000070642
7287,NCT00619463,D000070642
7360,NCT01132937,D000070642
7695,NCT00208572,D000070642
5562,NCT01611194,D000070642
7173,NCT02765672,D000070642
9332,NCT04291066,D000070642
7766,NCT03441867,D000070642
1193,NCT00704067,D000070642
3925,NCT04387305,D000070642
5978,NCT04515212,D000070642
6679,NCT04171960,D000070642
1758,NCT01691378,D000070642
1613,NCT00785304,D000070642
1689,NCT00822263,D000070642
7175,NCT02764983,D000070642
5569,NCT02938130,D000070642
2730,NCT01013870,D000070642
7030,NCT02374918,D000070642
7004,NCT01220713,D000070642
8562,NCT01975857,D000070642
6782,NCT01614444,D000070642
7391,NCT04094298,D000070636
9794,NCT03906630,D000070636
5118,NCT04248751,D000070636
9523,NCT04115644,D000070636
2723,NCT03822182,D000070636
7553,NCT03752619,D000070636
6614,NCT02693444,D000070636
9576,NCT04077190,D000070636
2732,NCT03295994,D000070636
2712,NCT02484950,D000070636
7240,NCT02191267,D000070627
8595,NCT02079766,D000070627
8377,NCT01891383,D000070627
1147,NCT01538459,D000070599
7859,NCT04137250,D000070598
7668,NCT04178538,D000070598
6367,NCT03776994,D000069544
5937,NCT03736356,D000069451
6212,NCT02481310,D000069293
7022,NCT00647569,D000069290
3475,NCT02078934,D000069290
3316,NCT04312165,D000069290
8575,NCT02461706,D000069279
6814,NCT03939507,D000069279
9227,NCT04378075,D000069279
4596,NCT04163224,D000069076
9442,NCT04203381,D000068116
7817,NCT03376633,D000068099
9524,NCT04114942,D000067877
5405,NCT02839915,D000067877
8376,NCT02149823,D000067877
6042,NCT02871349,D000067877
8334,NCT04060030,D000067877
7038,NCT01591707,D000067877
5919,NCT01086475,D000067877
8137,NCT00760812,D000067877
7529,NCT03338530,D000067877
6027,NCT03197922,D000067877
9472,NCT04166591,D000067877
7413,NCT04060017,D000067877
8650,NCT03003221,D000067877
5993,NCT03984487,D000067877
8407,NCT02708069,D000067877
5489,NCT01333865,D000067877
4984,NCT03693313,D000067877
6009,NCT03668873,D000067877
3084,NCT04533607,D000067877
4411,NCT02301195,D000067877
9872,NCT03849456,D000067877
1527,NCT01908205,D000067877
5895,NCT04446442,D000067877
7470,NCT00902798,D000067877
5342,NCT03769571,D000067877
8953,NCT04606966,D000067877
7110,NCT04545606,D000067877
8801,NCT03912350,D000067877
8254,NCT01250938,D000067877
6698,NCT03202303,D000067877
5992,NCT04001790,D000067877
8255,NCT01100268,D000067836
9351,NCT04270474,D000067562
5963,NCT01559688,D000067073
1314,NCT04156373,D000067073
1383,NCT02030522,D000067073
1858,NCT00855153,D000067073
6471,NCT03059095,D000067073
9642,NCT04025463,D000067073
2350,NCT04221633,D000067073
5077,NCT03337438,D000066608
6910,NCT01229748,D000066608
5484,NCT03750838,D000066608
7161,NCT03075475,D000066553
9404,NCT04232267,D000066553
7461,NCT01583127,D000066553
8613,NCT01312181,D000066553
7700,NCT04055181,D000066553
5268,NCT03780413,D000066553
6946,NCT03298724,D000066553
9528,NCT04110236,D000066553
6896,NCT03736395,D000066553
6960,NCT01593189,D000066553
8982,NCT04605965,D000066553
8994,NCT04594902,D000066553
7286,NCT01670227,D000066553
9069,NCT04531514,D000066229
9041,NCT04558541,D000066229
8343,NCT03737318,D000066229
9311,NCT04305613,D000066126
7948,NCT01009918,D000066126
4891,NCT04036032,D000066126
7797,NCT00198822,D000066088
7726,NCT00115271,D000066088
1844,NCT03775954,D000066088
5396,NCT03956810,D000066088
7804,NCT00860470,D000066088
4360,NCT00005567,D000066088
7804,NCT00860470,D000066087
7161,NCT03075475,D000065886
2525,NCT04029220,D000065886
6036,NCT03023644,D000065886
9990,NCT03770832,D000065886
6023,NCT03276195,D000065886
6288,NCT00518713,D000065768
6285,NCT00162981,D000065768
8001,NCT02949128,D000065766
4210,NCT01701349,D000065646
5691,NCT02244463,D000065646
3459,NCT03161470,D000065635
6761,NCT04124523,D000065634
4649,NCT03992872,D000065632
7906,NCT03631719,D000065632
7919,NCT02463968,D000065632
3668,NCT02794181,D000065632
7761,NCT02870205,D000065631
3720,NCT00584051,D000065631
1096,NCT01982474,D000065631
6374,NCT02394600,D000065631
3542,NCT02146781,D000065631
112,NCT00796315,D000065631
5099,NCT01454492,D000065631
8064,NCT01155830,D000065630
5962,NCT00902603,D000065627
5064,NCT00173537,D000065627
8684,NCT03315507,D000065627
7081,NCT00367770,D000065627
4991,NCT01174173,D000065627
5870,NCT01105091,D000065627
8870,NCT02318186,D000065627
5451,NCT01966302,D000065627
9482,NCT04152473,D000065626
6909,NCT04442620,D000065626
3338,NCT02290106,D000065626
2587,NCT03997422,D000065626
9817,NCT03883607,D000065626
4674,NCT03683589,D000065626
9534,NCT04104321,D000065626
2471,NCT00590161,D000065626
2216,NCT04031729,D000065626
2156,NCT00983463,D000065626
4156,NCT01694849,D000065626
1127,NCT03073343,D000065626
3771,NCT03339245,D000065626
7229,NCT04330326,D000065626
3827,NCT01629095,D000065626
4350,NCT02702479,D000065626
2255,NCT02217345,D000065626
1751,NCT03576755,D000065626
9457,NCT04186793,D000065626
8898,NCT04004325,D000065626
2682,NCT01285362,D000065626
3941,NCT03060538,D000065626
8748,NCT02140021,D000065311
5494,NCT04266093,D000065310
9035,NCT04563754,D000065310
8748,NCT02140021,D000065310
4088,NCT03702920,D000065290
2474,NCT01599923,D000065008
8821,NCT03137082,D000064829
1288,NCT03043300,D000064806
4123,NCT04171466,D000064806
8374,NCT02973594,D000064752
5673,NCT04296942,D000064726
3738,NCT03256344,D000064726
9037,NCT04561362,D000064726
9943,NCT03801369,D000064726
9497,NCT04134884,D000064726
3592,NCT03361800,D000064726
7799,NCT04060342,D000064726
9742,NCT03945721,D000064726
7610,NCT02032277,D000064726
9047,NCT04553133,D000064726
9891,NCT03838367,D000064726
1761,NCT02639832,D000064726
4166,NCT03401385,D000064726
7947,NCT01091454,D000064726
8909,NCT03609671,D000064726
5182,NCT02947009,D000064706
9315,NCT04305145,D000064420
2844,NCT02296840,D000064420
5610,NCT00682773,D000064420
1834,NCT03791580,D000064420
5185,NCT01467050,D000064420
5849,NCT02297126,D000064420
5883,NCT01337063,D000064420
6659,NCT03887247,D000064420
9396,NCT04235907,D000064386
6646,NCT00884988,D000064386
7499,NCT02548208,D000063806
9021,NCT04575090,D000063806
6227,NCT04182659,D000063806
1356,NCT02175316,D000063806
8873,NCT00759746,D000063766
4863,NCT04095910,D000063766
2496,NCT04521595,D000063766
8270,NCT03170700,D000063766
7472,NCT03412136,D000063766
4857,NCT01914185,D000063766
3121,NCT03882957,D000063766
3383,NCT04381481,D000063766
3023,NCT00962806,D000063766
9241,NCT04364282,D000063766
4400,NCT02079831,D000063766
3424,NCT03338257,D000063766
7751,NCT03529695,D000063766
1397,NCT00289315,D000063766
4765,NCT02701868,D000063766
4841,NCT04297228,D000063766
8956,NCT03611660,D000063766
2792,NCT02956408,D000063766
9363,NCT04260048,D000063766
2796,NCT03028233,D000063766
7322,NCT01208870,D000063766
9500,NCT04132869,D000063766
3071,NCT03982511,D000063766
8406,NCT04372823,D000063766
4999,NCT01722032,D000063766
8070,NCT03555331,D000063766
6313,NCT02346994,D000063766
9582,NCT04072549,D000063766
7969,NCT03341858,D000063766
2410,NCT00267631,D000063766
8002,NCT03010644,D000063766
7791,NCT02058342,D000063766
5234,NCT02697565,D000063766
9504,NCT04128995,D000063766
4924,NCT03567837,D000063766
9973,NCT03781856,D000063766
2014,NCT04177472,D000063766
7159,NCT03668678,D000063766
8022,NCT02160847,D000063766
1513,NCT04406441,D000063766
8066,NCT02197390,D000063766
7630,NCT03432715,D000063766
3220,NCT02121132,D000063766
6315,NCT01541761,D000063766
4892,NCT01625910,D000063766
6318,NCT00756626,D000063766
7796,NCT03334266,D000063766
2440,NCT02289313,D000063766
6193,NCT03482336,D000063766
2883,NCT02817009,D000063766
2375,NCT01652573,D000063730
8067,NCT04332172,D000063647
6305,NCT03494738,D000063647
2371,NCT01315483,D000063646
5499,NCT01677195,D000063646
2516,NCT03310528,D000063466
1700,NCT03224416,D000063425
5810,NCT00792519,D000063425
7892,NCT01389219,D000063130
7797,NCT00198822,D000063130
3823,NCT01894087,D000062787
2530,NCT02464410,D000062787
8485,NCT03933345,D000062787
32,NCT03924505,D000062787
6128,NCT01118208,D000062787
4278,NCT03175640,D000062787
9890,NCT03838510,D000062787
5384,NCT02152397,D000062787
6908,NCT04589676,D000062787
7337,NCT00947596,D000062025
9112,NCT04494945,D000061325
5322,NCT03152409,D000061218
9082,NCT04519957,D000061218
4824,NCT03290963,D000061218
1108,NCT03109002,D000061218
9025,NCT04569747,D000061206
6016,NCT03463239,D000061085
4550,NCT01669915,D000060825
7840,NCT03872375,D000060825
8322,NCT01219647,D000060825
9894,NCT03836950,D000060825
5893,NCT03453554,D000060825
4323,NCT02317250,D000060825
5896,NCT01845636,D000060825
7138,NCT00249080,D000060825
8240,NCT01658228,D000060825
8951,NCT03197454,D000060825
5528,NCT02592070,D000060825
5685,NCT03933085,D000060825
5347,NCT01615055,D000060825
8755,NCT00903695,D000060825
9042,NCT04556227,D000060825
4646,NCT04384263,D000060825
4242,NCT00000173,D000060825
8829,NCT02871921,D000060825
3040,NCT02924194,D000060825
4175,NCT02655354,D000060825
7047,NCT01962038,D000060825
140,NCT01370954,D000060825
8728,NCT03722316,D000060825
8845,NCT04149639,D000060825
6436,NCT04182529,D000060825
5669,NCT04311736,D000060825
8168,NCT01958437,D000060825
148,NCT02951598,D000060825
7869,NCT01687153,D000060825
5340,NCT03811847,D000060825
4481,NCT02670850,D000060825
7042,NCT04504630,D000060825
1624,NCT03512301,D000060825
4219,NCT02572323,D000060825
8346,NCT03848312,D000060825
5950,NCT03526146,D000060825
6634,NCT03551483,D000060825
8377,NCT01891383,D000060825
8702,NCT00938964,D000060825
4365,NCT04418856,D000060825
9004,NCT04586530,D000060825
4368,NCT04059705,D000060825
9391,NCT04240561,D000060825
8140,NCT03205709,D000060825
4868,NCT03800394,D000060085
3389,NCT01611402,D000060085
5879,NCT03486561,D000060050
2057,NCT00797953,D000060050
3754,NCT03834142,D000059787
5220,NCT02417506,D000059787
5836,NCT02081391,D000059787
7236,NCT02971072,D000059787
6697,NCT03305055,D000059787
6180,NCT00253994,D000059787
2837,NCT02222246,D000059787
9282,NCT04330183,D000059787
1517,NCT01538745,D000059787
9838,NCT03874507,D000059787
3588,NCT03860259,D000059787
3411,NCT03187080,D000059787
7102,NCT02447848,D000059787
1417,NCT00286390,D000059787
3634,NCT03555266,D000059787
9364,NCT04259645,D000059787
2467,NCT03426137,D000059787
8699,NCT02746263,D000059787
9967,NCT03785392,D000059787
8496,NCT02508935,D000059787
3633,NCT03830307,D000059787
6045,NCT02679560,D000059787
1964,NCT03480217,D000059466
5055,NCT01591928,D000059446
8417,NCT01824511,D000059445
8804,NCT01659814,D000059445
3724,NCT04240288,D000059413
5540,NCT00628615,D000059411
4789,NCT02856217,D000059411
8286,NCT03817931,D000059411
6339,NCT03831321,D000059411
2449,NCT00274417,D000059411
5386,NCT01846793,D000059411
2647,NCT03625492,D000059411
9741,NCT03947749,D000059352
4231,NCT03172962,D000059352
5334,NCT03646084,D000059352
6992,NCT04122326,D000059352
7499,NCT02548208,D000059352
5705,NCT01278355,D000059352
6901,NCT02263001,D000059352
3779,NCT03445403,D000059352
5242,NCT02540512,D000059352
7242,NCT04561765,D000059350
6018,NCT03418129,D000059350
6959,NCT01599767,D000059350
9741,NCT03947749,D000059350
5619,NCT02237885,D000059350
3812,NCT01264887,D000059350
9970,NCT03782506,D000059350
5600,NCT04170803,D000059350
5972,NCT03029884,D000059350
9767,NCT03928288,D000059350
5263,NCT04555239,D000059350
8964,NCT03233594,D000059350
9171,NCT04433975,D000059350
5334,NCT03646084,D000059350
6039,NCT02935621,D000059350
9165,NCT04441593,D000059350
4755,NCT04171336,D000059350
6544,NCT03503695,D000059350
3299,NCT03889418,D000059350
6330,NCT03332563,D000059350
7424,NCT01768650,D000059350
8990,NCT04598035,D000059350
8955,NCT02290223,D000059350
8864,NCT01496378,D000059350
9725,NCT03963908,D000059350
4593,NCT02657317,D000059350
4748,NCT04108702,D000059350
1812,NCT03973177,D000059350
8411,NCT03649958,D000059350
4672,NCT00486811,D000059350
4812,NCT03656679,D000059350
9062,NCT04539821,D000059350
2355,NCT01854229,D000059350
9323,NCT04295135,D000059350
2862,NCT04156802,D000059350
6054,NCT02378025,D000059350
9908,NCT03823742,D000059350
3434,NCT04526158,D000059350
2850,NCT03681769,D000059350
2237,NCT03306147,D000059350
6957,NCT01795079,D000059350
7833,NCT01775995,D000059350
39,NCT04021030,D000059350
8501,NCT03582683,D000059350
3779,NCT03445403,D000059350
8228,NCT00879996,D000059350
5065,NCT00612287,D000059350
3178,NCT04077164,D000059350
4574,NCT04203199,D000059350
6395,NCT03857672,D000059350
6052,NCT02506192,D000059350
2393,NCT02219321,D000059350
4404,NCT04266821,D000059350
9378,NCT04250662,D000059350
5527,NCT04592978,D000059350
6030,NCT03150511,D000059348
2798,NCT02644057,D000059347
2672,NCT03294538,D000059268
3375,NCT00464971,D000059268
3460,NCT00465192,D000059268
8074,NCT00167921,D000059268
4120,NCT03209895,D000059226
7667,NCT01212848,D000059020
1297,NCT04067401,D000059020
3595,NCT02021344,D000059020
6922,NCT01829620,D000059020
6624,NCT03221530,D000059020
5184,NCT03373916,D000059020
3798,NCT02096432,D000059020
2339,NCT02365116,D000059020
9344,NCT04278157,D000059020
9538,NCT04103385,D000059020
9730,NCT03961633,D000059020
4504,NCT03655730,D000059020
9751,NCT03940508,D000059020
7106,NCT02439762,D000059020
3892,NCT01118169,D000059020
8094,NCT02825771,D000059020
9906,NCT03825588,D000059020
1922,NCT01924936,D000059020
4175,NCT02655354,D000059020
6003,NCT03769259,D000059020
4279,NCT03753373,D000058923
8252,NCT01417286,D000058922
5332,NCT01894451,D000058922
4967,NCT00793390,D000058922
6176,NCT00340158,D000058922
5078,NCT00344071,D000058922
2013,NCT00895635,D000058729
7867,NCT00933270,D000058729
1530,NCT00844532,D000058729
2338,NCT03240068,D000058729
1202,NCT03807531,D000058729
3692,NCT02469532,D000058729
2716,NCT04364074,D000058729
4082,NCT00071266,D000058729
9454,NCT04188262,D000058729
5282,NCT01444378,D000058729
4725,NCT00062556,D000058729
1412,NCT02280733,D000058729
4147,NCT02923193,D000058729
4950,NCT01722474,D000058729
3415,NCT01440634,D000058729
8709,NCT02022423,D000058729
5279,NCT02624674,D000058729
1479,NCT01858428,D000058729
1057,NCT03421561,D000058729
3129,NCT00380016,D000058729
1486,NCT02424383,D000058729
3372,NCT00459446,D000058729
2127,NCT04333615,D000058729
3860,NCT02802306,D000058729
5581,NCT03671655,D000058729
9806,NCT03898570,D000058729
1500,NCT02425345,D000058729
4736,NCT04431661,D000058687
6615,NCT04130984,D000058687
4806,NCT03065647,D000058687
8471,NCT01258244,D000058687
4088,NCT03702920,D000058625
1053,NCT02420041,D000058566
4031,NCT02588651,D000058527
6938,NCT03339648,D000058445
4195,NCT03604705,D000058387
1856,NCT00037219,D000058365
8281,NCT02551640,D000058246
1661,NCT03659656,D000058246
5052,NCT01331486,D000058246
6581,NCT01684748,D000058246
8081,NCT02371317,D000058246
2580,NCT01841840,D000058246
1461,NCT02009930,D000058226
2735,NCT04559191,D000058226
1803,NCT04063709,D000058226
3325,NCT00413621,D000058225
3184,NCT03538769,D000058186
4408,NCT04334707,D000058186
9249,NCT04354467,D000058186
4043,NCT00554359,D000058186
9931,NCT03810417,D000058186
3113,NCT04608149,D000058186
8867,NCT03095391,D000058186
6597,NCT04531579,D000058186
9424,NCT04218370,D000058186
7091,NCT04531592,D000058186
5931,NCT01213914,D000058186
4066,NCT00683553,D000058186
4866,NCT04048707,D000058186
2250,NCT03556293,D000058186
7750,NCT03453866,D000057925
7611,NCT04599296,D000057925
4715,NCT03512730,D000057873
8207,NCT03313375,D000057774
2233,NCT03565653,D000057774
3752,NCT00517166,D000057772
7618,NCT03005418,D000057772
3280,NCT02354716,D000057765
3763,NCT01685034,D000057765
9911,NCT03822325,D000057765
3211,NCT03615950,D000057765
8430,NCT02808702,D000057215
3583,NCT04428112,D000057180
3961,NCT03260920,D000057180
6456,NCT02461771,D000057135
4138,NCT04514653,D000057135
9030,NCT04566445,D000057092
9241,NCT04364282,D000057085
1362,NCT04163172,D000057072
5815,NCT04378101,D000056912
6769,NCT03678766,D000056912
8313,NCT00032760,D000056912
8849,NCT02043496,D000056912
4271,NCT00680979,D000056912
7073,NCT01096251,D000056912
3530,NCT03009968,D000056887
9380,NCT04246996,D000056887
1265,NCT04010162,D000056887
5794,NCT01378065,D000056887
9887,NCT03841513,D000056887
3818,NCT01352676,D000056844
4214,NCT02316353,D000056829
3807,NCT00551200,D000056806
3042,NCT00208026,D000056770
5251,NCT01996384,D000056650
2176,NCT00546858,D000056650
2082,NCT03844412,D000056650
6491,NCT01697267,D000056648
8644,NCT01257802,D000056647
3585,NCT01586858,D000056647
6491,NCT01697267,D000056647
9076,NCT04524858,D000056587
5525,NCT01443728,D000056586
7237,NCT01434173,D000056486
4695,NCT03239782,D000056128
4234,NCT03521817,D000056128
3739,NCT04545320,D000056128
6463,NCT03630588,D000056128
2404,NCT00675506,D000056128
4225,NCT03474029,D000055985
7185,NCT02073240,D000055985
4051,NCT00257907,D000055985
7593,NCT01582711,D000055985
1382,NCT04453293,D000055985
3377,NCT01212003,D000055985
5869,NCT01829997,D000055959
9327,NCT04294004,D000055959
9029,NCT04566874,D000055959
6462,NCT03733626,D000055959
150,NCT01028300,D000055959
2852,NCT03442374,D000055959
9768,NCT03928041,D000055959
2819,NCT03418649,D000055959
6450,NCT02814825,D000055959
4696,NCT01968993,D000055959
3585,NCT01586858,D000055953
6491,NCT01697267,D000055953
8039,NCT03771417,D000055948
8272,NCT00874575,D000055948
5509,NCT00926250,D000055948
9698,NCT03984994,D000055948
6692,NCT03867357,D000055948
4881,NCT03308903,D000055948
4402,NCT03579329,D000055948
5682,NCT04535180,D000055948
4844,NCT02811666,D000055948
2000,NCT02050113,D000055947
1354,NCT00494260,D000055809
5432,NCT03551184,D000055809
5485,NCT03551080,D000055809
8832,NCT03995667,D000055752
8859,NCT01045421,D000055752
8897,NCT01797159,D000055752
8704,NCT02963090,D000055752
2352,NCT00856830,D000055752
6792,NCT00178698,D000055752
9047,NCT04553133,D000055752
7799,NCT04060342,D000055752
7497,NCT04471974,D000055752
6196,NCT01076504,D000055752
1959,NCT02748889,D000055752
5634,NCT00958022,D000055752
6658,NCT01574300,D000055752
8669,NCT01505868,D000055752
9789,NCT03912064,D000055728
9341,NCT04279847,D000055728
9130,NCT04480086,D000055728
5440,NCT02530619,D000055728
2097,NCT03327831,D000055623
59,NCT02867722,D000055623
7449,NCT02878382,D000055623
1271,NCT00859105,D000055623
6598,NCT03992183,D000055613
6953,NCT01920243,D000055496
8932,NCT03951064,D000055397
4379,NCT02814994,D000055371
7307,NCT04574869,D000055371
3821,NCT00796419,D000055371
9199,NCT04401527,D000055371
9127,NCT04482712,D000055371
3350,NCT01096771,D000055371
9261,NCT04344184,D000055371
9146,NCT04466098,D000055371
8652,NCT04305457,D000055371
7595,NCT04545424,D000055371
9219,NCT04382391,D000055371
7335,NCT02582957,D000055371
2220,NCT01461889,D000055371
4380,NCT02178982,D000055371
9075,NCT04524962,D000055371
2537,NCT04433546,D000055371
9284,NCT04328467,D000055371
1050,NCT03021824,D000055371
4186,NCT04357730,D000055371
8195,NCT00004494,D000055371
1654,NCT00889772,D000055371
