,NCTId,OverallStatus
571,NCT02904382,Withheld
572,NCT02888626,Withheld
573,NCT02872844,Withheld
574,NCT02870959,Withheld
575,NCT02870881,Withheld
576,NCT02863796,Withheld
577,NCT02863432,Withheld
578,NCT02862080,Withheld
579,NCT02858089,Withheld
580,NCT02856490,Withheld
581,NCT02849847,Withheld
582,NCT02842970,Withheld
583,NCT02841397,Withheld
584,NCT02833571,Withheld
585,NCT02811328,Withheld
586,NCT02810080,Withheld
587,NCT02805933,Withheld
588,NCT02805777,Withheld
589,NCT02800057,Withheld
590,NCT02799342,Withheld
591,NCT02799329,Withheld
592,NCT02795689,Withheld
750,NCT01700764,Withheld
751,NCT01697813,Withheld
752,NCT01697774,Withheld
924,NCT00791414,Withheld
911,NCT00824018,Withheld
912,NCT00821769,Withheld
913,NCT00820040,Withheld
914,NCT00819130,Withheld
915,NCT00818922,Withheld
916,NCT00810498,Withheld
917,NCT00810459,Withheld
918,NCT00809406,Withheld
919,NCT00806052,Withheld
920,NCT00802750,Withheld
921,NCT00800891,Withheld
922,NCT00799981,Withheld
923,NCT00794534,Withheld
925,NCT00790621,Withheld
878,NCT00961519,Withheld
926,NCT00789334,Withheld
927,NCT00788450,Withheld
928,NCT00788437,Withheld
929,NCT00782119,Withheld
930,NCT00781651,Withheld
931,NCT00781222,Withheld
932,NCT00780065,Withheld
933,NCT00779623,Withheld
934,NCT00777283,Withheld
935,NCT00776893,Withheld
936,NCT00776815,Withheld
937,NCT00776152,Withheld
938,NCT00773903,Withheld
910,NCT00840619,Withheld
909,NCT00843752,Withheld
908,NCT00846820,Withheld
907,NCT00850109,Withheld
880,NCT00957632,Withheld
881,NCT00957138,Withheld
882,NCT00956618,Withheld
883,NCT00955331,Withheld
884,NCT00946075,Withheld
885,NCT00944411,Withheld
886,NCT00942942,Withheld
887,NCT00935974,Withheld
888,NCT00932789,Withheld
889,NCT00924716,Withheld
890,NCT00911040,Withheld
891,NCT00906958,Withheld
892,NCT00906815,Withheld
893,NCT00906009,Withheld
894,NCT00905749,Withheld
895,NCT00903058,Withheld
896,NCT00901667,Withheld
897,NCT00900705,Withheld
898,NCT00889746,Withheld
899,NCT00878982,Withheld
900,NCT00877916,Withheld
901,NCT00865930,Withheld
902,NCT00865735,Withheld
903,NCT00863486,Withheld
904,NCT00863447,Withheld
905,NCT00858091,Withheld
906,NCT00850434,Withheld
939,NCT00773721,Withheld
940,NCT00769340,Withheld
941,NCT00767910,Withheld
972,NCT00670137,Withheld
974,NCT00659139,Withheld
975,NCT00653211,Withheld
976,NCT00639340,Withheld
977,NCT00630526,Withheld
978,NCT00617630,Withheld
979,NCT00617162,Withheld
980,NCT00616226,Withheld
981,NCT00615342,Withheld
982,NCT00608647,Withheld
983,NCT00597571,Withheld
984,NCT00591513,Withheld
985,NCT00589069,Withheld
986,NCT00588601,Withheld
987,NCT00587613,Withheld
988,NCT00587509,Withheld
989,NCT00586456,Withheld
990,NCT00579176,Withheld
991,NCT00578513,Withheld
992,NCT00578487,Withheld
993,NCT00576953,Withheld
994,NCT00561847,Withheld
995,NCT00542477,Withheld
996,NCT00529685,Withheld
997,NCT00506220,Withheld
998,NCT00448812,Withheld
999,NCT00350259,Withheld
1000,NCT00208481,Withheld
973,NCT00660556,Withheld
971,NCT00676078,Withheld
942,NCT00766727,Withheld
970,NCT00676546,Withheld
943,NCT00764491,Withheld
944,NCT00764452,Withheld
945,NCT00760643,Withheld
946,NCT00759694,Withheld
