,NCTId,OverallStatus
7592,NCT04146168,Recruiting
7591,NCT03844061,Recruiting
9701,NCT03983681,Recruiting
7335,NCT02582957,Recruiting
7336,NCT01459107,Recruiting
4260,NCT02708264,Recruiting
9702,NCT03982342,Recruiting
7585,NCT04035382,Recruiting
7584,NCT04046965,Recruiting
9703,NCT03982160,Recruiting
9767,NCT03928288,Recruiting
7602,NCT04011176,Recruiting
5514,NCT03152760,Recruiting
4219,NCT02572323,Recruiting
9698,NCT03984994,Recruiting
9768,NCT03928041,Recruiting
6827,NCT01903330,Recruiting
5519,NCT01553461,Recruiting
7621,NCT02114229,Recruiting
4216,NCT02282748,Recruiting
4222,NCT01074151,Recruiting
7605,NCT04037852,Recruiting
7618,NCT03005418,Recruiting
4225,NCT03474029,Recruiting
7616,NCT04075513,Recruiting
7613,NCT03464409,Recruiting
4237,NCT02100904,Recruiting
7606,NCT04049305,Recruiting
6839,NCT03384914,Recruiting
4663,NCT04349020,Recruiting
5523,NCT03478852,Recruiting
4272,NCT03571750,Recruiting
9708,NCT03980561,Recruiting
157,NCT04281290,Recruiting
4657,NCT04171180,Recruiting
5492,NCT04027946,Recruiting
6847,NCT03947216,Recruiting
4319,NCT04274907,Recruiting
5490,NCT02040142,Recruiting
7556,NCT03965676,Recruiting
1216,NCT03893032,Recruiting
5348,NCT03864302,Recruiting
9711,NCT03978598,Recruiting
9712,NCT03976258,Recruiting
9713,NCT03976102,Recruiting
9879,NCT03847194,Recruiting
7553,NCT03752619,Recruiting
9707,NCT03980743,Recruiting
4304,NCT03945162,Recruiting
9764,NCT03931746,Recruiting
6842,NCT03264235,Recruiting
9899,NCT03832478,Recruiting
7576,NCT04045132,Recruiting
9765,NCT03929237,Recruiting
9704,NCT03982069,Recruiting
1228,NCT03940300,Recruiting
4279,NCT03753373,Recruiting
1225,NCT03302611,Recruiting
7566,NCT04072211,Recruiting
4289,NCT03165591,Recruiting
4290,NCT04180930,Recruiting
1224,NCT03451058,Recruiting
9706,NCT03980769,Recruiting
1222,NCT04349176,Recruiting
7567,NCT03870204,Recruiting
7626,NCT03446131,Recruiting
4207,NCT04295538,Recruiting
3604,NCT04306445,Recruiting
7315,NCT03144427,Recruiting
7685,NCT03478553,Recruiting
7312,NCT04590963,Recruiting
4119,NCT03314129,Recruiting
5337,NCT03589703,Recruiting
7680,NCT03000374,Recruiting
4123,NCT04171466,Recruiting
7678,NCT01968590,Recruiting
4125,NCT04139928,Recruiting
4126,NCT04427800,Recruiting
4127,NCT04422873,Recruiting
4130,NCT03777020,Recruiting
9691,NCT03993041,Recruiting
9692,NCT03991169,Recruiting
7674,NCT03170297,Recruiting
4137,NCT03378219,Recruiting
9906,NCT03825588,Recruiting
1258,NCT04501419,Recruiting
5553,NCT03253744,Recruiting
5559,NCT03429322,Recruiting
7700,NCT04055181,Recruiting
9908,NCT03823742,Recruiting
4093,NCT02113475,Recruiting
4699,NCT04478357,Recruiting
9688,NCT03995316,Recruiting
4698,NCT03639025,Recruiting
4099,NCT02512926,Recruiting
9907,NCT03823911,Recruiting
1134,NCT04560933,Recruiting
4102,NCT03892889,Recruiting
6801,NCT02046590,Recruiting
5556,NCT02927821,Recruiting
5335,NCT04399889,Recruiting
7692,NCT00162435,Recruiting
4138,NCT04514653,Recruiting
9693,NCT03990558,Recruiting
9902,NCT03828916,Recruiting
7316,NCT03762070,Recruiting
4181,NCT04200443,Recruiting
6818,NCT04176328,Recruiting
5344,NCT03153397,Recruiting
4186,NCT04357730,Recruiting
7639,NCT02910557,Recruiting
5530,NCT04036006,Recruiting
5529,NCT04396873,Recruiting
6820,NCT04215445,Recruiting
9770,NCT03927053,Recruiting
124,NCT03933215,Recruiting
7632,NCT03156010,Recruiting
4201,NCT03726320,Recruiting
6947,NCT03262766,Recruiting
7630,NCT03432715,Recruiting
125,NCT03933202,Recruiting
9903,NCT03828682,Recruiting
6816,NCT00341523,Recruiting
5536,NCT02243033,Recruiting
9695,NCT03989492,Recruiting
7668,NCT04178538,Recruiting
1247,NCT02383979,Recruiting
7664,NCT03393637,Recruiting
7662,NCT03755401,Recruiting
7661,NCT04230967,Recruiting
7658,NCT02512445,Recruiting
122,NCT03688126,Recruiting
5342,NCT03769571,Recruiting
5340,NCT03811847,Recruiting
4166,NCT03401385,Recruiting
5341,NCT03122301,Recruiting
9771,NCT03926741,Recruiting
9697,NCT03985423,Recruiting
7652,NCT03672461,Recruiting
4333,NCT04375293,Recruiting
9714,NCT03976076,Recruiting
9715,NCT03976050,Recruiting
9744,NCT03945383,Recruiting
149,NCT02988934,Recruiting
4488,NCT02971358,Recruiting
4490,NCT04191473,Recruiting
5412,NCT04429789,Recruiting
9740,NCT03948139,Recruiting
9741,NCT03947749,Recruiting
4497,NCT04356027,Recruiting
4501,NCT00097292,Recruiting
9884,NCT03842670,Recruiting
4612,NCT03584113,Recruiting
4610,NCT03640312,Recruiting
7438,NCT04043182,Recruiting
5405,NCT02839915,Recruiting
9742,NCT03945721,Recruiting
9883,NCT03843294,Recruiting
5363,NCT03756454,Recruiting
9886,NCT03841864,Recruiting
6896,NCT03736395,Recruiting
4466,NCT04395781,Recruiting
9887,NCT03841513,Recruiting
9735,NCT03954392,Recruiting
7468,NCT03964792,Recruiting
9736,NCT03953898,Recruiting
1182,NCT04496414,Recruiting
7465,NCT01212029,Recruiting
9737,NCT03951883,Recruiting
4619,NCT03747783,Recruiting
5426,NCT04308356,Recruiting
146,NCT02856646,Recruiting
5424,NCT03658499,Recruiting
4472,NCT04211077,Recruiting
5362,NCT03451630,Recruiting
5422,NCT03782480,Recruiting
9743,NCT03945474,Recruiting
4520,NCT03266783,Recruiting
7552,NCT03439319,Recruiting
9745,NCT03944746,Recruiting
4597,NCT03655587,Recruiting
9759,NCT03933904,Recruiting
7399,NCT04020471,Recruiting
5372,NCT04431063,Recruiting
9751,NCT03940508,Recruiting
7380,NCT03521154,Recruiting
6923,NCT03370991,Recruiting
5381,NCT01282021,Recruiting
9758,NCT03936465,Recruiting
7391,NCT04094298,Recruiting
6928,NCT04120363,Recruiting
9756,NCT03937453,Recruiting
5378,NCT03297645,Recruiting
9880,NCT03845465,Recruiting
9757,NCT03936985,Recruiting
9750,NCT03940950,Recruiting
1149,NCT04342806,Recruiting
9749,NCT03941730,Recruiting
4537,NCT03890497,Recruiting
1167,NCT01570998,Recruiting
9882,NCT03843528,Recruiting
7423,NCT03276572,Recruiting
9746,NCT03943238,Recruiting
4530,NCT03282916,Recruiting
1165,NCT03845400,Recruiting
7416,NCT03503097,Recruiting
9748,NCT03941743,Recruiting
5395,NCT03224507,Recruiting
4602,NCT02990091,Recruiting
4546,NCT03671785,Recruiting
5371,NCT03529422,Recruiting
6915,NCT03820947,Recruiting
7378,NCT02907697,Recruiting
143,NCT04072289,Recruiting
4623,NCT04427995,Recruiting
7476,NCT03432325,Recruiting
9889,NCT03839745,Recruiting
6943,NCT04251091,Recruiting
4363,NCT02479555,Recruiting
5473,NCT03944616,Recruiting
4365,NCT04418856,Recruiting
9722,NCT03966872,Recruiting
6860,NCT02792114,Recruiting
9723,NCT03964532,Recruiting
1202,NCT03807531,Recruiting
7346,NCT03492021,Recruiting
6942,NCT01491763,Recruiting
6866,NCT03760497,Recruiting
5465,NCT00032513,Recruiting
9724,NCT03964454,Recruiting
9763,NCT03931772,Recruiting
4385,NCT02351544,Recruiting
6858,NCT03663452,Recruiting
5476,NCT02594202,Recruiting
6857,NCT03772730,Recruiting
6852,NCT00859781,Recruiting
4338,NCT04333576,Recruiting
9716,NCT03975465,Recruiting
4340,NCT04557761,Recruiting
9717,NCT03972228,Recruiting
6945,NCT03433599,Recruiting
9718,NCT03971799,Recruiting
4652,NCT04198974,Recruiting
5479,NCT02192931,Recruiting
4347,NCT03502278,Recruiting
9719,NCT03970512,Recruiting
6855,NCT02878850,Recruiting
5481,NCT02139436,Recruiting
4649,NCT03992872,Recruiting
9720,NCT03969589,Recruiting
9725,NCT03963908,Recruiting
5462,NCT03429985,Recruiting
1197,NCT04507204,Recruiting
137,NCT02406599,Recruiting
4422,NCT04268420,Recruiting
6938,NCT03339648,Recruiting
4425,NCT03609398,Recruiting
6879,NCT03582176,Recruiting
4431,NCT02776761,Recruiting
7363,NCT03447860,Recruiting
9732,NCT03956797,Recruiting
4420,NCT04314713,Recruiting
9891,NCT03838367,Recruiting
9890,NCT03838510,Recruiting
9733,NCT03956056,Recruiting
7364,NCT04063592,Recruiting
4626,NCT03709888,Recruiting
7480,NCT02591420,Recruiting
4421,NCT04296279,Recruiting
9893,NCT03837353,Recruiting
9726,NCT03962894,Recruiting
4402,NCT03579329,Recruiting
5461,NCT03050658,Recruiting
4394,NCT02519868,Recruiting
9898,NCT03833245,Recruiting
7350,NCT00595491,Recruiting
7510,NCT03431558,Recruiting
7508,NCT04092257,Recruiting
4408,NCT04334707,Recruiting
5358,NCT04236804,Recruiting
7356,NCT01670877,Recruiting
9895,NCT03833921,Recruiting
9894,NCT03836950,Recruiting
7501,NCT04050449,Recruiting
4634,NCT04263025,Recruiting
4414,NCT02945501,Recruiting
9772,NCT03924557,Recruiting
7702,NCT03371225,Recruiting
4088,NCT03702920,Recruiting
3782,NCT03969329,Recruiting
9654,NCT04017936,Recruiting
7263,NCT04589377,Recruiting
1114,NCT01841957,Recruiting
3759,NCT03966755,Recruiting
5308,NCT02145949,Recruiting
9655,NCT04017910,Recruiting
6706,NCT02157051,Recruiting
3767,NCT04583072,Recruiting
3770,NCT04538495,Recruiting
9782,NCT03915015,Recruiting
4924,NCT03567837,Recruiting
7935,NCT03567018,Recruiting
7933,NCT03984747,Recruiting
7269,NCT03052010,Recruiting
7270,NCT03154307,Recruiting
3754,NCT03834142,Recruiting
3753,NCT03284541,Recruiting
3751,NCT03418870,Recruiting
7958,NCT03991182,Recruiting
5728,NCT03775096,Recruiting
9788,NCT03912363,Recruiting
5725,NCT04432272,Recruiting
5723,NCT03928067,Recruiting
6696,NCT03339258,Recruiting
3732,NCT03059004,Recruiting
6698,NCT03202303,Recruiting
3749,NCT03869515,Recruiting
5719,NCT03541187,Recruiting
9926,NCT03812146,Recruiting
5717,NCT03723928,Recruiting
5716,NCT02352116,Recruiting
4790,NCT03971318,Recruiting
9876,NCT03848650,Recruiting
3781,NCT02392078,Recruiting
5697,NCT04330235,Recruiting
7876,NCT03817736,Recruiting
7923,NCT02348645,Recruiting
7277,NCT03236012,Recruiting
5314,NCT04533386,Recruiting
3825,NCT04408794,Recruiting
9662,NCT04015154,Recruiting
3832,NCT01200680,Recruiting
5670,NCT02262832,Recruiting
7887,NCT03371186,Recruiting
7886,NCT03880006,Recruiting
7885,NCT03944395,Recruiting
5669,NCT04311736,Recruiting
4760,NCT03251911,Recruiting
9663,NCT04015128,Recruiting
9665,NCT04010227,Recruiting
9666,NCT04009447,Recruiting
3852,NCT04588662,Recruiting
5678,NCT04087304,Recruiting
7276,NCT03416348,Recruiting
7901,NCT02359097,Recruiting
1296,NCT04155333,Recruiting
5694,NCT03789097,Recruiting
7271,NCT02465307,Recruiting
7920,NCT03141567,Recruiting
5691,NCT02244463,Recruiting
9657,NCT04017312,Recruiting
9658,NCT04017130,Recruiting
6716,NCT01184547,Recruiting
5681,NCT03409367,Recruiting
9659,NCT04016233,Recruiting
3803,NCT03553576,Recruiting
4771,NCT04509622,Recruiting
4769,NCT03971305,Recruiting
7909,NCT03064620,Recruiting
9661,NCT04015167,Recruiting
6694,NCT03529487,Recruiting
6693,NCT03833674,Recruiting
6692,NCT03867357,Recruiting
5734,NCT02739464,Recruiting
3634,NCT03555266,Recruiting
8029,NCT01964404,Recruiting
3639,NCT04274894,Recruiting
5766,NCT04028960,Recruiting
5297,NCT04040010,Recruiting
5762,NCT02874573,Recruiting
9648,NCT04021771,Recruiting
5761,NCT03711747,Recruiting
3649,NCT02600936,Recruiting
3652,NCT00028340,Recruiting
9931,NCT03810417,Recruiting
8018,NCT04075877,Recruiting
5758,NCT02236390,Recruiting
9930,NCT03810508,Recruiting
3659,NCT01660607,Recruiting
4812,NCT03656679,Recruiting
8033,NCT03625570,Recruiting
9792,NCT03907917,Recruiting
3618,NCT02234557,Recruiting
3605,NCT02847728,Recruiting
9646,NCT04022889,Recruiting
3609,NCT03966053,Recruiting
3611,NCT04371887,Recruiting
3616,NCT02720497,Recruiting
3617,NCT03148496,Recruiting
5774,NCT03336255,Recruiting
5770,NCT02484248,Recruiting
4816,NCT03794882,Recruiting
4814,NCT00166569,Recruiting
8039,NCT03771417,Recruiting
3624,NCT00064870,Recruiting
3627,NCT01004133,Recruiting
5771,NCT03882437,Recruiting
3660,NCT03224819,Recruiting
4805,NCT03845985,Recruiting
9649,NCT04021602,Recruiting
5740,NCT04418518,Recruiting
9651,NCT04019197,Recruiting
7987,NCT02795104,Recruiting
3698,NCT01696721,Recruiting
5305,NCT04212962,Recruiting
7985,NCT02760030,Recruiting
7984,NCT02940301,Recruiting
9789,NCT03912064,Recruiting
7989,NCT04032106,Recruiting
3706,NCT02824276,Recruiting
3707,NCT02673229,Recruiting
6688,NCT04212650,Recruiting
6689,NCT04210986,Recruiting
6690,NCT04205656,Recruiting
6691,NCT03880487,Recruiting
3695,NCT03107468,Recruiting
4796,NCT02692092,Recruiting
8012,NCT02912078,Recruiting
4799,NCT04414371,Recruiting
9791,NCT03908996,Recruiting
8010,NCT03736382,Recruiting
8009,NCT04026295,Recruiting
8008,NCT03701711,Recruiting
8005,NCT01431573,Recruiting
5751,NCT03860077,Recruiting
6679,NCT04171960,Recruiting
3689,NCT03812263,Recruiting
7998,NCT02831582,Recruiting
5303,NCT04113421,Recruiting
6681,NCT03043326,Recruiting
5745,NCT02796859,Recruiting
7994,NCT03537729,Recruiting
6682,NCT03765567,Recruiting
3854,NCT04176107,Recruiting
9924,NCT03813524,Recruiting
9687,NCT03995979,Recruiting
4031,NCT02588651,Recruiting
7760,NCT02927249,Recruiting
7759,NCT03971435,Recruiting
6780,NCT02204098,Recruiting
4011,NCT04040881,Recruiting
4723,NCT04034784,Recruiting
1127,NCT03073343,Recruiting
5593,NCT03478878,Recruiting
4720,NCT04049045,Recruiting
7750,NCT03453866,Recruiting
4019,NCT02293655,Recruiting
5592,NCT03625349,Recruiting
7746,NCT04012749,Recruiting
5591,NCT03552978,Recruiting
1267,NCT03185728,Recruiting
5590,NCT02851706,Recruiting
9778,NCT03919175,Recruiting
4005,NCT04435873,Recruiting
7298,NCT02946736,Recruiting
6773,NCT03409133,Recruiting
3988,NCT04324359,Recruiting
6769,NCT03678766,Recruiting
6770,NCT03564795,Recruiting
7773,NCT04373460,Recruiting
6771,NCT03564782,Recruiting
6772,NCT03440554,Recruiting
3995,NCT02262806,Recruiting
4002,NCT02446626,Recruiting
5603,NCT03542812,Recruiting
1125,NCT02455024,Recruiting
7766,NCT03441867,Recruiting
3999,NCT04434313,Recruiting
7295,NCT03905668,Recruiting
4001,NCT03110354,Recruiting
4030,NCT03603496,Recruiting
4033,NCT00004342,Recruiting
4758,NCT03327103,Recruiting
7742,NCT04169269,Recruiting
9912,NCT03821246,Recruiting
9910,NCT03822962,Recruiting
4068,NCT04018651,Recruiting
7716,NCT04044235,Recruiting
9774,NCT03922529,Recruiting
9773,NCT03922724,Recruiting
5569,NCT02938130,Recruiting
5567,NCT02907983,Recruiting
4078,NCT03937960,Recruiting
7710,NCT04379414,Recruiting
9685,NCT03997604,Recruiting
9686,NCT03996707,Recruiting
5333,NCT00904046,Recruiting
7705,NCT04377412,Recruiting
4086,NCT04604418,Recruiting
5331,NCT04586387,Recruiting
5574,NCT03478865,Recruiting
5329,NCT02638090,Recruiting
4047,NCT03504826,Recruiting
9916,NCT03819387,Recruiting
9915,NCT03819608,Recruiting
4041,NCT03117998,Recruiting
9914,NCT03819881,Recruiting
7735,NCT03794999,Recruiting
5584,NCT02070328,Recruiting
1265,NCT04010162,Recruiting
7303,NCT01964859,Recruiting
5583,NCT03612271,Recruiting
9775,NCT03922204,Recruiting
7730,NCT03541941,Recruiting
7728,NCT03916796,Recruiting
5580,NCT03194906,Recruiting
6786,NCT01132898,Recruiting
1269,NCT04111263,Recruiting
5609,NCT03786120,Recruiting
7778,NCT02976389,Recruiting
9683,NCT03997916,Recruiting
4747,NCT04236271,Recruiting
3890,NCT03789591,Recruiting
5650,NCT04251208,Recruiting
6743,NCT03221777,Recruiting
6744,NCT02991690,Recruiting
102,NCT03293875,Recruiting
3897,NCT04142723,Recruiting
9674,NCT04002362,Recruiting
9675,NCT04002102,Recruiting
5321,NCT03718585,Recruiting
9920,NCT03817970,Recruiting
7840,NCT03872375,Recruiting
7837,NCT04378309,Recruiting
7835,NCT02182180,Recruiting
5322,NCT03152409,Recruiting
3886,NCT04130516,Recruiting
9673,NCT04002440,Recruiting
4748,NCT04108702,Recruiting
9780,NCT03916822,Recruiting
4757,NCT03645941,Recruiting
5663,NCT01873131,Recruiting
5662,NCT02287428,Recruiting
7869,NCT01687153,Recruiting
9781,NCT03916809,Recruiting
3864,NCT03924414,Recruiting
6735,NCT04074486,Recruiting
4749,NCT04352634,Recruiting
9878,NCT03847467,Recruiting
9670,NCT04003987,Recruiting
7864,NCT03328572,Recruiting
9671,NCT04003051,Recruiting
3874,NCT03925337,Recruiting
9672,NCT04002882,Recruiting
4742,NCT03641742,Recruiting
9919,NCT03818087,Recruiting
4741,NCT04092400,Recruiting
6764,NCT04416412,Recruiting
7795,NCT02260856,Recruiting
3961,NCT03260920,Recruiting
3962,NCT03464188,Recruiting
7792,NCT04023487,Recruiting
9680,NCT04000256,Recruiting
5615,NCT02494167,Recruiting
7787,NCT03325062,Recruiting
7796,NCT03334266,Recruiting
7785,NCT04393246,Recruiting
3976,NCT02813161,Recruiting
9681,NCT03999957,Recruiting
7783,NCT04201613,Recruiting
3981,NCT04219566,Recruiting
6767,NCT04255498,Recruiting
9679,NCT04000555,Recruiting
9779,NCT03917160,Recruiting
5633,NCT03098082,Recruiting
7811,NCT04243265,Recruiting
5632,NCT03440450,Recruiting
9918,NCT03818191,Recruiting
6754,NCT03883009,Recruiting
7289,NCT03449667,Recruiting
9457,NCT04186793,Recruiting
5628,NCT03746769,Recruiting
5626,NCT03107546,Recruiting
7799,NCT04060342,Recruiting
6756,NCT03029507,Recruiting
9917,NCT03819088,Recruiting
7290,NCT03079999,Recruiting
7291,NCT02825654,Recruiting
9678,NCT04000880,Recruiting
3949,NCT04243343,Recruiting
4923,NCT04273152,Recruiting
3078,NCT03776201,Recruiting
5960,NCT04120584,Recruiting
9053,NCT04546763,Recruiting
2121,NCT03518294,Recruiting
9061,NCT04540120,Recruiting
2128,NCT04576949,Recruiting
2133,NCT03441503,Recruiting
9503,NCT04129060,Recruiting
9054,NCT04546581,Recruiting
9050,NCT04549077,Recruiting
9083,NCT04518059,Recruiting
9048,NCT04551677,Recruiting
9046,NCT04554212,Recruiting
9045,NCT04554914,Recruiting
9044,NCT04555811,Recruiting
2151,NCT04258397,Recruiting
9041,NCT04558541,Recruiting
2120,NCT03404531,Recruiting
9063,NCT04539158,Recruiting
9065,NCT04538963,Recruiting
9066,NCT04535986,Recruiting
9067,NCT04534660,Recruiting
9069,NCT04531514,Recruiting
5190,NCT04108052,Recruiting
9071,NCT04528446,Recruiting
9072,NCT04526808,Recruiting
9073,NCT04526665,Recruiting
9075,NCT04524962,Recruiting
9077,NCT04524715,Recruiting
9078,NCT04524273,Recruiting
2101,NCT03877497,Recruiting
9501,NCT04131946,Recruiting
2098,NCT01517945,Recruiting
9081,NCT04523155,Recruiting
9040,NCT04558567,Recruiting
2159,NCT01140724,Recruiting
1513,NCT04406441,Recruiting
9020,NCT04576247,Recruiting
2216,NCT04031729,Recruiting
9506,NCT04126096,Recruiting
9001,NCT04588025,Recruiting
9005,NCT04584762,Recruiting
9006,NCT04584710,Recruiting
2205,NCT04321811,Recruiting
9009,NCT04582214,Recruiting
9011,NCT04580797,Recruiting
9012,NCT04580667,Recruiting
7031,NCT02370173,Recruiting
9014,NCT04579926,Recruiting
9015,NCT04579393,Recruiting
9016,NCT04577976,Recruiting
9017,NCT04577313,Recruiting
9021,NCT04575090,Recruiting
9038,NCT04560673,Recruiting
2187,NCT03261089,Recruiting
9504,NCT04128995,Recruiting
9024,NCT04570839,Recruiting
1511,NCT03535272,Recruiting
9027,NCT04568395,Recruiting
9028,NCT04567719,Recruiting
9029,NCT04566874,Recruiting
9032,NCT04565353,Recruiting
2171,NCT03911141,Recruiting
2168,NCT02930941,Recruiting
5193,NCT03674216,Recruiting
9034,NCT04564443,Recruiting
9035,NCT04563754,Recruiting
9037,NCT04561362,Recruiting
9082,NCT04519957,Recruiting
7074,NCT03866837,Recruiting
9149,NCT04463394,Recruiting
2028,NCT03973489,Recruiting
9855,NCT03864146,Recruiting
9125,NCT04483440,Recruiting
9124,NCT04484337,Recruiting
9123,NCT04484805,Recruiting
9122,NCT04485013,Recruiting
9861,NCT03861832,Recruiting
9119,NCT04485767,Recruiting
9086,NCT04516213,Recruiting
2030,NCT03269721,Recruiting
2031,NCT03199794,Recruiting
9118,NCT04486313,Recruiting
2033,NCT01511640,Recruiting
9116,NCT04486716,Recruiting
2035,NCT03978234,Recruiting
2014,NCT04177472,Recruiting
9132,NCT04479514,Recruiting
9133,NCT04478708,Recruiting
9135,NCT04478617,Recruiting
9494,NCT04142229,Recruiting
9137,NCT04474210,Recruiting
9139,NCT04472026,Recruiting
9140,NCT04471207,Recruiting
2003,NCT03964974,Recruiting
9141,NCT04469920,Recruiting
2000,NCT02050113,Recruiting
9856,NCT03863743,Recruiting
1997,NCT04461184,Recruiting
1996,NCT03865303,Recruiting
9146,NCT04466098,Recruiting
1993,NCT03252951,Recruiting
1992,NCT03833284,Recruiting
2036,NCT03342196,Recruiting
9115,NCT04488055,Recruiting
2041,NCT02147418,Recruiting
9499,NCT04134559,Recruiting
9087,NCT04515576,Recruiting
9500,NCT04132869,Recruiting
2089,NCT03400345,Recruiting
2088,NCT04372108,Recruiting
9089,NCT04513990,Recruiting
2085,NCT03246126,Recruiting
9090,NCT04513899,Recruiting
2082,NCT03844412,Recruiting
2081,NCT03963375,Recruiting
9092,NCT04510298,Recruiting
9093,NCT04508751,Recruiting
9094,NCT04508348,Recruiting
2075,NCT04358900,Recruiting
9095,NCT04506567,Recruiting
2071,NCT00204048,Recruiting
9496,NCT04137536,Recruiting
9099,NCT04502706,Recruiting
9101,NCT04502316,Recruiting
9102,NCT04501796,Recruiting
2063,NCT02323399,Recruiting
9854,NCT03864965,Recruiting
2061,NCT04326036,Recruiting
2060,NCT03982602,Recruiting
2059,NCT04275297,Recruiting
9497,NCT04134884,Recruiting
5120,NCT02975167,Recruiting
9107,NCT04497129,Recruiting
2052,NCT03999099,Recruiting
2047,NCT03341078,Recruiting
9111,NCT04495257,Recruiting
1507,NCT02601092,Recruiting
8997,NCT04592783,Recruiting
5196,NCT03758742,Recruiting
9521,NCT04116112,Recruiting
2374,NCT03976336,Recruiting
2378,NCT02470260,Recruiting
2379,NCT03623633,Recruiting
6227,NCT04182659,Recruiting
8881,NCT03241732,Recruiting
9989,NCT03771235,Recruiting
9522,NCT04115735,Recruiting
8992,NCT04596241,Recruiting
9850,NCT03866005,Recruiting
9864,NCT03856034,Recruiting
8872,NCT04497116,Recruiting
5075,NCT03662412,Recruiting
2392,NCT03800628,Recruiting
6363,NCT03832049,Recruiting
6229,NCT04562012,Recruiting
8887,NCT03796208,Recruiting
8888,NCT03383848,Recruiting
2367,NCT04266314,Recruiting
2366,NCT04033432,Recruiting
8890,NCT03422367,Recruiting
9863,NCT03858777,Recruiting
5203,NCT03119363,Recruiting
8895,NCT04233918,Recruiting
6349,NCT03005145,Recruiting
2354,NCT03219372,Recruiting
9990,NCT03770832,Recruiting
2351,NCT04116229,Recruiting
2350,NCT04221633,Recruiting
6348,NCT04603911,Recruiting
6346,NCT02635971,Recruiting
2338,NCT03240068,Recruiting
9986,NCT03772925,Recruiting
7108,NCT03834714,Recruiting
5073,NCT04502589,Recruiting
2432,NCT04122378,Recruiting
8829,NCT02871921,Recruiting
8830,NCT02823262,Recruiting
2455,NCT04233164,Recruiting
8832,NCT03995667,Recruiting
9982,NCT03774654,Recruiting
2451,NCT04352764,Recruiting
2450,NCT03664765,Recruiting
5057,NCT04313998,Recruiting
8834,NCT04475523,Recruiting
9983,NCT03773666,Recruiting
8842,NCT03592771,Recruiting
9984,NCT03773419,Recruiting
2436,NCT03615235,Recruiting
2434,NCT04533425,Recruiting
8845,NCT04149639,Recruiting
9523,NCT04115644,Recruiting
8846,NCT03471221,Recruiting
2428,NCT03737370,Recruiting
9525,NCT04113746,Recruiting
2426,NCT03908879,Recruiting
9985,NCT03773107,Recruiting
2421,NCT02265250,Recruiting
9524,NCT04114942,Recruiting
9847,NCT03867344,Recruiting
5214,NCT04275180,Recruiting
8856,NCT03905720,Recruiting
8860,NCT03945552,Recruiting
5069,NCT03858868,Recruiting
8863,NCT02926677,Recruiting
2403,NCT03960970,Recruiting
2334,NCT03640208,Recruiting
6344,NCT02932475,Recruiting
8,NCT03972358,Recruiting
8971,NCT04182334,Recruiting
2270,NCT04203238,Recruiting
2269,NCT03416738,Recruiting
8961,NCT03718104,Recruiting
8962,NCT04066894,Recruiting
1021,NCT02874131,Recruiting
2264,NCT02458313,Recruiting
9510,NCT04124939,Recruiting
8965,NCT02728076,Recruiting
8388,NCT04300049,Recruiting
1504,NCT04369729,Recruiting
9862,NCT03861091,Recruiting
8970,NCT04524351,Recruiting
2256,NCT03281590,Recruiting
2255,NCT02217345,Recruiting
1036,NCT02719964,Recruiting
8960,NCT03595748,Recruiting
9508,NCT04125420,Recruiting
5104,NCT00792155,Recruiting
8976,NCT04437069,Recruiting
9853,NCT03865212,Recruiting
9507,NCT04126070,Recruiting
8979,NCT04607668,Recruiting
8981,NCT04606030,Recruiting
8982,NCT04605965,Recruiting
8984,NCT04605198,Recruiting
8986,NCT04604015,Recruiting
8987,NCT04599881,Recruiting
8988,NCT04599751,Recruiting
2234,NCT02924857,Recruiting
7029,NCT03199222,Recruiting
9511,NCT04124419,Recruiting
2273,NCT03798691,Recruiting
8922,NCT03859011,Recruiting
8937,NCT03434769,Recruiting
6341,NCT03795532,Recruiting
8924,NCT03808675,Recruiting
8925,NCT04068662,Recruiting
2320,NCT04502290,Recruiting
6339,NCT03831321,Recruiting
2317,NCT04450316,Recruiting
6256,NCT02483260,Recruiting
6338,NCT03939091,Recruiting
6337,NCT04213664,Recruiting
5095,NCT03365063,Recruiting
2311,NCT04357587,Recruiting
6334,NCT04326517,Recruiting
8934,NCT03164967,Recruiting
2308,NCT03205982,Recruiting
8939,NCT04475718,Recruiting
9512,NCT04123574,Recruiting
5098,NCT03741335,Recruiting
2300,NCT03378336,Recruiting
9514,NCT04121858,Recruiting
8943,NCT03935048,Recruiting
8944,NCT03869970,Recruiting
8945,NCT02743039,Recruiting
6327,NCT02780414,Recruiting
8947,NCT03762161,Recruiting
2286,NCT03640286,Recruiting
8950,NCT03900949,Recruiting
8952,NCT04157270,Recruiting
8953,NCT04606966,Recruiting
8956,NCT03611660,Recruiting
8958,NCT03410823,Recruiting
1989,NCT03501992,Recruiting
9150,NCT04462770,Recruiting
2460,NCT04016584,Recruiting
9355,NCT04268745,Recruiting
9361,NCT04262869,Recruiting
9360,NCT04263233,Recruiting
9359,NCT04263259,Recruiting
9470,NCT04170738,Recruiting
9357,NCT04264897,Recruiting
9356,NCT04267250,Recruiting
9353,NCT04269707,Recruiting
1676,NCT03264131,Recruiting
9352,NCT04269772,Recruiting
9351,NCT04270474,Recruiting
9350,NCT04270682,Recruiting
9349,NCT04273139,Recruiting
9348,NCT04273282,Recruiting
9471,NCT04169321,Recruiting
9362,NCT04262180,Recruiting
