,NCTId,IsFDARegulatedDrug
9006,NCT04584710,Yes
9007,NCT04583501,Yes
9010,NCT04581603,Yes
9011,NCT04580797,Yes
9015,NCT04579393,Yes
9018,NCT04577001,Yes
9019,NCT04576871,Yes
9024,NCT04570839,Yes
8669,NCT01505868,Yes
8668,NCT03456804,Yes
8659,NCT03592264,Yes
8280,NCT01910402,Yes
8201,NCT03003949,Yes
1357,NCT02979613,Yes
8214,NCT03557294,Yes
8223,NCT00775476,Yes
8230,NCT03344419,Yes
1342,NCT03734237,Yes
8237,NCT04363450,Yes
8245,NCT03112720,Yes
8261,NCT03223337,Yes
8273,NCT03069352,Yes
8276,NCT02929485,Yes
8286,NCT03817931,Yes
8178,NCT02049541,Yes
1320,NCT03088111,Yes
8309,NCT04188106,Yes
8310,NCT03482440,Yes
8318,NCT04362189,Yes
8327,NCT04369742,Yes
8334,NCT04060030,Yes
8336,NCT04205539,Yes
8339,NCT03574584,Yes
8354,NCT03672240,Yes
8360,NCT00074802,Yes
8364,NCT04474405,Yes
8193,NCT04470544,Yes
8177,NCT02077959,Yes
1289,NCT03341754,Yes
8139,NCT03711500,Yes
1419,NCT03981952,Yes
8071,NCT03665675,Yes
8072,NCT03015896,Yes
1413,NCT03591510,Yes
8095,NCT04294966,Yes
8096,NCT03790358,Yes
1400,NCT00652574,Yes
8104,NCT04106882,Yes
8132,NCT03599193,Yes
1389,NCT02898779,Yes
8134,NCT00000273,Yes
1384,NCT03237364,Yes
1367,NCT02867358,Yes
1382,NCT04453293,Yes
8143,NCT03246113,Yes
8145,NCT01141049,Yes
8148,NCT03168529,Yes
1377,NCT03746847,Yes
8153,NCT03097016,Yes
8157,NCT03353922,Yes
8162,NCT04390243,Yes
8166,NCT02303392,Yes
8169,NCT01535924,Yes
8174,NCT02992522,Yes
8371,NCT03249103,Yes
8395,NCT03921242,Yes
1176,NCT02941042,Yes
8601,NCT04234568,Yes
8558,NCT04401904,Yes
1213,NCT03310580,Yes
1208,NCT04074928,Yes
8570,NCT02133846,Yes
8574,NCT03483441,Yes
1204,NCT03674970,Yes
8582,NCT04471337,Yes
8583,NCT04454424,Yes
8593,NCT03317795,Yes
8596,NCT03277573,Yes
1197,NCT04507204,Yes
8616,NCT03854032,Yes
8555,NCT03560232,Yes
8617,NCT03219307,Yes
8618,NCT02538614,Yes
8621,NCT04563520,Yes
8623,NCT04313504,Yes
8624,NCT04207060,Yes
8634,NCT02019667,Yes
8642,NCT03502681,Yes
8651,NCT03229057,Yes
1179,NCT01769456,Yes
1178,NCT01772823,Yes
8652,NCT04305457,Yes
1216,NCT03893032,Yes
8553,NCT03135249,Yes
1282,NCT02920398,Yes
8466,NCT00574769,Yes
8409,NCT01253161,Yes
8415,NCT03806751,Yes
8416,NCT02874989,Yes
8420,NCT02944578,Yes
8437,NCT00679289,Yes
1264,NCT03525561,Yes
8441,NCT00621530,Yes
8447,NCT04294264,Yes
8449,NCT03937687,Yes
8457,NCT02621944,Yes
8462,NCT03900754,Yes
8478,NCT02929667,Yes
8548,NCT04231851,Yes
1249,NCT02130323,Yes
8483,NCT04232657,Yes
8486,NCT03055598,Yes
8509,NCT01239368,Yes
8511,NCT03406260,Yes
8519,NCT03372811,Yes
8522,NCT03581877,Yes
8532,NCT01439750,Yes
1227,NCT04530136,Yes
8539,NCT03745040,Yes
1222,NCT04349176,Yes
6412,NCT03783702,Yes
6396,NCT02658877,Yes
9095,NCT04506567,Yes
4182,NCT03137264,Yes
4357,NCT04344873,Yes
4386,NCT03185871,Yes
3043,NCT02240407,Yes
3033,NCT03058692,Yes
4420,NCT04314713,Yes
4421,NCT04296279,Yes
4422,NCT04268420,Yes
4423,NCT03882528,Yes
4424,NCT03718130,Yes
4425,NCT03609398,Yes
4426,NCT03531242,Yes
4427,NCT03436160,Yes
4428,NCT03141138,Yes
4430,NCT02930226,Yes
4434,NCT02067676,Yes
3018,NCT02808143,Yes
4437,NCT01877421,Yes
4456,NCT00412477,Yes
4458,NCT00292942,Yes
4460,NCT00248833,Yes
4479,NCT03532958,Yes
4480,NCT03602118,Yes
4483,NCT03054103,Yes
2994,NCT03061188,Yes
4508,NCT01169259,Yes
4355,NCT03030885,Yes
4344,NCT02661542,Yes
3059,NCT03427411,Yes
4243,NCT00308061,Yes
4195,NCT03604705,Yes
3120,NCT02124044,Yes
4204,NCT03945981,Yes
4205,NCT04006119,Yes
4207,NCT04295538,Yes
4218,NCT04315311,Yes
4219,NCT02572323,Yes
4225,NCT03474029,Yes
3109,NCT04371536,Yes
4227,NCT04132557,Yes
4238,NCT03713320,Yes
4268,NCT03968848,Yes
4338,NCT04333576,Yes
3090,NCT04148118,Yes
3088,NCT03308721,Yes
3083,NCT03978442,Yes
4291,NCT03278808,Yes
4300,NCT03395119,Yes
4308,NCT04597437,Yes
4309,NCT01897896,Yes
4314,NCT03355794,Yes
4319,NCT04274907,Yes
4323,NCT02317250,Yes
3068,NCT03679676,Yes
2987,NCT04417361,Yes
2986,NCT01239095,Yes
4528,NCT04607642,Yes
2819,NCT03418649,Yes
2861,NCT04570475,Yes
4760,NCT03251911,Yes
2851,NCT04313088,Yes
4770,NCT00915681,Yes
2844,NCT02296840,Yes
2831,NCT02776917,Yes
4817,NCT03086395,Yes
4822,NCT03961555,Yes
4824,NCT03290963,Yes
4825,NCT04588727,Yes
4827,NCT03040791,Yes
2812,NCT03334786,Yes
2867,NCT02696148,Yes
4862,NCT01578499,Yes
4866,NCT04048707,Yes
4895,NCT03696290,Yes
4910,NCT04570449,Yes
4925,NCT01846182,Yes
4931,NCT04158830,Yes
4947,NCT03908255,Yes
4948,NCT03426891,Yes
4952,NCT03030599,Yes
2758,NCT04346615,Yes
4973,NCT02800642,Yes
2866,NCT01106456,Yes
4737,NCT01859026,Yes
2981,NCT04311294,Yes
4626,NCT03709888,Yes
4530,NCT03282916,Yes
2979,NCT03710161,Yes
2978,NCT03801863,Yes
4546,NCT03671785,Yes
4547,NCT03831165,Yes
2955,NCT03633708,Yes
2954,NCT03408483,Yes
2950,NCT03680495,Yes
4610,NCT03640312,Yes
2939,NCT04011748,Yes
2931,NCT00256217,Yes
4633,NCT02249650,Yes
2880,NCT01795586,Yes
4649,NCT03992872,Yes
4661,NCT04579120,Yes
2911,NCT03438227,Yes
2906,NCT02988245,Yes
2901,NCT04134923,Yes
2897,NCT04434664,Yes
2896,NCT03252223,Yes
4700,NCT02274012,Yes
2888,NCT03405792,Yes
2886,NCT04216342,Yes
4722,NCT02094898,Yes
4186,NCT04357730,Yes
4181,NCT04200443,Yes
2128,NCT04576949,Yes
3131,NCT03465917,Yes
3319,NCT03173950,Yes
3689,NCT03812263,Yes
3690,NCT04468776,Yes
3701,NCT01742117,Yes
3313,NCT03781115,Yes
3706,NCT02824276,Yes
3729,NCT02191137,Yes
3309,NCT03399370,Yes
3738,NCT03256344,Yes
3742,NCT01638104,Yes
3303,NCT03196297,Yes
3743,NCT04461353,Yes
3745,NCT03588741,Yes
3746,NCT02987257,Yes
3766,NCT03976869,Yes
3775,NCT03636477,Yes
3782,NCT03969329,Yes
3803,NCT03553576,Yes
3804,NCT04482699,Yes
3276,NCT02118012,Yes
3825,NCT04408794,Yes
3273,NCT03233724,Yes
3834,NCT02519777,Yes
3835,NCT03422510,Yes
3843,NCT03500159,Yes
3676,NCT03790137,Yes
3663,NCT03676023,Yes
3661,NCT04495569,Yes
3520,NCT03818737,Yes
3425,NCT03329001,Yes
3391,NCT04070573,Yes
3390,NCT02774317,Yes
3437,NCT03723655,Yes
3457,NCT03282669,Yes
3458,NCT00566995,Yes
3487,NCT01482962,Yes
3488,NCT03201159,Yes
3498,NCT03686618,Yes
3513,NCT03560271,Yes
3518,NCT03219359,Yes
3557,NCT03652740,Yes
3660,NCT03224819,Yes
3566,NCT02021604,Yes
3574,NCT04598295,Yes
3592,NCT03361800,Yes
3606,NCT04002830,Yes
3609,NCT03966053,Yes
3621,NCT03814798,Yes
3339,NCT01578317,Yes
3639,NCT04274894,Yes
3650,NCT03739021,Yes
3655,NCT03992469,Yes
3659,NCT01660607,Yes
3267,NCT00911820,Yes
3265,NCT04273191,Yes
3850,NCT04394234,Yes
3166,NCT03003728,Yes
3182,NCT03462966,Yes
3180,NCT04287868,Yes
4080,NCT03077438,Yes
4088,NCT03702920,Yes
4089,NCT02199691,Yes
4098,NCT02887183,Yes
4101,NCT03870334,Yes
4102,NCT03892889,Yes
4104,NCT03289676,Yes
4110,NCT04009291,Yes
4112,NCT03606655,Yes
4113,NCT04368988,Yes
3189,NCT01884740,Yes
3163,NCT03452579,Yes
4128,NCT03481894,Yes
3155,NCT04476251,Yes
4133,NCT04554966,Yes
4135,NCT04120194,Yes
4137,NCT03378219,Yes
4138,NCT04514653,Yes
4158,NCT02842853,Yes
4162,NCT00979238,Yes
4166,NCT03401385,Yes
3135,NCT02461758,Yes
4060,NCT02842866,Yes
4054,NCT03196375,Yes
3864,NCT03924414,Yes
3965,NCT03254199,Yes
3866,NCT04504734,Yes
3886,NCT04130516,Yes
3253,NCT03671746,Yes
3890,NCT03789591,Yes
3893,NCT04589819,Yes
3900,NCT03305016,Yes
3925,NCT04387305,Yes
3941,NCT03060538,Yes
3951,NCT03278626,Yes
3955,NCT02720510,Yes
3961,NCT03260920,Yes
3223,NCT01440803,Yes
4052,NCT02730819,Yes
3966,NCT03344458,Yes
3983,NCT01956669,Yes
3988,NCT04324359,Yes
3990,NCT03460743,Yes
3995,NCT02262806,Yes
4001,NCT03110354,Yes
4021,NCT04567511,Yes
4030,NCT03603496,Yes
4031,NCT02588651,Yes
4034,NCT00799617,Yes
4041,NCT03117998,Yes
2751,NCT03930745,Yes
4985,NCT03785678,Yes
2744,NCT03837860,Yes
2738,NCT03338114,Yes
5899,NCT04302181,Yes
2326,NCT04018417,Yes
2318,NCT03112993,Yes
2317,NCT04450316,Yes
2315,NCT02781844,Yes
2311,NCT04357587,Yes
5974,NCT04589611,Yes
5979,NCT04512105,Yes
5980,NCT04363164,Yes
5984,NCT04249544,Yes
5986,NCT04171115,Yes
5987,NCT04144257,Yes
5989,NCT04136548,Yes
5991,NCT04024878,Yes
2278,NCT04587115,Yes
5999,NCT03861390,Yes
2273,NCT03798691,Yes
6004,NCT03763643,Yes
6007,NCT03686813,Yes
6010,NCT03621085,Yes
6011,NCT03615196,Yes
6012,NCT03552705,Yes
6014,NCT03535688,Yes
6016,NCT03463239,Yes
6021,NCT03387553,Yes
5884,NCT02749968,Yes
2336,NCT03984838,Yes
2337,NCT04374552,Yes
5790,NCT03361384,Yes
5740,NCT04418518,Yes
5751,NCT03860077,Yes
5752,NCT03881020,Yes
5759,NCT03848221,Yes
5764,NCT00923247,Yes
5766,NCT04028960,Yes
5768,NCT02281760,Yes
2379,NCT03623633,Yes
5770,NCT02484248,Yes
5771,NCT03882437,Yes
5788,NCT04603794,Yes
2366,NCT04033432,Yes
2338,NCT03240068,Yes
5808,NCT02249182,Yes
5813,NCT04358549,Yes
5814,NCT03194685,Yes
5817,NCT03654053,Yes
2354,NCT03219372,Yes
5836,NCT02081391,Yes
5841,NCT02796651,Yes
5850,NCT03164616,Yes
5855,NCT03293524,Yes
5871,NCT03250338,Yes
5875,NCT03406104,Yes
2251,NCT00587990,Yes
6022,NCT03366844,Yes
6024,NCT03266965,Yes
6296,NCT02953860,Yes
6241,NCT04573920,Yes
6242,NCT04573478,Yes
6248,NCT04333459,Yes
2184,NCT03606460,Yes
6265,NCT01290601,Yes
2180,NCT03420638,Yes
6278,NCT00370682,Yes
6283,NCT00287469,Yes
6290,NCT03295695,Yes
6292,NCT03796884,Yes
6295,NCT02955394,Yes
6299,NCT01326104,Yes
2193,NCT03709823,Yes
6308,NCT04225598,Yes
2163,NCT03508739,Yes
2151,NCT04258397,Yes
6339,NCT03831321,Yes
6344,NCT02932475,Yes
6347,NCT03486353,Yes
6348,NCT04603911,Yes
2139,NCT04155047,Yes
6367,NCT03776994,Yes
6373,NCT04396717,Yes
6387,NCT03516838,Yes
6228,NCT02706847,Yes
6223,NCT02706951,Yes
6025,NCT03258658,Yes
2225,NCT03236155,Yes
6027,NCT03197922,Yes
6030,NCT03150511,Yes
2243,NCT04310527,Yes
6035,NCT03078530,Yes
2238,NCT01050907,Yes
6037,NCT02988401,Yes
6040,NCT02922894,Yes
6045,NCT02679560,Yes
6053,NCT02391025,Yes
6059,NCT02317640,Yes
6064,NCT02104713,Yes
2218,NCT01702428,Yes
6222,NCT02675426,Yes
6147,NCT00763009,Yes
2216,NCT04031729,Yes
6155,NCT00656019,Yes
6162,NCT00583752,Yes
6163,NCT00583024,Yes
6170,NCT00411632,Yes
2211,NCT02934191,Yes
6190,NCT03418857,Yes
6192,NCT03821402,Yes
6200,NCT02666742,Yes
6221,NCT02629159,Yes
5730,NCT03080493,Yes
5728,NCT03775096,Yes
5725,NCT04432272,Yes
2582,NCT02124824,Yes
2619,NCT02841280,Yes
2617,NCT02932579,Yes
2613,NCT03432897,Yes
5291,NCT03050814,Yes
5294,NCT03808740,Yes
5322,NCT03152409,Yes
2588,NCT02414178,Yes
5326,NCT03048500,Yes
5329,NCT02638090,Yes
2585,NCT04322149,Yes
5332,NCT01894451,Yes
5335,NCT04399889,Yes
5261,NCT00385762,Yes
2578,NCT04510168,Yes
5340,NCT03811847,Yes
5341,NCT03122301,Yes
5347,NCT01615055,Yes
2569,NCT02787928,Yes
2567,NCT00004992,Yes
5349,NCT00351416,Yes
2564,NCT03451071,Yes
5359,NCT01133275,Yes
5363,NCT03756454,Yes
2557,NCT03597620,Yes
2621,NCT03050554,Yes
5252,NCT04015778,Yes
5395,NCT03224507,Yes
5155,NCT04168203,Yes
5027,NCT03779191,Yes
2727,NCT03029702,Yes
5035,NCT03349775,Yes
2723,NCT03822182,Yes
5038,NCT02036502,Yes
5073,NCT04502589,Yes
2707,NCT02939287,Yes
2697,NCT01863719,Yes
5130,NCT03009045,Yes
2688,NCT04105166,Yes
2683,NCT03004443,Yes
2672,NCT03294538,Yes
5231,NCT03018106,Yes
5175,NCT02945046,Yes
2665,NCT03199313,Yes
5176,NCT02964338,Yes
5186,NCT01657760,Yes
5210,NCT03308565,Yes
5212,NCT04458545,Yes
5218,NCT02138838,Yes
2639,NCT03075670,Yes
2637,NCT04276558,Yes
2636,NCT03791814,Yes
5224,NCT04047251,Yes
5371,NCT03529422,Yes
5405,NCT02839915,Yes
5719,NCT03541187,Yes
5647,NCT02442739,Yes
5597,NCT03071744,Yes
5603,NCT03542812,Yes
5608,NCT02475707,Yes
5609,NCT03786120,Yes
2454,NCT03333109,Yes
5615,NCT02494167,Yes
2452,NCT02861131,Yes
5628,NCT03746769,Yes
5632,NCT03440450,Yes
2445,NCT01862536,Yes
5646,NCT01145209,Yes
2433,NCT03379558,Yes
5594,NCT02600819,Yes
5664,NCT01744782,Yes
5667,NCT02836288,Yes
2428,NCT03737370,Yes
5670,NCT02262832,Yes
5673,NCT04296942,Yes
5680,NCT03350217,Yes
5683,NCT00923936,Yes
5694,NCT03789097,Yes
2403,NCT03960970,Yes
5709,NCT00326495,Yes
2399,NCT02840097,Yes
2463,NCT03742258,Yes
5593,NCT03478878,Yes
5407,NCT03795233,Yes
5525,NCT01443728,Yes
5408,NCT02853617,Yes
2537,NCT04433546,Yes
5417,NCT03431831,Yes
5422,NCT03782480,Yes
5490,NCT02040142,Yes
5492,NCT04027946,Yes
5498,NCT03451773,Yes
5503,NCT03532776,Yes
2502,NCT02404896,Yes
5519,NCT01553461,Yes
2497,NCT03195205,Yes
5529,NCT04396873,Yes
5592,NCT03625349,Yes
5531,NCT02362425,Yes
5538,NCT01160458,Yes
5550,NCT04145323,Yes
2483,NCT03337113,Yes
5553,NCT03253744,Yes
5558,NCT03020719,Yes
5567,NCT02907983,Yes
5572,NCT02440061,Yes
5574,NCT03478865,Yes
5580,NCT03194906,Yes
2467,NCT03426137,Yes
9092,NCT04510298,Yes
3411,NCT03187080,Yes
9621,NCT04044430,Yes
9364,NCT04259645,Yes
9452,NCT04188873,Yes
9895,NCT03833921,Yes
9814,NCT03887429,Yes
9252,NCT04353206,Yes
9251,NCT04354246,Yes
9811,NCT03891784,Yes
9249,NCT04354467,Yes
9529,NCT04109924,Yes
9530,NCT04109222,Yes
9248,NCT04355143,Yes
9531,NCT04108858,Yes
9534,NCT04104321,Yes
9893,NCT03837353,Yes
9246,NCT04355897,Yes
9901,NCT03829566,Yes
9684,NCT03997812,Yes
9758,NCT03936465,Yes
9903,NCT03828682,Yes
9450,NCT04195399,Yes
9759,NCT03933904,Yes
9240,NCT04365153,Yes
9367,NCT04257136,Yes
9539,NCT04103060,Yes
9540,NCT04098744,Yes
9255,NCT04349436,Yes
114,NCT03382418,Yes
9357,NCT04264897,Yes
9517,NCT04119024,Yes
9882,NCT03843528,Yes
9358,NCT04263831,Yes
9819,NCT03882762,Yes
9883,NCT03843294,Yes
9697,NCT03985423,Yes
9885,NCT03842254,Yes
9268,NCT04341311,Yes
9267,NCT04341675,Yes
9266,NCT04341727,Yes
9361,NCT04262869,Yes
9818,NCT03883581,Yes
9265,NCT04342663,Yes
9257,NCT04348708,Yes
9264,NCT04342689,Yes
9817,NCT03883607,Yes
9454,NCT04188262,Yes
9519,NCT04118153,Yes
9520,NCT04118036,Yes
9891,NCT03838367,Yes
9261,NCT04344184,Yes
9521,NCT04116112,Yes
9260,NCT04344457,Yes
9692,NCT03991169,Yes
9258,NCT04344860,Yes
9682,NCT03999684,Yes
9810,NCT03895684,Yes
9237,NCT04368364,Yes
9766,NCT03929211,Yes
9208,NCT04391179,Yes
9207,NCT04392232,Yes
9804,NCT03899805,Yes
9674,NCT04002362,Yes
9204,NCT04398368,Yes
9203,NCT04398745,Yes
9202,NCT04399980,Yes
9803,NCT03900793,Yes
9199,NCT04401527,Yes
9670,NCT04003987,Yes
9668,NCT04007588,Yes
9443,NCT04203225,Yes
9760,NCT03933631,Yes
9193,NCT04407377,Yes
9550,NCT04091061,Yes
9929,NCT03810703,Yes
9551,NCT04091022,Yes
9191,NCT04410302,Yes
9189,NCT04411667,Yes
9553,NCT04090775,Yes
9931,NCT03810417,Yes
9932,NCT03807739,Yes
9767,NCT03928288,Yes
9554,NCT04090684,Yes
9444,NCT04201145,Yes
9212,NCT04388319,Yes
9213,NCT04387084,Yes
9546,NCT04093050,Yes
9679,NCT04000555,Yes
9234,NCT04372433,Yes
9233,NCT04372641,Yes
9907,NCT03823911,Yes
9232,NCT04373044,Yes
9231,NCT04374305,Yes
9230,NCT04374565,Yes
