,NCTId,ConditionBrowseLeafId
4818,NCT03068117,T6043
132,NCT03488264,T6043
5711,NCT02958267,T6043
8561,NCT03622697,T6043
1215,NCT00143026,T6043
7766,NCT03441867,T6043
5665,NCT03231579,T6043
4947,NCT03908255,T6043
9250,NCT04354454,T6043
8888,NCT03383848,T6043
6052,NCT02506192,T6043
2567,NCT00004992,T6043
3938,NCT02389855,T6043
8018,NCT04075877,T6043
8290,NCT00608036,T6043
2960,NCT02307565,T6043
5949,NCT01011348,T6043
4581,NCT04368117,T6043
3304,NCT00556842,T6043
5308,NCT02145949,T6043
1372,NCT03479541,T6043
4372,NCT03483805,T6043
9461,NCT04179981,T6043
8436,NCT03333252,T6043
2098,NCT01517945,T6043
9917,NCT03819088,T6043
7219,NCT00270764,T6043
5588,NCT00001536,T6043
1699,NCT00211614,T6043
7194,NCT03829358,T6043
7085,NCT02176928,T6043
9300,NCT04315883,T6043
3781,NCT02392078,T6043
1749,NCT01988532,T6043
9676,NCT04002063,T6043
6741,NCT04421235,T6043
7105,NCT00202046,T6043
1874,NCT00402129,T6043
2239,NCT01109602,T6043
7165,NCT01807728,T6043
2838,NCT04294303,T6043
4127,NCT04422873,T6043
1851,NCT00416364,T6043
5498,NCT03451773,T6043
7673,NCT03266120,T6043
7164,NCT03499951,T6043
1625,NCT00606658,T6043
6161,NCT00589966,T6043
5330,NCT00526994,T6043
8831,NCT03727815,T6043
6716,NCT01184547,T6043
1579,NCT02296164,T6043
4409,NCT02430792,T6043
9156,NCT04452500,T6043
5205,NCT00120302,T6043
7857,NCT02697422,T6043
7640,NCT00468832,T6043
5893,NCT03453554,T6043
2779,NCT04036344,T6043
2392,NCT03800628,T6043
7644,NCT02887235,T6043
2381,NCT00012883,T6043
7594,NCT03936738,T6043
4093,NCT02113475,T6043
1166,NCT01532622,T6043
4018,NCT00237926,T6043
5793,NCT03913715,T6043
8924,NCT03808675,T6043
3837,NCT01814722,T6043
7923,NCT02348645,T6043
8649,NCT01733017,T6043
4103,NCT01353677,T6043
5082,NCT04300699,T6043
8149,NCT00017199,T6038
3668,NCT02794181,T6036
7906,NCT03631719,T6036
3527,NCT01386424,T6036
2332,NCT03263195,T6036
4276,NCT04398901,T6036
3723,NCT02057705,T6003
3483,NCT00359411,T6000
3417,NCT00072813,T599
2375,NCT01652573,T5987
1670,NCT03789721,T5965
3761,NCT02376751,T5954
1841,NCT01953016,T5950
1474,NCT03399461,T5950
4597,NCT03655587,T5943
6123,NCT01265433,T5943
8495,NCT01236586,T5943
7538,NCT03950986,T5937
5408,NCT02853617,T5937
6916,NCT02301702,T5937
17,NCT03973905,T5937
2606,NCT03824093,T5937
1007,NCT03463577,T5937
5857,NCT00133445,T5937
1270,NCT01890850,T5937
3631,NCT02587520,T5937
7505,NCT00337428,T5937
7228,NCT01147900,T5937
1371,NCT02466750,T5928
4448,NCT01159561,T5928
5801,NCT01073579,T5927
