,NCTId,InterventionMeshId
9348,NCT04273282,D000077555
2455,NCT04233164,D000077555
4904,NCT03111810,D000077555
9901,NCT03829566,D000077555
9315,NCT04305145,D000077555
3628,NCT00733096,D000077555
2950,NCT03680495,D000077555
1646,NCT01596998,D000077554
4118,NCT00235300,D000077552
5517,NCT02057289,D000077551
7464,NCT01976780,D000077549
7186,NCT04370977,D000077549
7491,NCT01052584,D000077549
7226,NCT00140361,D000077549
4202,NCT01228344,D000077549
2968,NCT00266058,D000077549
6251,NCT04203186,D000077549
3708,NCT00233337,D000077549
9330,NCT04292119,D000077547
6203,NCT00372073,D000077546
2819,NCT03418649,D000077545
8176,NCT01814501,D000077544
6542,NCT00756444,D000077544
3929,NCT00418938,D000077544
3773,NCT00454779,D000077544
7680,NCT03000374,D000077544
3674,NCT00613730,D000077544
7357,NCT00096720,D000077487
5984,NCT04249544,D000077487
2073,NCT00133198,D000077487
4825,NCT04588727,D000077486
9561,NCT04088123,D000077486
3701,NCT01742117,D000077486
1065,NCT01589978,D000077486
1980,NCT03005639,D000077484
3054,NCT02068079,D000077484
3254,NCT01826448,D000077484
8288,NCT00751270,D000077483
8526,NCT00587496,D000077483
4530,NCT03282916,D000077483
8259,NCT00514449,D000077483
9767,NCT03928288,D000077465
1641,NCT00585104,D000077464
4396,NCT00662571,D000077443
8933,NCT02217007,D000077443
9918,NCT03818191,D000077443
5724,NCT00655967,D000077443
4672,NCT00486811,D000077432
4087,NCT00472303,D000077432
5836,NCT02081391,D000077432
1351,NCT00505414,D000077432
1620,NCT01725087,D000077432
3812,NCT01264887,D000077432
7421,NCT01444612,D000077425
4754,NCT01435954,D000077409
6984,NCT00233090,D000077408
1216,NCT03893032,D000077408
2142,NCT00258479,D000077408
7533,NCT00702637,D000077408
2802,NCT01915069,D000077407
8353,NCT00704912,D000077403
1348,NCT00001723,D000077403
1605,NCT02142712,D000077402
5005,NCT00237367,D000077402
3031,NCT01129570,D000077385
4770,NCT00915681,D000077385
7931,NCT00053898,D000077384
2931,NCT00256217,D000077384
6540,NCT00382057,D000077384
9025,NCT04569747,D000077384
9325,NCT04294225,D000077384
3989,NCT01953588,D000077384
4969,NCT00433173,D000077384
5566,NCT00473642,D000077362
6417,NCT00999804,D000077341
8907,NCT00148902,D000077341
8691,NCT00118157,D000077341
8455,NCT00496366,D000077341
6605,NCT00795678,D000077341
72,NCT00800267,D000077338
5718,NCT00440336,D000077338
1272,NCT00751127,D000077338
3106,NCT00287521,D000077338
1301,NCT00847483,D000077338
1198,NCT00277498,D000077338
4238,NCT03713320,D000077337
8298,NCT01130506,D000077337
9882,NCT03843528,D000077337
5101,NCT00574587,D000077337
6903,NCT01039363,D000077337
7821,NCT00857324,D000077337
4590,NCT01500538,D000077337
8674,NCT00764517,D000077337
4948,NCT03426891,D000077337
5329,NCT02638090,D000077337
7704,NCT02088671,D000077335
5398,NCT00814502,D000077334
5609,NCT03786120,D000077334
3690,NCT04468776,D000077334
7057,NCT01243060,D000077334
7696,NCT02170246,D000077333
7464,NCT01976780,D000077332
9960,NCT03792516,D000077332
