,NCTId,StdAge
3684,NCT00684021,Older Adult
3683,NCT02060799,Older Adult
8115,NCT04441307,Older Adult
3682,NCT00389675,Older Adult
3706,NCT02824276,Older Adult
3707,NCT02673229,Older Adult
8086,NCT00936390,Older Adult
3724,NCT04240288,Older Adult
3735,NCT00101673,Older Adult
3734,NCT02814552,Older Adult
8087,NCT02571478,Older Adult
3733,NCT00353574,Older Adult
3732,NCT03059004,Older Adult
3731,NCT01786993,Older Adult
3729,NCT02191137,Older Adult
8090,NCT02036905,Older Adult
3728,NCT00249405,Older Adult
3727,NCT00528606,Older Adult
8091,NCT02337296,Older Adult
3726,NCT01519999,Older Adult
3725,NCT01558479,Older Adult
8092,NCT03481049,Older Adult
3723,NCT02057705,Older Adult
3708,NCT00233337,Older Adult
8093,NCT02952352,Older Adult
3721,NCT01444911,Older Adult
8094,NCT02825771,Older Adult
3719,NCT00528840,Older Adult
3717,NCT00736775,Older Adult
3715,NCT00539175,Older Adult
3714,NCT00294723,Older Adult
8099,NCT00876226,Older Adult
3713,NCT02629939,Older Adult
3712,NCT01272232,Older Adult
3711,NCT01733394,Older Adult
3710,NCT00312845,Older Adult
8101,NCT03887793,Older Adult
3709,NCT00762060,Older Adult
3798,NCT02096432,Older Adult
3800,NCT01313130,Older Adult
7992,NCT00369785,Older Adult
8013,NCT02193984,Older Adult
3886,NCT04130516,Older Adult
3884,NCT00491738,Older Adult
3883,NCT01235156,Older Adult
3882,NCT02820519,Older Adult
8008,NCT03701711,Older Adult
3880,NCT00001479,Older Adult
3879,NCT00312364,Older Adult
3877,NCT02173379,Older Adult
8011,NCT03896165,Older Adult
3876,NCT04605783,Older Adult
3875,NCT00081900,Older Adult
8012,NCT02912078,Older Adult
3874,NCT03925337,Older Adult
3873,NCT00171990,Older Adult
3872,NCT01751451,Older Adult
3888,NCT01156090,Older Adult
3871,NCT00351767,Older Adult
3870,NCT01486264,Older Adult
3869,NCT01754064,Older Adult
8015,NCT00004048,Older Adult
3867,NCT00005137,Older Adult
3866,NCT04504734,Older Adult
3865,NCT01760980,Older Adult
3864,NCT03924414,Older Adult
3863,NCT04302727,Older Adult
3862,NCT00633321,Older Adult
3861,NCT00443443,Older Adult
8019,NCT00043745,Older Adult
3860,NCT02802306,Older Adult
3859,NCT01745887,Older Adult
8005,NCT01431573,Older Adult
8004,NCT01437852,Older Adult
3857,NCT00007592,Older Adult
3904,NCT01013324,Older Adult
3915,NCT00972283,Older Adult
3914,NCT00325117,Older Adult
7993,NCT00121186,Older Adult
3913,NCT02583178,Older Adult
3912,NCT00398528,Older Adult
7994,NCT03537729,Older Adult
3910,NCT02797431,Older Adult
7995,NCT01686087,Older Adult
3908,NCT00880178,Older Adult
3907,NCT02188953,Older Adult
7996,NCT01058395,Older Adult
3906,NCT03852316,Older Adult
3905,NCT01206166,Older Adult
7997,NCT02132650,Older Adult
3903,NCT00318643,Older Adult
3889,NCT00444301,Older Adult
7998,NCT02831582,Older Adult
3902,NCT02213198,Older Adult
3901,NCT02233855,Older Adult
7999,NCT01177137,Older Adult
3899,NCT02312050,Older Adult
3897,NCT04142723,Older Adult
8000,NCT04498975,Older Adult
3896,NCT00523978,Older Adult
3895,NCT04246424,Older Adult
3894,NCT04296344,Older Adult
8001,NCT02949128,Older Adult
3893,NCT04589819,Older Adult
3892,NCT01118169,Older Adult
8003,NCT00483028,Older Adult
3858,NCT02595073,Older Adult
3856,NCT00747734,Older Adult
8053,NCT02144649,Older Adult
8045,NCT00061906,Older Adult
8039,NCT03771417,Older Adult
3825,NCT04408794,Older Adult
8040,NCT02994654,Older Adult
3821,NCT00796419,Older Adult
8041,NCT02836990,Older Adult
3820,NCT00481143,Older Adult
3819,NCT00725101,Older Adult
8042,NCT01109576,Older Adult
3818,NCT01352676,Older Adult
3817,NCT01273896,Older Adult
3816,NCT00106431,Older Adult
8044,NCT00358254,Older Adult
3815,NCT00001163,Older Adult
3814,NCT03407625,Older Adult
3813,NCT00125138,Older Adult
3828,NCT00002120,Older Adult
3812,NCT01264887,Older Adult
3810,NCT00094107,Older Adult
8047,NCT02113514,Older Adult
3809,NCT03125460,Older Adult
3808,NCT00034294,Older Adult
8048,NCT02763150,Older Adult
3807,NCT00551200,Older Adult
3806,NCT00578812,Older Adult
3805,NCT02378740,Older Adult
3804,NCT04482699,Older Adult
3803,NCT03553576,Older Adult
8052,NCT02864160,Older Adult
3802,NCT00005175,Older Adult
3801,NCT01476423,Older Adult
3827,NCT01629095,Older Adult
8036,NCT01505257,Older Adult
8022,NCT02160847,Older Adult
8027,NCT01515072,Older Adult
3855,NCT03193879,Older Adult
8023,NCT00742781,Older Adult
3853,NCT01880853,Older Adult
3852,NCT04588662,Older Adult
8024,NCT03343106,Older Adult
3851,NCT00094094,Older Adult
3850,NCT04394234,Older Adult
8025,NCT01025674,Older Adult
3848,NCT02195778,Older Adult
3847,NCT00000172,Older Adult
8026,NCT01929122,Older Adult
3846,NCT00078598,Older Adult
3845,NCT01261767,Older Adult
3844,NCT00324571,Older Adult
3843,NCT03500159,Older Adult
3830,NCT01123577,Older Adult
3841,NCT04436198,Older Adult
8028,NCT01614353,Older Adult
3840,NCT02750930,Older Adult
3839,NCT01234766,Older Adult
3838,NCT00637689,Older Adult
3837,NCT01814722,Older Adult
3836,NCT00522119,Older Adult
3835,NCT03422510,Older Adult
3834,NCT02519777,Older Adult
3833,NCT00099957,Older Adult
8034,NCT01048619,Older Adult
3832,NCT01200680,Older Adult
3831,NCT00325754,Older Adult
8035,NCT01112709,Older Adult
4147,NCT02923193,Older Adult
4148,NCT03055858,Older Adult
4149,NCT04477304,Older Adult
4507,NCT02318862,Older Adult
4517,NCT02817854,Older Adult
4516,NCT00527722,Older Adult
4515,NCT00925366,Older Adult
7711,NCT02843178,Older Adult
4514,NCT00396162,Older Adult
4513,NCT01782053,Older Adult
7712,NCT01910493,Older Adult
4512,NCT01828996,Older Adult
4511,NCT03593330,Older Adult
7713,NCT01569191,Older Adult
4510,NCT00211991,Older Adult
4509,NCT03955874,Older Adult
4508,NCT01169259,Older Adult
7714,NCT04133766,Older Adult
4506,NCT03543891,Older Adult
4518,NCT03303859,Older Adult
7715,NCT03555435,Older Adult
4505,NCT00202878,Older Adult
4503,NCT04579601,Older Adult
7717,NCT01539005,Older Adult
4502,NCT03452514,Older Adult
7718,NCT00775866,Older Adult
4500,NCT00418899,Older Adult
4499,NCT02398942,Older Adult
4498,NCT02119195,Older Adult
7719,NCT00201929,Older Adult
4497,NCT04356027,Older Adult
4493,NCT02037555,Older Adult
4490,NCT04191473,Older Adult
7723,NCT01668992,Older Adult
7709,NCT02764528,Older Adult
4519,NCT04247646,Older Adult
4488,NCT02971358,Older Adult
4535,NCT03660917,Older Adult
4550,NCT01669915,Older Adult
7695,NCT00208572,Older Adult
4548,NCT03403257,Older Adult
7696,NCT02170246,Older Adult
4546,NCT03671785,Older Adult
4545,NCT03828877,Older Adult
4544,NCT00128999,Older Adult
7698,NCT00399529,Older Adult
4542,NCT00333229,Older Adult
7699,NCT02721147,Older Adult
4541,NCT02366234,Older Adult
4540,NCT01758081,Older Adult
4538,NCT01524705,Older Adult
7701,NCT01145443,Older Adult
4534,NCT00656955,Older Adult
4520,NCT03266783,Older Adult
7702,NCT03371225,Older Adult
4533,NCT02972515,Older Adult
4532,NCT04386577,Older Adult
4531,NCT01330264,Older Adult
4530,NCT03282916,Older Adult
7704,NCT02088671,Older Adult
4528,NCT04607642,Older Adult
4527,NCT03132857,Older Adult
4526,NCT01431924,Older Adult
7705,NCT04377412,Older Adult
4525,NCT01273077,Older Adult
4524,NCT00299065,Older Adult
7707,NCT03198754,Older Adult
4521,NCT01768325,Older Adult
4489,NCT04245124,Older Adult
4486,NCT00788879,Older Adult
7694,NCT02910934,Older Adult
4415,NCT01563887,Older Adult
7748,NCT02008058,Older Adult
7749,NCT00537173,Older Adult
7750,NCT03453866,Older Adult
7751,NCT03529695,Older Adult
7752,NCT04312334,Older Adult
4426,NCT03531242,Older Adult
7755,NCT02775929,Older Adult
4425,NCT03609398,Older Adult
7757,NCT01177072,Older Adult
7758,NCT02944149,Older Adult
7759,NCT03971435,Older Adult
4417,NCT00460967,Older Adult
4416,NCT01321281,Older Adult
7760,NCT02927249,Older Adult
4413,NCT02551666,Older Adult
7747,NCT01624337,Older Adult
4412,NCT02546388,Older Adult
7761,NCT02870205,Older Adult
4410,NCT00806910,Older Adult
4409,NCT02430792,Older Adult
7762,NCT02737761,Older Adult
4408,NCT04334707,Older Adult
4407,NCT02170532,Older Adult
7763,NCT04287075,Older Adult
4406,NCT04204018,Older Adult
4404,NCT04266821,Older Adult
7764,NCT01138917,Older Adult
4403,NCT00360087,Older Adult
4402,NCT03579329,Older Adult
4401,NCT01817244,Older Adult
4441,NCT01659515,Older Adult
7746,NCT04012749,Older Adult
4485,NCT00211900,Older Adult
4472,NCT04211077,Older Adult
4484,NCT02963441,Older Adult
7727,NCT01672840,Older Adult
4483,NCT03054103,Older Adult
4482,NCT01481285,Older Adult
4481,NCT02670850,Older Adult
4479,NCT03532958,Older Adult
7728,NCT03916796,Older Adult
4477,NCT00716456,Older Adult
7729,NCT04248088,Older Adult
4476,NCT00848796,Older Adult
4475,NCT03909503,Older Adult
7730,NCT03541941,Older Adult
4474,NCT02302612,Older Adult
7731,NCT00901979,Older Adult
4471,NCT04557241,Older Adult
4446,NCT01387529,Older Adult
7732,NCT03158558,Older Adult
4468,NCT00256477,Older Adult
4467,NCT01954290,Older Adult
7733,NCT03413709,Older Adult
7735,NCT03794999,Older Adult
4461,NCT00132249,Older Adult
7736,NCT03210415,Older Adult
4454,NCT00657917,Older Adult
7741,NCT00136370,Older Adult
4451,NCT00884377,Older Adult
7742,NCT04169269,Older Adult
4449,NCT01140191,Older Adult
7743,NCT02127281,Older Adult
7744,NCT03308812,Older Adult
4551,NCT04596904,Older Adult
4552,NCT00364182,Older Adult
4397,NCT04569344,Older Adult
7657,NCT00978497,Older Adult
4637,NCT01630213,Older Adult
4636,NCT02113670,Older Adult
7653,NCT04113135,Older Adult
4634,NCT04263025,Older Adult
7654,NCT02268292,Older Adult
4633,NCT02249650,Older Adult
4632,NCT02269410,Older Adult
4631,NCT01700517,Older Adult
7655,NCT02816294,Older Adult
4630,NCT00750685,Older Adult
4629,NCT03982576,Older Adult
7656,NCT03272074,Older Adult
4628,NCT01695252,Older Adult
4627,NCT02538601,Older Adult
4626,NCT03709888,Older Adult
4638,NCT02410278,Older Adult
7658,NCT02512445,Older Adult
4624,NCT01889225,Older Adult
4623,NCT04427995,Older Adult
7659,NCT01999868,Older Adult
4622,NCT04568369,Older Adult
4621,NCT00161525,Older Adult
7660,NCT00681694,Older Adult
4620,NCT01891773,Older Adult
4619,NCT03747783,Older Adult
4618,NCT03598660,Older Adult
4617,NCT01483040,Older Adult
7662,NCT03755401,Older Adult
4616,NCT00027404,Older Adult
4615,NCT02501447,Older Adult
7652,NCT03672461,Older Adult
4639,NCT01353352,Older Adult
4614,NCT01191229,Older Adult
7645,NCT00744991,Older Adult
4663,NCT04349020,Older Adult
4662,NCT01427400,Older Adult
7641,NCT00667810,Older Adult
4661,NCT04579120,Older Adult
4660,NCT03831724,Older Adult
7642,NCT00676143,Older Adult
4659,NCT02267317,Older Adult
4658,NCT03437837,Older Adult
7643,NCT00386100,Older Adult
4657,NCT04171180,Older Adult
4656,NCT00795561,Older Adult
7644,NCT02887235,Older Adult
4655,NCT01371266,Older Adult
4654,NCT04516824,Older Adult
4653,NCT01786109,Older Adult
7651,NCT01802723,Older Adult
4651,NCT03486093,Older Adult
7646,NCT03643978,Older Adult
4649,NCT03992872,Older Adult
7647,NCT00785577,Older Adult
4648,NCT02453646,Older Adult
4647,NCT02602730,Older Adult
7648,NCT00790790,Older Adult
4646,NCT04384263,Older Adult
7649,NCT01390220,Older Adult
4643,NCT03494283,Older Adult
4642,NCT01084239,Older Adult
7650,NCT03850509,Older Adult
4641,NCT01163773,Older Adult
4640,NCT01511939,Older Adult
7663,NCT03059082,Older Adult
4613,NCT01409681,Older Adult
4553,NCT01029483,Older Adult
7686,NCT01067287,Older Adult
7680,NCT03000374,Older Adult
4579,NCT01782352,Older Adult
4578,NCT03176420,Older Adult
7681,NCT03753360,Older Adult
4577,NCT03579706,Older Adult
4576,NCT04026009,Older Adult
7682,NCT00732173,Older Adult
4575,NCT02621658,Older Adult
4574,NCT04203199,Older Adult
7683,NCT03935282,Older Adult
4573,NCT02359916,Older Adult
4572,NCT02451176,Older Adult
7685,NCT03478553,Older Adult
4570,NCT04385524,Older Adult
4568,NCT01954901,Older Adult
4581,NCT04368117,Older Adult
7687,NCT04053842,Older Adult
4566,NCT02379221,Older Adult
4565,NCT02661334,Older Adult
7688,NCT01942746,Older Adult
4561,NCT01144767,Older Adult
7690,NCT00571038,Older Adult
4560,NCT01653678,Older Adult
4559,NCT01747447,Older Adult
7691,NCT02052037,Older Adult
4558,NCT02555904,Older Adult
7692,NCT00162435,Older Adult
4555,NCT01747889,Older Adult
7693,NCT03406013,Older Adult
4554,NCT01684722,Older Adult
4580,NCT03073291,Older Adult
7679,NCT03289130,Older Adult
7664,NCT03393637,Older Adult
4596,NCT04163224,Older Adult
4612,NCT03584113,Older Adult
4611,NCT03183401,Older Adult
7665,NCT01989273,Older Adult
4610,NCT03640312,Older Adult
4609,NCT00199797,Older Adult
7667,NCT01212848,Older Adult
4605,NCT02357277,Older Adult
4604,NCT00908830,Older Adult
4603,NCT02208050,Older Adult
7669,NCT04377581,Older Adult
4600,NCT03953924,Older Adult
7671,NCT03865901,Older Adult
4599,NCT03859362,Older Adult
4598,NCT02647983,Older Adult
7672,NCT00438594,Older Adult
4582,NCT02239874,Older Adult
4595,NCT02745210,Older Adult
4593,NCT02657317,Older Adult
7674,NCT03170297,Older Adult
4592,NCT00580944,Older Adult
4590,NCT01500538,Older Adult
7675,NCT00731887,Older Adult
4589,NCT03710694,Older Adult
4587,NCT03613623,Older Adult
7676,NCT03202745,Older Adult
4586,NCT01728571,Older Adult
4585,NCT00596908,Older Adult
7677,NCT03677674,Older Adult
4584,NCT01704859,Older Adult
4583,NCT01696435,Older Adult
4399,NCT04293536,Older Adult
7767,NCT02050165,Older Adult
4150,NCT00000861,Older Adult
4217,NCT04258722,Older Adult
7844,NCT02229851,Older Adult
4230,NCT01654926,Older Adult
7845,NCT02143648,Older Adult
4228,NCT02755818,Older Adult
4227,NCT04132557,Older Adult
4226,NCT00475202,Older Adult
4225,NCT03474029,Older Adult
4224,NCT02880644,Older Adult
4223,NCT01611233,Older Adult
4222,NCT01074151,Older Adult
7850,NCT01421303,Older Adult
4219,NCT02572323,Older Adult
7851,NCT00956631,Older Adult
4218,NCT04315311,Older Adult
7852,NCT01313208,Older Adult
4233,NCT02068937,Older Adult
4216,NCT02282748,Older Adult
4215,NCT02135276,Older Adult
7853,NCT02006719,Older Adult
4214,NCT02316353,Older Adult
4213,NCT01530867,Older Adult
7854,NCT03014414,Older Adult
4212,NCT03004157,Older Adult
4211,NCT02322333,Older Adult
7855,NCT00773734,Older Adult
4210,NCT01701349,Older Adult
4209,NCT03356340,Older Adult
7856,NCT02386098,Older Adult
4207,NCT04295538,Older Adult
4206,NCT00339638,Older Adult
4231,NCT03172962,Older Adult
7843,NCT04345393,Older Adult
4205,NCT04006119,Older Adult
7836,NCT02143973,Older Adult
4261,NCT02103335,Older Adult
7830,NCT00415168,Older Adult
4259,NCT04484090,Older Adult
4258,NCT00339651,Older Adult
7831,NCT01619930,Older Adult
4256,NCT00391664,Older Adult
4255,NCT00032344,Older Adult
7833,NCT01775995,Older Adult
4253,NCT00576693,Older Adult
4252,NCT00321971,Older Adult
4251,NCT04180423,Older Adult
7835,NCT02182180,Older Adult
4250,NCT01617161,Older Adult
4249,NCT02752035,Older Adult
4248,NCT03957577,Older Adult
4235,NCT04526418,Older Adult
7837,NCT04378309,Older Adult
4246,NCT03251794,Older Adult
7838,NCT04281264,Older Adult
