NCTId,ArmGroupInterventionName
NCT02091323,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00173537,Procedure
NCT01495923,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01064011,Procedure
NCT03398395,Procedure
NCT01516255,Procedure
NCT01516255,Procedure
NCT01516255,Procedure
NCT01516255,Procedure
NCT00759733,Procedure
NCT00759733,Procedure
NCT00896649,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT02154555,Procedure
NCT01892514,Procedure
NCT01892514,Procedure
NCT00025389,Procedure
NCT03214549,Procedure
NCT04049305,Procedure
NCT01058421,Procedure
NCT01566890,Procedure
NCT01566890,Procedure
NCT01566890,Procedure
NCT01566890,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT01782014,Procedure
NCT01782014,Procedure
NCT01782014,Procedure
NCT00847756,Procedure
NCT00847756,Procedure
NCT03713970,Procedure
NCT03713970,Procedure
NCT03004157,Procedure
NCT03004157,Procedure
NCT03004157,Procedure
NCT03564522,Procedure
NCT03564522,Procedure
NCT01654926,Procedure
NCT00847756,Procedure
NCT00847756,Procedure
NCT00759733,Procedure
NCT00759733,Procedure
NCT01882010,Procedure
NCT00788944,Procedure
NCT01882010,Procedure
NCT01882010,Procedure
NCT00504023,Procedure
NCT00874211,Procedure
NCT01241149,Procedure
NCT01241149,Procedure
NCT00871468,Procedure
NCT03176420,Procedure
NCT00397735,Procedure
NCT00397735,Procedure
NCT00121186,Procedure
NCT03922724,Procedure
NCT03922724,Procedure
NCT01535326,Procedure
NCT04515069,Procedure
NCT04016909,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00714727,Procedure
NCT01663558,Procedure
NCT00387075,Procedure
NCT01640171,Procedure
NCT02096653,Procedure
NCT00746109,Procedure
NCT04474405,Procedure
NCT01894191,Procedure
NCT03775590,Procedure
NCT03453866,Procedure
NCT00654615,Procedure
NCT01686087,Procedure
NCT01686087,Procedure
NCT03997422,Procedure
NCT02463968,Procedure
NCT02463968,Procedure
NCT02463968,Procedure
NCT03881098,Procedure
NCT01112917,Procedure
NCT01850082,Procedure
NCT01850082,Procedure
NCT02352103,Procedure
NCT04606030,Procedure
NCT04606030,Procedure
NCT04092257,Procedure
NCT04204668,Procedure
NCT02163525,Procedure
NCT01556581,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT03215615,Procedure
NCT03215615,Procedure
NCT03014037,Procedure
NCT03914365,Procedure
NCT03914365,Procedure
NCT03801863,Procedure
NCT02420041,Procedure
NCT00356837,Procedure
NCT04501419,Procedure
NCT01670877,Procedure
NCT01670877,Procedure
NCT01670877,Procedure
NCT01670877,Procedure
NCT01894451,Procedure
NCT01232881,Procedure
NCT00409968,Procedure
NCT03769727,Procedure
NCT00453700,Procedure
NCT04038697,Procedure
NCT04038697,Procedure
NCT04038697,Procedure
NCT00710502,Procedure
NCT00710502,Procedure
NCT02635971,Procedure
NCT01987115,Procedure
NCT01338701,Procedure
NCT02205385,Procedure
NCT04239066,Procedure
NCT02798432,Procedure
NCT02798432,Procedure
NCT03215615,Procedure
NCT03215615,Procedure
NCT02015390,Procedure
NCT02015390,Procedure
NCT01792791,Procedure
NCT04239040,Procedure
NCT04238143,Procedure
NCT04238143,Procedure
NCT00639795,Procedure
NCT00639795,Procedure
NCT04066894,Procedure
NCT03854032,Procedure
NCT04144023,Procedure
NCT03854032,Procedure
NCT04049227,Procedure
NCT04044326,Procedure
NCT00129701,Procedure
NCT02205385,Procedure
NCT04235764,Procedure
NCT04204668,Procedure
NCT01118585,Procedure
NCT03711981,Procedure
NCT03817736,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT03780985,Procedure
NCT04163172,Procedure
NCT04163172,Procedure
NCT02114229,Procedure
NCT02114229,Procedure
NCT02114229,Procedure
NCT03820947,Procedure
NCT01269164,Procedure
NCT04287075,Procedure
NCT00111176,Procedure
NCT01494519,Procedure
NCT04209790,Procedure
NCT02351544,Procedure
NCT01591733,Procedure
NCT00963807,Procedure
NCT00574587,Procedure
NCT02899247,Procedure
NCT02922894,Procedure
NCT02971072,Procedure
NCT00663143,Procedure
NCT01477710,Procedure
NCT04253483,Procedure
NCT01629537,Procedure
NCT02784587,Procedure
NCT00032448,Procedure
NCT04011176,Procedure
NCT04011176,Procedure
NCT02739893,Procedure
NCT04404855,Procedure
NCT02318862,Procedure
NCT02318862,Procedure
NCT02166294,Procedure
NCT02166294,Procedure
NCT03908879,Procedure
NCT04246281,Procedure
NCT02541032,Procedure
NCT04532788,Procedure
NCT00963690,Procedure
NCT00963690,Procedure
NCT02484950,Procedure
NCT02484950,Procedure
NCT01412541,Procedure
NCT00431847,Procedure
NCT03883477,Procedure
NCT03794882,Procedure
NCT03794882,Procedure
NCT01766102,Procedure
NCT04178538,Procedure
NCT04178538,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT03881098,Procedure
NCT02795624,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT02348645,Procedure
NCT02348645,Procedure
NCT02348645,Procedure
NCT04307420,Procedure
NCT00788398,Procedure
NCT00788398,Procedure
NCT00788398,Procedure
NCT02364518,Procedure
NCT00057070,Procedure
NCT03148496,Procedure
NCT03148496,Procedure
NCT02561390,Procedure
NCT02561390,Procedure
NCT04345562,Procedure
NCT04345562,Procedure
NCT02446626,Procedure
NCT01264471,Procedure
NCT02446626,Procedure
NCT02446626,Procedure
NCT02446626,Procedure
NCT02446626,Procedure
NCT01033188,Procedure
NCT02746874,Procedure
NCT03520387,Procedure
NCT02765672,Procedure
NCT02765672,Procedure
NCT01938222,Procedure
NCT00606658,Procedure
NCT02153814,Procedure
NCT00939055,Procedure
NCT03187080,Procedure
NCT03187080,Procedure
NCT01495923,Procedure
NCT00492596,Procedure
NCT04039399,Procedure
NCT03371225,Procedure
NCT03371225,Procedure
NCT02922894,Procedure
NCT04542551,Procedure
NCT02922894,Procedure
NCT04542551,Procedure
NCT04542551,Procedure
NCT01651247,Procedure
NCT01651247,Procedure
NCT01232881,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT02119195,Procedure
NCT02739893,Procedure
NCT00737321,Procedure
NCT00788398,Procedure
NCT00788398,Procedure
NCT00788398,Procedure
NCT01073124,Procedure
NCT01073124,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT03795545,Procedure
NCT03795532,Procedure
NCT03795532,Procedure
NCT03763539,Procedure
NCT03763539,Procedure
NCT03795545,Procedure
NCT04592601,Procedure
NCT01064011,Procedure
NCT01047735,Procedure
NCT02601092,Procedure
NCT03453866,Procedure
NCT04171921,Procedure
NCT04263025,Procedure
NCT04263025,Procedure
NCT01581905,Procedure
NCT02352103,Procedure
NCT01702805,Procedure
NCT03760497,Procedure
NCT03760497,Procedure
NCT03760497,Procedure
NCT02794116,Procedure
NCT02435459,Procedure
NCT04063592,Procedure
NCT01670877,Procedure
NCT01670877,Procedure
NCT01670877,Procedure
NCT01670877,Procedure
NCT03598816,Procedure
NCT03598816,Procedure
NCT02046109,Procedure
NCT01822301,Procedure
NCT04580524,Procedure
NCT04580524,Procedure
NCT02046109,Procedure
NCT01158508,Procedure
NCT00431847,Procedure
NCT03904043,Procedure
NCT01228058,Procedure
NCT01707524,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT02100904,Procedure
NCT00643188,Procedure
NCT02746874,Procedure
NCT02971358,Procedure
NCT00798876,Procedure
NCT00798876,Procedure
NCT03747783,Procedure
NCT03747783,Procedure
NCT00585689,Procedure
NCT04204668,Procedure
NCT02435459,Procedure
NCT02148003,Procedure
NCT02148003,Procedure
NCT04327596,Procedure
NCT01065064,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT00203996,Procedure
NCT01954576,Procedure
NCT04137250,Procedure
NCT03794882,Procedure
NCT02080429,Procedure
NCT01433302,Procedure
NCT01670825,Procedure
NCT02795624,Procedure
NCT02725840,Procedure
NCT02725840,Procedure
NCT03432897,Procedure
NCT03077126,Procedure
NCT01751737,Procedure
NCT01645722,Procedure
NCT03908879,Procedure
NCT03395964,Procedure
NCT00331058,Procedure
NCT00160979,Procedure
NCT01320059,Procedure
NCT02391025,Procedure
NCT03778294,Procedure
NCT03337217,Procedure
NCT03337217,Procedure
NCT02609308,Procedure
NCT03763643,Procedure
NCT03763643,Procedure
NCT01629537,Procedure
NCT02540512,Procedure
NCT00013078,Procedure
NCT00412568,Procedure
NCT01524146,Procedure
NCT01256203,Procedure
NCT00284453,Procedure
NCT00284453,Procedure
NCT00284453,Procedure
NCT02795624,Procedure
NCT03215615,Procedure
NCT03215615,Procedure
NCT03215615,Procedure
NCT03215615,Procedure
NCT01128374,Procedure
NCT04451382,Procedure
NCT02260856,Procedure
NCT01589692,Procedure
NCT01810640,Procedure
NCT02260856,Procedure
NCT00588497,Procedure
NCT03656679,Procedure
NCT00000408,Procedure
NCT02080429,Procedure
NCT03187080,Procedure
NCT03187080,Procedure
NCT03187080,Procedure
NCT03187080,Procedure
NCT03187080,Procedure
NCT03187080,Procedure
NCT03656679,Procedure
NCT01524042,Procedure
NCT00593086,Procedure
NCT00593086,Procedure
NCT03255681,Procedure
NCT00413673,Procedure
NCT00963807,Procedure
NCT00647790,Procedure
NCT03532230,Procedure
NCT03711747,Procedure
NCT04516824,Procedure
NCT04116229,Procedure
NCT04116229,Procedure
NCT02204098,Procedure
NCT02204098,Procedure
NCT02204098,Procedure
NCT02204098,Procedure
NCT02168114,Procedure
NCT02168114,Procedure
NCT03295994,Procedure
NCT03044821,Procedure
NCT04171921,Procedure
NCT01817660,Procedure
NCT02723825,Procedure
NCT02723825,Procedure
NCT01589692,Procedure
NCT02509377,Procedure
NCT02765672,Procedure
NCT00918996,Procedure
NCT02207517,Procedure
NCT02207517,Procedure
NCT02765672,Procedure
NCT02711267,Procedure
NCT02711267,Procedure
NCT02711267,Procedure
NCT02711267,Procedure
NCT01779804,Procedure
NCT04356027,Procedure
NCT04239066,Procedure
NCT01967680,Procedure
NCT01996384,Procedure
NCT03798184,Procedure
NCT03798184,Procedure
NCT03798184,Procedure
NCT03798184,Procedure
NCT03295994,Procedure
NCT04542551,Procedure
NCT04542551,Procedure
NCT00746109,Procedure
NCT02899247,Procedure
NCT02435459,Procedure
NCT01714349,Procedure
NCT02931435,Procedure
NCT02931435,Procedure
NCT04326517,Procedure
NCT02191748,Procedure
NCT02191748,Procedure
NCT01054833,Procedure
NCT00580749,Procedure
NCT03215615,Procedure
NCT03215615,Procedure
NCT01171027,Procedure
NCT01171027,Procedure
NCT00580749,Procedure
NCT02100904,Procedure
NCT02868021,Procedure
NCT02868021,Procedure
NCT01882010,Procedure
NCT01882010,Procedure
NCT02601092,Procedure
NCT01183637,Procedure
NCT04326036,Procedure
NCT00588497,Procedure
NCT03215615,Procedure
NCT03215615,Procedure
NCT02136628,Procedure
NCT00647569,Procedure
NCT00647569,Procedure
NCT02817854,Procedure
NCT02817854,Procedure
NCT02817854,Procedure
NCT02574546,Procedure
NCT02015390,Procedure
NCT02015390,Procedure
NCT02277314,Procedure
NCT00632060,Procedure
NCT04116229,Procedure
NCT04116229,Procedure
NCT01780701,Procedure
NCT01780701,Procedure
NCT04276194,Procedure
NCT03778294,Procedure
NCT02359097,Procedure
NCT00775866,Procedure
NCT01894451,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT04243265,Procedure
NCT01882010,Procedure
NCT01882010,Procedure
NCT01882010,Procedure
NCT02245178,Procedure
NCT03692273,Procedure
NCT03520387,Procedure
NCT01198964,Procedure
NCT00788398,Procedure
NCT00788398,Procedure
NCT02130323,Procedure
NCT04162678,Procedure
NCT01702805,Procedure
NCT02248688,Procedure
NCT03148496,Procedure
NCT03148496,Procedure
NCT01705288,Procedure
NCT01705288,Procedure
NCT03438682,Procedure
NCT00965302,Procedure
NCT01323114,Procedure
NCT00710502,Procedure
NCT01063959,Procedure
NCT01063959,Procedure
NCT01063959,Procedure
NCT03634306,Procedure
NCT01063959,Procedure
NCT01063959,Procedure
NCT01063959,Procedure
NCT01171027,Procedure
NCT03841513,Procedure
NCT01047735,Procedure
NCT00247377,Procedure
NCT02096653,Procedure
NCT04035382,Procedure
NCT03106233,Procedure
NCT04424823,Procedure
NCT04424823,Procedure
NCT03889392,Procedure
NCT03726463,Procedure
NCT04334707,Procedure
NCT04334707,Procedure
NCT01613833,Procedure
NCT01613833,Procedure
NCT04038697,Procedure
NCT04038697,Procedure
NCT04038697,Procedure
NCT04039399,Procedure
NCT04038697,Procedure
NCT04221594,Procedure
NCT02635971,Procedure
NCT03780985,Procedure
