,NCTId,InterventionAncestorId
2702,NCT01217840,D000077264
1398,NCT00412087,D000077264
4938,NCT01785004,D000077264
2792,NCT02956408,D000077264
9521,NCT04116112,D000077264
3737,NCT01488227,D000077264
6526,NCT03069144,D000077264
8327,NCT04369742,D000077264
5630,NCT01410084,D000077264
3300,NCT00754390,D000077264
3310,NCT01391858,D000077264
1262,NCT00002102,D000077264
9034,NCT04564443,D000077264
7706,NCT01746264,D000077264
8325,NCT00760474,D000077264
2178,NCT01696409,D000077264
3367,NCT00811057,D000077264
5525,NCT01443728,D000077264
6789,NCT00476346,D000077264
3401,NCT00646451,D000077264
1307,NCT01632761,D000077264
5444,NCT00473239,D000077264
6711,NCT01425476,D000077264
3223,NCT01440803,D000077264
2803,NCT01570309,D000077264
3093,NCT01295879,D000077264
3098,NCT01475617,D000077264
5837,NCT01601847,D000077264
8334,NCT04060030,D000077264
3122,NCT01450462,D000077264
6674,NCT02435459,D000077264
9326,NCT04294043,D000077264
7475,NCT01304407,D000077264
3065,NCT03467789,D000077264
5728,NCT03775096,D000077264
3087,NCT01665677,D000077264
8547,NCT01588457,D000077264
9110,NCT04495283,D000077264
3074,NCT01167920,D000077264
1274,NCT02636348,D000077264
8588,NCT02360644,D000077264
1261,NCT00002103,D000077264
9538,NCT04103385,D000077264
5150,NCT02172040,D000077264
5189,NCT02979197,D000077264
3828,NCT00002120,D000077264
5160,NCT01351805,D000077264
3844,NCT00324571,D000077264
1112,NCT02375503,D000077264
2375,NCT01652573,D000077264
3893,NCT04589819,D000077264
2033,NCT01511640,D000077264
3907,NCT02188953,D000077264
7413,NCT04060017,D000077264
2814,NCT00531518,D000077264
7647,NCT00785577,D000077264
8292,NCT01709110,D000077264
5106,NCT00699777,D000077264
1956,NCT00668941,D000077264
1259,NCT00002434,D000077264
7914,NCT00223509,D000077264
6580,NCT00157586,D000077264
6075,NCT01847469,D000077264
3784,NCT01713777,D000077264
5218,NCT02138838,D000077264
6067,NCT02025179,D000077264
1188,NCT01333488,D000077264
2897,NCT04434664,D000077264
3711,NCT01733394,D000077264
5248,NCT01889446,D000077264
1260,NCT00002317,D000077264
7678,NCT01968590,D000077264
8612,NCT01502761,D000077264
8933,NCT02217007,D000077264
2032,NCT01354613,D000077264
4179,NCT00959764,D000077264
6408,NCT03516773,D000077264
2608,NCT00352651,D000077264
2559,NCT00729690,D000077264
4637,NCT01630213,D000077264
4508,NCT01169259,D000077264
6357,NCT01880463,D000077264
2532,NCT01858051,D000077264
4579,NCT01782352,D000077264
4532,NCT04386577,D000077264
4554,NCT01684722,D000077264
2611,NCT02311777,D000077264
8023,NCT00742781,D000077264
4550,NCT01669915,D000077264
4559,NCT01747447,D000077264
4582,NCT02239874,D000077264
2510,NCT01744821,D000077264
8735,NCT01678079,D000077264
4583,NCT01696435,D000077264
4677,NCT02232269,D000077264
4540,NCT01758081,D000077264
6449,NCT04070833,D000077264
4626,NCT03709888,D000077264
1226,NCT00713739,D000077264
4560,NCT01653678,D000077264
4586,NCT01728571,D000077264
4584,NCT01704859,D000077264
2987,NCT04417361,D000077221
9462,NCT04179474,D000077221
9151,NCT04461795,D000077221
1566,NCT04098250,D000077221
2454,NCT03333109,D000077221
1003,NCT03363464,D000077203
8558,NCT04401904,D000077203
6820,NCT04215445,D000077203
7785,NCT04393246,D000077203
1491,NCT02223065,D000077203
4720,NCT04049045,D000077203
7810,NCT03136484,D000077203
6228,NCT02706847,D000075242
6223,NCT02706951,D000075242
6222,NCT02675426,D000075242
7431,NCT02706873,D000075242
6221,NCT02629159,D000075242
3410,NCT02861898,D000074322
3319,NCT03173950,D000074322
1201,NCT02312037,D000074322
9983,NCT03773666,D000074322
5038,NCT02036502,D000074322
7617,NCT00140140,D000074322
3018,NCT02808143,D000074322
5027,NCT03779191,D000074322
6613,NCT03598816,D000074322
9037,NCT04561362,D000074322
4929,NCT00422799,D000074322
5492,NCT04027946,D000074322
9134,NCT04478695,D000074322
9623,NCT04042506,D000074322
2994,NCT03061188,D000074322
7698,NCT00399529,D000074322
3298,NCT00813605,D000074322
8655,NCT00882583,D000074322
