,NCTId,ConditionBrowseBranchAbbrev
4794,NCT01557400,Rare
4790,NCT03971318,Rare
4788,NCT04334824,Rare
7828,NCT01374906,Rare
7830,NCT00415168,Rare
5354,NCT00343005,Rare
9279,NCT04330716,Rare
1537,NCT02228850,Rare
1207,NCT02458092,Rare
5896,NCT01845636,Rare
9444,NCT04201145,Rare
7335,NCT02582957,Rare
1217,NCT00183807,Rare
5876,NCT02139397,Rare
5875,NCT03406104,Rare
1227,NCT04530136,Rare
5871,NCT03250338,Rare
5870,NCT01105091,Rare
5868,NCT01231945,Rare
5866,NCT00004025,Rare
9434,NCT04209790,Rare
5864,NCT00664898,Rare
5863,NCT00370214,Rare
9431,NCT04210427,Rare
7355,NCT03386539,Rare
5857,NCT00133445,Rare
5855,NCT03293524,Rare
5854,NCT00043706,Rare
1213,NCT03310580,Rare
9450,NCT04195399,Rare
5846,NCT00291161,Rare
1201,NCT02312037,Rare
5951,NCT01652079,Rare
1177,NCT03180853,Rare
7311,NCT01441167,Rare
5943,NCT01673828,Rare
7313,NCT00437021,Rare
1180,NCT00803387,Rare
7316,NCT03762070,Rare
5933,NCT00628498,Rare
1183,NCT01375036,Rare
5927,NCT02798458,Rare
7319,NCT03869060,Rare
9457,NCT04186793,Rare
1190,NCT01157897,Rare
7320,NCT04298138,Rare
9456,NCT04188015,Rare
9453,NCT04188535,Rare
1198,NCT00277498,Rare
5911,NCT01773655,Rare
5910,NCT01794078,Rare
5847,NCT01793090,Rare
7359,NCT02008877,Rare
1173,NCT04542915,Rare
5796,NCT00299481,Rare
1272,NCT00751127,Rare
9416,NCT04222712,Rare
7386,NCT02553148,Rare
9415,NCT04223635,Rare
5792,NCT02483650,Rare
1280,NCT01166815,Rare
1282,NCT02920398,Rare
5777,NCT00273910,Rare
9410,NCT04227847,Rare
5775,NCT04504604,Rare
7394,NCT01121406,Rare
5771,NCT03882437,Rare
5770,NCT02484248,Rare
1289,NCT03341754,Rare
5768,NCT02281760,Rare
1290,NCT00121147,Rare
9407,NCT04229979,Rare
7398,NCT01725152,Rare
5764,NCT00923247,Rare
5795,NCT02185599,Rare
5799,NCT01328197,Rare
9428,NCT04214119,Rare
1270,NCT01890850,Rare
1249,NCT02130323,Rare
9427,NCT04214249,Rare
5835,NCT01659411,Rare
5832,NCT04463264,Rare
1254,NCT01605669,Rare
9425,NCT04216732,Rare
7367,NCT01623492,Rare
7368,NCT00042510,Rare
9423,NCT04218799,Rare
1259,NCT00002434,Rare
1260,NCT00002317,Rare
1261,NCT00002103,Rare
5814,NCT03194685,Rare
1262,NCT00002102,Rare
9420,NCT04220190,Rare
5803,NCT00341952,Rare
5802,NCT03198156,Rare
1269,NCT04111263,Rare
5801,NCT01073579,Rare
7307,NCT04574869,Rare
5961,NCT04073225,Rare
1294,NCT00220740,Rare
7239,NCT04453943,Rare
6099,NCT01518881,Rare
7242,NCT04561765,Rare
6095,NCT01566877,Rare
9514,NCT04121858,Rare
9513,NCT04123041,Rare
6093,NCT01593072,Rare
9512,NCT04123574,Rare
1082,NCT01335412,Rare
9509,NCT04125290,Rare
1090,NCT00005483,Rare
6076,NCT01845740,Rare
1092,NCT02960568,Rare
7254,NCT00466934,Rare
6073,NCT01879696,Rare
6072,NCT01943825,Rare
6069,NCT02019927,Rare
6066,NCT02041715,Rare
9503,NCT04129060,Rare
7259,NCT03992001,Rare
9517,NCT04119024,Rare
6107,NCT01433302,Rare
6063,NCT02168114,Rare
9520,NCT04118036,Rare
6152,NCT00720096,Rare
9534,NCT04104321,Rare
1033,NCT02155478,Rare
1034,NCT03719391,Rare
1035,NCT00936845,Rare
6143,NCT00851253,Rare
7226,NCT00140361,Rare
6137,NCT00911248,Rare
7227,NCT00860951,Rare
6135,NCT00975559,Rare
1044,NCT00341510,Rare
7228,NCT01147900,Rare
9527,NCT04110522,Rare
7229,NCT04330326,Rare
6125,NCT01212731,Rare
1050,NCT03021824,Rare
6123,NCT01265433,Rare
6113,NCT01353027,Rare
6112,NCT01353040,Rare
1101,NCT02498301,Rare
1105,NCT04125186,Rare
5962,NCT00902603,Rare
1142,NCT00049439,Rare
9482,NCT04152473,Rare
6000,NCT03851406,Rare
5999,NCT03861390,Rare
1146,NCT02592941,Rare
5998,NCT03873610,Rare
5997,NCT03898271,Rare
5995,NCT03921658,Rare
9477,NCT04160065,Rare
5991,NCT04024878,Rare
1152,NCT03168854,Rare
7290,NCT03079999,Rare
5986,NCT04171115,Rare
1156,NCT00154362,Rare
5979,NCT04512105,Rare
5975,NCT04587583,Rare
9471,NCT04169321,Rare
5970,NCT02477124,Rare
7302,NCT02194582,Rare
1165,NCT03845400,Rare
1143,NCT01024686,Rare
6004,NCT03763643,Rare
9499,NCT04134559,Rare
1140,NCT02640677,Rare
1107,NCT01260324,Rare
9496,NCT04137536,Rare
7267,NCT02938975,Rare
1117,NCT02863458,Rare
9493,NCT04142983,Rare
1119,NCT00004986,Rare
6031,NCT03123224,Rare
1125,NCT02455024,Rare
1127,NCT03073343,Rare
6023,NCT03276195,Rare
9487,NCT04146051,Rare
6021,NCT03387553,Rare
6020,NCT03390335,Rare
7280,NCT02562872,Rare
6016,NCT03463239,Rare
1134,NCT04560933,Rare
6015,NCT03530163,Rare
1137,NCT01540474,Rare
9483,NCT04150913,Rare
9406,NCT04231318,Rare
7400,NCT03395028,Rare
9280,NCT04330482,Rare
5497,NCT02866721,Rare
5494,NCT04266093,Rare
7519,NCT00513500,Rare
5492,NCT04027946,Rare
5491,NCT03501420,Rare
5490,NCT02040142,Rare
1450,NCT01952028,Rare
9324,NCT04294641,Rare
5480,NCT00837148,Rare
5477,NCT02926040,Rare
5471,NCT02635334,Rare
1466,NCT00880035,Rare
1467,NCT01093885,Rare
5467,NCT00244361,Rare
5465,NCT00032513,Rare
9315,NCT04305145,Rare
1473,NCT02140762,Rare
5457,NCT01937468,Rare
1474,NCT03399461,Rare
5454,NCT02076152,Rare
5496,NCT01528878,Rare
5498,NCT03451773,Rare
5451,NCT01966302,Rare
9326,NCT04294043,Rare
9336,NCT04284514,Rare
1425,NCT00787826,Rare
7505,NCT00337428,Rare
1426,NCT00584844,Rare
5531,NCT02362425,Rare
1427,NCT00584805,Rare
1428,NCT00584454,Rare
5525,NCT01443728,Rare
1429,NCT00584194,Rare
1430,NCT00582504,Rare
7509,NCT03510286,Rare
1431,NCT00582088,Rare
5519,NCT01553461,Rare
7510,NCT03431558,Rare
9330,NCT04292119,Rare
5510,NCT00340600,Rare
5507,NCT02335905,Rare
5504,NCT04011059,Rare
5501,NCT00498355,Rare
1475,NCT00290147,Rare
1476,NCT02285777,Rare
5535,NCT01466088,Rare
9288,NCT04322448,Rare
5388,NCT01617083,Rare
1514,NCT00183885,Rare
7567,NCT03870204,Rare
1515,NCT00197054,Rare
7569,NCT04322357,Rare
1519,NCT00183898,Rare
9284,NCT04328467,Rare
1523,NCT00183911,Rare
5371,NCT03529422,Rare
1524,NCT00159471,Rare
7572,NCT01988909,Rare
5370,NCT02201212,Rare
1525,NCT00183859,Rare
5367,NCT00341627,Rare
9282,NCT04330183,Rare
7573,NCT01824589,Rare
5361,NCT02368301,Rare
5359,NCT01133275,Rare
1533,NCT02406391,Rare
7566,NCT04072211,Rare
1510,NCT00183846,Rare
7538,NCT03950986,Rare
5395,NCT03224507,Rare
1481,NCT03867162,Rare
5441,NCT02854657,Rare
1482,NCT03051386,Rare
5440,NCT02530619,Rare
1485,NCT02092142,Rare
7545,NCT03343197,Rare
9300,NCT04315883,Rare
1498,NCT01494350,Rare
9291,NCT04320381,Rare
7554,NCT03937856,Rare
5411,NCT04313049,Rare
5409,NCT01751048,Rare
5408,NCT02853617,Rare
1503,NCT00640692,Rare
5402,NCT01973608,Rare
1505,NCT01047735,Rare
5400,NCT01235793,Rare
5399,NCT00178802,Rare
5398,NCT00814502,Rare
1424,NCT00869713,Rare
9339,NCT04282668,Rare
5757,NCT00254176,Rare
5694,NCT03789097,Rare
7435,NCT02656017,Rare
5683,NCT00923936,Rare
5682,NCT04535180,Rare
5670,NCT02262832,Rare
7446,NCT02269423,Rare
5668,NCT00080366,Rare
1359,NCT02867059,Rare
5665,NCT03231579,Rare
5664,NCT01744782,Rare
5662,NCT02287428,Rare
5652,NCT04603521,Rare
9369,NCT04256317,Rare
5647,NCT02442739,Rare
5646,NCT01145209,Rare
5645,NCT02655458,Rare
7459,NCT00007722,Rare
9368,NCT04257045,Rare
1370,NCT02654509,Rare
5638,NCT02255162,Rare
5691,NCT02244463,Rare
5699,NCT01646541,Rare
7464,NCT01976780,Rare
9377,NCT04251026,Rare
1309,NCT00263887,Rare
5746,NCT01322568,Rare
7408,NCT03329404,Rare
9392,NCT04239040,Rare
9391,NCT04240561,Rare
5738,NCT00876434,Rare
1320,NCT03088111,Rare
5735,NCT01987830,Rare
7414,NCT02374060,Rare
1323,NCT02387203,Rare
5727,NCT01906437,Rare
5725,NCT04432272,Rare
1325,NCT00662012,Rare
5720,NCT04428632,Rare
7418,NCT01123798,Rare
1328,NCT00657618,Rare
5718,NCT00440336,Rare
5715,NCT02000739,Rare
1331,NCT04532788,Rare
1371,NCT02466750,Rare
5634,NCT00958022,Rare
5538,NCT01160458,Rare
7488,NCT02894294,Rare
1400,NCT00652574,Rare
5588,NCT00001536,Rare
7489,NCT02725255,Rare
7491,NCT01052584,Rare
5580,NCT03194906,Rare
1405,NCT02496221,Rare
1406,NCT02601469,Rare
5569,NCT02938130,Rare
5568,NCT01992874,Rare
1409,NCT00068367,Rare
5566,NCT00473642,Rare
9343,NCT04278781,Rare
5563,NCT01084733,Rare
7497,NCT04471974,Rare
5558,NCT03020719,Rare
1413,NCT03591510,Rare
9341,NCT04279847,Rare
1418,NCT01322633,Rare
7503,NCT01637324,Rare
9349,NCT04273139,Rare
5590,NCT02851706,Rare
7468,NCT03964792,Rare
9350,NCT04270682,Rare
5629,NCT00076557,Rare
5628,NCT03746769,Rare
5627,NCT00352924,Rare
1378,NCT02178462,Rare
5620,NCT01291277,Rare
5617,NCT00339300,Rare
1381,NCT01240902,Rare
5615,NCT02494167,Rare
5614,NCT01591733,Rare
1384,NCT03237364,Rare
7475,NCT01304407,Rare
7479,NCT02169882,Rare
5608,NCT02475707,Rare
1389,NCT02898779,Rare
1391,NCT01702857,Rare
5603,NCT03542812,Rare
9351,NCT04270474,Rare
1394,NCT01675440,Rare
5602,NCT01134510,Rare
2021,NCT02291133,Rare
4465,NCT00075049,Rare
4464,NCT00082069,Rare
8450,NCT03677739,Rare
8452,NCT02295540,Rare
3422,NCT02607124,Rare
2585,NCT04322149,Rare
3418,NCT02180139,Rare
8458,NCT02399215,Rare
2587,NCT03997422,Rare
3417,NCT00072813,Rare
2588,NCT02414178,Rare
3416,NCT00187018,Rare
8841,NCT02117336,Rare
3410,NCT02861898,Rare
3407,NCT01058148,Rare
3401,NCT00646451,Rare
3397,NCT00300534,Rare
3396,NCT01597596,Rare
2601,NCT01561924,Rare
3393,NCT02116712,Rare
8474,NCT01804452,Rare
3391,NCT04070573,Rare
3436,NCT02775461,Rare
3437,NCT03723655,Rare
8476,NCT00973518,Rare
2579,NCT00108797,Rare
2558,NCT01871545,Rare
3469,NCT00324155,Rare
3464,NCT00311506,Rare
2561,NCT00891033,Rare
3461,NCT01586767,Rare
8436,NCT03333252,Rare
3459,NCT03161470,Rare
8437,NCT00679289,Rare
8859,NCT01045421,Rare
3458,NCT00566995,Rare
3455,NCT01284127,Rare
8858,NCT02206607,Rare
3454,NCT00137696,Rare
2572,NCT00135720,Rare
2574,NCT00758693,Rare
8851,NCT01835223,Rare
3442,NCT04552691,Rare
2578,NCT04510168,Rare
3438,NCT03177941,Rare
2602,NCT00169806,Rare
3387,NCT03267914,Rare
8428,NCT03613038,Rare
3329,NCT00114621,Rare
3325,NCT00413621,Rare
2633,NCT02151435,Rare
3320,NCT00585689,Rare
8818,NCT01314599,Rare
3319,NCT03173950,Rare
8507,NCT00014950,Rare
2639,NCT03075670,Rare
8509,NCT01239368,Rare
2642,NCT03359421,Rare
2644,NCT03613714,Rare
3305,NCT04398628,Rare
8814,NCT01932242,Rare
3303,NCT03196297,Rare
8514,NCT00030940,Rare
8811,NCT02696291,Rare
3295,NCT03287765,Rare
3294,NCT01416467,Rare
8515,NCT01352286,Rare
2654,NCT02281747,Rare
2628,NCT00099723,Rare
3332,NCT02974764,Rare
8833,NCT02445794,Rare
3338,NCT02290106,Rare
3380,NCT00592046,Rare
2606,NCT03824093,Rare
2607,NCT04388605,Rare
8832,NCT03995667,Rare
3370,NCT02226835,Rare
2610,NCT01378195,Rare
8487,NCT00590148,Rare
2612,NCT02698761,Rare
3364,NCT01864057,Rare
3363,NCT00005112,Rare
2614,NCT02429505,Rare
3361,NCT00319332,Rare
8491,NCT03778177,Rare
3355,NCT01445327,Rare
3353,NCT04022434,Rare
8492,NCT01245673,Rare
3350,NCT01096771,Rare
2622,NCT00097006,Rare
8495,NCT01236586,Rare
3471,NCT02985801,Rare
2556,NCT00262249,Rare
8521,NCT04018092,Rare
3621,NCT03814798,Rare
3615,NCT02239328,Rare
3612,NCT00420719,Rare
3610,NCT00035100,Rare
3609,NCT03966053,Rare
3606,NCT04002830,Rare
8364,NCT04474405,Rare
3605,NCT02847728,Rare
3598,NCT02511054,Rare
3596,NCT00443313,Rare
3593,NCT00001162,Rare
8370,NCT01226277,Rare
8898,NCT04004325,Rare
3590,NCT00773279,Rare
2501,NCT03012555,Rare
3585,NCT01586858,Rare
3584,NCT01506544,Rare
2502,NCT02404896,Rare
3583,NCT04428112,Rare
3582,NCT01256203,Rare
3620,NCT00440648,Rare
8355,NCT00002251,Rare
8374,NCT02973594,Rare
3623,NCT00114010,Rare
3661,NCT04495569,Rare
2466,NCT00186862,Rare
8337,NCT02246075,Rare
3660,NCT03224819,Rare
3659,NCT01660607,Rare
8338,NCT00176982,Rare
3654,NCT00491842,Rare
2471,NCT00590161,Rare
3648,NCT00053742,Rare
2472,NCT03313271,Rare
8346,NCT03848312,Rare
3641,NCT00459615,Rare
3636,NCT00633373,Rare
3635,NCT02271139,Rare
3631,NCT02587520,Rare
2481,NCT02529150,Rare
8353,NCT00704912,Rare
3626,NCT01188070,Rare
3624,NCT00064870,Rare
8897,NCT01797159,Rare
3575,NCT00846573,Rare
3472,NCT02367287,Rare
3514,NCT00451022,Rare
3509,NCT00380380,Rare
2537,NCT04433546,Rare
8416,NCT02874989,Rare
2538,NCT01015820,Rare
3504,NCT02989701,Rare
2539,NCT01366027,Rare
3499,NCT04420156,Rare
2540,NCT00056810,Rare
3489,NCT00184054,Rare
3488,NCT03201159,Rare
3487,NCT01482962,Rare
8871,NCT01137006,Rare
2547,NCT03548883,Rare
8870,NCT02318186,Rare
3483,NCT00359411,Rare
3481,NCT02341950,Rare
8868,NCT02679729,Rare
3480,NCT00506597,Rare
3479,NCT00308958,Rare
8878,NCT01021644,Rare
3515,NCT01491607,Rare
2507,NCT03120585,Rare
2532,NCT01858051,Rare
3566,NCT02021604,Rare
8383,NCT01081080,Rare
3564,NCT02190253,Rare
2510,NCT01744821,Rare
3563,NCT03786471,Rare
8387,NCT00504023,Rare
3561,NCT03251989,Rare
3560,NCT01117168,Rare
3549,NCT00156520,Rare
8890,NCT03422367,Rare
2516,NCT03310528,Rare
3537,NCT00005766,Rare
8400,NCT02309580,Rare
3533,NCT01965756,Rare
3529,NCT01588158,Rare
3527,NCT01386424,Rare
3523,NCT00280826,Rare
2531,NCT01222585,Rare
8409,NCT01253161,Rare
3288,NCT02194725,Rare
3281,NCT00411762,Rare
2463,NCT03742258,Rare
8734,NCT02958969,Rare
2812,NCT03334786,Rare
8733,NCT00831766,Rare
8652,NCT04305457,Rare
2996,NCT00814697,Rare
2995,NCT02133599,Rare
2813,NCT00001571,Rare
2994,NCT03061188,Rare
8654,NCT01222689,Rare
8732,NCT00896701,Rare
8658,NCT00948467,Rare
2984,NCT00001043,Rare
2983,NCT03927742,Rare
8661,NCT03629678,Rare
8727,NCT00085124,Rare
2973,NCT00342446,Rare
2828,NCT02101619,Rare
8726,NCT00098670,Rare
2968,NCT00266058,Rare
2966,NCT01996072,Rare
3002,NCT00001703,Rare
2806,NCT00221923,Rare
2832,NCT02606396,Rare
8644,NCT01257802,Rare
8746,NCT02665143,Rare
8627,NCT01007552,Rare
2780,NCT03076216,Rare
3054,NCT02068079,Rare
3052,NCT00879840,Rare
8629,NCT01700036,Rare
8744,NCT01566890,Rare
3049,NCT01051284,Rare
3048,NCT00986648,Rare
3047,NCT02800486,Rare
3043,NCT02240407,Rare
3042,NCT00208026,Rare
8634,NCT02019667,Rare
2790,NCT02784834,Rare
8740,NCT01954576,Rare
8638,NCT00619671,Rare
3029,NCT00913757,Rare
8739,NCT02496780,Rare
3018,NCT02808143,Rare
8669,NCT01505868,Rare
2833,NCT02970968,Rare
3059,NCT03427411,Rare
2851,NCT04313088,Rare
8685,NCT00002940,Rare
2913,NCT01625923,Rare
8689,NCT02520115,Rare
2909,NCT01004952,Rare
2907,NCT00123786,Rare
8691,NCT00118157,Rare
2904,NCT03304548,Rare
2901,NCT04134923,Rare
8711,NCT02973399,Rare
2896,NCT03252223,Rare
8710,NCT00004263,Rare
8698,NCT03384836,Rare
2889,NCT00981266,Rare
2888,NCT03405792,Rare
2882,NCT00375089,Rare
2871,NCT01378546,Rare
8704,NCT02963090,Rare
2879,NCT00340548,Rare
2872,NCT02068430,Rare
8716,NCT03602014,Rare
8684,NCT03315507,Rare
8724,NCT00039468,Rare
